,Route,Start Time,Start,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,End
,PWG,2023-06-02T12:00:00-04:00,41 20.388N 71 23.850W,40 52.602N 71 46.692W,40 51.396N 72 45.552W,40 42.348N 73 20.796W,39 32.160N 72 53.442W,39 16.956N 74 42.552W,38 10.116N 73 51.750W,37 58.848N 74 59.586W,37 32.316N 75 47.412W,37 2.088N 76 4.668W,37 10.032N 75 59.112W,37 34.296N 76 1.974W,37 49.734N 75 59.646W,38 2.292N 76 20.394W,38 13.830N 76 2.730W,38 17.544N 76 24.276W,38 32.916N 76 25.362W,38 53.982N 76 26.202W,38 58.638N 76 19.836W
,Polar,Polar Speed Adjustment,Motoring,Ocean Current,TWS Scale Factor,TWD Adjustment
,"Upwind 50°: 5.0, 90°: 10.0, Downwind 160°: 6.0","Upwind: 100, Downwind: 100",False,Mercator,100%,0°
Time,TWS (kts),TWD (° true),TWA,SOG (kts),COG (° true),Motoring,Latitude,Longitude,Wave Height (ft),Wave Dir (° true),Wave Period (s),Current Speed (kts),Current Dir (° true),Pressure (hPa),Temperature (° F),Rain (mm/hr),CAPE (kJ/kg),Gust (kts)
2023-06-02T12:00:00-04:00,11.3,200,P41,3.2,241, ,41º 20.388 N,71º 23.849 W,2.3,149,5.8,0.2,107,1013.1,65.9,0.0,0.1,11.3
2023-06-02T12:22:17-04:00,11.3,200,S54,4.1,146, ,41º 19.817 N,71º 25.230 W,2.3,150,5.8,0.2,108,1013.0,65.7,0.0,0.1,11.3
2023-06-02T13:57:16-04:00,10.7,199,P52,4.5,251, ,41º 14.464 N,71º 20.412 W,2.6,151,5.6,0.2,185,1012.8,60.9,0.0,0.0,12.3
2023-06-02T15:17:52-04:00,11.7,197,S41,3.8,157, ,41º 12.620 N,71º 27.736 W,2.4,148,5.7,0.2,195,1012.1,61.4,0.0,0.0,13.3
2023-06-02T17:41:00-04:00,10.8,197,S52,3.8,145, ,41º 04.384 N,71º 23.011 W,2.4,143,6.0,0.2,231,1011.3,61.9,0.0,0.0,13.2
2023-06-02T18:17:45-04:00,10.2,195,P47,3.9,242, ,41º 02.503 N,71º 21.257 W,2.4,142,6.1,0.2,237,1011.6,61.6,0.0,0.0,11.1
2023-06-02T21:03:07-04:00,8.9,194,P49,2.7,242, ,40º 57.510 N,71º 33.904 W,2.4,140,6.2,0.2,227,1012.6,61.1,0.0,0.0,8.9
2023-06-03T01:00:02-04:00,5.7,211,P58,3.2,268, ,40º 52.517 N,71º 46.551 W,2.2,135,6.5,0.4,215,1012.1,60.5,0.1,0.0,10.8
2023-06-03T05:37:10-04:00,5.9,207,P60,3.4,267, ,40º 52.022 N,72º 06.086 W,2.8,96,5.2,0.3,238,1012.6,56.6,0.0,0.0,23.7
2023-06-03T08:28:10-04:00,5.7,175,P84,3.9,259, ,40º 51.498 N,72º 18.814 W,3.5,71,4.4,0.1,230,1014.4,55.4,0.2,0.0,26.2
2023-06-03T09:55:40-04:00,5.7,160,P92,3.9,252, ,40º 50.375 N,72º 26.114 W,3.9,69,4.6,0.1,239,1015.0,55.0,0.3,0.0,26.4
2023-06-03T13:08:15-04:00,8.6,116,P116,5.3,232, ,40º 46.548 N,72º 41.673 W,4.1,76,5.0,0.3,243,1016.3,55.4,0.2,0.0,24.9
2023-06-03T13:53:01-04:00,10.5,105,P140,5.5,243, ,40º 44.114 N,72º 45.838 W,3.9,77,5.1,0.3,238,1016.5,55.5,0.3,0.0,24.8
2023-06-03T16:55:10-04:00,15.6,104,P148,6.9,252, ,40º 35.992 N,73º 08.347 W,4.8,79,5.3,0.4,251,1017.1,57.5,0.0,0.0,23.5
