,Route,Start Time,Start,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,End
,GFS,2023-06-02T15:00:00-04:00,41 20.388N 71 23.850W,40 52.602N 71 46.692W,40 51.396N 72 45.552W,40 42.348N 73 20.796W,39 32.160N 72 53.442W,39 16.956N 74 42.552W,38 10.116N 73 51.750W,37 58.848N 74 59.586W,37 32.316N 75 47.412W,37 2.088N 76 4.668W,37 10.032N 75 59.112W,37 34.296N 76 1.974W,37 49.734N 75 59.646W,38 2.292N 76 20.394W,38 13.830N 76 2.730W,38 17.544N 76 24.276W,38 32.916N 76 25.362W,38 53.982N 76 26.202W,38 58.638N 76 19.836W
,Polar,Polar Speed Adjustment,Motoring,Ocean Current,TWS Scale Factor,TWD Adjustment
,"Upwind 50°: 5.0, 90°: 10.0, Downwind 160°: 6.0","Upwind: 100, Downwind: 100",False,Mercator,100%,0°
Time,TWS (kts),TWD (° true),TWA,SOG (kts),COG (° true),Motoring,Latitude,Longitude,Wave Height (ft),Wave Dir (° true),Wave Period (s),Current Speed (kts),Current Dir (° true),Pressure (hPa),Temperature (° F),Rain (mm/hr),CAPE (kJ/kg),Gust (kts)
2023-06-02T15:00:00-04:00,9.3,205,P61,3.6,266, ,41º 20.388 N,71º 23.849 W,2.3,154,5.5,0.2,111,1012.1,65.3,0.0,0.1,12.3
2023-06-02T16:30:52-04:00,8.7,222,S51,3.4,170, ,41º 19.985 N,71º 31.126 W,2.1,151,5.7,0.2,115,1011.7,65.1,0.1,0.1,13.6
2023-06-02T18:33:42-04:00,7.3,239,S58,3.4,181, ,41º 13.060 N,71º 29.537 W,2.3,148,5.8,0.2,202,1012.0,62.4,0.0,0.0,9.8
2023-06-02T19:25:13-04:00,5.9,266,S68,3.4,198, ,41º 10.177 N,71º 29.631 W,2.3,147,5.8,0.3,217,1012.3,62.3,0.0,0.0,7.0
2023-06-02T20:07:43-04:00,4.8,306,S87,3.2,219, ,41º 07.875 N,71º 30.614 W,2.4,146,5.8,0.3,229,1012.6,62.0,0.0,0.0,5.1
2023-06-02T23:27:29-04:00,4.9,332,S93,3.6,239, ,40º 59.696 N,71º 39.507 W,2.3,139,6.3,0.2,209,1012.6,60.7,0.1,0.0,6.1
2023-06-03T00:54:15-04:00,9.2,37,P153,4.7,190, ,40º 56.981 N,71º 45.497 W,2.2,136,6.4,0.3,209,1012.2,60.5,0.1,0.0,12.3
2023-06-03T01:52:54-04:00,10.5,43,S144,5.9,259, ,40º 52.517 N,71º 46.551 W,2.2,134,6.5,0.4,217,1011.9,60.1,0.1,0.0,13.8
2023-06-03T03:32:47-04:00,15.1,49,S146,7.1,263, ,40º 50.552 N,71º 59.326 W,2.4,117,5.8,0.3,248,1012.0,58.5,0.1,0.0,18.0
2023-06-03T05:21:07-04:00,18.7,50,S148,6.8,262, ,40º 49.037 N,72º 16.171 W,2.5,108,5.5,0.1,223,1012.4,57.3,0.0,0.0,22.2
