,Route,Start Time,Start,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,End
,UKMO,2023-06-02T15:00:00-04:00,41 20.388N 71 23.850W,40 52.602N 71 46.692W,40 51.396N 72 45.552W,40 42.348N 73 20.796W,39 32.160N 72 53.442W,39 16.956N 74 42.552W,38 10.116N 73 51.750W,37 58.848N 74 59.586W,37 32.316N 75 47.412W,37 2.088N 76 4.668W,37 10.032N 75 59.112W,37 34.296N 76 1.974W,37 49.734N 75 59.646W,38 2.292N 76 20.394W,38 13.830N 76 2.730W,38 17.544N 76 24.276W,38 32.916N 76 25.362W,38 53.982N 76 26.202W,38 58.638N 76 19.836W
,Polar,Polar Speed Adjustment,Motoring,Ocean Current,TWS Scale Factor,TWD Adjustment
,"Upwind 50°: 5.0, 90°: 10.0, Downwind 160°: 6.0","Upwind: 100, Downwind: 100",False,Mercator,100%,0°
Time,TWS (kts),TWD (° true),TWA,SOG (kts),COG (° true),Motoring,Latitude,Longitude,Wave Height (ft),Wave Dir (° true),Wave Period (s),Current Speed (kts),Current Dir (° true),Pressure (hPa),Temperature (° F),Rain (mm/hr),CAPE (kJ/kg),Gust (kts)
2023-06-02T15:00:00-04:00,8.5,217,S54,3.3,163, ,41º 20.388 N,71º 23.849 W,2.3,154,5.5,0.2,111,1012.2,58.7,0.0,0.0,15.6
2023-06-02T16:18:08-04:00,8.0,228,S56,3.4,172, ,41º 16.345 N,71º 22.166 W,2.4,151,5.7,0.1,166,1012.0,57.6,0.0,0.0,13.0
2023-06-02T18:49:02-04:00,10.6,219,P50,4.5,269, ,41º 07.978 N,71º 20.624 W,2.4,145,5.9,0.2,232,1012.4,58.4,0.0,0.0,11.3
2023-06-02T22:08:45-04:00,13.5,225,S41,4.7,183, ,41º 07.772 N,71º 40.604 W,2.1,144,6.0,0.2,243,1012.5,57.9,0.0,0.2,13.5
2023-06-03T00:15:22-04:00,11.8,240,S48,4.3,192, ,40º 57.973 N,71º 41.379 W,2.2,137,6.3,0.3,207,1012.5,58.7,0.0,0.2,11.8
2023-06-03T01:08:45-04:00,10.6,257,S38,4.0,219, ,40º 54.230 N,71º 42.410 W,2.2,135,6.5,0.4,212,1012.5,59.1,0.0,0.4,10.6
2023-06-03T01:34:05-04:00,10.1,306,S48,4.7,259, ,40º 52.939 N,71º 43.814 W,2.2,135,6.5,0.4,216,1012.5,59.2,0.0,0.4,10.1
2023-06-03T02:00:53-04:00,9.0,0,S117,6.1,243, ,40º 52.517 N,71º 46.551 W,2.2,134,6.5,0.4,217,1012.4,59.4,0.0,0.5,9.0
2023-06-03T03:05:45-04:00,12.7,17,S120,7.8,256, ,40º 49.523 N,71º 54.366 W,2.4,120,6.0,0.4,240,1012.7,58.8,2.8,0.3,12.7
2023-06-03T04:14:35-04:00,15.6,36,S127,7.8,267, ,40º 47.408 N,72º 05.783 W,2.4,114,5.6,0.4,243,1012.9,58.8,4.4,0.2,18.0
2023-06-03T07:53:10-04:00,17.3,49,S151,6.7,259, ,40º 46.548 N,72º 41.673 W,2.8,88,4.6,0.2,243,1014.8,58.2,0.0,0.1,24.6
2023-06-03T08:05:44-04:00,17.3,49,P154,6.7,204, ,40º 46.267 N,72º 43.498 W,2.8,89,4.5,0.2,241,1014.9,58.1,0.0,0.1,24.8
2023-06-03T09:35:01-04:00,20.4,53,S154,6.6,259, ,40º 37.208 N,72º 48.788 W,4.1,75,4.6,0.3,251,1015.5,57.9,0.0,0.1,27.3
2023-06-03T10:26:46-04:00,19.0,55,S146,7.0,269, ,40º 36.085 N,72º 56.087 W,4.3,76,4.7,0.3,243,1015.9,57.8,0.0,0.0,27.0
2023-06-03T12:21:21-04:00,15.2,59,S141,7.1,278, ,40º 35.870 N,73º 13.799 W,3.7,83,4.8,0.3,253,1016.3,59.7,0.0,0.0,22.0
2023-06-03T13:05:17-04:00,13.3,59,S41,3.6,18, ,40º 36.619 N,73º 20.583 W,3.1,87,4.7,,,1016.4,61.1,0.0,0.0,20.3
2023-06-03T13:25:31-04:00,12.8,57,P141,6.0,198, ,40º 37.770 N,73º 20.092 W,3.0,88,4.7,,,1016.5,61.8,0.0,0.0,20.4
2023-06-03T13:37:33-04:00,12.9,59,P104,9.0,162, ,40º 36.619 N,73º 20.583 W,3.2,87,4.8,,,1016.6,61.3,0.0,0.0,19.9
2023-06-03T15:07:35-04:00,19.0,80,P82,9.1,162, ,40º 23.681 N,73º 15.196 W,5.8,74,5.4,0.3,257,1016.7,58.7,0.0,0.0,26.9
2023-06-03T18:01:43-04:00,25.4,71,P91,10.1,162, ,39º 57.805 N,73º 04.422 W,8.7,57,6.1,0.3,243,1017.0,56.7,0.0,0.0,36.0
2023-06-03T20:43:00-04:00,28.0,67,S158,6.7,268, ,39º 31.929 N,72º 53.648 W,9.9,49,6.6,0.7,224,1017.0,56.5,0.0,0.0,35.3
2023-06-03T21:57:48-04:00,24.4,69,P153,7.3,220, ,39º 31.686 N,73º 04.551 W,9.9,52,6.7,0.7,229,1017.6,56.1,0.0,0.0,34.7
