,Route,Start Time,Start,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,End
,PWE,2023-06-02T15:00:00-04:00,41 20.388N 71 23.850W,40 52.602N 71 46.692W,40 51.396N 72 45.552W,40 42.348N 73 20.796W,39 32.160N 72 53.442W,39 16.956N 74 42.552W,38 10.116N 73 51.750W,37 58.848N 74 59.586W,37 32.316N 75 47.412W,37 2.088N 76 4.668W,37 10.032N 75 59.112W,37 34.296N 76 1.974W,37 49.734N 75 59.646W,38 2.292N 76 20.394W,38 13.830N 76 2.730W,38 17.544N 76 24.276W,38 32.916N 76 25.362W,38 53.982N 76 26.202W,38 58.638N 76 19.836W
,Polar,Polar Speed Adjustment,Motoring,Ocean Current,TWS Scale Factor,TWD Adjustment
,"Upwind 50°: 5.0, 90°: 10.0, Downwind 160°: 6.0","Upwind: 100, Downwind: 100",False,Mercator,100%,0°
Time,TWS (kts),TWD (° true),TWA,SOG (kts),COG (° true),Motoring,Latitude,Longitude,Wave Height (ft),Wave Dir (° true),Wave Period (s),Current Speed (kts),Current Dir (° true),Pressure (hPa),Temperature (° F),Rain (mm/hr),CAPE (kJ/kg),Gust (kts)
2023-06-02T15:00:00-04:00,11.1,194,P53,3.6,247, ,41º 20.388 N,71º 23.849 W,2.4,154,5.4,0.2,111,1012.0,59.8,0.0,0.0,16.5
2023-06-02T19:14:38-04:00,5.2,199,P57,3.3,256, ,41º 14.267 N,71º 42.661 W,2.0,146,5.8,0.1,282,1011.7,60.5,0.0,0.0,8.0
2023-06-02T21:31:32-04:00,6.6,201,S49,2.5,153, ,41º 12.433 N,71º 52.255 W,1.8,139,6.1,0.1,209,1011.6,60.5,0.0,0.1,6.9
2023-06-03T03:33:30-04:00,2.8,170,P11,1.7,181, ,40º 59.134 N,71º 43.157 W,2.7,101,5.4,0.3,215,1012.0,59.0,0.2,0.1,18.2
2023-06-03T04:25:31-04:00,2.6,82,P138,1.8,219, ,40º 57.693 N,71º 43.204 W,2.9,87,4.8,0.4,218,1012.2,59.0,0.2,0.1,24.7
2023-06-03T06:52:24-04:00,5.0,65,P105,2.4,170, ,40º 54.249 N,71º 46.948 W,4.5,62,4.6,0.4,223,1013.5,57.3,0.1,0.1,31.1
2023-06-03T07:37:17-04:00,5.7,71,S173,4.5,259, ,40º 52.517 N,71º 46.551 W,5.2,56,4.7,0.4,227,1013.9,56.7,0.1,0.1,32.5
2023-06-03T09:47:50-04:00,10.9,47,S148,5.8,259, ,40º 50.552 N,71º 59.326 W,5.9,60,4.9,0.5,249,1015.2,56.3,0.0,0.0,33.1
2023-06-03T11:37:12-04:00,15.1,58,P155,6.7,213, ,40º 48.447 N,72º 13.013 W,5.8,66,5.2,0.4,238,1015.9,56.6,0.0,0.0,30.4
2023-06-03T12:12:38-04:00,16.8,57,S142,7.2,274, ,40º 45.143 N,72º 15.844 W,6.2,65,5.3,0.4,241,1016.0,56.7,0.0,0.0,30.9
2023-06-03T15:00:45-04:00,18.0,66,P153,6.7,219, ,40º 46.548 N,72º 41.673 W,4.6,79,5.4,0.3,243,1016.2,60.5,0.0,0.0,26.0
2023-06-03T17:20:48-04:00,23.7,62,S147,7.3,275, ,40º 34.494 N,72º 54.778 W,6.4,76,5.9,0.4,243,1016.4,58.4,0.0,0.0,29.7
2023-06-03T19:47:57-04:00,20.9,47,S114,8.6,293, ,40º 36.179 N,73º 18.782 W,4.7,87,5.7,,,1017.2,59.7,0.0,0.0,25.7
2023-06-03T20:00:52-04:00,20.2,45,P34,3.4,79, ,40º 36.909 N,73º 21.028 W,4.2,89,5.6,,,1017.3,59.7,0.0,0.0,24.5
2023-06-03T20:13:36-04:00,20.2,44,S42,4.2,1, ,40º 37.050 N,73º 20.115 W,4.3,88,5.6,,,1017.4,59.5,0.0,0.0,24.5
2023-06-03T20:24:08-04:00,19.7,42,P150,6.6,192, ,40º 37.770 N,73º 20.092 W,4.1,89,5.6,,,1017.5,59.3,0.0,0.0,23.7
