,Route,Start Time,Start,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,End
,PWG,2023-06-02T15:00:00-04:00,41 20.388N 71 23.850W,40 52.602N 71 46.692W,40 51.396N 72 45.552W,40 42.348N 73 20.796W,39 32.160N 72 53.442W,39 16.956N 74 42.552W,38 10.116N 73 51.750W,37 58.848N 74 59.586W,37 32.316N 75 47.412W,37 2.088N 76 4.668W,37 10.032N 75 59.112W,37 34.296N 76 1.974W,37 49.734N 75 59.646W,38 2.292N 76 20.394W,38 13.830N 76 2.730W,38 17.544N 76 24.276W,38 32.916N 76 25.362W,38 53.982N 76 26.202W,38 58.638N 76 19.836W
,Polar,Polar Speed Adjustment,Motoring,Ocean Current,TWS Scale Factor,TWD Adjustment
,"Upwind 50°: 5.0, 90°: 10.0, Downwind 160°: 6.0","Upwind: 100, Downwind: 100",False,Mercator,100%,0°
Time,TWS (kts),TWD (° true),TWA,SOG (kts),COG (° true),Motoring,Latitude,Longitude,Wave Height (ft),Wave Dir (° true),Wave Period (s),Current Speed (kts),Current Dir (° true),Pressure (hPa),Temperature (° F),Rain (mm/hr),CAPE (kJ/kg),Gust (kts)
2023-06-02T15:00:00-04:00,11.2,199,P50,4.0,248, ,41º 20.388 N,71º 23.849 W,2.4,154,5.4,0.2,111,1012.5,65.5,0.0,0.0,11.2
2023-06-02T17:02:54-04:00,11.4,197,P50,4.4,247, ,41º 17.402 N,71º 33.934 W,2.2,151,5.5,0.1,115,1011.4,63.6,0.0,0.0,13.9
2023-06-02T19:01:22-04:00,8.6,191,P67,4.2,258, ,41º 13.987 N,71º 44.486 W,2.0,146,5.8,0.1,274,1012.6,63.1,0.0,0.0,8.6
2023-06-02T19:41:42-04:00,8.9,212,S58,3.9,153, ,41º 13.425 N,71º 48.136 W,1.9,143,5.9,0.1,248,1012.9,63.1,0.0,0.0,8.9
2023-06-02T21:12:07-04:00,7.4,198,P49,2.5,248, ,41º 08.222 N,71º 44.675 W,2.1,143,6.0,0.2,227,1013.1,62.1,0.0,0.0,7.4
2023-06-02T21:56:55-04:00,6.7,200,S44,2.4,157, ,41º 07.510 N,71º 46.968 W,1.9,141,6.1,0.2,204,1013.0,62.2,0.0,0.0,7.8
2023-06-03T01:43:29-04:00,2.5,114,P128,2.0,241, ,40º 59.275 N,71º 42.244 W,2.2,137,6.4,0.3,207,1013.1,58.8,0.1,0.0,22.6
2023-06-03T02:55:42-04:00,3.3,86,P134,3.0,219, ,40º 58.133 N,71º 45.005 W,2.4,116,5.8,0.3,214,1013.5,57.8,0.2,0.0,25.0
2023-06-03T03:28:45-04:00,3.9,79,P103,3.4,181, ,40º 56.841 N,71º 46.409 W,2.6,106,5.5,0.3,217,1013.6,57.4,0.2,0.0,25.3
2023-06-03T04:44:00-04:00,5.7,69,S171,4.1,259, ,40º 52.517 N,71º 46.551 W,2.9,89,4.8,0.4,222,1013.9,56.4,0.3,0.0,26.6
2023-06-03T06:46:17-04:00,11.8,54,S155,5.8,259, ,40º 50.833 N,71º 57.501 W,4.2,69,4.7,0.4,245,1015.2,55.9,0.2,0.0,29.2
2023-06-03T08:20:30-04:00,15.0,55,S151,6.6,264, ,40º 49.009 N,72º 09.363 W,4.7,65,4.6,0.3,240,1016.3,55.7,0.1,0.0,30.2
2023-06-03T10:11:44-04:00,18.5,61,S157,6.3,264, ,40º 47.778 N,72º 25.518 W,4.6,71,4.8,0.1,240,1017.5,55.3,0.2,0.0,28.8
2023-06-03T12:08:20-04:00,17.4,61,P158,6.5,220, ,40º 46.548 N,72º 41.673 W,4.2,79,5.1,0.3,243,1018.1,56.2,0.1,0.0,26.1
2023-06-03T14:17:55-04:00,22.9,61,S154,6.8,267, ,40º 35.785 N,72º 53.374 W,5.7,75,5.5,0.4,242,1018.1,57.6,0.0,0.0,24.8
2023-06-03T15:22:13-04:00,22.7,59,S144,7.4,274, ,40º 35.393 N,73º 02.920 W,5.3,80,5.5,0.4,252,1018.0,59.4,0.0,0.0,22.8
2023-06-03T16:15:16-04:00,22.0,54,S136,7.6,278, ,40º 35.861 N,73º 11.529 W,4.7,84,5.5,0.3,252,1017.7,61.6,0.0,0.0,22.0
2023-06-03T17:12:35-04:00,20.2,48,P30,3.0,79, ,40º 36.909 N,73º 21.028 W,3.5,91,5.3,,,1017.4,63.8,0.0,0.0,20.2
2023-06-03T17:26:45-04:00,20.3,48,S46,4.6,1, ,40º 37.050 N,73º 20.115 W,3.6,90,5.3,,,1017.5,63.5,0.0,0.0,20.3
2023-06-03T17:36:23-04:00,19.9,46,P145,6.8,192, ,40º 37.770 N,73º 20.092 W,3.5,91,5.3,,,1017.5,63.7,0.0,0.0,19.9
