,Route,Start Time,Start,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,End
,SPIRE,2023-06-02T18:00:00-04:00,41 20.388N 71 23.850W,40 52.602N 71 46.692W,40 51.396N 72 45.552W,40 42.348N 73 20.796W,39 32.160N 72 53.442W,39 16.956N 74 42.552W,38 10.116N 73 51.750W,37 58.848N 74 59.586W,37 32.316N 75 47.412W,37 2.088N 76 4.668W,37 10.032N 75 59.112W,37 34.296N 76 1.974W,37 49.734N 75 59.646W,38 2.292N 76 20.394W,38 13.830N 76 2.730W,38 17.544N 76 24.276W,38 32.916N 76 25.362W,38 53.982N 76 26.202W,38 58.638N 76 19.836W
,Polar,Polar Speed Adjustment,Motoring,Ocean Current,TWS Scale Factor,TWD Adjustment
,"Upwind 50°: 5.0, 90°: 10.0, Downwind 160°: 6.0","Upwind: 100, Downwind: 100",False,Mercator,100%,0°
Time,TWS (kts),TWD (° true),TWA,SOG (kts),COG (° true),Motoring,Latitude,Longitude,Wave Height (ft),Wave Dir (° true),Wave Period (s),Current Speed (kts),Current Dir (° true),Pressure (hPa),Temperature (° F),Rain (mm/hr),CAPE (kJ/kg),Gust (kts)
2023-06-02T18:00:00-04:00,7.8,213,S53,3.1,160, ,41º 20.388 N,71º 23.849 W,2.2,151,5.6,0.1,117,1011.9,59.5,0.0,0.0,12.4
2023-06-02T19:30:47-04:00,7.9,224,S54,3.3,170, ,41º 16.054 N,71º 21.722 W,2.3,150,5.7,0.1,197,1012.4,58.8,0.0,0.1,12.2
2023-06-02T20:34:32-04:00,8.9,230,S48,4.6,181, ,41º 12.592 N,71º 20.927 W,2.3,148,5.8,0.3,227,1012.5,59.0,0.0,0.1,11.8
2023-06-02T21:49:15-04:00,10.2,295,S76,6.8,219, ,41º 06.826 N,71º 21.116 W,2.3,144,6.0,0.2,241,1012.5,58.3,0.0,0.3,10.2
2023-06-02T22:18:54-04:00,10.6,354,S117,6.3,237, ,41º 04.243 N,71º 23.924 W,2.3,142,6.1,0.2,242,1012.6,58.0,0.0,0.4,10.6
2023-06-02T22:46:30-04:00,11.2,15,S127,5.8,248, ,41º 02.671 N,71º 27.154 W,2.3,141,6.2,0.3,242,1012.6,57.7,0.0,0.4,11.2
2023-06-03T01:20:31-04:00,11.8,41,P149,5.4,190, ,40º 56.981 N,71º 45.497 W,2.2,136,6.4,0.3,211,1012.5,59.7,0.0,0.4,11.8
2023-06-03T02:10:51-04:00,10.4,40,S142,5.6,259, ,40º 52.517 N,71º 46.551 W,2.2,131,6.4,0.4,217,1012.5,59.4,0.6,0.5,10.4
2023-06-03T03:57:24-04:00,12.2,42,S143,6.4,259, ,40º 50.552 N,71º 59.326 W,2.5,113,5.6,0.3,248,1012.9,58.6,4.8,0.2,17.4
2023-06-03T05:29:19-04:00,14.1,40,S135,7.4,265, ,40º 48.587 N,72º 12.100 W,2.7,102,5.3,0.3,229,1013.4,58.2,4.1,0.1,21.5
2023-06-03T08:28:17-04:00,17.0,38,S151,6.7,247, ,40º 46.548 N,72º 41.673 W,3.0,85,4.5,0.2,244,1015.1,58.0,0.0,0.1,25.1
2023-06-03T11:04:43-04:00,15.5,44,S149,6.5,255, ,40º 39.716 N,73º 02.778 W,3.5,79,4.5,,,1016.2,58.9,0.0,0.0,24.1
2023-06-03T12:50:54-04:00,15.0,51,S138,7.3,273, ,40º 36.750 N,73º 17.401 W,3.4,85,4.7,,,1016.4,60.6,0.0,0.0,20.9
2023-06-03T13:13:43-04:00,14.5,53,P26,2.5,79, ,40º 36.909 N,73º 21.028 W,3.0,87,4.7,,,1016.5,61.3,0.0,0.0,20.2
2023-06-03T13:31:03-04:00,14.5,53,S52,5.0,1, ,40º 37.050 N,73º 20.115 W,3.1,87,4.8,,,1016.5,61.5,0.0,0.0,20.2
2023-06-03T13:39:54-04:00,14.3,53,P145,6.5,198, ,40º 37.770 N,73º 20.092 W,3.0,88,4.8,,,1016.6,61.9,0.0,0.0,20.3
2023-06-03T13:51:04-04:00,14.6,54,P108,9.1,162, ,40º 36.619 N,73º 20.583 W,3.2,87,4.8,,,1016.6,61.4,0.0,0.0,19.7
