,Route,Start Time,Start,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,End
,ECMWF,2023-06-02T06:00:00-04:00,41 20.388N 71 23.850W,40 52.602N 71 46.692W,40 51.396N 72 45.552W,40 42.348N 73 20.796W,39 32.160N 72 53.442W,39 16.956N 74 42.552W,38 10.116N 73 51.750W,37 58.848N 74 59.586W,37 32.316N 75 47.412W,37 2.088N 76 4.668W,37 10.032N 75 59.112W,37 34.296N 76 1.974W,37 49.734N 75 59.646W,38 2.292N 76 20.394W,38 13.830N 76 2.730W,38 17.544N 76 24.276W,38 32.916N 76 25.362W,38 53.982N 76 26.202W,38 58.638N 76 19.836W
,Polar,Polar Speed Adjustment,Motoring,Ocean Current,TWS Scale Factor,TWD Adjustment
,"Upwind 50°: 5.0, 90°: 10.0, Downwind 160°: 6.0","Upwind: 100, Downwind: 100",False,Mercator,100%,0°
Time,TWS (kts),TWD (° true),TWA,SOG (kts),COG (° true),Motoring,Latitude,Longitude,Wave Height (ft),Wave Dir (° true),Wave Period (s),Current Speed (kts),Current Dir (° true),Pressure (hPa),Temperature (° F),Rain (mm/hr),CAPE (kJ/kg),Gust (kts)
2023-06-02T06:00:00-04:00,6.5,250,S79,3.0,172, ,41º 20.388 N,71º 23.849 W,2.3,142,6.5,0.3,105,1014.3,59.5,0.0,0.0,8.4
2023-06-02T09:57:28-04:00,8.3,215,P44,3.3,258, ,41º 08.558 N,71º 21.513 W,2.6,140,6.3,0.2,185,1014.0,57.2,0.0,0.0,11.3
2023-06-02T13:08:00-04:00,10.6,207,P51,4.0,258, ,41º 06.452 N,71º 35.200 W,2.5,143,5.9,0.2,239,1012.9,59.0,0.0,0.0,13.9
2023-06-02T16:05:00-04:00,9.6,210,S48,3.6,163, ,41º 04.066 N,71º 50.713 W,2.3,144,5.7,0.2,158,1012.0,59.1,0.0,0.0,12.3
2023-06-02T18:42:15-04:00,8.9,229,S55,3.7,173, ,40º 54.970 N,71º 46.925 W,2.5,140,6.0,0.3,190,1011.8,59.6,0.0,0.0,11.5
2023-06-02T19:22:24-04:00,8.6,234,P53,3.4,287, ,40º 52.517 N,71º 46.551 W,2.5,139,6.1,0.3,201,1011.9,60.0,0.0,0.0,11.0
2023-06-02T22:13:13-04:00,7.9,241,S59,3.6,181, ,40º 55.307 N,71º 58.716 W,2.2,138,6.2,0.1,204,1011.9,58.7,0.0,0.1,10.0
2023-06-02T22:49:43-04:00,8.1,249,S49,3.2,201, ,40º 53.144 N,71º 58.787 W,2.3,137,6.3,0.1,224,1012.0,58.6,0.0,0.1,10.5
2023-06-03T00:07:48-04:00,6.9,271,S51,3.6,219, ,40º 49.261 N,72º 00.730 W,2.3,135,6.4,0.3,250,1011.9,58.8,0.0,0.1,9.2
2023-06-03T02:19:30-04:00,7.5,326,S92,5.3,234, ,40º 43.234 N,72º 07.282 W,2.3,130,6.3,0.4,239,1011.6,58.7,0.0,0.1,10.2
2023-06-03T02:38:53-04:00,9.2,348,S90,6.7,259, ,40º 42.233 N,72º 09.131 W,2.3,128,6.2,0.4,237,1011.7,59.0,0.0,0.1,12.2
2023-06-03T03:04:17-04:00,11.1,10,S100,7.5,270, ,40º 41.671 N,72º 12.781 W,2.3,127,6.2,0.4,235,1011.8,59.2,0.0,0.1,14.6
2023-06-03T03:18:04-04:00,12.2,18,S94,8.7,284, ,40º 41.680 N,72º 15.050 W,2.3,126,6.1,0.4,238,1011.8,59.3,0.0,0.1,15.8
2023-06-03T05:45:09-04:00,14.6,48,P152,6.6,201, ,40º 46.548 N,72º 41.673 W,2.2,113,5.7,0.2,240,1012.6,61.6,0.2,0.1,22.1
2023-06-03T06:22:54-04:00,16.8,49,S152,6.6,257, ,40º 42.664 N,72º 43.616 W,2.6,101,5.4,0.2,238,1013.0,60.6,0.4,0.1,22.5
2023-06-03T07:56:22-04:00,18.8,48,S151,6.4,257, ,40º 40.268 N,72º 56.858 W,3.0,83,4.2,0.3,244,1014.0,59.5,0.0,0.1,24.9
2023-06-03T09:59:10-04:00,18.0,57,S155,6.2,262, ,40º 37.312 N,73º 13.751 W,3.3,87,4.4,,,1015.0,59.9,0.0,0.1,24.3
2023-06-03T10:49:36-04:00,17.7,62,S44,4.4,18, ,40º 36.619 N,73º 20.583 W,3.2,87,4.4,,,1015.5,60.0,0.0,0.0,23.6
2023-06-03T11:05:55-04:00,16.6,62,P129,7.8,192, ,40º 37.770 N,73º 20.092 W,3.1,88,4.4,,,1015.6,60.4,0.0,0.0,23.2
2023-06-03T11:20:43-04:00,18.1,64,P98,9.7,162, ,40º 35.899 N,73º 20.606 W,3.4,87,4.5,0.3,243,1015.6,59.9,0.0,0.0,23.5
2023-06-03T14:10:25-04:00,24.4,55,P107,9.1,162, ,40º 10.310 N,73º 09.823 W,7.0,65,5.6,0.3,253,1015.7,58.0,0.0,0.0,32.1
2023-06-03T18:37:07-04:00,27.2,51,S152,7.2,259, ,39º 31.929 N,72º 53.648 W,10.0,50,6.6,0.7,225,1015.5,57.0,0.0,0.0,36.4
2023-06-03T19:06:51-04:00,27.3,52,P161,6.8,213, ,39º 31.227 N,72º 58.210 W,10.2,52,6.6,0.7,226,1015.7,56.9,0.0,0.0,36.4
2023-06-03T19:42:14-04:00,27.3,54,S155,7.0,259, ,39º 27.923 N,73º 01.042 W,10.4,52,6.7,0.7,228,1015.9,56.8,0.0,0.0,36.4
2023-06-03T21:51:27-04:00,26.2,54,S155,7.0,259, ,39º 24.976 N,73º 20.204 W,10.3,56,6.9,0.7,237,1017.0,56.2,0.0,0.0,34.3
2023-06-03T23:48:24-04:00,23.2,52,S154,7.1,259, ,39º 22.309 N,73º 37.541 W,9.7,60,7.0,0.6,232,1017.4,55.8,0.0,0.0,30.2
2023-06-04T01:49:30-04:00,20.5,49,S150,7.4,259, ,39º 19.502 N,73º 55.790 W,8.7,62,7.0,0.8,212,1017.1,56.1,0.0,0.0,26.5
2023-06-04T03:46:22-04:00,19.7,42,S142,7.7,260, ,39º 16.695 N,74º 14.040 W,7.3,65,6.8,0.6,215,1016.7,56.7,0.0,0.0,25.6
2023-06-04T05:29:42-04:00,15.6,32,S118,8.3,275, ,39º 14.459 N,74º 30.909 W,5.0,73,6.6,0.3,214,1016.6,56.9,0.0,0.0,20.9
2023-06-04T05:57:35-04:00,11.5,23,P107,8.1,130, ,39º 14.768 N,74º 35.893 W,4.2,75,6.5,0.3,210,1016.8,55.9,0.0,0.0,17.0
2023-06-04T06:24:22-04:00,15.3,24,P129,7.8,153, ,39º 12.446 N,74º 32.336 W,4.9,71,6.6,0.3,215,1016.8,56.7,0.0,0.0,20.5
2023-06-04T08:11:42-04:00,17.9,16,P137,8.1,153, ,38º 59.929 N,74º 24.212 W,6.6,60,6.7,0.6,209,1017.0,56.9,0.0,0.0,23.1
2023-06-04T09:55:09-04:00,18.5,21,P132,8.1,153, ,38º 47.413 N,74º 16.088 W,7.1,55,6.8,1.1,217,1016.8,56.6,0.0,0.0,24.0
2023-06-04T11:38:56-04:00,18.6,21,P132,8.2,153, ,38º 34.895 N,74º 07.963 W,7.3,51,6.8,0.8,225,1016.3,56.4,0.0,0.0,24.2
2023-06-04T13:22:14-04:00,18.0,22,P131,7.8,153, ,38º 22.379 N,73º 59.839 W,7.6,46,6.8,0.8,227,1015.7,57.7,0.0,0.0,23.7
2023-06-04T15:10:00-04:00,15.2,12,S123,6.6,249, ,38º 09.862 N,73º 51.715 W,7.6,43,6.9,0.7,230,1015.0,59.6,0.0,0.0,21.0
2023-06-04T17:19:12-04:00,7.4,36,S136,4.5,259, ,38º 04.743 N,74º 08.678 W,6.7,50,7.0,0.9,216,1014.6,59.9,0.0,0.0,11.1
2023-06-04T20:13:24-04:00,5.6,61,S173,3.0,249, ,38º 02.216 N,74º 25.103 W,5.8,56,7.1,1.0,215,1014.0,61.1,0.0,0.0,8.6
2023-06-04T21:31:26-04:00,4.8,39,S140,3.3,259, ,38º 00.794 N,74º 29.689 W,5.5,57,7.1,1.1,209,1014.5,60.8,0.0,0.0,7.4
2023-06-05T00:53:54-04:00,3.5,43,S130,1.8,273, ,37º 58.688 N,74º 43.376 W,4.7,60,7.2,0.9,207,1014.1,60.4,0.0,0.0,5.6
2023-06-05T02:27:02-04:00,1.9,41,S142,1.4,259, ,37º 58.848 N,74º 47.002 W,4.5,62,7.2,0.7,207,1013.5,60.3,0.0,0.0,3.9
2023-06-05T05:59:44-04:00,2.9,202,P68,2.1,270, ,37º 57.865 N,74º 53.389 W,4.3,62,7.5,0.6,202,1013.1,60.8,0.0,0.0,5.0
2023-06-05T06:51:03-04:00,4.0,207,P83,2.9,290, ,37º 57.875 N,74º 55.659 W,4.2,62,7.5,0.6,202,1013.0,61.0,0.0,0.0,6.1
2023-06-05T08:02:00-04:00,5.1,210,P42,2.7,251, ,37º 59.045 N,74º 59.706 W,4.1,63,7.6,0.5,204,1013.0,61.2,0.0,0.0,7.2
2023-06-05T11:01:36-04:00,6.5,192,P48,3.3,239, ,37º 56.490 N,75º 09.322 W,3.4,66,7.6,0.4,205,1011.7,61.7,0.0,0.0,8.6
2023-06-05T12:19:04-04:00,8.0,172,P72,4.6,244, ,37º 54.347 N,75º 13.932 W,3.0,68,7.5,0.3,205,1010.7,63.0,0.0,0.0,10.7
2023-06-05T14:05:02-04:00,7.7,190,P75,3.7,265, ,37º 50.781 N,75º 23.127 W,2.1,74,7.3,0.1,211,1009.4,67.3,0.0,0.0,11.0
2023-06-05T14:58:05-04:00,7.0,246,S48,2.8,199, ,37º 50.510 N,75º 27.221 W,1.6,78,6.8,0.1,210,1009.0,71.3,0.0,0.0,12.7
2023-06-05T15:50:47-04:00,7.2,267,S90,4.5,178, ,37º 48.208 N,75º 28.205 W,1.8,74,7.0,0.1,210,1008.8,71.5,0.0,0.0,12.9
2023-06-05T17:01:34-04:00,6.1,245,S91,3.3,154, ,37º 42.873 N,75º 27.926 W,2.5,69,7.6,0.2,202,1008.7,67.8,0.0,0.0,8.9
2023-06-05T19:54:51-04:00,7.1,199,P52,3.2,251, ,37º 34.347 N,75º 22.757 W,3.3,62,7.8,0.3,194,1008.8,65.2,0.0,0.0,8.5
2023-06-05T21:36:50-04:00,8.8,196,P63,4.3,259, ,37º 32.644 N,75º 29.168 W,2.8,65,7.7,0.2,191,1009.0,65.6,0.0,0.0,10.6
2023-06-05T23:09:25-04:00,8.5,195,S48,2.4,147, ,37º 31.381 N,75º 37.380 W,2.3,70,7.6,0.1,196,1009.1,66.6,0.0,0.0,10.4
2023-06-06T03:11:46-04:00,5.5,321,S94,3.1,227, ,37º 23.425 N,75º 30.832 W,2.9,67,7.9,0.2,189,1007.8,64.7,0.0,0.0,6.5
2023-06-06T06:00:53-04:00,4.8,34,P153,2.4,188, ,37º 17.548 N,75º 38.741 W,2.5,76,7.6,0.1,175,1007.4,64.2,0.0,0.0,5.7
2023-06-06T07:26:13-04:00,3.5,116,P96,2.0,212, ,37º 14.235 N,75º 39.303 W,2.6,79,7.5,0.1,169,1007.3,63.9,0.0,0.0,4.3
2023-06-06T08:51:42-04:00,2.9,166,P77,1.3,243, ,37º 11.792 N,75º 41.200 W,2.5,81,7.4,0.1,153,1007.2,64.2,0.0,0.0,3.6
2023-06-06T09:47:06-04:00,2.8,224,S37,1.7,187, ,37º 11.221 N,75º 42.580 W,2.4,82,7.4,0.1,141,1007.1,64.7,0.0,0.0,3.4
2023-06-06T12:14:58-04:00,4.3,245,P36,2.1,282, ,37º 07.188 N,75º 43.165 W,2.5,76,7.8,0.3,145,1006.4,65.6,0.0,0.0,5.1
2023-06-06T14:02:15-04:00,5.1,195,P64,3.3,259, ,37º 07.927 N,75º 47.681 W,1.8,77,7.8,0.3,122,1005.5,66.9,0.0,0.0,6.3
2023-06-06T14:56:23-04:00,6.9,163,P73,4.4,236, ,37º 07.366 N,75º 51.331 W,1.3,82,7.6,0.3,118,1004.9,67.6,0.0,0.0,9.0
2023-06-06T15:44:43-04:00,8.8,143,P99,5.6,243, ,37º 05.363 N,75º 55.028 W,1.2,87,7.0,0.3,122,1004.4,67.4,0.0,0.0,11.1
2023-06-06T16:24:22-04:00,10.9,136,P114,6.6,250, ,37º 03.650 N,75º 59.170 W,1.2,91,6.3,0.2,148,1003.9,67.7,0.0,0.0,13.8
2023-06-06T17:06:47-04:00,13.0,132,S82,7.8,50, ,37º 02.088 N,76º 04.667 W,1.1,91,6.0,0.1,177,1003.4,68.8,0.0,0.2,16.2
2023-06-06T17:29:06-04:00,13.3,142,S118,7.2,24, ,37º 03.950 N,76º 01.883 W,1.1,101,5.4,0.1,158,1003.6,68.1,0.1,0.1,16.7
2023-06-06T18:08:33-04:00,12.2,149,S108,7.2,41, ,37º 08.264 N,75º 59.473 W,0.9,129,4.1,0.2,134,1003.9,68.6,0.1,0.3,15.7
2023-06-06T18:13:18-04:00,11.9,148,P153,5.0,301, ,37º 08.695 N,75º 59.004 W,0.9,129,4.1,0.2,133,1004.0,68.6,0.1,0.3,15.5
2023-06-06T19:03:30-04:00,11.9,153,S152,5.0,1, ,37º 10.876 N,76º 03.472 W,0.9,146,2.9,0.1,160,1004.1,68.9,0.1,0.5,15.4
