,Route,Start Time,Start,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,End
,GFS,2023-06-02T06:00:00-04:00,41 20.388N 71 23.850W,40 52.602N 71 46.692W,40 51.396N 72 45.552W,40 42.348N 73 20.796W,39 32.160N 72 53.442W,39 16.956N 74 42.552W,38 10.116N 73 51.750W,37 58.848N 74 59.586W,37 32.316N 75 47.412W,37 2.088N 76 4.668W,37 10.032N 75 59.112W,37 34.296N 76 1.974W,37 49.734N 75 59.646W,38 2.292N 76 20.394W,38 13.830N 76 2.730W,38 17.544N 76 24.276W,38 32.916N 76 25.362W,38 53.982N 76 26.202W,38 58.638N 76 19.836W
,Polar,Polar Speed Adjustment,Motoring,Ocean Current,TWS Scale Factor,TWD Adjustment
,"Upwind 50°: 5.0, 90°: 10.0, Downwind 160°: 6.0","Upwind: 100, Downwind: 100",False,Mercator,100%,0°
Time,TWS (kts),TWD (° true),TWA,SOG (kts),COG (° true),Motoring,Latitude,Longitude,Wave Height (ft),Wave Dir (° true),Wave Period (s),Current Speed (kts),Current Dir (° true),Pressure (hPa),Temperature (° F),Rain (mm/hr),CAPE (kJ/kg),Gust (kts)
2023-06-02T06:00:00-04:00,4.9,236,S76,2.7,160, ,41º 20.388 N,71º 23.849 W,2.3,142,6.5,0.3,105,1014.0,60.4,0.0,0.0,5.0
2023-06-02T07:43:03-04:00,5.2,240,S73,2.6,167, ,41º 16.054 N,71º 21.722 W,2.5,140,6.5,0.2,134,1014.1,60.9,0.0,0.0,5.4
2023-06-02T11:57:56-04:00,7.2,207,P52,3.8,258, ,41º 05.086 N,71º 18.449 W,2.6,141,6.2,0.1,205,1013.9,60.2,0.0,0.0,7.7
2023-06-02T14:55:51-04:00,9.3,188,P60,4.3,248, ,41º 02.840 N,71º 33.049 W,2.6,143,5.9,0.2,220,1012.8,61.4,0.0,0.0,10.3
2023-06-02T16:13:25-04:00,10.5,186,P52,4.1,238, ,41º 00.706 N,71º 39.928 W,2.6,143,5.9,0.2,172,1012.2,61.5,0.0,0.0,12.3
2023-06-02T17:55:13-04:00,8.9,191,S32,2.5,159, ,40º 56.991 N,71º 47.767 W,2.5,142,5.9,0.3,183,1012.2,61.4,0.0,0.0,10.6
2023-06-02T19:22:31-04:00,5.5,242,S44,2.2,198, ,40º 53.668 N,71º 46.060 W,2.5,139,6.1,0.3,197,1013.0,61.4,0.0,0.0,6.2
2023-06-02T19:55:37-04:00,4.5,286,S71,2.4,215, ,40º 52.517 N,71º 46.551 W,2.4,138,6.2,0.3,203,1013.3,61.5,0.0,0.0,4.8
2023-06-02T22:15:30-04:00,3.6,245,P48,2.1,293, ,40º 47.922 N,71º 50.787 W,2.4,135,6.3,0.4,230,1012.9,61.2,0.0,0.0,3.7
2023-06-02T23:09:05-04:00,4.0,157,P102,4.8,259, ,40º 48.652 N,71º 53.033 W,2.3,135,6.3,0.4,235,1012.8,61.1,0.0,0.0,4.2
