,Route,Start Time,Start,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,End
,UKMO,2023-06-02T06:00:00-04:00,41 20.388N 71 23.850W,40 52.602N 71 46.692W,40 51.396N 72 45.552W,40 42.348N 73 20.796W,39 32.160N 72 53.442W,39 16.956N 74 42.552W,38 10.116N 73 51.750W,37 58.848N 74 59.586W,37 32.316N 75 47.412W,37 2.088N 76 4.668W,37 10.032N 75 59.112W,37 34.296N 76 1.974W,37 49.734N 75 59.646W,38 2.292N 76 20.394W,38 13.830N 76 2.730W,38 17.544N 76 24.276W,38 32.916N 76 25.362W,38 53.982N 76 26.202W,38 58.638N 76 19.836W
,Polar,Polar Speed Adjustment,Motoring,Ocean Current,TWS Scale Factor,TWD Adjustment
,"Upwind 50°: 5.0, 90°: 10.0, Downwind 160°: 6.0","Upwind: 100, Downwind: 100",False,Mercator,100%,0°
Time,TWS (kts),TWD (° true),TWA,SOG (kts),COG (° true),Motoring,Latitude,Longitude,Wave Height (ft),Wave Dir (° true),Wave Period (s),Current Speed (kts),Current Dir (° true),Pressure (hPa),Temperature (° F),Rain (mm/hr),CAPE (kJ/kg),Gust (kts)
2023-06-02T06:00:00-04:00,4.8,232,S73,2.4,158, ,41º 20.388 N,71º 23.849 W,2.3,142,6.5,0.3,105,1014.3,59.5,0.0,0.0,8.4
2023-06-02T11:02:31-04:00,5.8,209,P48,2.6,256, ,41º 09.119 N,71º 17.863 W,2.6,141,6.2,0.1,197,1013.8,57.8,0.0,0.0,12.2
2023-06-02T14:57:38-04:00,8.0,202,P55,3.9,257, ,41º 06.724 N,71º 31.106 W,2.6,145,5.8,0.3,222,1012.3,59.3,0.0,0.0,13.4
2023-06-02T17:34:05-04:00,9.4,187,P54,3.8,241, ,41º 04.328 N,71º 44.349 W,2.4,145,5.7,0.2,184,1011.8,59.4,0.1,0.0,11.2
2023-06-02T19:45:51-04:00,10.2,195,S51,4.2,144, ,41º 00.332 N,71º 54.012 W,2.2,141,6.1,0.2,184,1011.6,59.1,0.1,0.0,10.2
2023-06-02T22:05:10-04:00,9.6,205,P61,4.3,266, ,40º 52.517 N,71º 46.551 W,2.4,137,6.2,0.3,208,1012.0,59.3,0.0,0.1,10.9
2023-06-03T00:06:15-04:00,10.1,222,P54,3.7,276, ,40º 51.844 N,71º 57.922 W,2.3,136,6.3,0.2,236,1011.9,58.6,0.0,0.1,10.1
2023-06-03T01:42:10-04:00,8.2,231,S49,3.2,181, ,40º 52.453 N,72º 05.619 W,2.2,135,6.5,0.2,227,1011.7,58.2,0.0,0.1,8.2
2023-06-03T02:49:29-04:00,8.6,232,P47,3.1,278, ,40º 48.849 N,72º 05.737 W,2.3,126,6.1,0.3,240,1011.8,58.3,0.0,0.1,12.0
2023-06-03T03:09:55-04:00,7.9,234,S40,2.8,194, ,40º 48.999 N,72º 07.094 W,2.3,124,6.0,0.3,238,1011.9,58.5,0.0,0.1,13.5
2023-06-03T04:16:39-04:00,6.8,273,S53,4.5,219, ,40º 45.976 N,72º 08.100 W,2.4,116,5.6,0.4,239,1012.1,59.2,0.1,0.1,20.7
2023-06-03T05:08:35-04:00,8.0,356,S97,5.9,259, ,40º 42.962 N,72º 11.377 W,2.6,111,5.5,0.4,236,1012.3,59.7,0.0,0.1,26.0
2023-06-03T05:52:00-04:00,11.7,35,S113,7.3,281, ,40º 42.121 N,72º 16.852 W,3.0,96,5.4,0.4,244,1012.7,59.3,0.0,0.1,27.2
2023-06-03T08:17:54-04:00,13.6,58,S121,7.6,297, ,40º 45.528 N,72º 38.983 W,3.4,81,4.4,0.2,248,1014.4,58.3,0.8,0.1,24.9
2023-06-03T08:35:47-04:00,13.5,54,P146,6.6,200, ,40º 46.548 N,72º 41.673 W,3.3,83,4.5,0.2,244,1014.5,58.5,0.5,0.1,24.8
2023-06-03T09:24:33-04:00,17.7,50,S151,6.7,259, ,40º 41.513 N,72º 44.108 W,3.9,78,4.6,0.2,242,1014.9,58.1,0.5,0.1,26.2
2023-06-03T11:12:06-04:00,17.2,55,S155,6.2,260, ,40º 39.127 N,72º 59.620 W,4.0,80,4.7,0.3,243,1015.7,58.6,0.0,0.0,24.9
2023-06-03T13:18:33-04:00,14.1,62,S157,5.7,265, ,40º 36.890 N,73º 16.489 W,3.7,87,5.0,,,1015.8,61.1,0.0,0.0,21.7
2023-06-03T13:51:32-04:00,13.1,64,S46,4.0,18, ,40º 36.619 N,73º 20.583 W,3.4,89,5.0,,,1015.9,61.9,0.0,0.0,19.8
2023-06-03T14:09:42-04:00,12.6,62,P136,6.2,198, ,40º 37.770 N,73º 20.092 W,3.2,90,5.0,,,1015.9,62.5,0.0,0.0,19.9
2023-06-03T14:21:25-04:00,13.0,65,P97,9.1,162, ,40º 36.619 N,73º 20.583 W,3.4,89,5.1,,,1015.9,61.9,0.0,0.0,19.9
2023-06-03T17:18:52-04:00,22.2,72,P91,9.8,162, ,40º 10.743 N,73º 09.809 W,7.9,67,6.1,0.3,251,1016.0,57.7,0.0,0.0,32.8
2023-06-03T21:31:23-04:00,25.0,53,P157,7.0,210, ,39º 31.929 N,72º 53.648 W,10.6,52,7.0,0.8,224,1016.6,56.4,0.0,0.0,34.7
2023-06-03T22:15:19-04:00,24.8,53,S154,7.1,259, ,39º 27.474 N,72º 56.972 W,10.7,52,7.1,0.8,227,1016.8,56.2,0.0,0.0,33.8
2023-06-04T00:22:54-04:00,24.5,54,S154,7.2,260, ,39º 24.527 N,73º 16.133 W,10.1,55,7.1,0.7,238,1017.0,55.7,0.0,0.0,30.8
2023-06-04T02:31:32-04:00,22.4,51,S152,7.5,259, ,39º 21.869 N,73º 35.740 W,9.0,58,7.1,0.7,233,1016.7,55.6,0.0,0.0,24.9
2023-06-04T04:32:52-04:00,19.4,41,S141,7.7,259, ,39º 18.922 N,73º 54.902 W,7.9,60,6.9,0.8,213,1016.3,56.1,0.0,0.0,24.6
2023-06-04T07:30:01-04:00,15.7,43,S134,7.2,269, ,39º 14.861 N,74º 23.633 W,5.6,66,6.5,0.5,224,1017.0,56.7,0.0,0.0,23.0
2023-06-04T08:49:33-04:00,10.7,40,P112,8.2,152, ,39º 14.768 N,74º 35.893 W,3.7,74,6.4,0.3,210,1017.2,57.7,0.0,0.0,17.3
2023-06-04T10:37:08-04:00,16.6,48,P105,9.7,152, ,39º 01.786 N,74º 27.057 W,5.9,60,6.4,0.5,209,1017.0,56.8,0.0,0.0,22.7
2023-06-04T12:08:02-04:00,14.3,50,P102,8.2,152, ,38º 48.805 N,74º 18.221 W,6.5,56,6.6,1.1,215,1016.4,56.5,0.0,0.0,21.2
2023-06-04T13:55:07-04:00,11.4,54,P98,8.2,152, ,38º 35.824 N,74º 09.386 W,6.8,52,6.7,0.8,223,1015.6,57.1,0.0,0.0,18.5
2023-06-04T15:42:34-04:00,14.6,48,P104,9.7,152, ,38º 22.843 N,74º 00.550 W,6.9,49,6.9,0.8,225,1015.1,58.2,0.0,0.0,14.6
2023-06-04T17:13:09-04:00,17.4,51,S148,7.3,262, ,38º 09.862 N,73º 51.715 W,7.0,48,7.0,0.7,229,1014.4,60.3,0.0,0.0,17.4
2023-06-04T20:08:19-04:00,5.8,47,S134,3.4,273, ,38º 07.504 N,74º 14.035 W,5.9,55,7.1,1.0,214,1013.9,60.5,0.0,0.0,15.1
2023-06-04T21:50:36-04:00,4.4,36,S137,3.1,259, ,38º 07.822 N,74º 21.287 W,5.4,57,7.1,1.0,214,1014.6,60.5,0.0,0.0,10.9
2023-06-04T22:32:47-04:00,4.1,16,S131,3.7,244, ,38º 07.401 N,74º 24.025 W,5.3,58,7.1,1.0,213,1015.0,60.5,0.0,0.0,9.5
2023-06-05T01:54:24-04:00,5.6,357,S102,3.1,255, ,38º 01.983 N,74º 38.275 W,4.7,60,7.2,1.0,203,1013.5,60.1,0.0,0.0,5.8
2023-06-05T06:33:20-04:00,3.3,50,S100,1.5,310, ,37º 58.165 N,74º 56.103 W,4.2,62,7.5,0.6,202,1013.1,60.9,0.0,0.0,5.8
2023-06-05T07:45:07-04:00,3.3,125,P134,2.0,259, ,37º 59.326 N,74º 57.881 W,4.1,62,7.6,0.5,203,1013.0,61.2,0.0,0.0,7.1
2023-06-05T08:29:57-04:00,4.0,137,P76,2.6,213, ,37º 59.045 N,74º 59.706 W,4.1,63,7.6,0.5,204,1012.8,61.4,0.0,0.0,7.4
2023-06-05T09:48:37-04:00,5.0,147,P74,3.4,221, ,37º 56.171 N,75º 02.070 W,4.0,62,7.6,0.5,206,1012.3,61.8,0.0,0.0,7.9
2023-06-05T12:36:34-04:00,8.1,150,P71,4.7,221, ,37º 48.853 N,75º 10.026 W,3.7,63,7.6,0.4,205,1010.7,62.7,0.0,0.0,9.5
2023-06-05T14:38:47-04:00,9.5,160,P70,4.5,230, ,37º 41.534 N,75º 17.983 W,3.5,64,7.6,0.3,211,1009.6,63.3,0.0,0.0,11.0
2023-06-05T17:11:21-04:00,7.7,169,P79,4.4,248, ,37º 34.085 N,75º 29.121 W,2.9,66,7.6,0.2,193,1008.9,65.0,0.0,0.0,10.1
2023-06-05T18:47:43-04:00,8.1,173,S44,3.3,129, ,37º 31.381 N,75º 37.380 W,2.4,69,7.6,0.1,200,1008.8,65.5,0.0,0.0,8.6
2023-06-05T20:01:48-04:00,12.4,179,P51,4.6,230, ,37º 28.769 N,75º 33.380 W,2.7,65,7.7,0.1,193,1008.8,64.9,0.0,0.0,12.4
2023-06-05T20:39:58-04:00,12.5,180,S51,4.8,129, ,37º 26.907 N,75º 36.165 W,2.6,66,7.7,0.1,192,1008.9,65.3,0.0,0.0,12.5
2023-06-05T21:20:28-04:00,13.0,182,P52,4.4,234, ,37º 24.876 N,75º 33.054 W,2.9,64,7.8,0.2,190,1009.0,65.7,0.0,0.0,13.0
