,Route,Start Time,Start,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,End
,ECMWF,2023-06-02T09:00:00-04:00,41 20.388N 71 23.850W,40 52.602N 71 46.692W,40 51.396N 72 45.552W,40 42.348N 73 20.796W,39 32.160N 72 53.442W,39 16.956N 74 42.552W,38 10.116N 73 51.750W,37 58.848N 74 59.586W,37 32.316N 75 47.412W,37 2.088N 76 4.668W,37 10.032N 75 59.112W,37 34.296N 76 1.974W,37 49.734N 75 59.646W,38 2.292N 76 20.394W,38 13.830N 76 2.730W,38 17.544N 76 24.276W,38 32.916N 76 25.362W,38 53.982N 76 26.202W,38 58.638N 76 19.836W
,Polar,Polar Speed Adjustment,Motoring,Ocean Current,TWS Scale Factor,TWD Adjustment
,"Upwind 50°: 5.0, 90°: 10.0, Downwind 160°: 6.0","Upwind: 100, Downwind: 100",False,Mercator,100%,0°
Time,TWS (kts),TWD (° true),TWA,SOG (kts),COG (° true),Motoring,Latitude,Longitude,Wave Height (ft),Wave Dir (° true),Wave Period (s),Current Speed (kts),Current Dir (° true),Pressure (hPa),Temperature (° F),Rain (mm/hr),CAPE (kJ/kg),Gust (kts)
2023-06-02T09:00:00-04:00,8.1,227,S64,3.7,163, ,41º 20.388 N,71º 23.849 W,2.3,145,6.2,0.3,105,1014.4,57.7,0.0,0.0,11.4
2023-06-02T10:26:43-04:00,10.5,213,P51,4.0,263, ,41º 15.334 N,71º 21.745 W,2.5,143,6.1,0.2,152,1014.2,56.4,0.0,0.0,13.8
2023-06-02T13:29:26-04:00,11.0,220,S47,3.3,173, ,41º 13.958 N,71º 37.678 W,2.1,148,5.7,0.0,111,1012.9,57.3,0.0,0.0,14.2
2023-06-02T17:45:05-04:00,7.7,222,P45,2.9,267, ,40º 59.967 N,71º 35.413 W,2.5,141,6.1,0.2,207,1012.1,58.3,0.0,0.0,10.3
2023-06-02T20:15:28-04:00,8.5,217,S41,2.5,176, ,40º 59.574 N,71º 44.958 W,2.4,141,6.1,0.2,185,1012.6,57.6,0.0,0.0,11.4
2023-06-02T21:48:18-04:00,5.0,236,S31,1.6,205, ,40º 55.681 N,71º 44.632 W,2.3,138,6.3,0.3,201,1012.6,57.6,0.0,0.0,7.1
2023-06-02T23:56:26-04:00,4.0,337,S80,3.5,257, ,40º 52.517 N,71º 46.551 W,2.3,136,6.4,0.4,212,1012.5,58.3,0.0,0.2,5.5
2023-06-03T03:07:20-04:00,10.0,38,S139,6.2,259, ,40º 49.981 N,72º 00.706 W,2.3,122,6.1,0.3,250,1012.7,58.8,2.6,0.3,12.6
2023-06-03T04:50:04-04:00,15.0,41,S135,7.5,266, ,40º 47.876 N,72º 14.393 W,2.4,116,5.6,0.2,227,1013.1,58.6,3.9,0.2,19.0
2023-06-03T07:34:30-04:00,15.1,40,S152,6.6,248, ,40º 46.548 N,72º 41.673 W,2.7,91,4.7,0.2,243,1014.7,58.4,0.0,0.1,23.7
2023-06-03T09:41:13-04:00,17.5,48,P157,6.5,205, ,40º 41.429 N,72º 58.636 W,2.9,81,4.3,0.3,243,1015.5,58.7,0.0,0.0,23.1
2023-06-03T09:57:31-04:00,18.2,50,S159,6.4,251, ,40º 39.847 N,72º 59.596 W,3.3,81,4.4,0.3,243,1015.7,58.6,0.0,0.0,23.9
2023-06-03T10:22:03-04:00,18.1,52,S153,6.3,259, ,40º 38.996 N,73º 02.801 W,3.5,81,4.5,,,1015.8,58.8,0.0,0.0,24.4
2023-06-03T11:43:24-04:00,16.8,57,S155,6.3,262, ,40º 37.312 N,73º 13.751 W,3.4,84,4.6,,,1016.2,59.9,0.0,0.0,22.3
2023-06-03T12:33:35-04:00,15.7,59,S41,4.1,18, ,40º 36.619 N,73º 20.583 W,3.1,87,4.6,,,1016.3,60.8,0.0,0.0,20.6
2023-06-03T12:51:05-04:00,15.0,58,P134,7.5,192, ,40º 37.770 N,73º 20.092 W,3.0,88,4.7,,,1016.4,61.5,0.0,0.0,20.7
2023-06-03T13:06:24-04:00,15.9,60,P102,9.5,162, ,40º 35.899 N,73º 20.606 W,3.3,86,4.8,0.3,243,1016.4,60.7,0.0,0.0,20.1
2023-06-03T15:57:13-04:00,24.9,56,P106,9.1,162, ,40º 10.310 N,73º 09.823 W,7.1,64,5.7,0.3,252,1016.7,57.8,0.0,0.0,32.8
2023-06-03T20:22:59-04:00,26.6,49,S152,7.3,257, ,39º 31.929 N,72º 53.648 W,9.8,49,6.6,0.7,224,1016.9,56.6,0.0,0.0,35.4
2023-06-03T22:25:04-04:00,26.5,48,S152,7.2,256, ,39º 28.691 N,73º 12.366 W,9.9,52,6.7,0.7,233,1017.8,55.8,0.0,0.0,34.9
2023-06-04T00:31:27-04:00,23.8,46,S147,7.5,259, ,39º 25.023 N,73º 31.551 W,9.4,55,6.8,0.6,236,1017.8,55.5,0.0,0.0,31.0
2023-06-04T02:03:32-04:00,22.6,44,S147,7.6,257, ,39º 22.777 N,73º 46.151 W,9.0,57,6.9,0.7,225,1017.5,55.7,0.0,0.0,29.2
2023-06-04T03:55:35-04:00,20.1,41,S142,7.7,259, ,39º 19.680 N,74º 03.956 W,7.8,60,6.7,0.7,210,1017.5,55.9,0.0,0.0,26.2
2023-06-04T05:36:03-04:00,18.8,35,S137,7.9,259, ,39º 17.154 N,74º 20.380 W,6.1,65,6.6,0.5,221,1017.6,56.4,0.0,0.0,24.5
