,Route,Start Time,Start,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,End
,PWE,2023-06-02T09:00:00-04:00,41 20.388N 71 23.850W,40 52.602N 71 46.692W,40 51.396N 72 45.552W,40 42.348N 73 20.796W,39 32.160N 72 53.442W,39 16.956N 74 42.552W,38 10.116N 73 51.750W,37 58.848N 74 59.586W,37 32.316N 75 47.412W,37 2.088N 76 4.668W,37 10.032N 75 59.112W,37 34.296N 76 1.974W,37 49.734N 75 59.646W,38 2.292N 76 20.394W,38 13.830N 76 2.730W,38 17.544N 76 24.276W,38 32.916N 76 25.362W,38 53.982N 76 26.202W,38 58.638N 76 19.836W
,Polar,Polar Speed Adjustment,Motoring,Ocean Current,TWS Scale Factor,TWD Adjustment
,"Upwind 50°: 5.0, 90°: 10.0, Downwind 160°: 6.0","Upwind: 100, Downwind: 100",False,Mercator,100%,0°
Time,TWS (kts),TWD (° true),TWA,SOG (kts),COG (° true),Motoring,Latitude,Longitude,Wave Height (ft),Wave Dir (° true),Wave Period (s),Current Speed (kts),Current Dir (° true),Pressure (hPa),Temperature (° F),Rain (mm/hr),CAPE (kJ/kg),Gust (kts)
2023-06-02T09:00:00-04:00,4.0,229,S89,1.9,140, ,41º 20.388 N,71º 23.849 W,2.3,145,6.2,0.3,105,1014.4,57.7,0.0,0.0,11.4
2023-06-02T12:33:30-04:00,4.7,183,P37,2.8,219, ,41º 15.175 N,71º 18.119 W,2.5,148,5.8,0.1,174,1013.3,56.6,0.0,0.0,15.2
2023-06-02T16:58:57-04:00,10.1,158,P67,5.1,225, ,41º 05.704 N,71º 28.416 W,2.4,143,6.0,0.3,225,1012.0,57.8,0.0,0.0,10.1
2023-06-02T18:38:19-04:00,9.2,154,P73,4.1,227, ,40º 59.827 N,71º 36.325 W,2.4,141,6.1,0.2,207,1012.4,58.1,0.0,0.0,10.9
2023-06-02T21:13:33-04:00,7.1,149,P93,3.9,241, ,40º 52.517 N,71º 46.551 W,2.4,137,6.3,0.3,206,1012.7,57.6,0.0,0.0,7.6
2023-06-02T23:23:00-04:00,4.1,139,P95,2.1,234, ,40º 48.521 N,71º 56.215 W,2.3,135,6.4,0.4,244,1012.5,58.7,0.0,0.1,4.1
2023-06-03T06:02:21-04:00,1.6,21,S117,1.4,264, ,40º 40.510 N,72º 11.003 W,3.1,89,5.2,0.4,238,1013.5,58.5,1.5,0.2,24.4
2023-06-03T08:43:32-04:00,2.9,63,S145,2.0,278, ,40º 40.099 N,72º 16.010 W,4.6,62,4.5,0.4,244,1015.0,56.9,0.0,0.0,30.6
2023-06-03T10:50:54-04:00,4.6,79,S147,3.3,291, ,40º 40.698 N,72º 21.437 W,5.5,60,4.9,0.4,249,1016.0,56.4,0.0,0.0,30.1
2023-06-03T14:26:23-04:00,10.3,86,P155,4.6,241, ,40º 44.938 N,72º 35.825 W,4.8,72,5.2,0.3,242,1017.0,58.9,0.0,0.0,25.2
2023-06-03T14:42:08-04:00,11.2,86,S143,5.4,303, ,40º 44.367 N,72º 37.205 W,4.8,73,5.2,0.3,246,1017.0,58.8,0.0,0.0,26.0
2023-06-03T15:27:08-04:00,11.7,93,P138,6.6,232, ,40º 46.548 N,72º 41.673 W,4.4,75,5.2,0.3,243,1017.2,59.7,0.0,0.0,27.3
2023-06-03T17:21:04-04:00,14.9,87,P149,6.7,236, ,40º 38.818 N,72º 54.637 W,5.2,74,5.3,0.4,240,1017.5,58.6,0.0,0.0,29.2
2023-06-03T18:33:30-04:00,19.2,69,S150,7.4,279, ,40º 34.241 N,73º 03.411 W,6.1,74,5.6,0.4,250,1017.8,58.0,0.0,0.0,30.5
2023-06-03T20:18:04-04:00,20.7,55,S104,9.2,311, ,40º 36.329 N,73º 20.138 W,4.5,81,5.4,,,1018.5,58.3,0.0,0.0,26.6
2023-06-03T20:23:53-04:00,20.1,54,P24,2.4,79, ,40º 36.909 N,73º 21.028 W,4.2,82,5.4,,,1018.5,58.2,0.0,0.0,25.6
2023-06-03T20:41:32-04:00,20.1,53,S52,5.2,1, ,40º 37.050 N,73º 20.115 W,4.3,82,5.4,,,1018.6,58.0,0.0,0.0,25.5
2023-06-03T20:50:03-04:00,19.6,53,P139,7.2,192, ,40º 37.770 N,73º 20.092 W,4.1,83,5.4,,,1018.7,57.8,0.0,0.0,24.5
2023-06-03T21:06:01-04:00,20.4,52,P110,8.9,162, ,40º 35.899 N,73º 20.606 W,4.6,81,5.5,0.3,243,1018.8,57.9,0.0,0.0,26.1
2023-06-03T22:36:32-04:00,23.0,49,P113,8.7,162, ,40º 23.105 N,73º 15.215 W,8.2,69,6.3,0.4,249,1019.2,56.4,0.0,0.0,32.0
2023-06-04T00:09:16-04:00,23.8,42,P120,8.3,162, ,40º 10.310 N,73º 09.823 W,8.9,62,6.6,0.4,248,1018.5,55.5,0.0,0.0,32.3
2023-06-04T01:46:11-04:00,22.8,41,P121,8.6,162, ,39º 57.517 N,73º 04.432 W,9.1,57,6.8,0.4,236,1017.6,54.5,0.0,0.0,31.0
2023-06-04T03:20:27-04:00,22.3,40,P122,8.6,162, ,39º 44.723 N,72º 59.040 W,9.0,52,6.8,0.6,218,1017.1,54.6,0.0,0.0,28.2
2023-06-04T04:54:28-04:00,21.4,34,S135,8.4,259, ,39º 31.929 N,72º 53.648 W,8.8,49,6.9,0.8,223,1016.6,54.6,0.0,0.0,28.0
2023-06-04T06:26:27-04:00,20.0,31,S132,8.7,259, ,39º 29.402 N,73º 10.073 W,8.2,51,6.8,0.8,232,1017.0,54.6,0.0,0.0,26.8
2023-06-04T08:01:06-04:00,19.1,26,S127,8.8,259, ,39º 26.735 N,73º 27.410 W,7.6,53,6.7,0.8,240,1017.4,55.0,0.0,0.0,24.5
2023-06-04T09:39:12-04:00,17.9,26,S127,8.5,259, ,39º 23.929 N,73º 45.659 W,7.0,54,6.5,0.8,225,1017.6,55.3,0.0,0.0,23.8
2023-06-04T11:20:56-04:00,16.1,37,S131,7.9,266, ,39º 21.121 N,74º 03.908 W,6.1,56,6.3,0.7,208,1017.7,56.6,0.0,0.0,21.9
2023-06-04T12:27:48-04:00,15.9,53,S142,7.0,271, ,39º 20.448 N,74º 15.279 W,5.2,61,6.2,0.5,212,1017.2,57.5,0.0,0.0,20.5
2023-06-04T13:37:04-04:00,14.9,77,P143,7.4,220, ,39º 20.635 N,74º 25.714 W,3.8,70,6.2,0.4,219,1016.5,60.2,0.0,0.0,17.9
2023-06-04T14:04:33-04:00,15.0,82,P158,6.6,240, ,39º 18.052 N,74º 28.522 W,3.8,71,6.1,0.3,214,1016.4,59.3,0.0,0.0,16.7
2023-06-04T15:04:43-04:00,14.1,96,P66,5.8,162, ,39º 14.768 N,74º 35.893 W,3.1,77,6.1,0.3,208,1015.9,60.6,0.0,0.0,17.1
2023-06-04T17:37:15-04:00,12.6,104,P68,5.5,172, ,39º 00.617 N,74º 30.000 W,4.5,69,6.7,0.5,207,1015.2,57.8,0.0,0.0,12.6
2023-06-04T19:56:14-04:00,9.7,106,P61,4.7,168, ,38º 48.066 N,74º 27.688 W,4.8,66,7.0,0.7,210,1014.7,58.4,0.0,0.0,9.7
2023-06-04T22:16:24-04:00,6.5,102,P65,4.9,168, ,38º 37.243 N,74º 24.637 W,5.0,63,7.2,0.9,211,1015.4,58.8,0.0,0.0,6.5
2023-06-05T00:31:51-04:00,4.7,67,P69,5.0,136, ,38º 26.419 N,74º 21.587 W,5.1,60,7.4,0.9,205,1014.9,59.6,0.0,0.0,5.3
2023-06-05T01:37:51-04:00,4.2,341,P145,4.7,125, ,38º 22.507 N,74º 16.722 W,5.2,59,7.6,0.8,207,1014.4,59.9,0.0,0.0,8.4
2023-06-05T04:42:40-04:00,8.5,333,P146,4.6,119, ,38º 14.083 N,74º 01.564 W,6.1,53,7.9,0.8,215,1013.5,60.2,0.0,0.0,14.1
2023-06-05T06:36:55-04:00,10.1,324,S77,5.2,248, ,38º 09.862 N,73º 51.715 W,6.6,49,7.8,0.7,220,1013.4,61.0,0.0,0.0,15.7
2023-06-05T08:19:33-04:00,9.4,319,S83,5.2,235, ,38º 06.446 N,74º 02.267 W,6.3,51,8.0,0.8,209,1013.6,60.8,0.0,0.0,10.6
2023-06-05T10:13:47-04:00,10.3,323,S88,4.9,235, ,38º 00.723 N,74º 12.668 W,6.0,52,8.1,0.9,214,1013.2,62.5,0.0,0.0,10.3
2023-06-05T12:16:45-04:00,6.4,328,S103,3.4,225, ,37º 55.000 N,74º 23.069 W,5.7,53,8.2,0.8,211,1012.2,63.2,0.0,0.0,9.1
2023-06-05T13:58:14-04:00,1.4,339,S29,2.0,310, ,37º 50.986 N,74º 28.194 W,5.5,54,8.2,1.0,206,1011.1,63.6,0.0,0.0,10.8
2023-06-05T15:19:44-04:00,5.6,206,P80,4.6,286, ,37º 52.727 N,74º 30.861 W,5.3,54,8.1,1.0,204,1010.4,64.2,0.0,0.0,10.7
