,Route,Start Time,Start,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,End
,PWE,2023-06-02T15:00:00-04:00,41 20.388N 71 23.850W,40 52.602N 71 46.692W,40 51.396N 72 45.552W,40 42.348N 73 20.796W,39 32.160N 72 53.442W,39 16.956N 74 42.552W,38 10.116N 73 51.750W,37 58.848N 74 59.586W,37 32.316N 75 47.412W,37 2.088N 76 4.668W,37 10.032N 75 59.112W,37 34.296N 76 1.974W,37 49.734N 75 59.646W,38 2.292N 76 20.394W,38 13.830N 76 2.730W,38 17.544N 76 24.276W,38 32.916N 76 25.362W,38 53.982N 76 26.202W,38 58.638N 76 19.836W
,Polar,Polar Speed Adjustment,Motoring,Ocean Current,TWS Scale Factor,TWD Adjustment
,"Upwind 50°: 5.0, 90°: 10.0, Downwind 160°: 6.0","Upwind: 100, Downwind: 100",False,Mercator,100%,0°
Time,TWS (kts),TWD (° true),TWA,SOG (kts),COG (° true),Motoring,Latitude,Longitude,Wave Height (ft),Wave Dir (° true),Wave Period (s),Current Speed (kts),Current Dir (° true),Pressure (hPa),Temperature (° F),Rain (mm/hr),CAPE (kJ/kg),Gust (kts)
2023-06-02T15:00:00-04:00,10.5,192,P59,4.3,251, ,41º 20.388 N,71º 23.849 W,2.3,152,5.6,0.1,121,1011.6,58.0,0.0,0.0,16.1
2023-06-02T16:57:03-04:00,8.0,228,S66,3.6,163, ,41º 17.693 N,71º 34.379 W,2.0,148,5.7,0.1,121,1011.1,58.4,0.0,0.0,11.5
2023-06-02T17:14:43-04:00,8.9,223,P51,3.1,273, ,41º 16.682 N,71º 33.958 W,2.0,148,5.7,0.1,142,1011.1,58.2,0.0,0.0,11.3
2023-06-02T18:07:10-04:00,7.3,203,P55,3.9,258, ,41º 16.841 N,71º 37.584 W,1.9,147,5.8,0.1,133,1011.1,59.0,0.0,0.0,9.5
2023-06-02T19:00:48-04:00,9.3,175,P72,3.8,248, ,41º 16.139 N,71º 42.146 W,1.9,146,5.8,0.2,269,1011.1,59.3,0.0,0.0,9.3
2023-06-02T20:58:19-04:00,8.3,196,S38,2.6,158, ,41º 13.294 N,71º 51.318 W,1.8,141,6.1,0.1,231,1011.2,59.6,0.0,0.1,8.3
2023-06-03T00:13:29-04:00,5.6,244,S62,3.6,181, ,41º 05.348 N,71º 47.039 W,1.9,139,6.3,0.3,214,1011.2,57.7,0.0,0.0,5.8
2023-06-03T02:27:29-04:00,6.8,261,S87,4.6,173, ,40º 57.421 N,71º 47.299 W,2.2,127,6.2,0.4,219,1011.6,56.9,0.0,0.0,7.4
2023-06-03T03:31:26-04:00,6.6,284,S64,4.2,219, ,40º 52.517 N,71º 46.551 W,2.5,109,5.6,0.5,226,1011.9,57.0,0.0,0.0,16.9
2023-06-03T04:11:18-04:00,6.9,311,S79,4.4,232, ,40º 50.365 N,71º 48.891 W,2.6,104,5.3,0.5,230,1012.2,57.4,0.0,0.0,22.2
