,Route,Start Time,Start,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,End
,GFS,2023-06-02T21:00:00-04:00,41 20.388N 71 23.850W,40 52.602N 71 46.692W,40 51.396N 72 45.552W,40 42.348N 73 20.796W,39 32.160N 72 53.442W,39 16.956N 74 42.552W,38 10.116N 73 51.750W,37 58.848N 74 59.586W,37 32.316N 75 47.412W,37 2.088N 76 4.668W,37 10.032N 75 59.112W,37 34.296N 76 1.974W,37 49.734N 75 59.646W,38 2.292N 76 20.394W,38 13.830N 76 2.730W,38 17.544N 76 24.276W,38 32.916N 76 25.362W,38 53.982N 76 26.202W,38 58.638N 76 19.836W
,Polar,Polar Speed Adjustment,Motoring,Ocean Current,TWS Scale Factor,TWD Adjustment
,"Upwind 50°: 5.0, 90°: 10.0, Downwind 160°: 6.0","Upwind: 100, Downwind: 100",False,Mercator,100%,0°
Time,TWS (kts),TWD (° true),TWA,SOG (kts),COG (° true),Motoring,Latitude,Longitude,Wave Height (ft),Wave Dir (° true),Wave Period (s),Current Speed (kts),Current Dir (° true),Pressure (hPa),Temperature (° F),Rain (mm/hr),CAPE (kJ/kg),Gust (kts)
2023-06-02T21:00:00-04:00,4.3,359,S140,2.2,219, ,41º 20.388 N,71º 23.849 W,2.1,150,5.8,0.1,170,1011.5,63.6,0.1,0.0,8.0
2023-06-02T21:30:32-04:00,5.0,7,P155,2.6,163, ,41º 19.527 N,71º 24.786 W,2.0,148,5.9,0.1,180,1011.8,63.6,0.1,0.0,8.9
2023-06-02T22:43:33-04:00,7.6,16,S156,4.2,219, ,41º 16.494 N,71º 23.523 W,2.1,146,6.0,0.2,222,1012.5,63.5,0.0,0.0,11.3
2023-06-03T00:35:28-04:00,10.9,13,S138,6.1,235, ,41º 10.468 N,71º 30.076 W,2.1,141,6.2,0.4,232,1012.0,62.2,0.0,0.0,14.5
2023-06-03T03:01:09-04:00,16.5,34,P147,7.1,181, ,41º 01.886 N,71º 46.244 W,2.3,113,5.8,0.4,219,1011.7,60.5,0.0,0.0,21.3
2023-06-03T04:20:04-04:00,20.1,31,S135,7.8,256, ,40º 52.517 N,71º 46.551 W,2.7,97,5.1,0.5,227,1011.7,59.1,0.0,0.0,23.4
2023-06-03T06:09:58-04:00,22.7,40,S137,7.8,263, ,40º 48.989 N,72º 04.824 W,3.4,84,5.1,0.5,248,1012.8,57.7,0.0,0.0,25.3
2023-06-03T07:25:13-04:00,22.3,44,S137,7.5,266, ,40º 47.745 N,72º 17.575 W,3.9,74,4.7,0.3,237,1013.8,57.3,0.0,0.0,25.8
2023-06-03T09:52:01-04:00,19.8,45,P153,6.7,198, ,40º 46.548 N,72º 41.673 W,3.7,82,4.7,0.3,244,1015.4,57.4,0.0,0.0,24.7
2023-06-03T10:02:52-04:00,19.8,44,S155,6.6,249, ,40º 45.397 N,72º 42.165 W,3.7,82,4.8,0.3,243,1015.4,57.4,0.0,0.0,24.7
2023-06-03T12:39:12-04:00,18.9,46,S149,6.6,256, ,40º 39.286 N,73º 03.246 W,3.8,84,5.0,,,1016.0,59.3,0.0,0.0,23.1
2023-06-03T14:00:38-04:00,18.9,48,S145,6.8,263, ,40º 37.171 N,73º 14.664 W,3.5,91,5.2,,,1016.2,61.2,0.0,0.0,22.1
2023-06-03T14:40:25-04:00,18.6,50,S99,9.5,311, ,40º 36.619 N,73º 20.583 W,3.2,94,5.1,,,1016.2,61.7,0.0,0.0,21.7
2023-06-03T14:43:14-04:00,18.4,50,P29,2.9,79, ,40º 36.909 N,73º 21.028 W,3.1,95,5.1,,,1016.3,61.9,0.0,0.0,21.6
2023-06-03T14:58:16-04:00,18.5,49,S48,4.8,1, ,40º 37.050 N,73º 20.115 W,3.2,95,5.1,,,1016.3,61.7,0.0,0.0,21.7
2023-06-03T15:07:32-04:00,18.1,49,P143,7.0,192, ,40º 37.770 N,73º 20.092 W,3.1,96,5.0,,,1016.4,61.8,0.0,0.0,21.5
2023-06-03T15:23:58-04:00,19.1,49,P113,8.8,162, ,40º 35.899 N,73º 20.606 W,3.5,93,5.1,0.3,241,1016.4,61.3,0.0,0.0,22.1
2023-06-03T16:55:40-04:00,24.6,47,P115,8.6,162, ,40º 23.105 N,73º 15.215 W,6.0,79,5.7,0.3,252,1016.6,58.5,0.0,0.0,26.5
2023-06-03T18:29:24-04:00,26.5,44,P118,8.5,162, ,40º 10.310 N,73º 09.823 W,7.7,70,6.2,0.4,252,1017.0,57.2,0.0,0.0,28.9
2023-06-03T20:04:33-04:00,27.5,43,P119,8.6,162, ,39º 57.517 N,73º 04.432 W,9.3,64,6.6,0.4,239,1017.4,56.3,0.1,0.0,29.9
2023-06-03T21:38:32-04:00,27.3,41,P121,8.7,162, ,39º 44.723 N,72º 59.040 W,10.4,58,6.9,0.6,217,1017.1,55.7,0.0,0.0,29.7
2023-06-03T23:10:48-04:00,26.3,38,S140,8.0,257, ,39º 31.929 N,72º 53.648 W,10.9,53,7.2,0.8,222,1016.6,55.5,0.0,0.0,29.0
2023-06-04T01:33:10-04:00,23.8,34,S135,8.3,259, ,39º 27.849 N,73º 17.840 W,9.6,57,7.2,0.8,239,1016.1,55.6,0.1,0.0,25.8
2023-06-04T03:52:03-04:00,22.5,29,S133,8.5,257, ,39º 24.059 N,73º 42.478 W,8.2,60,7.0,0.7,238,1016.0,55.9,0.1,0.0,24.0
2023-06-04T06:04:39-04:00,22.8,25,S126,8.5,259, ,39º 19.399 N,74º 05.781 W,6.9,63,6.8,0.6,212,1016.4,56.4,0.1,0.0,24.8
2023-06-04T08:51:50-04:00,14.2,25,P130,8.1,155, ,39º 14.768 N,74º 35.893 W,3.5,76,6.6,0.3,215,1017.4,57.0,0.0,0.0,20.2
2023-06-04T10:25:32-04:00,20.1,32,P123,8.5,155, ,39º 03.279 N,74º 29.005 W,5.3,66,6.7,0.4,209,1017.3,58.0,0.0,0.0,22.8
2023-06-04T14:45:05-04:00,23.1,32,P113,8.9,145, ,38º 28.814 N,74º 08.344 W,6.5,54,7.1,0.7,221,1015.8,57.3,0.0,0.0,27.1
2023-06-04T17:21:49-04:00,22.8,26,S130,8.3,256, ,38º 09.862 N,73º 51.715 W,6.8,49,7.2,0.6,226,1014.6,57.6,0.0,0.0,27.6
2023-06-04T19:01:06-04:00,18.7,30,S134,8.4,256, ,38º 06.544 N,74º 08.620 W,6.1,53,7.3,0.9,213,1015.3,57.5,0.0,0.0,23.4
2023-06-04T20:38:31-04:00,16.6,31,S132,8.4,259, ,38º 03.227 N,74º 25.523 W,5.5,57,7.3,0.9,214,1015.8,57.9,0.0,0.0,20.6
2023-06-04T23:45:55-04:00,12.2,29,S115,7.4,274, ,37º 58.736 N,74º 54.722 W,4.4,63,7.2,0.5,203,1015.7,58.6,0.0,0.0,15.9
2023-06-05T00:17:46-04:00,12.6,24,P151,5.9,175, ,37º 59.045 N,74º 59.706 W,4.1,65,7.1,0.4,206,1015.6,59.0,0.0,0.0,16.1
2023-06-05T00:49:57-04:00,13.4,17,S157,6.6,221, ,37º 55.872 N,74º 59.356 W,4.2,64,7.2,0.5,210,1015.3,59.1,0.0,0.0,17.1
2023-06-05T02:48:13-04:00,14.3,3,S127,7.6,236, ,37º 45.970 N,75º 10.120 W,3.9,66,7.2,0.3,211,1015.0,59.1,0.0,0.0,18.4
2023-06-05T04:30:34-04:00,12.7,357,S121,6.5,236, ,37º 38.675 N,75º 23.750 W,3.4,71,7.1,0.2,198,1015.2,58.0,0.0,0.0,16.7
2023-06-05T06:31:01-04:00,8.6,351,P138,4.3,129, ,37º 31.381 N,75º 37.380 W,2.8,76,6.9,0.0,176,1015.5,58.2,0.0,0.0,11.9
2023-06-05T07:09:26-04:00,9.0,353,P154,3.9,147, ,37º 29.639 N,75º 34.714 W,3.0,72,7.1,0.0,175,1015.6,58.9,0.0,0.0,12.2
2023-06-05T08:08:19-04:00,9.1,353,S143,3.3,210, ,37º 26.458 N,75º 32.095 W,3.4,69,7.4,0.1,170,1015.7,59.5,0.0,0.0,11.9
2023-06-05T12:33:25-04:00,3.9,281,S99,2.0,181, ,37º 13.954 N,75º 41.128 W,3.0,70,7.2,0.1,129,1014.9,64.2,0.0,0.0,6.0
2023-06-05T13:59:49-04:00,3.3,220,P35,2.1,255, ,37º 11.072 N,75º 41.222 W,3.2,67,7.7,0.1,142,1014.3,65.4,0.0,0.0,4.4
2023-06-05T16:20:57-04:00,5.3,153,P81,4.2,234, ,37º 09.799 N,75º 47.165 W,2.3,74,6.9,0.2,115,1012.7,66.8,0.0,0.0,5.3
2023-06-05T18:19:36-04:00,9.2,152,P91,6.2,243, ,37º 04.933 N,75º 55.496 W,1.7,88,6.4,0.4,122,1012.3,65.4,0.0,0.0,9.6
2023-06-05T19:07:17-04:00,10.6,154,P105,6.5,259, ,37º 02.649 N,76º 01.018 W,1.7,96,5.9,0.2,132,1012.2,65.0,0.0,0.0,11.7
2023-06-05T19:34:49-04:00,10.9,157,S94,7.1,63, ,37º 02.088 N,76º 04.667 W,1.6,101,5.5,0.1,132,1012.2,65.4,0.0,0.0,11.9
2023-06-05T19:45:14-04:00,11.1,160,S130,5.6,30, ,37º 02.659 N,76º 03.287 W,1.6,106,5.4,0.1,132,1012.2,65.0,0.0,0.0,12.4
2023-06-05T21:00:09-04:00,11.9,174,P136,5.6,309, ,37º 08.695 N,75º 59.004 W,1.4,176,3.7,0.3,134,1011.9,63.4,0.0,0.0,15.4
