,Route,Start Time,Start,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,End
,PWG,2023-06-02T21:00:00-04:00,41 20.388N 71 23.850W,40 52.602N 71 46.692W,40 51.396N 72 45.552W,40 42.348N 73 20.796W,39 32.160N 72 53.442W,39 16.956N 74 42.552W,38 10.116N 73 51.750W,37 58.848N 74 59.586W,37 32.316N 75 47.412W,37 2.088N 76 4.668W,37 10.032N 75 59.112W,37 34.296N 76 1.974W,37 49.734N 75 59.646W,38 2.292N 76 20.394W,38 13.830N 76 2.730W,38 17.544N 76 24.276W,38 32.916N 76 25.362W,38 53.982N 76 26.202W,38 58.638N 76 19.836W
,Polar,Polar Speed Adjustment,Motoring,Ocean Current,TWS Scale Factor,TWD Adjustment
,"Upwind 50°: 5.0, 90°: 10.0, Downwind 160°: 6.0","Upwind: 100, Downwind: 100",False,Mercator,100%,0°
Time,TWS (kts),TWD (° true),TWA,SOG (kts),COG (° true),Motoring,Latitude,Longitude,Wave Height (ft),Wave Dir (° true),Wave Period (s),Current Speed (kts),Current Dir (° true),Pressure (hPa),Temperature (° F),Rain (mm/hr),CAPE (kJ/kg),Gust (kts)
2023-06-02T21:00:00-04:00,10.7,167,P67,5.5,234, ,41º 20.388 N,71º 23.849 W,2.1,150,5.8,0.1,170,1011.5,63.6,0.1,0.0,10.7
2023-06-03T00:03:00-04:00,8.5,183,P61,3.6,244, ,41º 10.945 N,71º 40.954 W,1.9,141,6.2,0.3,251,1012.3,62.5,0.1,0.0,9.7
2023-06-03T02:25:11-04:00,3.2,110,P72,3.1,181, ,41º 07.239 N,71º 51.062 W,1.8,124,6.1,0.3,218,1011.6,61.5,0.1,0.0,18.7
2023-06-03T04:03:57-04:00,8.9,43,P117,6.5,160, ,41º 02.195 N,71º 51.227 W,2.5,96,5.0,0.4,219,1011.9,59.1,0.0,0.0,23.4
2023-06-03T05:39:10-04:00,13.1,42,S143,7.3,259, ,40º 52.517 N,71º 46.551 W,3.4,77,4.7,0.5,229,1012.3,57.7,0.0,0.0,26.7
2023-06-03T07:28:32-04:00,18.4,45,S141,7.5,264, ,40º 49.850 N,72º 03.888 W,4.5,66,4.7,0.5,247,1013.8,56.6,0.0,0.0,27.6
2023-06-03T09:24:08-04:00,20.3,48,S147,7.2,260, ,40º 48.344 N,72º 23.003 W,4.3,71,4.7,0.2,234,1015.1,56.5,0.0,0.0,26.8
2023-06-03T10:54:08-04:00,19.0,38,S128,8.1,270, ,40º 46.529 N,72º 37.135 W,4.4,78,5.0,0.3,248,1015.9,56.9,0.0,0.0,25.8
2023-06-03T11:19:30-04:00,19.6,42,S155,6.6,246, ,40º 46.548 N,72º 41.673 W,4.0,81,5.0,0.3,243,1016.0,57.2,0.0,0.0,25.3
2023-06-03T13:56:41-04:00,20.2,37,S142,7.2,255, ,40º 39.716 N,73º 02.778 W,3.7,84,5.1,,,1016.2,59.9,0.0,0.0,22.7
2023-06-03T15:38:22-04:00,19.9,38,S120,8.2,278, ,40º 36.610 N,73º 18.313 W,3.6,93,5.1,,,1016.5,61.1,0.0,0.0,22.1
2023-06-03T15:53:31-04:00,19.3,37,P41,4.0,79, ,40º 36.909 N,73º 21.028 W,3.3,95,5.1,,,1016.5,61.4,0.0,0.0,21.8
2023-06-03T16:04:28-04:00,19.5,37,S35,3.6,1, ,40º 37.050 N,73º 20.115 W,3.3,95,5.1,,,1016.6,61.3,0.0,0.0,21.9
2023-06-03T16:16:37-04:00,18.2,32,P150,6.6,181, ,40º 37.770 N,73º 20.092 W,3.3,96,5.0,,,1016.6,61.3,0.0,0.0,21.7
2023-06-03T16:23:11-04:00,19.7,36,S137,7.2,259, ,40º 37.050 N,73º 20.115 W,3.4,95,5.1,,,1016.6,61.2,0.0,0.0,21.9
2023-06-03T16:29:21-04:00,19.6,36,P134,7.6,170, ,40º 36.909 N,73º 21.028 W,3.4,96,5.1,,,1016.6,61.2,0.0,0.0,21.9
2023-06-03T16:43:30-04:00,20.8,35,P127,8.1,162, ,40º 35.178 N,73º 20.630 W,3.8,93,5.2,0.3,241,1016.7,60.7,0.0,0.0,22.5
2023-06-03T18:21:45-04:00,23.7,36,P126,8.0,162, ,40º 22.528 N,73º 15.233 W,6.8,78,6.0,0.3,250,1017.2,57.8,0.0,0.0,26.6
2023-06-03T20:01:52-04:00,24.9,35,P127,7.8,162, ,40º 09.878 N,73º 09.838 W,8.5,70,6.5,0.4,252,1017.7,56.7,0.0,0.0,28.2
