,Route,Start Time,Start,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,End
,UKMO,2023-06-02T21:00:00-04:00,41 20.388N 71 23.850W,40 52.602N 71 46.692W,40 51.396N 72 45.552W,40 42.348N 73 20.796W,39 32.160N 72 53.442W,39 16.956N 74 42.552W,38 10.116N 73 51.750W,37 58.848N 74 59.586W,37 32.316N 75 47.412W,37 2.088N 76 4.668W,37 10.032N 75 59.112W,37 34.296N 76 1.974W,37 49.734N 75 59.646W,38 2.292N 76 20.394W,38 13.830N 76 2.730W,38 17.544N 76 24.276W,38 32.916N 76 25.362W,38 53.982N 76 26.202W,38 58.638N 76 19.836W
,Polar,Polar Speed Adjustment,Motoring,Ocean Current,TWS Scale Factor,TWD Adjustment
,"Upwind 50°: 5.0, 90°: 10.0, Downwind 160°: 6.0","Upwind: 100, Downwind: 100",False,Mercator,100%,0°
Time,TWS (kts),TWD (° true),TWA,SOG (kts),COG (° true),Motoring,Latitude,Longitude,Wave Height (ft),Wave Dir (° true),Wave Period (s),Current Speed (kts),Current Dir (° true),Pressure (hPa),Temperature (° F),Rain (mm/hr),CAPE (kJ/kg),Gust (kts)
2023-06-02T21:00:00-04:00,4.5,207,P53,2.3,260, ,41º 20.388 N,71º 23.849 W,2.1,150,5.8,0.1,170,1011.3,59.9,0.0,0.1,7.6
2023-06-03T01:21:21-04:00,4.2,223,S42,1.7,181, ,41º 18.713 N,71º 37.069 W,1.6,142,6.2,0.1,175,1011.4,62.0,0.0,0.0,10.5
2023-06-03T01:44:42-04:00,3.7,10,S123,1.9,248, ,41º 17.992 N,71º 37.092 W,1.6,142,6.3,0.1,180,1011.4,62.4,0.0,0.0,11.2
2023-06-03T02:42:37-04:00,5.8,51,P145,4.4,196, ,41º 17.281 N,71º 39.385 W,1.8,121,5.8,0.1,208,1011.8,61.2,0.0,0.0,13.9
2023-06-03T04:14:03-04:00,14.2,44,P147,6.9,191, ,41º 10.805 N,71º 41.867 W,2.7,82,4.7,0.4,250,1012.5,58.2,0.0,0.0,23.9
2023-06-03T06:52:58-04:00,23.1,41,S142,7.4,259, ,40º 52.517 N,71º 46.551 W,4.5,61,4.7,0.5,230,1013.7,56.1,0.0,0.0,31.8
2023-06-03T08:52:18-04:00,20.2,44,S142,7.5,262, ,40º 49.570 N,72º 05.713 W,5.1,63,4.7,0.5,246,1014.8,55.8,0.0,0.0,31.2
2023-06-03T11:56:09-04:00,19.4,50,S140,7.6,270, ,40º 46.520 N,72º 34.865 W,4.6,76,5.1,0.3,239,1015.9,58.6,0.0,0.0,22.4
2023-06-03T12:37:06-04:00,17.9,50,S152,6.8,259, ,40º 46.548 N,72º 41.673 W,4.0,80,5.1,0.3,243,1015.9,60.8,0.0,0.0,24.0
2023-06-03T12:49:33-04:00,17.6,51,P158,6.5,208, ,40º 46.267 N,72º 43.498 W,3.9,81,5.1,0.3,241,1015.9,61.3,0.0,0.0,24.1
2023-06-03T13:10:52-04:00,18.2,53,S151,6.8,262, ,40º 44.255 N,72º 44.926 W,3.9,81,5.2,0.3,240,1016.0,60.7,0.0,0.0,23.5
2023-06-03T14:03:03-04:00,16.4,58,P158,6.6,217, ,40º 43.422 N,72º 52.670 W,3.2,83,4.9,0.3,236,1016.0,62.0,0.0,0.0,21.3
2023-06-03T15:24:54-04:00,19.4,61,S157,6.5,263, ,40º 36.244 N,72º 59.714 W,4.9,82,5.5,0.4,241,1016.0,59.0,0.0,0.0,24.2
2023-06-03T16:41:56-04:00,18.2,62,S144,7.4,278, ,40º 35.281 N,73º 10.640 W,4.6,87,5.4,0.4,250,1015.9,59.3,0.0,0.0,24.6
2023-06-03T17:41:21-04:00,16.9,64,S113,8.7,311, ,40º 36.329 N,73º 20.138 W,3.8,93,5.2,,,1016.1,60.6,0.0,0.0,23.6
2023-06-03T17:44:26-04:00,16.7,64,S46,4.6,18, ,40º 36.619 N,73º 20.583 W,3.7,94,5.2,,,1016.1,60.9,0.0,0.0,23.3
2023-06-03T18:00:20-04:00,16.3,63,P129,7.8,192, ,40º 37.770 N,73º 20.092 W,3.6,94,5.2,,,1016.2,61.4,0.0,0.0,23.0
2023-06-03T18:15:03-04:00,17.6,65,P97,9.8,162, ,40º 35.899 N,73º 20.606 W,4.0,91,5.3,0.3,241,1016.4,60.3,0.0,0.0,24.0
2023-06-03T21:02:35-04:00,24.3,57,P105,9.2,162, ,40º 10.310 N,73º 09.823 W,8.7,68,6.6,0.4,252,1017.4,56.3,0.0,0.0,31.5
2023-06-04T01:22:22-04:00,23.5,46,S151,7.4,254, ,39º 31.929 N,72º 53.648 W,10.0,53,7.2,0.8,221,1016.7,55.1,0.0,0.0,29.8
2023-06-04T02:39:12-04:00,23.3,43,S144,7.9,259, ,39º 29.384 N,73º 05.534 W,9.4,54,7.2,0.8,229,1016.5,55.0,0.0,0.0,27.9
2023-06-04T04:23:04-04:00,21.3,37,S139,8.2,259, ,39º 26.717 N,73º 22.871 W,8.5,56,7.0,0.7,244,1016.4,54.5,0.0,0.0,26.0
2023-06-04T06:02:41-04:00,20.0,33,S139,8.1,255, ,39º 24.050 N,73º 40.208 W,7.6,58,6.9,0.8,239,1016.8,54.5,0.0,0.0,23.1
2023-06-04T08:50:20-04:00,18.0,32,S133,8.0,259, ,39º 17.968 N,74º 08.097 W,6.2,60,6.6,0.6,215,1017.5,55.8,0.0,0.0,21.0
2023-06-04T11:03:16-04:00,13.7,43,S131,6.9,272, ,39º 14.599 N,74º 29.996 W,3.8,74,6.5,0.3,220,1016.8,59.9,0.0,0.0,14.7
2023-06-04T11:43:08-04:00,10.6,40,P90,6.9,130, ,39º 14.768 N,74º 35.893 W,3.2,78,6.4,0.2,215,1016.3,62.2,0.0,0.0,17.7
