,Route,Start Time,Start,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,End
,ECMWF,2023-06-02T14:23:57-04:00,41 20.388N 71 23.850W,40 52.602N 71 46.692W,40 51.396N 72 45.552W,40 42.348N 73 20.796W,39 32.160N 72 53.442W,39 16.956N 74 42.552W,38 10.116N 73 51.750W,37 58.848N 74 59.586W,37 32.316N 75 47.412W,37 2.088N 76 4.668W,37 10.032N 75 59.112W,37 34.296N 76 1.974W,37 49.734N 75 59.646W,38 2.292N 76 20.394W,38 13.830N 76 2.730W,38 17.544N 76 24.276W,38 32.916N 76 25.362W,38 53.982N 76 26.202W,38 58.638N 76 19.836W
,Polar,Polar Speed Adjustment,Motoring,Ocean Current,TWS Scale Factor,TWD Adjustment
,"Upwind 50°: 5.0, 90°: 10.0, Downwind 160°: 6.0","Upwind: 100, Downwind: 100",False,Mercator,100%,0°
Time,TWS (kts),TWD (° true),TWA,SOG (kts),COG (° true),Motoring,Latitude,Longitude,Wave Height (ft),Wave Dir (° true),Wave Period (s),Current Speed (kts),Current Dir (° true),Pressure (hPa),Temperature (° F),Rain (mm/hr),CAPE (kJ/kg),Gust (kts)
2023-06-02T14:23:57-04:00,12.2,208,P50,4.2,258, ,41º 20.388 N,71º 23.849 W,2.3,151,5.6,0.1,119,1011.8,57.9,0.0,0.0,16.6
2023-06-02T14:53:42-04:00,11.4,210,S51,4.0,159, ,41º 19.967 N,71º 26.587 W,2.2,150,5.7,0.1,118,1011.6,58.5,0.0,0.0,15.6
2023-06-02T15:46:50-04:00,11.0,215,P53,4.0,268, ,41º 16.644 N,71º 24.880 W,2.3,149,5.7,0.1,166,1011.5,56.6,0.0,0.0,14.4
2023-06-02T16:49:14-04:00,9.5,217,S51,3.5,166, ,41º 16.523 N,71º 30.332 W,2.2,148,5.7,0.1,160,1011.2,57.4,0.0,0.0,12.5
2023-06-02T17:56:22-04:00,8.5,225,S49,3.3,176, ,41º 12.770 N,71º 29.092 W,2.3,147,5.8,0.3,212,1011.3,57.3,0.0,0.1,11.1
2023-06-02T20:03:44-04:00,9.4,222,P43,2.8,266, ,41º 05.704 N,71º 28.416 W,2.3,145,5.9,0.4,235,1011.3,57.7,0.0,0.1,12.1
2023-06-03T00:02:05-04:00,4.7,205,P47,2.2,252, ,41º 04.899 N,71º 42.968 W,2.0,140,6.3,0.3,228,1011.2,57.7,0.0,0.0,6.3
2023-06-03T01:30:22-04:00,3.2,143,P77,2.2,219, ,41º 03.907 N,71º 47.086 W,1.9,137,6.4,0.3,216,1011.4,57.6,0.0,0.0,4.4
2023-06-03T02:16:45-04:00,4.4,89,P92,4.3,181, ,41º 02.615 N,71º 48.490 W,2.0,130,6.3,0.4,215,1011.5,57.4,0.0,0.0,6.1
2023-06-03T03:17:03-04:00,10.6,50,P115,7.6,165, ,40º 58.292 N,71º 48.632 W,2.4,111,5.7,0.4,220,1011.9,57.1,0.0,0.0,14.4
2023-06-03T04:04:36-04:00,16.2,42,S146,7.4,257, ,40º 52.517 N,71º 46.551 W,2.7,100,5.2,0.5,227,1012.2,57.2,0.0,0.0,21.6
2023-06-03T05:34:08-04:00,21.5,43,S139,7.7,264, ,40º 49.981 N,72º 00.706 W,3.0,94,5.1,0.5,248,1012.9,57.7,0.0,0.0,28.3
2023-06-03T07:40:12-04:00,21.2,47,S143,7.1,264, ,40º 48.194 N,72º 21.646 W,3.8,74,4.5,0.2,234,1014.2,56.7,0.0,0.0,28.1
2023-06-03T09:49:29-04:00,15.5,52,S154,6.7,259, ,40º 46.548 N,72º 41.673 W,3.6,82,4.7,0.3,243,1015.2,59.1,0.0,0.0,24.3
