,Route,Start Time,Start,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,End
,ECMWF,2023-06-02T12:00:00-04:00,41 20.388N 71 23.850W,40 52.602N 71 46.692W,40 51.396N 72 45.552W,40 42.348N 73 20.796W,39 32.160N 72 53.442W,39 16.956N 74 42.552W,38 10.116N 73 51.750W,37 58.848N 74 59.586W,37 32.316N 75 47.412W,37 2.088N 76 4.668W,37 10.032N 75 59.112W,37 34.296N 76 1.974W,37 49.734N 75 59.646W,38 2.292N 76 20.394W,38 13.830N 76 2.730W,38 17.544N 76 24.276W,38 32.916N 76 25.362W,38 53.982N 76 26.202W,38 58.638N 76 19.836W
,Polar,Polar Speed Adjustment,Motoring,Ocean Current,TWS Scale Factor,TWD Adjustment
,"Upwind 50°: 5.0, 90°: 10.0, Downwind 160°: 6.0","Upwind: 100, Downwind: 100",False,Mercator,100%,0°
Time,TWS (kts),TWD (° true),TWA,SOG (kts),COG (° true),Motoring,Latitude,Longitude,Wave Height (ft),Wave Dir (° true),Wave Period (s),Current Speed (kts),Current Dir (° true),Pressure (hPa),Temperature (° F),Rain (mm/hr),CAPE (kJ/kg),Gust (kts)
2023-06-02T12:00:00-04:00,9.9,219,S51,3.7,168, ,41º 20.388 N,71º 23.849 W,2.5,145,6.4,0.1,148,1015.9,59.0,0.0,0.0,13.6
2023-06-02T14:00:53-04:00,9.5,215,P46,3.4,261, ,41º 13.172 N,71º 21.816 W,2.7,142,6.3,0.2,231,1015.1,60.1,0.0,0.0,12.2
2023-06-02T16:33:57-04:00,10.7,217,S54,4.4,163, ,41º 11.778 N,71º 33.211 W,2.5,144,6.0,0.3,240,1014.2,60.3,0.0,0.0,13.3
2023-06-02T17:17:49-04:00,10.1,218,P51,3.7,268, ,41º 08.745 N,71º 31.948 W,2.6,143,6.1,0.4,245,1014.0,61.1,0.0,0.0,12.6
2023-06-02T18:24:21-04:00,9.4,220,P56,3.6,275, ,41º 08.624 N,71º 37.399 W,2.5,144,6.1,0.4,264,1014.0,60.7,0.0,0.0,11.7
2023-06-02T20:47:08-04:00,8.2,220,S41,2.8,178, ,41º 09.392 N,71º 48.722 W,2.1,141,6.1,0.2,303,1013.8,60.3,0.0,0.0,10.0
2023-06-03T01:05:00-04:00,7.4,237,S72,4.3,165, ,40º 57.281 N,71º 48.211 W,2.4,136,6.5,0.3,218,1013.2,60.0,0.0,0.0,9.1
2023-06-03T02:14:33-04:00,7.4,237,P50,2.7,287, ,40º 52.517 N,71º 46.551 W,2.4,135,6.5,0.3,228,1012.9,60.4,0.0,0.0,9.0
2023-06-03T06:16:22-04:00,5.3,253,S45,2.5,207, ,40º 55.747 N,72º 00.517 W,2.1,136,6.5,0.2,262,1012.7,59.5,0.0,0.0,6.6
2023-06-03T09:43:49-04:00,6.4,239,P45,3.5,284, ,40º 48.128 N,72º 05.760 W,2.3,134,6.5,0.5,270,1012.9,59.4,0.0,0.0,8.1
2023-06-03T11:51:19-04:00,8.4,166,P93,5.9,259, ,40º 49.898 N,72º 15.235 W,2.2,135,6.5,0.3,249,1013.3,58.9,0.0,0.0,11.1
2023-06-03T12:20:03-04:00,9.2,126,P112,5.1,239, ,40º 49.336 N,72º 18.885 W,2.1,135,6.4,0.3,245,1013.5,58.8,0.0,0.0,12.2
2023-06-03T14:10:21-04:00,11.1,70,S148,5.9,283, ,40º 44.479 N,72º 29.484 W,2.2,129,6.4,0.3,260,1014.3,59.5,0.0,0.0,14.4
2023-06-03T15:46:04-04:00,13.2,66,P154,6.7,219, ,40º 46.548 N,72º 41.673 W,2.5,113,5.3,0.4,252,1014.9,62.1,0.2,0.0,21.7
2023-06-03T17:01:30-04:00,19.5,68,P157,6.6,225, ,40º 40.090 N,72º 48.694 W,3.2,100,4.4,0.4,248,1015.3,60.8,0.4,0.0,25.7
2023-06-03T18:28:20-04:00,23.5,61,S140,7.7,281, ,40º 33.352 N,72º 57.539 W,4.4,83,4.6,0.4,249,1016.3,59.4,0.0,0.0,31.3
2023-06-03T20:36:40-04:00,22.9,54,S126,7.9,288, ,40º 36.469 N,73º 19.226 W,4.2,81,4.5,,,1017.8,59.2,0.0,0.0,31.0
2023-06-03T20:47:33-04:00,21.8,54,P24,2.4,79, ,40º 36.909 N,73º 21.028 W,3.9,82,4.4,,,1017.9,59.1,0.0,0.0,30.0
2023-06-03T21:05:13-04:00,21.8,54,S53,5.3,1, ,40º 37.050 N,73º 20.115 W,4.1,80,4.5,,,1018.1,59.0,0.0,0.0,30.0
2023-06-03T21:13:36-04:00,20.8,54,P138,7.3,192, ,40º 37.770 N,73º 20.092 W,4.0,80,4.5,,,1018.2,58.9,0.0,0.0,29.2
2023-06-03T21:29:25-04:00,23.2,54,P108,9.1,162, ,40º 35.899 N,73º 20.606 W,4.4,79,4.7,0.4,252,1018.3,59.0,0.0,0.0,30.9
2023-06-04T00:27:39-04:00,26.2,54,P109,9.0,162, ,40º 10.310 N,73º 09.823 W,8.2,61,5.9,0.3,265,1018.5,57.3,0.0,0.0,34.8
2023-06-04T01:57:42-04:00,25.8,54,P108,9.1,162, ,39º 57.517 N,73º 04.432 W,8.8,57,6.2,0.3,265,1018.0,57.3,0.0,0.0,33.9
2023-06-04T04:54:10-04:00,26.1,54,S155,6.8,259, ,39º 31.929 N,72º 53.648 W,9.8,51,6.6,0.4,236,1017.9,59.3,0.0,0.0,34.9
2023-06-04T07:57:49-04:00,25.2,52,S153,7.1,259, ,39º 27.859 N,73º 20.110 W,9.4,57,6.7,0.5,253,1019.7,57.9,0.0,0.0,32.7
2023-06-04T09:29:16-04:00,23.5,50,S152,7.3,259, ,39º 25.753 N,73º 33.797 W,8.9,59,6.7,0.6,235,1020.3,57.6,0.0,0.0,30.2
2023-06-04T11:54:45-04:00,21.3,47,S152,7.2,254, ,39º 21.954 N,73º 56.164 W,7.9,62,6.6,0.9,213,1021.1,57.4,0.0,0.0,27.2
2023-06-04T15:14:16-04:00,19.3,51,S147,7.1,264, ,39º 15.591 N,74º 25.879 W,5.7,71,6.3,0.5,224,1021.0,58.2,0.0,0.0,25.1
2023-06-04T16:20:30-04:00,16.0,56,P96,9.9,152, ,39º 14.768 N,74º 35.893 W,4.5,76,6.1,0.4,213,1020.7,59.6,0.0,0.0,24.4
2023-06-04T19:15:41-04:00,17.2,58,P94,9.9,152, ,38º 48.805 N,74º 18.221 W,7.7,66,6.9,0.9,212,1019.8,58.0,0.0,0.0,22.1
2023-06-04T23:44:40-04:00,16.8,62,S155,6.9,267, ,38º 09.862 N,73º 51.715 W,9.0,61,7.3,0.5,251,1018.0,63.6,0.0,0.0,23.0
2023-06-05T02:17:18-04:00,15.2,63,S164,6.7,259, ,38º 08.945 N,74º 13.988 W,8.0,66,7.3,0.9,217,1017.7,63.4,0.0,0.0,20.7
2023-06-05T03:09:29-04:00,15.2,61,P159,7.1,221, ,38º 07.822 N,74º 21.287 W,7.7,67,7.2,1.0,217,1017.6,63.3,0.0,0.0,20.6
2023-06-05T04:21:30-04:00,15.1,60,S159,7.0,261, ,38º 01.365 N,74º 28.308 W,7.6,67,7.2,1.1,211,1017.2,63.6,0.0,0.0,20.1
2023-06-05T07:10:17-04:00,14.4,49,S131,7.8,278, ,37º 58.295 N,74º 52.921 W,6.5,71,7.1,0.7,202,1016.9,62.3,0.0,0.0,18.4
2023-06-05T07:52:02-04:00,13.9,44,P149,7.0,193, ,37º 59.045 N,74º 59.706 W,6.1,73,7.0,0.7,204,1016.9,61.5,0.0,0.0,17.9
2023-06-05T09:57:20-04:00,16.1,34,S151,7.4,243, ,37º 44.791 N,75º 03.804 W,6.4,71,6.9,0.6,211,1016.0,62.7,0.0,0.0,20.9
2023-06-05T11:58:55-04:00,16.6,26,S143,7.3,243, ,37º 38.086 N,75º 20.592 W,5.7,71,6.7,0.5,210,1015.7,61.5,0.0,0.0,21.6
2023-06-05T14:02:14-04:00,13.8,41,P140,7.2,181, ,37º 31.381 N,75º 37.380 W,4.5,73,6.5,0.3,212,1015.2,62.6,0.0,0.0,18.4
2023-06-05T15:32:43-04:00,15.9,31,S151,6.8,240, ,37º 20.571 N,75º 37.734 W,4.9,72,6.6,0.4,203,1014.3,61.5,0.0,0.0,20.6
2023-06-05T16:10:24-04:00,15.0,37,P150,6.9,187, ,37º 18.428 N,75º 42.344 W,3.7,71,6.1,0.4,201,1013.9,61.8,0.0,0.0,19.5
2023-06-05T17:14:58-04:00,15.1,33,S158,6.3,234, ,37º 11.081 N,75º 43.492 W,4.4,71,6.2,0.4,209,1013.2,62.2,0.0,0.0,19.6
2023-06-05T18:11:39-04:00,12.9,38,P151,6.0,189, ,37º 07.646 N,75º 49.506 W,3.2,75,6.5,0.3,217,1012.7,62.9,0.0,0.0,17.1
2023-06-05T18:38:09-04:00,13.0,39,S147,5.9,252, ,37º 05.054 N,75º 50.045 W,3.5,75,6.5,0.3,215,1012.4,63.0,0.0,0.0,16.9
2023-06-05T19:33:39-04:00,11.7,47,S148,5.0,259, ,37º 03.351 N,75º 56.455 W,2.9,76,6.1,0.1,219,1011.9,63.5,0.0,0.0,15.3
2023-06-05T20:54:10-04:00,9.4,51,P52,3.3,103, ,37º 02.088 N,76º 04.667 W,2.4,76,5.7,0.1,255,1011.2,64.2,0.0,0.0,12.6
2023-06-05T21:41:58-04:00,9.4,48,S53,2.7,356, ,37º 01.498 N,76º 01.510 W,2.8,78,6.1,0.1,243,1010.8,63.9,0.0,0.0,12.6
2023-06-06T00:22:39-04:00,5.5,47,P40,1.6,87, ,37º 08.564 N,76º 02.186 W,1.2,91,5.2,0.1,329,1009.6,63.3,0.0,0.0,8.1
2023-06-06T01:59:42-04:00,4.6,34,S91,2.9,303, ,37º 08.695 N,75º 59.004 W,1.2,97,5.7,0.1,298,1008.8,62.3,0.0,0.0,7.0
2023-06-06T03:55:19-04:00,4.5,337,P52,2.8,29, ,37º 11.746 N,76º 04.805 W,0.8,113,4.7,0.2,8,1008.1,63.0,0.0,0.0,7.1
2023-06-06T04:45:46-04:00,4.8,276,P80,3.5,356, ,37º 13.758 N,76º 03.378 W,0.6,130,4.4,0.2,358,1007.8,62.9,0.0,0.0,7.6
2023-06-06T06:46:16-04:00,6.2,245,P116,4.0,1, ,37º 20.824 N,76º 04.055 W,0.5,204,2.8,0.2,352,1007.0,63.4,0.0,0.0,9.3
2023-06-06T10:01:01-04:00,9.2,207,S144,4.3,62, ,37º 33.796 N,76º 03.630 W,0.8,203,2.1,0.1,2,1005.2,64.6,0.0,0.0,12.7
2023-06-06T10:18:23-04:00,9.0,205,P133,4.9,338, ,37º 34.367 N,76º 02.249 W,0.8,204,2.1,0.1,7,1005.0,65.1,0.0,0.0,12.5
2023-06-06T11:46:31-04:00,12.3,184,S141,5.7,44, ,37º 41.012 N,76º 05.663 W,1.3,184,2.3,0.1,317,1004.0,65.0,0.0,0.0,16.8
2023-06-06T13:22:22-04:00,12.0,189,P144,5.6,332, ,37º 47.609 N,75º 57.731 W,1.3,192,2.4,0.0,238,1003.1,67.6,0.0,0.0,15.6
2023-06-06T13:38:30-04:00,12.5,186,S145,5.7,41, ,37º 48.911 N,75º 58.596 W,1.4,189,2.5,0.0,220,1002.9,67.5,0.0,0.0,16.3
2023-06-06T13:44:44-04:00,12.4,186,P35,2.9,221, ,37º 49.341 N,75º 58.128 W,1.4,189,2.5,0.0,220,1002.8,67.6,0.0,0.0,16.1
2023-06-06T13:56:19-04:00,12.7,185,S55,4.8,130, ,37º 48.911 N,75º 58.596 W,1.5,188,2.5,0.0,220,1002.7,67.7,0.0,0.0,16.5
2023-06-06T14:19:22-04:00,12.4,185,P58,5.2,242, ,37º 47.750 N,75º 56.818 W,1.3,189,2.5,0.0,234,1002.5,68.4,0.0,0.0,15.9
2023-06-06T14:47:54-04:00,13.2,177,P125,6.5,301, ,37º 46.608 N,75º 59.579 W,1.6,181,2.6,0.0,222,1002.3,68.0,0.0,0.0,17.2
2023-06-06T16:39:13-04:00,10.9,144,S159,4.6,345, ,37º 52.861 N,76º 12.539 W,1.6,155,2.8,0.2,351,1001.5,67.4,0.0,0.0,16.4
2023-06-06T17:43:17-04:00,10.2,108,S154,4.7,314, ,37º 57.625 N,76º 14.198 W,1.6,147,2.9,,,1001.6,67.0,0.1,0.0,15.6
2023-06-06T19:10:29-04:00,7.6,81,P48,3.2,130, ,38º 02.407 N,76º 20.397 W,1.3,138,2.9,0.1,331,1001.5,66.8,0.2,0.0,11.2
2023-06-06T20:02:15-04:00,7.1,45,P53,3.6,98, ,38º 00.666 N,76º 17.730 W,1.5,137,3.0,0.1,326,1001.4,66.4,0.3,0.0,10.5
2023-06-06T21:14:33-04:00,10.1,17,P62,6.0,79, ,38º 00.067 N,76º 12.302 W,1.7,145,3.1,0.1,269,1000.7,66.4,0.4,0.0,15.1
2023-06-06T22:13:15-04:00,11.2,314,P94,6.6,48, ,38º 01.190 N,76º 05.003 W,1.5,156,2.8,0.0,168,1000.0,66.6,0.6,0.1,15.4
2023-06-06T22:44:27-04:00,10.4,248,S141,5.0,107, ,38º 03.482 N,76º 01.750 W,1.2,160,2.5,0.0,191,999.7,66.7,0.7,0.1,14.4
2023-06-06T23:02:42-04:00,10.4,249,P124,5.6,12, ,38º 03.043 N,75º 59.949 W,1.1,161,2.4,0.0,176,999.5,66.9,0.7,0.1,14.2
2023-06-06T23:23:40-04:00,10.3,239,P125,5.8,4, ,38º 04.915 N,75º 59.434 W,1.0,164,2.3,0.0,202,999.3,66.8,1.0,0.1,14.4
2023-06-07T00:35:39-04:00,13.5,224,P118,7.5,342, ,38º 11.831 N,75º 58.754 W,0.8,165,2.0,0.1,196,998.3,67.3,2.1,0.1,18.2
2023-06-07T00:44:08-04:00,13.5,224,P86,8.5,310, ,38º 12.842 N,75º 59.174 W,0.8,165,2.0,0.1,196,998.2,67.3,1.9,0.1,18.1
2023-06-07T01:00:13-04:00,13.4,229,S99,8.8,130, ,38º 14.292 N,76º 01.396 W,0.8,162,2.0,0.1,173,998.1,67.1,1.5,0.1,18.0
2023-06-07T01:18:45-04:00,14.0,228,S44,5.6,184, ,38º 12.551 N,75º 58.730 W,0.8,166,1.9,0.1,196,997.8,67.4,2.3,0.1,18.9
2023-06-07T02:49:01-04:00,15.1,256,S58,6.0,199, ,38º 04.194 N,75º 59.457 W,1.2,203,2.3,0.0,180,997.8,66.0,1.4,0.1,20.3
2023-06-07T03:01:14-04:00,15.4,260,P49,4.9,310, ,38º 03.043 N,75º 59.949 W,1.3,210,2.4,0.0,169,997.9,65.8,1.1,0.1,20.5
2023-06-07T03:12:33-04:00,16.0,262,S42,4.2,221, ,38º 03.623 N,76º 00.838 W,1.4,216,2.4,0.0,178,998.0,65.5,1.1,0.1,21.3
2023-06-07T03:20:57-04:00,16.2,264,P46,4.5,310, ,38º 03.193 N,76º 01.306 W,1.5,221,2.5,0.0,175,998.0,65.3,1.1,0.1,21.6
2023-06-07T03:57:18-04:00,17.7,270,S49,5.0,221, ,38º 04.933 N,76º 03.973 W,1.6,245,2.6,0.1,194,998.2,64.6,0.9,0.1,23.7
2023-06-07T04:11:04-04:00,18.0,272,P37,3.8,310, ,38º 04.072 N,76º 04.909 W,1.8,253,2.7,0.1,189,998.3,64.3,0.8,0.1,24.1
2023-06-07T04:25:47-04:00,18.4,274,P59,5.4,333, ,38º 04.652 N,76º 05.798 W,1.8,260,2.7,0.1,195,998.4,64.0,0.7,0.1,24.8
2023-06-07T06:32:11-04:00,18.4,291,S48,4.8,242, ,38º 14.770 N,76º 12.275 W,2.3,291,3.0,0.0,115,998.7,61.5,0.2,0.0,25.4
2023-06-07T06:47:41-04:00,18.0,292,P46,4.5,338, ,38º 14.199 N,76º 13.656 W,2.4,293,3.1,0.0,94,998.8,61.1,0.2,0.0,25.1
2023-06-07T07:36:11-04:00,18.5,297,S52,5.4,244, ,38º 17.522 N,76º 15.363 W,2.3,296,3.0,0.0,69,998.9,60.5,0.1,0.0,25.8
2023-06-07T08:39:07-04:00,14.8,297,P45,4.5,342, ,38º 15.098 N,76º 21.797 W,1.7,303,2.7,0.0,2,999.4,60.2,0.0,0.0,24.1
2023-06-07T09:07:50-04:00,14.9,297,P104,9.2,40, ,38º 17.119 N,76º 22.639 W,1.8,304,2.8,0.0,3,999.4,60.8,0.0,0.0,23.0
2023-06-07T09:11:31-04:00,15.4,297,P81,9.0,19, ,38º 17.550 N,76º 22.171 W,1.9,304,2.8,0.0,4,999.4,61.0,0.0,0.0,23.0
2023-06-07T09:19:40-04:00,16.1,298,P57,5.4,354, ,38º 18.701 N,76º 21.679 W,2.0,303,2.9,0.0,0,999.3,61.3,0.0,0.0,23.7
2023-06-07T12:01:19-04:00,19.6,305,S46,4.7,259, ,38º 33.123 N,76º 23.477 W,2.6,307,3.1,0.0,245,999.4,63.6,0.0,0.0,27.0
2023-06-07T12:20:16-04:00,18.7,306,P56,5.9,1, ,38º 32.842 N,76º 25.302 W,2.4,308,3.1,0.0,250,999.5,63.9,0.0,0.0,27.2
2023-06-07T13:55:54-04:00,19.1,302,P61,5.8,3, ,38º 42.211 N,76º 24.995 W,2.5,307,3.1,0.0,180,999.6,64.1,0.1,0.0,25.9
2023-06-07T15:59:10-04:00,21.1,313,S55,5.6,259, ,38º 54.172 N,76º 24.150 W,2.8,316,3.2,0.0,211,1000.7,61.6,0.0,0.0,28.6
2023-06-07T16:14:50-04:00,19.6,315,P82,8.8,36, ,38º 53.891 N,76º 25.975 W,2.8,318,3.3,0.0,209,1000.9,61.4,0.0,0.0,27.7
2023-06-07T16:57:14-04:00,21.6,318,,,, ,38º 58.916 N,76º 21.271 W,2.7,320,3.2,0.0,210,1001.2,60.6,0.1,0.0,30.6
