,Route,Start Time,Start,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,End
,SPIRE,2023-06-02T12:00:00-04:00,41 20.388N 71 23.850W,40 52.602N 71 46.692W,40 51.396N 72 45.552W,40 42.348N 73 20.796W,39 32.160N 72 53.442W,39 16.956N 74 42.552W,38 10.116N 73 51.750W,37 58.848N 74 59.586W,37 32.316N 75 47.412W,37 2.088N 76 4.668W,37 10.032N 75 59.112W,37 34.296N 76 1.974W,37 49.734N 75 59.646W,38 2.292N 76 20.394W,38 13.830N 76 2.730W,38 17.544N 76 24.276W,38 32.916N 76 25.362W,38 53.982N 76 26.202W,38 58.638N 76 19.836W
,Polar,Polar Speed Adjustment,Motoring,Ocean Current,TWS Scale Factor,TWD Adjustment
,"Upwind 50°: 5.0, 90°: 10.0, Downwind 160°: 6.0","Upwind: 100, Downwind: 100",False,Mercator,100%,0°
Time,TWS (kts),TWD (° true),TWA,SOG (kts),COG (° true),Motoring,Latitude,Longitude,Wave Height (ft),Wave Dir (° true),Wave Period (s),Current Speed (kts),Current Dir (° true),Pressure (hPa),Temperature (° F),Rain (mm/hr),CAPE (kJ/kg),Gust (kts)
2023-06-02T12:00:00-04:00,9.2,208,S58,3.8,151, ,41º 20.388 N,71º 23.849 W,2.3,149,5.8,0.2,107,1013.1,59.2,0.0,0.0,15.7
2023-06-02T12:52:57-04:00,10.4,210,P50,4.1,260, ,41º 17.495 N,71º 21.675 W,2.5,149,5.7,0.2,131,1012.8,57.9,0.0,0.0,15.9
2023-06-02T16:12:22-04:00,9.2,219,S49,3.3,170, ,41º 15.119 N,71º 39.456 W,2.1,149,5.5,0.0,108,1011.9,59.4,0.0,0.0,12.1
2023-06-02T17:17:20-04:00,8.9,230,S49,3.1,181, ,41º 11.656 N,71º 38.662 W,2.3,149,5.6,0.1,259,1011.7,58.8,0.0,0.0,11.7
2023-06-02T21:58:21-04:00,5.1,257,S53,2.6,205, ,40º 57.243 N,71º 39.133 W,2.4,140,6.1,0.3,209,1011.9,59.4,0.0,0.1,11.2
2023-06-02T23:17:35-04:00,3.7,318,S83,2.4,234, ,40º 54.080 N,71º 41.053 W,2.3,138,6.2,0.4,211,1012.0,59.0,0.0,0.1,10.7
2023-06-03T00:00:33-04:00,3.2,352,S93,2.7,259, ,40º 53.079 N,71º 42.901 W,2.3,137,6.3,0.4,212,1011.8,58.9,0.0,0.1,9.8
2023-06-03T04:12:14-04:00,16.1,38,S134,7.6,264, ,40º 49.148 N,72º 08.450 W,2.4,117,5.6,0.3,237,1012.2,58.9,0.1,0.1,18.7
2023-06-03T06:01:49-04:00,17.1,42,S143,7.1,259, ,40º 47.783 N,72º 26.653 W,2.7,99,5.3,0.1,239,1013.0,59.5,0.2,0.1,24.3
2023-06-03T06:43:47-04:00,17.5,41,S134,7.7,268, ,40º 46.801 N,72º 33.040 W,3.0,91,5.1,0.1,243,1013.4,59.4,0.5,0.1,23.6
2023-06-03T07:35:05-04:00,16.8,42,S155,6.4,247, ,40º 46.548 N,72º 41.673 W,2.9,87,4.6,0.2,243,1013.9,59.2,0.5,0.1,24.3
2023-06-03T10:17:47-04:00,15.8,47,S156,6.2,252, ,40º 39.716 N,73º 02.778 W,3.5,82,4.5,,,1015.3,59.2,0.0,0.1,24.8
2023-06-03T11:14:25-04:00,15.5,51,S149,6.5,261, ,40º 37.873 N,73º 10.101 W,3.9,85,4.7,,,1015.7,59.4,0.0,0.0,24.7
2023-06-03T12:28:53-04:00,14.6,56,S38,3.7,18, ,40º 36.619 N,73º 20.583 W,3.3,88,4.7,,,1015.7,60.9,0.0,0.0,21.7
2023-06-03T12:48:39-04:00,14.1,55,P143,6.6,198, ,40º 37.770 N,73º 20.092 W,3.2,89,4.8,,,1015.8,61.7,0.0,0.0,21.2
2023-06-03T12:59:42-04:00,14.6,57,P106,9.3,162, ,40º 36.619 N,73º 20.583 W,3.3,88,4.8,,,1015.8,61.3,0.0,0.0,21.0
2023-06-03T15:56:46-04:00,20.9,52,P110,8.9,162, ,40º 10.743 N,73º 09.809 W,7.5,67,5.9,0.3,252,1015.8,57.9,0.0,0.0,32.5
2023-06-03T17:28:23-04:00,21.6,50,P112,9.0,162, ,39º 57.805 N,73º 04.422 W,8.9,59,6.3,0.3,244,1015.9,57.1,0.0,0.0,35.1
2023-06-03T20:27:38-04:00,21.5,48,S151,7.4,257, ,39º 31.929 N,72º 53.648 W,10.6,52,6.9,0.7,224,1016.1,56.6,0.0,0.0,35.5
2023-06-03T21:59:03-04:00,21.0,46,S147,7.5,259, ,39º 29.393 N,73º 07.803 W,10.4,55,7.0,0.7,231,1016.9,56.2,0.0,0.0,34.5
2023-06-03T23:30:26-04:00,20.2,43,S145,7.7,259, ,39º 27.148 N,73º 22.403 W,10.1,57,7.0,0.7,238,1017.4,55.7,0.0,0.0,32.0
2023-06-04T02:23:01-04:00,18.6,38,S145,7.7,254, ,39º 22.796 N,73º 50.690 W,8.5,62,7.0,0.7,217,1017.0,56.0,0.0,0.0,25.2
2023-06-04T03:57:38-04:00,18.4,34,S136,8.1,259, ,39º 19.399 N,74º 05.781 W,7.6,63,6.9,0.7,210,1016.6,56.4,0.0,0.0,24.6
