,Route,Start Time,Start,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,End
,ECMWF,2023-06-02T15:00:00-04:00,41 20.388N 71 23.850W,40 52.602N 71 46.692W,40 51.396N 72 45.552W,40 42.348N 73 20.796W,39 32.160N 72 53.442W,39 16.956N 74 42.552W,38 10.116N 73 51.750W,37 58.848N 74 59.586W,37 32.316N 75 47.412W,37 2.088N 76 4.668W,37 10.032N 75 59.112W,37 34.296N 76 1.974W,37 49.734N 75 59.646W,38 2.292N 76 20.394W,38 13.830N 76 2.730W,38 17.544N 76 24.276W,38 32.916N 76 25.362W,38 53.982N 76 26.202W,38 58.638N 76 19.836W
,Polar,Polar Speed Adjustment,Motoring,Ocean Current,TWS Scale Factor,TWD Adjustment
,"Upwind 50°: 5.0, 90°: 10.0, Downwind 160°: 6.0","Upwind: 100, Downwind: 100",False,Mercator,100%,0°
Time,TWS (kts),TWD (° true),TWA,SOG (kts),COG (° true),Motoring,Latitude,Longitude,Wave Height (ft),Wave Dir (° true),Wave Period (s),Current Speed (kts),Current Dir (° true),Pressure (hPa),Temperature (° F),Rain (mm/hr),CAPE (kJ/kg),Gust (kts)
2023-06-02T15:00:00-04:00,12.3,214,S51,4.1,163, ,41º 20.388 N,71º 23.849 W,2.4,154,5.4,0.2,111,1012.0,59.8,0.0,0.0,16.5
2023-06-02T15:15:38-04:00,12.5,215,P51,4.1,266, ,41º 19.377 N,71º 23.429 W,2.5,154,5.4,0.2,117,1012.0,59.2,0.0,0.0,16.4
2023-06-02T16:35:59-04:00,10.7,220,S45,3.4,174, ,41º 18.974 N,71º 30.705 W,2.3,152,5.4,0.2,117,1011.7,60.2,0.0,0.0,14.3
2023-06-02T19:54:52-04:00,8.2,226,P52,3.0,278, ,41º 07.725 N,71º 29.258 W,2.4,147,5.8,0.3,227,1011.7,59.8,0.0,0.0,10.7
2023-06-02T21:38:30-04:00,7.2,240,S45,3.4,194, ,41º 08.474 N,71º 36.042 W,2.2,145,5.9,0.3,247,1011.7,59.7,0.0,0.0,9.3
2023-06-03T01:36:37-04:00,5.9,298,S79,3.8,219, ,40º 55.231 N,71º 40.561 W,2.2,137,6.4,0.4,216,1011.6,58.8,0.1,0.1,8.0
2023-06-03T02:11:22-04:00,6.7,322,S69,5.0,252, ,40º 53.509 N,71º 42.433 W,2.3,132,6.3,0.4,216,1011.6,58.7,0.1,0.1,9.0
2023-06-03T02:50:48-04:00,10.0,5,S124,6.0,241, ,40º 52.517 N,71º 46.551 W,2.4,120,5.9,0.4,218,1011.7,58.7,0.0,0.1,13.4
2023-06-03T03:14:44-04:00,12.0,19,S120,7.6,259, ,40º 51.376 N,71º 49.312 W,2.5,114,5.7,0.4,224,1011.8,58.8,0.0,0.1,15.9
2023-06-03T05:05:26-04:00,18.4,39,S133,7.7,265, ,40º 48.568 N,72º 07.561 W,2.6,109,5.3,0.3,241,1012.4,59.2,0.1,0.1,23.9
2023-06-03T08:33:24-04:00,15.9,47,S148,6.9,259, ,40º 46.548 N,72º 41.673 W,3.3,83,4.5,0.2,244,1014.5,58.5,0.5,0.1,24.8
2023-06-03T08:45:40-04:00,15.8,47,P158,6.4,205, ,40º 46.267 N,72º 43.498 W,3.2,84,4.5,0.2,242,1014.6,58.6,0.4,0.1,25.0
2023-06-03T09:18:22-04:00,18.4,49,S158,6.3,252, ,40º 43.104 N,72º 45.417 W,3.5,81,4.6,0.2,237,1014.8,58.4,0.3,0.1,25.5
