,Route,Start Time,Start,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,End
,PWE,2023-06-02T18:00:00-04:00,41 20.388N 71 23.850W,40 52.602N 71 46.692W,40 51.396N 72 45.552W,40 42.348N 73 20.796W,39 32.160N 72 53.442W,39 16.956N 74 42.552W,38 10.116N 73 51.750W,37 58.848N 74 59.586W,37 32.316N 75 47.412W,37 2.088N 76 4.668W,37 10.032N 75 59.112W,37 34.296N 76 1.974W,37 49.734N 75 59.646W,38 2.292N 76 20.394W,38 13.830N 76 2.730W,38 17.544N 76 24.276W,38 32.916N 76 25.362W,38 53.982N 76 26.202W,38 58.638N 76 19.836W
,Polar,Polar Speed Adjustment,Motoring,Ocean Current,TWS Scale Factor,TWD Adjustment
,"Upwind 50°: 5.0, 90°: 10.0, Downwind 160°: 6.0","Upwind: 100, Downwind: 100",False,Mercator,100%,0°
Time,TWS (kts),TWD (° true),TWA,SOG (kts),COG (° true),Motoring,Latitude,Longitude,Wave Height (ft),Wave Dir (° true),Wave Period (s),Current Speed (kts),Current Dir (° true),Pressure (hPa),Temperature (° F),Rain (mm/hr),CAPE (kJ/kg),Gust (kts)
2023-06-02T18:00:00-04:00,8.8,170,P76,4.8,232, ,41º 20.388 N,71º 23.849 W,2.5,151,5.8,0.0,190,1013.9,60.8,0.0,0.0,14.0
2023-06-02T20:27:27-04:00,8.1,162,P79,3.4,231, ,41º 13.088 N,71º 36.345 W,2.2,144,6.0,0.1,261,1013.9,60.3,0.0,0.0,10.1
2023-06-02T23:45:40-04:00,4.9,162,P69,3.1,219, ,41º 05.929 N,71º 47.928 W,2.1,140,6.2,0.2,254,1013.7,59.4,0.0,0.0,9.0
2023-06-03T01:33:37-04:00,5.6,147,P111,2.0,241, ,41º 01.624 N,71º 52.608 W,2.2,138,6.3,0.2,223,1013.0,59.1,0.0,0.0,10.4
2023-06-03T03:20:49-04:00,3.8,210,S67,1.8,138, ,40º 59.911 N,71º 56.750 W,2.1,138,6.4,0.2,217,1012.7,59.1,0.0,0.0,9.1
2023-06-03T08:08:44-04:00,2.7,159,S43,1.2,117, ,40º 53.537 N,71º 49.241 W,2.3,136,6.5,0.3,228,1013.0,59.5,0.0,0.0,6.1
2023-06-03T10:02:38-04:00,3.5,185,P91,2.8,259, ,40º 52.517 N,71º 46.551 W,2.2,136,6.4,0.4,231,1013.1,59.6,0.0,0.0,6.1
2023-06-03T11:03:12-04:00,4.0,187,P103,3.4,273, ,40º 51.956 N,71º 50.201 W,2.2,136,6.4,0.4,237,1013.2,59.4,0.0,0.0,6.7
2023-06-03T14:19:12-04:00,7.2,177,P96,5.8,259, ,40º 52.592 N,72º 04.706 W,2.4,121,6.2,0.4,262,1014.5,60.7,0.0,0.0,22.9
2023-06-03T16:38:49-04:00,9.6,179,P92,6.5,257, ,40º 49.926 N,72º 22.043 W,3.2,87,4.5,0.4,247,1015.6,59.2,0.3,0.0,26.2
2023-06-03T18:58:52-04:00,9.8,166,P90,6.9,243, ,40º 46.548 N,72º 41.673 W,4.0,80,4.6,0.4,251,1017.2,59.3,0.2,0.0,29.4
2023-06-03T21:40:34-04:00,9.0,114,P118,5.0,220, ,40º 38.275 N,73º 02.825 W,5.4,74,4.9,,,1018.5,58.3,0.0,0.0,31.9
