,Route,Start Time,Start,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,End
,SPIRE,2023-06-02T18:00:00-04:00,41 20.388N 71 23.850W,40 52.602N 71 46.692W,40 51.396N 72 45.552W,40 42.348N 73 20.796W,39 32.160N 72 53.442W,39 16.956N 74 42.552W,38 10.116N 73 51.750W,37 58.848N 74 59.586W,37 32.316N 75 47.412W,37 2.088N 76 4.668W,37 10.032N 75 59.112W,37 34.296N 76 1.974W,37 49.734N 75 59.646W,38 2.292N 76 20.394W,38 13.830N 76 2.730W,38 17.544N 76 24.276W,38 32.916N 76 25.362W,38 53.982N 76 26.202W,38 58.638N 76 19.836W
,Polar,Polar Speed Adjustment,Motoring,Ocean Current,TWS Scale Factor,TWD Adjustment
,"Upwind 50°: 5.0, 90°: 10.0, Downwind 160°: 6.0","Upwind: 100, Downwind: 100",False,Mercator,100%,0°
Time,TWS (kts),TWD (° true),TWA,SOG (kts),COG (° true),Motoring,Latitude,Longitude,Wave Height (ft),Wave Dir (° true),Wave Period (s),Current Speed (kts),Current Dir (° true),Pressure (hPa),Temperature (° F),Rain (mm/hr),CAPE (kJ/kg),Gust (kts)
2023-06-02T18:00:00-04:00,8.4,228,S46,3.1,181, ,41º 20.388 N,71º 23.849 W,2.5,151,5.8,0.0,190,1013.9,60.8,0.0,0.0,14.0
2023-06-02T19:37:00-04:00,9.1,239,S45,3.2,193, ,41º 15.343 N,71º 24.015 W,2.5,146,6.0,0.2,226,1013.9,60.9,0.0,0.0,11.5
2023-06-02T21:11:47-04:00,8.9,240,P48,3.3,288, ,41º 10.448 N,71º 25.537 W,2.5,143,6.2,0.3,236,1013.9,61.2,0.0,0.0,9.9
2023-06-02T22:04:07-04:00,8.7,242,S29,2.4,213, ,41º 11.329 N,71º 29.140 W,2.4,143,6.2,0.4,233,1013.9,60.6,0.0,0.0,9.8
2023-06-03T02:27:15-04:00,7.4,256,S42,3.2,213, ,41º 02.423 N,71º 36.921 W,2.4,140,6.3,0.4,261,1012.8,59.7,0.0,0.0,11.3
2023-06-03T05:44:54-04:00,5.8,317,S81,3.7,234, ,40º 53.519 N,71º 44.702 W,2.4,137,6.4,0.3,227,1012.7,60.1,0.0,0.0,8.9
2023-06-03T06:58:52-04:00,4.8,0,S110,2.9,251, ,40º 50.945 N,71º 49.780 W,2.3,135,6.5,0.4,235,1012.8,60.1,0.0,0.0,7.0
2023-06-03T08:44:15-04:00,5.5,31,S132,3.9,259, ,40º 49.242 N,71º 56.191 W,2.3,134,6.5,0.4,256,1013.0,59.9,0.0,0.0,6.2
2023-06-03T10:43:40-04:00,8.8,46,S147,4.7,259, ,40º 47.698 N,72º 06.228 W,2.3,135,6.5,0.5,269,1012.9,59.4,0.0,0.0,8.8
2023-06-03T12:31:15-04:00,11.1,54,S151,5.3,263, ,40º 46.013 N,72º 17.178 W,2.2,134,6.4,0.4,244,1013.6,59.3,0.0,0.0,11.9
2023-06-03T13:22:16-04:00,12.1,57,S142,6.0,274, ,40º 45.461 N,72º 23.097 W,2.2,133,6.5,0.3,252,1013.9,59.4,0.0,0.0,13.1
