,Route,Start Time,Start,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,End
,GFS,2023-06-02T18:00:00-04:00,41 20.388N 71 23.850W,40 52.602N 71 46.692W,40 51.396N 72 45.552W,40 42.348N 73 20.796W,39 32.160N 72 53.442W,39 16.956N 74 42.552W,38 10.116N 73 51.750W,37 58.848N 74 59.586W,37 32.316N 75 47.412W,37 2.088N 76 4.668W,37 10.032N 75 59.112W,37 34.296N 76 1.974W,37 49.734N 75 59.646W,38 2.292N 76 20.394W,38 13.830N 76 2.730W,38 17.544N 76 24.276W,38 32.916N 76 25.362W,38 53.982N 76 26.202W,38 58.638N 76 19.836W
,Polar,Polar Speed Adjustment,Motoring,Ocean Current,TWS Scale Factor,TWD Adjustment
,"Upwind 50°: 5.0, 90°: 10.0, Downwind 160°: 6.0","Upwind: 100, Downwind: 100",False,Mercator,100%,0°
Time,TWS (kts),TWD (° true),TWA,SOG (kts),COG (° true),Motoring,Latitude,Longitude,Wave Height (ft),Wave Dir (° true),Wave Period (s),Current Speed (kts),Current Dir (° true),Pressure (hPa),Temperature (° F),Rain (mm/hr),CAPE (kJ/kg),Gust (kts)
2023-06-02T18:00:00-04:00,7.6,192,P71,3.0,263, ,41º 20.388 N,71º 23.849 W,2.3,154,5.4,0.1,117,1012.0,63.3,0.0,0.0,10.6
2023-06-02T19:28:42-04:00,4.5,234,S45,2.1,189, ,41º 19.836 N,71º 29.769 W,2.1,151,5.6,0.1,121,1012.8,62.8,0.1,0.0,7.8
2023-06-02T20:45:23-04:00,4.8,339,S110,3.0,228, ,41º 17.243 N,71º 30.308 W,2.1,149,5.7,0.1,153,1013.1,62.0,0.0,0.0,7.1
2023-06-02T21:41:59-04:00,7.0,12,S133,4.2,239, ,41º 15.381 N,71º 33.092 W,2.0,146,5.9,0.1,193,1013.1,61.9,0.0,0.0,9.6
2023-06-03T00:11:22-04:00,11.4,31,P150,6.7,181, ,41º 09.953 N,71º 45.073 W,1.9,139,6.2,0.2,247,1013.2,60.0,0.0,0.0,17.1
2023-06-03T02:01:20-04:00,19.4,42,P147,7.1,189, ,40º 57.702 N,71º 45.473 W,2.2,137,6.4,0.3,212,1013.1,58.7,0.1,0.0,23.5
2023-06-03T02:45:26-04:00,18.9,40,S143,7.3,256, ,40º 52.517 N,71º 46.551 W,2.4,121,5.9,0.4,218,1013.2,58.3,0.1,0.0,22.6
2023-06-03T05:00:03-04:00,22.3,39,S134,7.7,265, ,40º 48.859 N,72º 08.006 W,2.5,111,5.3,0.3,239,1014.0,56.5,0.1,0.0,26.2
2023-06-03T06:40:24-04:00,21.4,41,S136,7.5,265, ,40º 47.703 N,72º 24.839 W,3.1,87,5.0,0.1,243,1015.3,56.5,0.0,0.0,27.7
2023-06-03T08:22:54-04:00,20.1,41,S153,6.5,248, ,40º 46.548 N,72º 41.673 W,3.2,83,4.4,0.2,244,1016.6,55.9,0.0,0.0,27.7
2023-06-03T09:49:11-04:00,18.4,45,P153,6.7,198, ,40º 42.992 N,72º 53.138 W,3.1,80,4.3,0.2,234,1017.2,55.9,0.0,0.0,26.7
2023-06-03T10:11:07-04:00,19.5,46,S149,6.6,257, ,40º 40.690 N,72º 54.121 W,3.6,79,4.5,0.3,243,1017.4,56.1,0.0,0.0,27.1
2023-06-03T12:30:46-04:00,18.2,54,S151,6.5,262, ,40º 37.312 N,73º 13.751 W,3.8,86,4.9,,,1017.9,59.3,0.0,0.0,22.7
2023-06-03T13:19:26-04:00,17.4,57,S39,3.9,18, ,40º 36.619 N,73º 20.583 W,3.3,89,4.9,,,1018.0,60.5,0.0,0.0,21.1
