,Route,Start Time,Start,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,End
,PWE,2023-06-02T18:00:00-04:00,41 20.388N 71 23.850W,40 52.602N 71 46.692W,40 51.396N 72 45.552W,40 42.348N 73 20.796W,39 32.160N 72 53.442W,39 16.956N 74 42.552W,38 10.116N 73 51.750W,37 58.848N 74 59.586W,37 32.316N 75 47.412W,37 2.088N 76 4.668W,37 10.032N 75 59.112W,37 34.296N 76 1.974W,37 49.734N 75 59.646W,38 2.292N 76 20.394W,38 13.830N 76 2.730W,38 17.544N 76 24.276W,38 32.916N 76 25.362W,38 53.982N 76 26.202W,38 58.638N 76 19.836W
,Polar,Polar Speed Adjustment,Motoring,Ocean Current,TWS Scale Factor,TWD Adjustment
,"Upwind 50°: 5.0, 90°: 10.0, Downwind 160°: 6.0","Upwind: 100, Downwind: 100",False,Mercator,100%,0°
Time,TWS (kts),TWD (° true),TWA,SOG (kts),COG (° true),Motoring,Latitude,Longitude,Wave Height (ft),Wave Dir (° true),Wave Period (s),Current Speed (kts),Current Dir (° true),Pressure (hPa),Temperature (° F),Rain (mm/hr),CAPE (kJ/kg),Gust (kts)
2023-06-02T18:00:00-04:00,6.6,204,P58,2.4,262, ,41º 20.388 N,71º 23.849 W,2.3,154,5.4,0.1,117,1011.6,60.3,0.0,0.1,13.7
2023-06-02T20:24:30-04:00,9.7,207,S54,3.3,153, ,41º 19.555 N,71º 31.594 W,2.0,149,5.7,0.1,126,1011.7,62.4,0.0,0.2,9.7
2023-06-02T21:44:07-04:00,6.5,210,P54,2.5,264, ,41º 15.652 N,71º 28.998 W,2.2,147,5.9,0.1,194,1011.8,60.7,0.0,0.1,7.4
2023-06-03T00:53:20-04:00,6.6,218,S52,2.7,166, ,41º 14.829 N,71º 39.011 W,1.7,140,6.2,0.1,241,1011.7,62.3,0.0,0.0,10.2
2023-06-03T03:59:10-04:00,3.2,259,S62,2.0,198, ,41º 07.323 N,71º 36.534 W,2.9,83,4.9,0.4,249,1012.3,59.9,0.1,0.1,23.8
2023-06-03T04:36:19-04:00,2.5,326,S96,2.0,231, ,41º 06.172 N,71º 37.025 W,3.1,74,4.4,0.5,249,1012.5,59.2,0.0,0.1,28.2
2023-06-03T06:49:46-04:00,5.2,23,P159,1.8,181, ,41º 03.308 N,71º 41.659 W,4.4,61,4.5,0.4,233,1013.8,57.3,0.3,0.1,30.9
2023-06-03T07:22:58-04:00,6.1,32,S159,3.2,232, ,41º 01.867 N,71º 41.705 W,4.8,58,4.6,0.4,230,1014.1,56.8,0.3,0.1,31.3
2023-06-03T08:38:23-04:00,8.0,47,P137,4.9,184, ,40º 59.434 N,71º 45.871 W,5.5,57,4.7,0.4,227,1014.8,56.2,0.1,0.1,32.5
2023-06-03T10:03:00-04:00,10.1,67,S169,5.7,259, ,40º 52.517 N,71º 46.551 W,6.4,54,5.1,0.5,229,1015.3,56.0,0.0,0.0,34.1
2023-06-03T10:47:33-04:00,11.6,68,P145,6.3,213, ,40º 51.675 N,71º 52.026 W,6.6,56,5.2,0.5,235,1015.7,56.0,0.0,0.0,34.3
2023-06-03T11:25:24-04:00,14.8,55,S156,6.9,259, ,40º 48.371 N,71º 54.857 W,6.8,56,5.3,0.6,245,1015.9,55.9,0.0,0.0,34.3
2023-06-03T12:02:23-04:00,16.6,54,S151,7.2,263, ,40º 47.530 N,72º 00.332 W,6.7,59,5.3,0.6,253,1016.0,56.1,0.0,0.0,34.2
2023-06-03T13:12:00-04:00,20.2,56,S146,7.1,270, ,40º 46.566 N,72º 11.258 W,6.5,63,5.5,0.5,240,1016.2,56.6,0.0,0.0,31.6
2023-06-03T14:49:29-04:00,21.6,60,S150,6.9,270, ,40º 46.557 N,72º 26.466 W,5.8,70,5.5,0.3,240,1016.4,58.0,0.0,0.0,28.0
2023-06-03T16:28:59-04:00,18.4,58,P154,6.7,212, ,40º 46.548 N,72º 41.673 W,4.7,79,5.6,0.3,243,1016.4,60.5,0.0,0.0,26.6
2023-06-03T17:54:47-04:00,23.1,55,S157,6.9,259, ,40º 38.359 N,72º 48.296 W,6.2,76,5.9,0.4,244,1016.7,58.4,0.0,0.0,29.3
2023-06-03T19:39:50-04:00,22.7,45,S136,7.9,270, ,40º 35.973 N,73º 03.808 W,6.1,80,6.0,0.4,249,1017.2,58.7,0.0,0.0,29.2
2023-06-03T21:03:15-04:00,20.8,40,S103,9.6,297, ,40º 35.889 N,73º 18.337 W,4.9,84,5.8,0.3,245,1017.7,58.8,0.0,0.0,26.1
2023-06-03T21:17:34-04:00,20.0,39,P40,4.0,79, ,40º 36.909 N,73º 21.028 W,4.2,87,5.7,,,1017.8,58.6,0.0,0.0,24.1
2023-06-03T21:28:26-04:00,19.9,37,S36,3.6,1, ,40º 37.050 N,73º 20.115 W,4.2,87,5.7,,,1017.9,58.4,0.0,0.0,24.2
