,Route,Start Time,Start,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,End
,PWG,2023-06-02T21:00:00-04:00,41 20.388N 71 23.850W,40 52.602N 71 46.692W,40 51.396N 72 45.552W,40 42.348N 73 20.796W,39 32.160N 72 53.442W,39 16.956N 74 42.552W,38 10.116N 73 51.750W,37 58.848N 74 59.586W,37 32.316N 75 47.412W,37 2.088N 76 4.668W,37 10.032N 75 59.112W,37 34.296N 76 1.974W,37 49.734N 75 59.646W,38 2.292N 76 20.394W,38 13.830N 76 2.730W,38 17.544N 76 24.276W,38 32.916N 76 25.362W,38 53.982N 76 26.202W,38 58.638N 76 19.836W
,Polar,Polar Speed Adjustment,Motoring,Ocean Current,TWS Scale Factor,TWD Adjustment
,"Upwind 50°: 5.0, 90°: 10.0, Downwind 160°: 6.0","Upwind: 100, Downwind: 100",False,Mercator,100%,0°
Time,TWS (kts),TWD (° true),TWA,SOG (kts),COG (° true),Motoring,Latitude,Longitude,Wave Height (ft),Wave Dir (° true),Wave Period (s),Current Speed (kts),Current Dir (° true),Pressure (hPa),Temperature (° F),Rain (mm/hr),CAPE (kJ/kg),Gust (kts)
2023-06-02T21:00:00-04:00,7.0,212,P58,2.2,270, ,41º 20.388 N,71º 23.849 W,2.1,151,5.7,0.1,130,1013.1,61.6,0.0,0.0,8.1
2023-06-02T22:32:08-04:00,5.0,233,S59,2.5,173, ,41º 20.407 N,71º 28.388 W,1.9,147,5.9,0.1,133,1013.1,61.2,0.0,0.0,13.9
2023-06-02T23:49:19-04:00,4.2,220,P46,2.0,267, ,41º 17.954 N,71º 28.015 W,2.0,144,6.0,0.1,168,1013.2,60.0,0.0,0.0,17.3
2023-06-03T01:13:28-04:00,3.2,170,P59,1.9,228, ,41º 17.824 N,71º 31.197 W,1.8,142,6.1,0.1,171,1013.5,57.7,0.1,0.0,22.4
2023-06-03T02:40:08-04:00,4.1,97,P103,2.9,200, ,41º 15.961 N,71º 33.982 W,2.1,117,5.7,0.1,216,1013.8,56.1,0.2,0.0,25.9
2023-06-03T06:40:55-04:00,13.9,46,S148,6.8,258, ,41º 02.007 N,71º 40.793 W,4.4,61,4.5,0.4,233,1015.3,55.1,0.4,0.0,29.6
2023-06-03T06:59:49-04:00,15.3,46,P148,7.2,194, ,41º 01.586 N,71º 43.531 W,4.5,61,4.5,0.4,226,1015.5,55.1,0.4,0.0,29.8
2023-06-03T08:17:39-04:00,19.8,47,S146,6.8,260, ,40º 52.517 N,71º 46.551 W,5.7,54,4.7,0.5,228,1016.0,55.5,0.3,0.0,31.0
2023-06-03T09:59:17-04:00,19.9,59,S154,6.8,264, ,40º 50.562 N,72º 01.595 W,5.8,61,5.0,0.4,249,1017.2,54.8,0.3,0.0,30.6
2023-06-03T11:00:11-04:00,21.9,60,P153,6.8,213, ,40º 49.879 N,72º 10.696 W,5.7,66,5.1,0.3,238,1017.9,54.7,0.3,0.0,29.1
2023-06-03T11:35:10-04:00,22.8,58,S159,6.5,259, ,40º 46.575 N,72º 13.528 W,6.0,64,5.2,0.4,239,1017.9,55.1,0.3,0.0,29.1
2023-06-03T11:48:24-04:00,22.9,57,S152,6.9,266, ,40º 46.294 N,72º 15.353 W,6.0,65,5.2,0.4,240,1017.9,55.3,0.2,0.0,28.8
2023-06-03T12:36:24-04:00,23.1,57,S144,7.2,273, ,40º 45.892 N,72º 22.629 W,5.8,68,5.3,0.3,244,1018.1,55.8,0.2,0.0,27.6
2023-06-03T14:36:19-04:00,19.0,56,P154,6.7,210, ,40º 46.548 N,72º 41.673 W,4.5,79,5.4,0.3,243,1018.1,58.5,0.1,0.0,23.4
2023-06-03T15:27:26-04:00,22.6,53,S155,6.8,259, ,40º 41.663 N,72º 45.464 W,5.1,77,5.5,0.3,240,1018.0,58.9,0.0,0.0,24.1
2023-06-03T17:01:28-04:00,22.7,47,S149,6.8,259, ,40º 39.557 N,72º 59.152 W,4.7,82,5.5,0.4,240,1017.7,62.2,0.0,0.0,22.7
2023-06-03T18:53:10-04:00,21.1,43,S140,7.2,264, ,40º 37.031 N,73º 15.576 W,4.6,86,5.6,,,1018.0,61.3,0.0,0.0,21.1
2023-06-03T19:25:08-04:00,20.8,43,S92,9.9,311, ,40º 36.619 N,73º 20.583 W,4.2,89,5.5,,,1018.1,60.9,0.0,0.0,21.2
2023-06-03T19:27:50-04:00,20.5,42,P36,3.6,79, ,40º 36.909 N,73º 21.028 W,4.0,89,5.5,,,1018.1,60.9,0.0,0.0,21.1
2023-06-03T19:39:49-04:00,20.6,42,S40,4.0,1, ,40º 37.050 N,73º 20.115 W,4.2,89,5.5,,,1018.1,60.7,0.0,0.0,21.3
2023-06-03T19:50:47-04:00,20.2,41,P151,6.5,192, ,40º 37.770 N,73º 20.092 W,4.1,89,5.5,,,1018.2,60.6,0.0,0.0,21.1
2023-06-03T20:08:21-04:00,21.2,41,P121,8.4,162, ,40º 35.899 N,73º 20.606 W,4.6,87,5.7,0.3,243,1018.3,60.0,0.0,0.0,22.3
2023-06-03T21:44:18-04:00,23.9,42,P120,8.4,162, ,40º 23.105 N,73º 15.215 W,7.9,73,6.4,0.4,250,1018.6,58.3,0.0,0.0,27.7
2023-06-03T23:19:58-04:00,25.1,43,P119,8.4,162, ,40º 10.310 N,73º 09.823 W,9.2,65,6.7,0.4,248,1018.7,57.2,0.0,0.0,28.9
2023-06-04T00:55:38-04:00,24.9,42,P120,8.7,162, ,39º 57.517 N,73º 04.432 W,9.4,60,6.9,0.4,237,1018.6,56.5,0.0,0.0,26.6
2023-06-04T03:56:53-04:00,23.3,48,S153,7.3,254, ,39º 31.929 N,72º 53.648 W,8.9,51,7.0,0.8,223,1017.8,55.9,0.0,0.0,25.7
2023-06-04T05:14:47-04:00,22.4,47,S149,7.6,259, ,39º 29.384 N,73º 05.534 W,8.3,53,6.9,0.8,230,1018.0,55.8,0.0,0.0,22.7
2023-06-04T07:46:46-04:00,21.4,45,S148,7.5,257, ,39º 25.304 N,73º 29.726 W,7.3,54,6.6,0.8,238,1019.0,56.6,0.0,0.0,21.4
2023-06-04T10:44:57-04:00,19.9,44,S149,7.3,255, ,39º 20.232 N,73º 58.036 W,6.4,54,6.3,0.8,209,1019.4,57.2,0.0,0.0,19.9
2023-06-04T12:20:28-04:00,19.8,46,S147,7.2,259, ,39º 17.266 N,74º 12.659 W,5.4,61,6.3,0.6,214,1019.1,57.8,0.0,0.0,19.8
2023-06-04T13:56:42-04:00,19.8,52,S144,7.0,268, ,39º 15.020 N,74º 27.259 W,3.8,73,6.2,0.4,218,1018.5,58.4,0.0,0.0,19.8
2023-06-04T14:54:11-04:00,16.4,64,P88,10.0,152, ,39º 14.768 N,74º 35.893 W,2.9,81,6.0,0.3,208,1017.9,60.8,0.0,0.0,16.4
2023-06-04T17:49:15-04:00,15.8,62,P90,9.3,152, ,38º 48.805 N,74º 18.221 W,5.1,62,6.8,1.0,213,1017.3,58.1,0.0,0.0,15.8
2023-06-04T19:24:15-04:00,15.2,65,P87,9.3,152, ,38º 35.824 N,74º 09.386 W,5.4,58,7.0,0.8,220,1016.9,58.1,0.0,0.0,15.2
2023-06-04T20:58:47-04:00,15.0,63,P89,9.1,152, ,38º 22.843 N,74º 00.550 W,5.6,55,7.1,0.8,223,1017.0,58.5,0.0,0.0,15.0
2023-06-04T22:35:23-04:00,13.6,63,S152,5.9,271, ,38º 09.862 N,73º 51.715 W,5.8,52,7.1,0.7,225,1017.0,59.2,0.0,0.0,13.6
2023-06-05T00:34:33-04:00,10.1,69,P152,5.2,221, ,38º 10.068 N,74º 06.688 W,5.4,55,7.3,0.9,212,1016.2,59.6,0.0,0.0,10.1
