,Route,Start Time,Start,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,End
,UKMO,2023-06-02T21:00:00-04:00,41 20.388N 71 23.850W,40 52.602N 71 46.692W,40 51.396N 72 45.552W,40 42.348N 73 20.796W,39 32.160N 72 53.442W,39 16.956N 74 42.552W,38 10.116N 73 51.750W,37 58.848N 74 59.586W,37 32.316N 75 47.412W,37 2.088N 76 4.668W,37 10.032N 75 59.112W,37 34.296N 76 1.974W,37 49.734N 75 59.646W,38 2.292N 76 20.394W,38 13.830N 76 2.730W,38 17.544N 76 24.276W,38 32.916N 76 25.362W,38 53.982N 76 26.202W,38 58.638N 76 19.836W
,Polar,Polar Speed Adjustment,Motoring,Ocean Current,TWS Scale Factor,TWD Adjustment
,"Upwind 50°: 5.0, 90°: 10.0, Downwind 160°: 6.0","Upwind: 100, Downwind: 100",False,Mercator,100%,0°
Time,TWS (kts),TWD (° true),TWA,SOG (kts),COG (° true),Motoring,Latitude,Longitude,Wave Height (ft),Wave Dir (° true),Wave Period (s),Current Speed (kts),Current Dir (° true),Pressure (hPa),Temperature (° F),Rain (mm/hr),CAPE (kJ/kg),Gust (kts)
2023-06-02T21:00:00-04:00,6.2,216,S62,2.8,153, ,41º 20.388 N,71º 23.849 W,2.1,151,5.7,0.1,130,1011.7,62.1,0.0,0.2,7.4
2023-06-02T21:31:21-04:00,7.3,211,P47,2.7,258, ,41º 19.087 N,71º 22.984 W,2.2,150,5.8,0.1,155,1011.7,61.6,0.0,0.1,7.3
2023-06-02T23:04:35-04:00,8.4,218,S53,3.6,165, ,41º 18.245 N,71º 28.459 W,2.0,145,6.0,0.1,155,1011.8,62.1,0.0,0.0,8.4
2023-06-03T00:27:50-04:00,9.4,231,S50,4.5,181, ,41º 13.481 N,71º 26.800 W,2.1,142,6.1,0.3,225,1011.7,61.6,0.1,0.0,10.2
2023-06-03T02:32:19-04:00,8.7,251,S60,4.4,191, ,41º 04.112 N,71º 27.106 W,2.4,121,5.9,0.3,246,1011.6,60.2,0.1,0.0,11.7
2023-06-03T04:00:48-04:00,6.6,294,S66,5.2,228, ,40º 57.776 N,71º 28.675 W,3.1,81,5.0,0.3,252,1012.0,58.8,0.2,0.0,23.9
2023-06-03T04:33:05-04:00,10.4,357,S109,6.5,248, ,40º 55.914 N,71º 31.460 W,3.2,75,4.6,0.3,248,1012.2,58.8,0.2,0.0,28.1
2023-06-03T04:50:16-04:00,11.9,10,S115,7.4,254, ,40º 55.203 N,71º 33.753 W,3.3,74,4.5,0.3,242,1012.3,58.8,0.3,0.0,29.9
2023-06-03T07:22:51-04:00,17.9,48,S149,7.3,259, ,40º 50.543 N,71º 57.056 W,4.7,63,4.7,0.4,245,1013.8,57.1,0.1,0.1,31.4
2023-06-03T08:26:49-04:00,18.0,43,S138,7.6,264, ,40º 48.999 N,72º 07.094 W,4.9,64,4.6,0.4,244,1014.4,56.7,0.1,0.1,31.4
