,Route,Start Time,Start,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,End
,PWG,2023-06-02T06:00:00-04:00,41 20.388N 71 23.850W,40 52.602N 71 46.692W,40 51.396N 72 45.552W,40 42.348N 73 20.796W,39 32.160N 72 53.442W,39 16.956N 74 42.552W,38 10.116N 73 51.750W,37 58.848N 74 59.586W,37 32.316N 75 47.412W,37 2.088N 76 4.668W,37 10.032N 75 59.112W,37 34.296N 76 1.974W,37 49.734N 75 59.646W,38 2.292N 76 20.394W,38 13.830N 76 2.730W,38 17.544N 76 24.276W,38 32.916N 76 25.362W,38 53.982N 76 26.202W,38 58.638N 76 19.836W
,Polar,Polar Speed Adjustment,Motoring,Ocean Current,TWS Scale Factor,TWD Adjustment
,"Upwind 50°: 5.0, 90°: 10.0, Downwind 160°: 6.0","Upwind: 100, Downwind: 100",False,Mercator,100%,0°
Time,TWS (kts),TWD (° true),TWA,SOG (kts),COG (° true),Motoring,Latitude,Longitude,Wave Height (ft),Wave Dir (° true),Wave Period (s),Current Speed (kts),Current Dir (° true),Pressure (hPa),Temperature (° F),Rain (mm/hr),CAPE (kJ/kg),Gust (kts)
2023-06-02T06:00:00-04:00,7.9,222,S54,2.6,168, ,41º 20.388 N,71º 23.849 W,2.6,143,6.7,0.1,139,1015.4,61.1,0.0,0.0,8.9
2023-06-02T10:40:08-04:00,5.5,199,P54,2.7,253, ,41º 08.698 N,71º 20.601 W,2.8,139,6.7,0.1,255,1015.2,60.5,0.0,0.0,8.1
2023-06-02T12:09:43-04:00,6.6,183,P55,3.3,237, ,41º 07.566 N,71º 25.631 W,2.8,139,6.6,0.2,243,1014.8,60.8,0.0,0.0,8.7
2023-06-02T14:45:34-04:00,8.3,160,P59,4.4,219, ,41º 02.849 N,71º 35.318 W,2.7,138,6.5,0.4,259,1014.1,61.7,0.0,0.0,10.7
2023-06-02T17:46:52-04:00,11.0,130,P117,5.8,247, ,40º 52.517 N,71º 46.551 W,2.7,135,6.5,0.3,226,1013.1,62.2,0.0,0.0,15.4
2023-06-02T19:16:45-04:00,9.1,92,P145,4.6,237, ,40º 49.102 N,71º 57.103 W,2.7,133,6.5,0.4,261,1013.3,62.3,0.0,0.0,12.7
2023-06-02T19:54:50-04:00,8.6,73,S151,4.7,282, ,40º 47.530 N,72º 00.332 W,2.7,133,6.5,0.4,271,1013.4,62.3,0.0,0.0,10.8
2023-06-02T21:36:50-04:00,12.2,78,P141,6.1,219, ,40º 49.158 N,72º 10.720 W,2.5,133,6.6,0.3,253,1013.9,63.0,0.0,0.0,12.2
2023-06-02T21:58:58-04:00,12.3,79,P155,5.4,234, ,40º 47.436 N,72º 12.592 W,2.6,132,6.6,0.3,243,1014.1,62.9,0.0,0.0,12.3
2023-06-02T23:39:49-04:00,13.9,70,S142,7.2,287, ,40º 41.999 N,72º 22.303 W,2.6,131,6.6,0.2,259,1014.3,62.4,0.0,0.0,13.9
2023-06-03T01:48:17-04:00,17.7,71,P148,6.7,219, ,40º 46.548 N,72º 41.673 W,2.2,132,6.5,0.2,261,1014.3,63.2,0.3,0.0,22.5
2023-06-03T03:38:57-04:00,21.6,58,S159,6.4,259, ,40º 37.077 N,72º 51.970 W,2.4,130,6.4,0.2,256,1014.7,61.2,0.1,0.0,21.6
2023-06-03T04:32:28-04:00,20.5,54,S144,7.3,270, ,40º 35.954 N,72º 59.270 W,2.4,131,6.3,0.2,254,1014.9,60.4,0.2,0.0,23.4
2023-06-03T06:31:59-04:00,19.2,51,S115,8.8,297, ,40º 35.889 N,73º 18.337 W,2.0,135,6.1,0.2,260,1015.9,59.5,0.3,0.0,23.8
2023-06-03T06:47:36-04:00,18.6,52,P27,2.7,79, ,40º 36.909 N,73º 21.028 W,1.8,136,6.0,,,1016.1,59.4,0.3,0.0,23.4
2023-06-03T07:03:42-04:00,18.9,52,S50,5.0,1, ,40º 37.050 N,73º 20.115 W,1.8,136,6.0,,,1016.3,59.0,0.2,0.0,23.6
2023-06-03T07:12:33-04:00,18.7,52,P140,7.1,192, ,40º 37.770 N,73º 20.092 W,1.8,136,6.0,,,1016.4,58.9,0.2,0.0,23.5
2023-06-03T07:28:37-04:00,19.6,52,P111,8.8,162, ,40º 35.899 N,73º 20.606 W,1.9,135,6.1,0.2,257,1016.5,58.6,0.2,0.0,24.0
2023-06-03T08:59:58-04:00,21.5,51,P111,8.9,162, ,40º 23.105 N,73º 15.215 W,2.4,129,6.3,0.2,265,1017.1,57.7,0.1,0.0,26.8
2023-06-03T10:30:40-04:00,21.5,54,P108,9.0,162, ,40º 10.310 N,73º 09.823 W,2.4,125,6.5,0.2,277,1017.6,57.3,0.0,0.0,28.5
2023-06-03T14:57:12-04:00,22.8,53,S140,7.4,272, ,39º 31.929 N,72º 53.648 W,2.5,114,6.4,0.4,227,1017.3,56.3,0.0,0.0,29.9
2023-06-03T16:37:24-04:00,22.8,59,S146,7.1,272, ,39º 32.428 N,73º 09.634 W,2.4,113,6.2,0.4,244,1017.6,56.6,0.1,0.0,29.2
2023-06-03T18:21:32-04:00,21.8,63,S151,6.8,272, ,39º 32.927 N,73º 25.618 W,3.2,91,5.5,0.3,244,1018.1,57.0,0.0,0.0,30.7
2023-06-03T20:10:07-04:00,21.3,69,S157,6.5,272, ,39º 33.425 N,73º 41.603 W,4.3,77,4.4,0.4,234,1018.7,57.7,0.0,0.0,34.7
2023-06-03T22:03:28-04:00,20.4,74,P146,7.5,220, ,39º 33.925 N,73º 57.588 W,5.8,67,4.9,0.6,211,1018.9,59.0,0.0,0.0,34.0
2023-06-04T00:42:20-04:00,18.5,74,P158,6.7,232, ,39º 18.857 N,74º 13.969 W,6.8,63,5.3,0.6,217,1019.0,58.8,0.0,0.0,29.4
2023-06-04T02:20:52-04:00,16.1,72,S145,7.1,287, ,39º 12.128 N,74º 25.084 W,6.9,64,5.6,0.5,228,1018.8,59.1,0.0,0.0,25.0
2023-06-04T03:35:24-04:00,10.8,67,P95,8.1,162, ,39º 14.768 N,74º 35.893 W,5.1,71,5.5,0.3,212,1019.0,56.3,0.0,0.0,20.2
2023-06-04T04:14:51-04:00,13.4,66,P85,8.5,151, ,39º 09.713 N,74º 33.788 W,6.3,66,5.8,0.4,213,1018.9,57.5,0.0,0.0,21.6
2023-06-04T05:50:51-04:00,13.4,58,P93,9.3,151, ,38º 57.743 N,74º 25.373 W,8.1,57,6.2,0.6,206,1018.7,58.7,0.0,0.0,23.4
2023-06-04T08:44:06-04:00,14.4,52,P99,9.3,151, ,38º 33.802 N,74º 08.545 W,9.9,51,6.8,0.7,220,1018.9,57.7,0.0,0.0,22.3
2023-06-04T11:45:05-04:00,13.4,58,S147,6.4,271, ,38º 09.862 N,73º 51.715 W,10.8,48,7.2,0.4,247,1018.5,57.8,0.0,0.0,21.0
2023-06-04T13:35:51-04:00,11.9,46,S144,6.2,263, ,38º 10.068 N,74º 06.688 W,10.5,51,7.2,0.6,216,1018.7,57.7,0.0,0.0,18.2
2023-06-04T14:28:19-04:00,11.8,45,S136,6.3,268, ,38º 09.376 N,74º 13.520 W,10.3,52,7.2,0.8,211,1018.6,57.7,0.0,0.0,17.0
2023-06-04T16:22:18-04:00,11.2,54,S145,4.9,268, ,38º 09.007 N,74º 28.739 W,9.8,56,7.1,0.9,208,1018.2,58.1,0.0,0.0,15.1
2023-06-04T18:47:29-04:00,9.3,84,P143,4.9,227, ,38º 08.637 N,74º 43.958 W,8.6,60,7.0,0.7,202,1017.5,58.4,0.0,0.0,10.1
2023-06-04T19:37:05-04:00,8.9,93,P141,4.9,234, ,38º 05.914 N,74º 47.678 W,8.4,61,7.0,0.7,207,1017.3,58.4,0.0,0.0,8.9
2023-06-04T21:59:03-04:00,8.1,128,P96,5.5,224, ,37º 59.045 N,74º 59.706 W,7.5,65,7.0,0.7,203,1016.8,59.4,0.0,0.0,10.0
2023-06-04T23:31:14-04:00,7.7,153,P86,4.4,239, ,37º 52.877 N,75º 07.171 W,7.0,68,7.0,0.6,210,1016.4,59.6,0.0,0.0,10.8
2023-06-05T02:48:26-04:00,8.7,191,P53,3.4,245, ,37º 45.447 N,75º 22.848 W,5.5,76,6.9,0.3,219,1015.4,60.3,0.0,0.0,12.0
2023-06-05T04:27:50-04:00,9.9,205,S23,3.2,181, ,37º 43.023 N,75º 29.282 W,4.7,77,6.8,0.4,214,1014.8,60.4,0.0,0.0,12.7
2023-06-05T08:14:24-04:00,13.0,228,P48,5.0,276, ,37º 30.772 N,75º 29.683 W,5.5,74,6.8,0.4,208,1014.6,61.7,0.0,0.0,14.9
2023-06-05T09:28:30-04:00,10.9,214,S64,5.1,151, ,37º 31.381 N,75º 37.380 W,4.7,76,6.6,0.3,212,1013.9,63.4,0.0,0.0,15.7
2023-06-05T11:57:59-04:00,12.6,193,P52,5.6,245, ,37º 20.393 N,75º 29.569 W,6.0,69,6.7,0.5,202,1012.9,63.1,0.0,0.0,15.2
2023-06-05T12:45:21-04:00,13.8,179,P57,6.5,236, ,37º 18.540 N,75º 34.623 W,5.6,70,6.6,0.4,202,1012.4,64.7,0.0,0.0,13.8
2023-06-05T13:34:21-04:00,15.0,167,P64,7.6,231, ,37º 15.536 N,75º 40.169 W,4.9,68,6.2,0.4,203,1011.8,66.2,0.0,0.0,15.0
2023-06-05T14:33:55-04:00,17.4,161,P66,7.3,227, ,37º 10.810 N,75º 47.587 W,3.6,68,5.6,0.4,215,1011.0,67.8,0.0,0.0,17.4
2023-06-05T15:44:49-04:00,19.2,159,P90,9.8,249, ,37º 04.933 N,75º 55.496 W,2.9,72,5.9,0.2,218,1009.9,69.3,0.0,0.1,19.2
2023-06-05T16:32:53-04:00,14.3,172,S120,8.1,52, ,37º 02.088 N,76º 04.667 W,2.8,69,5.4,0.1,246,1009.0,72.0,0.0,0.2,14.3
2023-06-05T16:50:14-04:00,17.7,160,S133,7.6,27, ,37º 03.520 N,76º 02.351 W,2.6,70,5.3,0.1,256,1008.9,71.2,0.0,0.2,17.7
2023-06-05T17:36:26-04:00,21.7,161,P155,6.3,316, ,37º 08.695 N,75º 59.004 W,1.6,72,4.8,0.1,294,1009.0,69.1,0.0,0.2,21.7
2023-06-05T18:20:02-04:00,18.8,160,S165,6.0,355, ,37º 12.027 N,76º 02.981 W,1.2,56,3.7,0.1,348,1008.9,69.0,0.0,0.1,18.8
2023-06-05T18:52:35-04:00,18.6,162,S150,6.6,12, ,37º 15.200 N,76º 03.331 W,0.9,38,3.2,0.1,350,1008.9,68.2,0.0,0.1,18.6
2023-06-05T21:31:09-04:00,19.5,188,P122,8.2,309, ,37º 32.045 N,75º 58.694 W,0.5,2,2.2,0.0,83,1008.8,67.1,0.0,0.0,19.5
2023-06-05T21:58:09-04:00,18.6,188,S156,6.2,33, ,37º 34.367 N,76º 02.249 W,0.5,10,2.3,0.1,11,1008.8,67.3,0.0,0.0,18.6
2023-06-05T23:32:02-04:00,18.4,193,P150,6.7,344, ,37º 42.556 N,75º 55.626 W,0.3,10,1.9,0.0,11,1008.4,67.6,0.0,0.0,18.4
2023-06-06T00:35:45-04:00,16.5,200,S56,5.8,144, ,37º 49.341 N,75º 58.128 W,0.3,131,1.7,0.0,209,1007.9,67.6,0.0,0.0,16.5
2023-06-06T00:59:55-04:00,17.4,202,P47,4.7,249, ,37º 47.460 N,75º 56.374 W,0.3,117,1.7,0.0,232,1007.8,67.1,0.0,0.0,17.4
2023-06-06T01:25:02-04:00,17.4,205,P110,8.8,315, ,37º 46.748 N,75º 58.667 W,0.3,120,1.7,0.0,215,1007.6,66.9,0.0,0.0,17.4
2023-06-06T02:45:54-04:00,12.4,212,P97,6.9,310, ,37º 55.153 N,76º 09.286 W,0.4,180,1.6,0.0,155,1006.9,67.0,0.0,0.0,12.4
2023-06-06T04:24:57-04:00,8.5,220,S91,5.5,130, ,38º 02.407 N,76º 20.397 W,0.5,198,1.6,0.1,333,1006.2,65.3,0.0,0.0,8.5
2023-06-06T04:34:52-04:00,8.5,221,S135,4.2,86, ,38º 01.826 N,76º 19.508 W,0.5,199,1.7,0.1,330,1006.2,65.3,0.0,0.0,8.5
2023-06-06T06:44:07-04:00,9.7,234,S152,4.1,82, ,38º 02.500 N,76º 08.138 W,0.7,219,1.9,0.0,222,1006.3,66.4,0.0,0.0,9.7
2023-06-06T08:24:10-04:00,10.3,244,P119,5.7,4, ,38º 03.473 N,75º 59.481 W,0.7,224,1.9,0.0,317,1006.5,66.8,0.0,0.1,10.3
2023-06-06T10:07:13-04:00,8.8,290,S31,1.9,259, ,38º 13.272 N,75º 58.706 W,0.8,201,1.9,0.1,229,1006.4,70.5,0.0,0.2,8.8
2023-06-06T10:30:30-04:00,8.5,299,P63,3.7,1, ,38º 13.132 N,75º 59.619 W,0.9,197,2.0,0.1,227,1006.4,70.5,0.0,0.2,8.5
2023-06-06T10:54:25-04:00,8.4,308,S49,2.9,259, ,38º 14.573 N,75º 59.572 W,0.9,194,2.0,0.1,227,1006.4,71.3,0.0,0.2,8.4
