,Route,Start Time,Start,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,End
,GFS,2023-06-02T09:00:00-04:00,41 20.388N 71 23.850W,40 52.602N 71 46.692W,40 51.396N 72 45.552W,40 42.348N 73 20.796W,39 32.160N 72 53.442W,39 16.956N 74 42.552W,38 10.116N 73 51.750W,37 58.848N 74 59.586W,37 32.316N 75 47.412W,37 2.088N 76 4.668W,37 10.032N 75 59.112W,37 34.296N 76 1.974W,37 49.734N 75 59.646W,38 2.292N 76 20.394W,38 13.830N 76 2.730W,38 17.544N 76 24.276W,38 32.916N 76 25.362W,38 53.982N 76 26.202W,38 58.638N 76 19.836W
,Polar,Polar Speed Adjustment,Motoring,Ocean Current,TWS Scale Factor,TWD Adjustment
,"Upwind 50°: 5.0, 90°: 10.0, Downwind 160°: 6.0","Upwind: 100, Downwind: 100",False,Mercator,100%,0°
Time,TWS (kts),TWD (° true),TWA,SOG (kts),COG (° true),Motoring,Latitude,Longitude,Wave Height (ft),Wave Dir (° true),Wave Period (s),Current Speed (kts),Current Dir (° true),Pressure (hPa),Temperature (° F),Rain (mm/hr),CAPE (kJ/kg),Gust (kts)
2023-06-02T09:00:00-04:00,6.1,232,S69,2.9,163, ,41º 20.388 N,71º 23.849 W,2.6,143,6.6,0.1,138,1015.2,65.1,0.0,0.0,7.9
2023-06-02T12:17:17-04:00,7.7,212,P45,3.3,257, ,41º 11.291 N,71º 20.062 W,2.7,140,6.5,0.2,245,1014.8,61.0,0.0,0.0,8.5
2023-06-02T15:38:56-04:00,7.1,197,P66,3.5,263, ,41º 08.755 N,71º 34.217 W,2.6,141,6.3,0.4,253,1013.8,62.7,0.0,0.0,8.7
2023-06-02T18:02:34-04:00,8.4,211,S33,4.0,178, ,41º 07.791 N,71º 45.143 W,2.4,143,6.0,0.2,284,1013.1,63.9,0.1,0.0,11.6
2023-06-02T21:05:25-04:00,9.5,242,S38,3.0,205, ,40º 55.681 N,71º 44.632 W,2.6,136,6.5,0.3,221,1013.6,61.9,0.0,0.0,13.0
2023-06-02T22:15:53-04:00,5.6,297,S78,3.5,219, ,40º 52.517 N,71º 46.551 W,2.6,135,6.5,0.3,227,1014.2,61.6,0.0,0.0,6.9
2023-06-02T23:13:08-04:00,4.9,16,S118,5.0,259, ,40º 49.934 N,71º 49.359 W,2.6,134,6.6,0.3,238,1014.5,61.2,0.0,0.0,5.6
2023-06-03T01:12:10-04:00,15.2,52,S143,7.3,269, ,40º 47.969 N,72º 02.134 W,2.5,133,6.6,0.5,271,1014.4,60.5,0.0,0.0,21.4
2023-06-03T02:48:52-04:00,18.4,56,S150,6.7,266, ,40º 47.745 N,72º 17.575 W,2.3,132,6.6,0.2,241,1014.8,60.0,0.0,0.0,26.6
2023-06-03T05:30:57-04:00,18.8,54,P157,6.4,210, ,40º 46.548 N,72º 41.673 W,2.2,135,6.3,0.2,260,1015.8,58.6,0.0,0.0,24.5
2023-06-03T06:24:01-04:00,19.3,54,S156,6.5,259, ,40º 41.663 N,72º 45.464 W,2.2,134,6.3,0.2,255,1016.2,58.1,0.0,0.0,24.9
2023-06-03T08:02:33-04:00,17.5,54,S155,6.3,259, ,40º 39.557 N,72º 59.152 W,2.0,134,6.2,0.2,252,1017.1,57.1,0.1,0.0,24.5
2023-06-03T10:03:15-04:00,18.3,54,S150,6.6,264, ,40º 37.031 N,73º 15.576 W,1.9,134,6.2,,,1018.0,58.6,0.1,0.0,23.1
2023-06-03T10:38:03-04:00,18.4,53,S103,9.3,311, ,40º 36.619 N,73º 20.583 W,1.7,134,6.2,,,1018.3,59.3,0.0,0.0,22.5
2023-06-03T10:40:55-04:00,18.2,53,P25,2.6,79, ,40º 36.909 N,73º 21.028 W,1.7,133,6.2,,,1018.3,59.4,0.0,0.0,22.3
2023-06-03T10:57:42-04:00,18.2,52,S51,5.1,1, ,40º 37.050 N,73º 20.115 W,1.7,134,6.2,,,1018.4,59.5,0.0,0.0,22.1
2023-06-03T11:06:24-04:00,17.7,52,P140,7.2,192, ,40º 37.770 N,73º 20.092 W,1.7,134,6.2,,,1018.5,59.5,0.0,0.0,21.8
2023-06-03T11:22:25-04:00,18.5,53,P109,9.0,162, ,40º 35.899 N,73º 20.606 W,1.8,133,6.3,0.3,255,1018.5,59.2,0.0,0.0,22.3
2023-06-03T14:21:04-04:00,25.4,56,P106,9.1,162, ,40º 10.310 N,73º 09.823 W,2.4,122,6.3,0.2,272,1018.5,56.8,0.1,0.0,28.3
2023-06-03T18:44:42-04:00,28.0,53,S150,7.0,263, ,39º 31.929 N,72º 53.648 W,3.9,76,5.1,0.4,229,1018.0,56.2,0.0,0.0,31.4
2023-06-03T20:49:56-04:00,27.2,56,S149,7.2,269, ,39º 30.133 N,73º 12.319 W,5.4,64,4.8,0.4,248,1018.4,56.4,0.1,0.0,32.6
2023-06-03T23:56:22-04:00,24.2,64,P154,7.0,218, ,39º 29.095 N,73º 40.043 W,7.5,57,5.5,0.5,236,1018.7,58.1,0.0,0.0,32.9
