,Route,Start Time,Start,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,End
,ECMWF,2023-06-02T12:00:00-04:00,41 20.388N 71 23.850W,40 52.602N 71 46.692W,40 51.396N 72 45.552W,40 42.348N 73 20.796W,39 32.160N 72 53.442W,39 16.956N 74 42.552W,38 10.116N 73 51.750W,37 58.848N 74 59.586W,37 32.316N 75 47.412W,37 2.088N 76 4.668W,37 10.032N 75 59.112W,37 34.296N 76 1.974W,37 49.734N 75 59.646W,38 2.292N 76 20.394W,38 13.830N 76 2.730W,38 17.544N 76 24.276W,38 32.916N 76 25.362W,38 53.982N 76 26.202W,38 58.638N 76 19.836W
,Polar,Polar Speed Adjustment,Motoring,Ocean Current,TWS Scale Factor,TWD Adjustment
,"Upwind 50°: 5.0, 90°: 10.0, Downwind 160°: 6.0","Upwind: 100, Downwind: 100",False,Mercator,100%,0°
Time,TWS (kts),TWD (° true),TWA,SOG (kts),COG (° true),Motoring,Latitude,Longitude,Wave Height (ft),Wave Dir (° true),Wave Period (s),Current Speed (kts),Current Dir (° true),Pressure (hPa),Temperature (° F),Rain (mm/hr),CAPE (kJ/kg),Gust (kts)
2023-06-02T12:00:00-04:00,11.8,221,S54,4.3,167, ,41º 20.388 N,71º 23.849 W,2.5,151,5.9,0.2,113,1013.4,58.2,0.0,0.0,16.1
2023-06-02T12:39:37-04:00,12.6,224,P54,4.8,278, ,41º 17.645 N,71º 23.032 W,2.6,151,5.9,0.2,128,1013.1,57.1,0.0,0.0,16.3
2023-06-02T12:52:50-04:00,12.7,224,S54,4.6,170, ,41º 17.795 N,71º 24.388 W,2.6,151,5.8,0.2,124,1013.0,57.2,0.0,0.0,16.4
2023-06-02T14:36:16-04:00,10.7,225,S55,4.2,170, ,41º 10.004 N,71º 22.601 W,2.7,148,5.9,0.2,205,1012.5,58.6,0.0,0.0,13.8
2023-06-02T16:30:23-04:00,9.3,235,S60,4.1,174, ,41º 02.213 N,71º 20.813 W,2.7,145,6.1,0.1,236,1012.4,58.2,0.0,0.0,12.0
2023-06-02T18:28:57-04:00,9.8,220,P55,4.2,275, ,40º 54.136 N,71º 19.715 W,2.7,142,6.2,0.1,246,1012.0,58.1,0.0,0.0,12.7
2023-06-02T19:23:07-04:00,10.4,205,P55,4.6,260, ,40º 54.445 N,71º 24.699 W,2.7,142,6.2,0.1,250,1011.7,58.4,0.0,0.0,13.5
2023-06-02T21:45:46-04:00,10.6,212,P57,4.4,269, ,40º 52.629 N,71º 38.830 W,2.6,141,6.1,0.3,212,1011.6,59.1,0.0,0.0,13.6
2023-06-02T23:04:34-04:00,10.7,219,P57,4.1,276, ,40º 52.517 N,71º 46.551 W,2.6,142,6.0,0.3,212,1011.8,58.7,0.0,0.0,13.6
2023-06-03T01:57:11-04:00,8.6,234,P57,3.3,291, ,40º 53.735 N,72º 01.945 W,2.3,141,6.0,0.2,226,1010.8,58.9,0.0,0.2,10.6
2023-06-03T02:56:37-04:00,8.0,251,S54,3.3,198, ,40º 54.904 N,72º 05.992 W,2.1,140,6.1,0.2,217,1011.0,59.1,0.0,0.3,10.2
2023-06-03T03:18:43-04:00,8.1,274,S48,4.9,226, ,40º 53.753 N,72º 06.484 W,2.2,140,6.2,0.2,218,1011.0,59.1,0.0,0.3,10.2
2023-06-03T04:06:30-04:00,7.6,18,S120,4.6,259, ,40º 51.030 N,72º 10.205 W,2.3,138,6.3,0.2,218,1011.0,59.3,0.0,0.3,9.6
2023-06-03T06:42:43-04:00,12.7,46,S146,6.2,260, ,40º 48.644 N,72º 25.717 W,2.4,113,5.5,0.0,188,1012.2,59.5,0.0,0.2,16.4
