,Route,Start Time,Start,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,End
,UKMO,2023-06-02T12:00:00-04:00,41 20.388N 71 23.850W,40 52.602N 71 46.692W,40 51.396N 72 45.552W,40 42.348N 73 20.796W,39 32.160N 72 53.442W,39 16.956N 74 42.552W,38 10.116N 73 51.750W,37 58.848N 74 59.586W,37 32.316N 75 47.412W,37 2.088N 76 4.668W,37 10.032N 75 59.112W,37 34.296N 76 1.974W,37 49.734N 75 59.646W,38 2.292N 76 20.394W,38 13.830N 76 2.730W,38 17.544N 76 24.276W,38 32.916N 76 25.362W,38 53.982N 76 26.202W,38 58.638N 76 19.836W
,Polar,Polar Speed Adjustment,Motoring,Ocean Current,TWS Scale Factor,TWD Adjustment
,"Upwind 50°: 5.0, 90°: 10.0, Downwind 160°: 6.0","Upwind: 100, Downwind: 100",False,Mercator,100%,0°
Time,TWS (kts),TWD (° true),TWA,SOG (kts),COG (° true),Motoring,Latitude,Longitude,Wave Height (ft),Wave Dir (° true),Wave Period (s),Current Speed (kts),Current Dir (° true),Pressure (hPa),Temperature (° F),Rain (mm/hr),CAPE (kJ/kg),Gust (kts)
2023-06-02T12:00:00-04:00,6.3,225,S59,3.2,166, ,41º 20.388 N,71º 23.849 W,2.5,151,5.9,0.2,113,1013.4,58.2,0.0,0.0,16.1
2023-06-02T16:26:52-04:00,9.8,217,P48,3.6,265, ,41º 06.386 N,71º 19.315 W,2.7,147,6.0,0.1,233,1012.4,58.9,0.0,0.0,11.2
2023-06-02T20:06:15-04:00,8.8,210,S42,3.2,168, ,41º 05.161 N,71º 36.604 W,2.5,146,5.9,0.3,240,1011.4,60.8,0.0,0.0,11.7
2023-06-02T23:49:19-04:00,9.2,212,P46,3.2,259, ,40º 53.471 N,71º 33.356 W,2.6,143,6.0,0.3,230,1011.6,58.4,0.0,0.0,12.8
2023-06-03T01:36:00-04:00,8.5,213,P59,4.0,272, ,40º 52.349 N,71º 40.655 W,2.5,143,6.0,0.4,215,1010.9,58.4,0.0,0.0,11.3
2023-06-03T02:43:13-04:00,7.1,208,P70,3.7,278, ,40º 52.517 N,71º 46.551 W,2.4,142,6.0,0.4,218,1011.0,58.6,0.0,0.0,11.2
2023-06-03T04:06:42-04:00,4.4,161,P89,2.6,251, ,40º 53.266 N,71º 53.336 W,2.3,139,6.2,0.3,230,1011.2,58.7,0.0,0.2,10.9
2023-06-03T05:05:15-04:00,3.1,77,P143,2.3,219, ,40º 52.415 N,71º 56.541 W,2.3,136,6.2,0.3,240,1011.4,58.7,0.0,0.3,10.4
2023-06-03T07:29:52-04:00,5.5,68,S157,3.2,272, ,40º 48.110 N,72º 01.222 W,3.3,86,4.8,0.5,255,1012.9,57.7,0.0,0.1,24.1
2023-06-03T09:24:17-04:00,9.3,71,P149,5.7,219, ,40º 48.287 N,72º 09.386 W,3.9,73,4.6,0.4,234,1013.8,57.0,0.0,0.1,27.6
2023-06-03T10:58:57-04:00,13.6,79,P155,6.2,234, ,40º 41.399 N,72º 16.875 W,4.8,64,4.6,0.5,241,1014.4,56.6,0.0,0.0,29.7
2023-06-03T11:15:35-04:00,14.2,77,S147,7.1,289, ,40º 40.398 N,72º 18.724 W,4.9,64,4.6,0.5,242,1014.4,56.7,0.0,0.0,29.6
2023-06-03T13:47:54-04:00,14.8,66,P147,7.0,213, ,40º 46.548 N,72º 41.673 W,3.9,80,4.9,0.3,240,1015.1,59.2,0.0,0.0,24.7
2023-06-03T15:24:54-04:00,18.7,59,S154,6.9,264, ,40º 37.067 N,72º 49.700 W,5.0,74,5.1,0.3,244,1015.3,58.5,0.0,0.0,26.2
2023-06-03T16:59:18-04:00,18.8,53,S144,7.2,269, ,40º 35.973 N,73º 03.808 W,4.4,81,5.2,0.4,255,1015.5,59.9,0.0,0.0,23.4
2023-06-03T18:02:10-04:00,18.9,56,S137,7.5,278, ,40º 35.870 N,73º 13.799 W,4.0,81,5.1,0.3,254,1015.9,60.1,0.0,0.0,23.2
2023-06-03T18:43:50-04:00,18.5,56,S38,3.8,18, ,40º 36.619 N,73º 20.583 W,3.4,84,4.9,,,1016.2,60.3,0.0,0.0,22.6
2023-06-03T19:03:00-04:00,17.9,55,P137,7.3,192, ,40º 37.770 N,73º 20.092 W,3.3,83,4.9,,,1016.4,60.0,0.0,0.0,22.7
2023-06-03T19:18:43-04:00,19.6,55,P107,9.2,162, ,40º 35.899 N,73º 20.606 W,3.7,81,4.9,0.3,244,1016.5,59.8,0.0,0.0,24.0
2023-06-03T22:14:58-04:00,27.0,55,P107,9.1,162, ,40º 10.310 N,73º 09.823 W,7.8,59,6.0,0.4,254,1016.8,56.9,0.0,0.0,32.4
2023-06-04T02:38:07-04:00,24.4,50,S150,7.4,259, ,39º 31.929 N,72º 53.648 W,8.8,43,6.5,0.8,230,1014.4,56.7,0.0,0.0,31.8
2023-06-04T05:09:51-04:00,26.3,50,S151,7.6,259, ,39º 28.570 N,73º 17.817 W,8.3,44,6.4,0.9,242,1014.3,55.8,0.0,0.0,31.1
2023-06-04T07:34:05-04:00,26.3,42,S148,7.8,254, ,39º 24.920 N,73º 41.541 W,7.6,46,6.3,1.0,228,1015.1,55.6,0.0,0.0,28.2
2023-06-04T09:39:59-04:00,26.9,37,S138,8.2,259, ,39º 20.391 N,74º 01.663 W,6.8,47,6.1,0.7,212,1015.4,56.1,0.0,0.0,26.9
2023-06-04T11:20:39-04:00,24.4,28,S131,8.3,257, ,39º 17.725 N,74º 19.000 W,5.2,53,6.0,0.6,224,1015.4,57.4,0.0,0.0,24.7
