,Route,Start Time,Start,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,End
,PWG,2023-06-02T18:00:00-04:00,41 20.388N 71 23.850W,40 52.602N 71 46.692W,40 51.396N 72 45.552W,40 42.348N 73 20.796W,39 32.160N 72 53.442W,39 16.956N 74 42.552W,38 10.116N 73 51.750W,37 58.848N 74 59.586W,37 32.316N 75 47.412W,37 2.088N 76 4.668W,37 10.032N 75 59.112W,37 34.296N 76 1.974W,37 49.734N 75 59.646W,38 2.292N 76 20.394W,38 13.830N 76 2.730W,38 17.544N 76 24.276W,38 32.916N 76 25.362W,38 53.982N 76 26.202W,38 58.638N 76 19.836W
,Polar,Polar Speed Adjustment,Motoring,Ocean Current,TWS Scale Factor,TWD Adjustment
,"Upwind 50°: 5.0, 90°: 10.0, Downwind 160°: 6.0","Upwind: 100, Downwind: 100",False,Mercator,100%,0°
Time,TWS (kts),TWD (° true),TWA,SOG (kts),COG (° true),Motoring,Latitude,Longitude,Wave Height (ft),Wave Dir (° true),Wave Period (s),Current Speed (kts),Current Dir (° true),Pressure (hPa),Temperature (° F),Rain (mm/hr),CAPE (kJ/kg),Gust (kts)
2023-06-02T18:00:00-04:00,11.4,215,P44,3.4,258, ,41º 20.388 N,71º 23.849 W,2.5,155,5.6,0.1,122,1011.5,63.3,0.4,0.0,11.4
2023-06-02T18:12:26-04:00,10.8,218,S50,3.6,167, ,41º 20.247 N,71º 24.762 W,2.4,155,5.6,0.1,123,1011.5,63.3,0.4,0.0,10.8
2023-06-02T20:33:36-04:00,7.9,219,S60,3.9,159, ,41º 12.021 N,71º 22.308 W,2.5,150,5.8,0.3,226,1011.5,61.1,0.0,0.0,7.9
2023-06-02T21:29:01-04:00,9.9,204,P55,5.2,258, ,41º 08.698 N,71º 20.601 W,2.6,149,5.8,0.2,238,1012.0,60.7,0.1,0.0,9.9
2023-06-02T23:47:38-04:00,11.3,206,S43,4.5,163, ,41º 06.312 N,71º 36.113 W,2.4,148,5.8,0.4,244,1012.1,61.2,0.2,0.0,11.3
2023-06-03T00:29:52-04:00,11.2,207,P49,4.8,256, ,41º 03.280 N,71º 34.850 W,2.4,146,5.8,0.4,237,1011.6,60.7,0.1,0.0,11.2
2023-06-03T02:29:52-04:00,11.8,214,S37,3.2,177, ,41º 01.025 N,71º 47.180 W,2.3,142,6.0,0.3,204,1011.0,60.2,0.1,0.0,13.1
2023-06-03T05:12:10-04:00,6.3,225,S17,2.2,208, ,40º 52.517 N,71º 46.551 W,2.4,133,6.1,0.4,221,1011.6,58.2,0.2,0.0,19.4
2023-06-03T06:15:21-04:00,4.6,217,P42,2.4,259, ,40º 50.505 N,71º 47.979 W,2.9,102,5.5,0.5,229,1012.0,57.2,0.3,0.0,20.7
2023-06-03T07:44:38-04:00,2.0,162,P86,2.5,248, ,40º 49.803 N,71º 52.541 W,3.5,76,4.6,0.5,243,1012.7,55.6,0.5,0.0,22.4
2023-06-03T10:01:46-04:00,4.9,87,S157,3.5,289, ,40º 47.669 N,71º 59.420 W,4.6,62,4.6,0.6,257,1013.4,54.9,0.2,0.0,24.5
2023-06-03T12:10:41-04:00,10.2,64,S154,5.5,270, ,40º 50.159 N,72º 08.871 W,4.9,63,4.8,0.4,237,1014.1,54.1,0.6,0.0,25.1
2023-06-03T14:30:09-04:00,15.0,70,P153,6.5,223, ,40º 50.085 N,72º 25.669 W,4.4,70,4.9,0.2,232,1014.8,54.0,1.0,0.0,25.2
