,Route,Start Time,Start,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,End
,SPIRE,2023-06-02T21:00:00-04:00,41 20.388N 71 23.850W,40 52.602N 71 46.692W,40 51.396N 72 45.552W,40 42.348N 73 20.796W,39 32.160N 72 53.442W,39 16.956N 74 42.552W,38 10.116N 73 51.750W,37 58.848N 74 59.586W,37 32.316N 75 47.412W,37 2.088N 76 4.668W,37 10.032N 75 59.112W,37 34.296N 76 1.974W,37 49.734N 75 59.646W,38 2.292N 76 20.394W,38 13.830N 76 2.730W,38 17.544N 76 24.276W,38 32.916N 76 25.362W,38 53.982N 76 26.202W,38 58.638N 76 19.836W
,Polar,Polar Speed Adjustment,Motoring,Ocean Current,TWS Scale Factor,TWD Adjustment
,"Upwind 50°: 5.0, 90°: 10.0, Downwind 160°: 6.0","Upwind: 100, Downwind: 100",False,Mercator,100%,0°
Time,TWS (kts),TWD (° true),TWA,SOG (kts),COG (° true),Motoring,Latitude,Longitude,Wave Height (ft),Wave Dir (° true),Wave Period (s),Current Speed (kts),Current Dir (° true),Pressure (hPa),Temperature (° F),Rain (mm/hr),CAPE (kJ/kg),Gust (kts)
2023-06-02T21:00:00-04:00,4.2,315,S96,2.5,219, ,41º 20.388 N,71º 23.849 W,2.1,151,5.7,0.1,130,1011.7,62.1,0.0,0.2,7.4
2023-06-02T22:07:01-04:00,3.3,350,S114,2.0,236, ,41º 18.235 N,71º 26.190 W,2.1,148,5.9,0.1,153,1011.7,61.6,0.0,0.1,5.8
2023-06-03T00:23:42-04:00,7.3,32,P152,4.5,184, ,41º 15.662 N,71º 31.267 W,1.9,142,6.1,0.1,207,1011.7,62.0,0.0,0.0,9.6
2023-06-03T01:55:52-04:00,11.4,32,S151,6.4,241, ,41º 08.745 N,71º 31.948 W,2.1,140,6.3,0.4,239,1011.5,62.3,0.2,0.0,11.4
2023-06-03T03:36:32-04:00,17.9,36,P153,6.9,188, ,41º 03.608 N,71º 44.372 W,2.6,98,5.3,0.3,222,1012.1,59.6,0.1,0.1,18.3
2023-06-03T05:14:50-04:00,21.1,39,S141,7.4,259, ,40º 52.517 N,71º 46.551 W,3.2,82,4.6,0.4,223,1012.4,58.9,0.1,0.0,28.5
2023-06-03T07:14:08-04:00,20.5,42,S135,7.8,266, ,40º 49.570 N,72º 05.713 W,4.2,70,4.7,0.4,245,1013.7,57.3,0.1,0.1,29.5
2023-06-03T08:14:50-04:00,19.9,41,S138,7.3,263, ,40º 49.037 N,72º 16.171 W,4.2,70,4.5,0.2,230,1014.4,56.8,0.2,0.1,28.4
2023-06-03T10:54:37-04:00,16.9,44,S155,6.5,249, ,40º 46.548 N,72º 41.673 W,3.9,80,4.9,0.2,244,1015.8,58.2,0.0,0.0,24.6
2023-06-03T12:10:16-04:00,15.9,45,P152,6.7,198, ,40º 43.562 N,72º 51.758 W,3.4,80,4.7,0.2,235,1015.9,59.3,0.0,0.0,24.2
2023-06-03T12:21:18-04:00,16.2,46,S156,6.4,249, ,40º 42.412 N,72º 52.249 W,3.7,79,4.8,0.2,235,1015.9,59.1,0.0,0.0,23.8
2023-06-03T13:44:35-04:00,15.6,50,S156,6.2,255, ,40º 39.286 N,73º 03.246 W,4.2,82,5.1,,,1016.0,60.7,0.0,0.0,23.4
2023-06-03T14:36:46-04:00,15.2,54,S153,6.2,261, ,40º 37.873 N,73º 10.101 W,4.3,85,5.3,,,1016.0,61.2,0.0,0.0,23.1
2023-06-03T15:54:23-04:00,14.5,60,S42,4.1,18, ,40º 36.619 N,73º 20.583 W,3.5,90,5.2,,,1015.9,61.7,0.0,0.0,21.0
2023-06-03T16:12:07-04:00,14.0,59,P139,6.8,198, ,40º 37.770 N,73º 20.092 W,3.3,91,5.2,,,1015.9,62.3,0.0,0.0,21.1
2023-06-03T16:22:52-04:00,14.6,61,P102,9.4,162, ,40º 36.619 N,73º 20.583 W,3.5,90,5.2,,,1015.9,61.6,0.0,0.0,21.3
2023-06-03T19:16:35-04:00,20.9,57,P106,9.1,162, ,40º 10.743 N,73º 09.809 W,8.6,68,6.4,0.4,250,1016.8,57.2,0.0,0.0,32.8
2023-06-03T22:17:13-04:00,21.0,44,P119,8.8,162, ,39º 44.867 N,72º 59.035 W,10.5,57,7.0,0.5,221,1017.2,55.9,0.0,0.0,34.9
2023-06-03T23:49:56-04:00,20.5,38,S143,7.9,255, ,39º 31.929 N,72º 53.648 W,10.5,53,7.1,0.8,224,1016.9,56.0,0.0,0.0,32.2
2023-06-04T01:34:24-04:00,19.8,35,S139,8.1,255, ,39º 28.469 N,73º 10.898 W,9.7,55,7.1,0.7,233,1016.7,55.7,0.0,0.0,28.8
2023-06-04T03:16:12-04:00,19.1,31,S136,8.3,255, ,39º 25.009 N,73º 28.147 W,8.8,57,7.1,0.7,239,1016.5,55.6,0.0,0.0,25.6
2023-06-04T04:56:05-04:00,18.6,28,S133,8.5,255, ,39º 21.549 N,73º 45.397 W,7.9,59,7.0,0.7,226,1016.2,55.9,0.0,0.0,24.6
2023-06-04T06:33:35-04:00,18.1,23,S125,9.0,259, ,39º 18.089 N,74º 02.646 W,7.1,59,6.7,0.8,210,1016.6,55.9,0.0,0.0,24.4
2023-06-04T08:05:14-04:00,15.9,13,S109,9.0,264, ,39º 15.422 N,74º 19.983 W,5.8,62,6.4,0.6,222,1017.1,56.5,0.0,0.0,24.1
