,Route,Start Time,Start,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,End
,GFS,2023-06-02T06:00:00-04:00,41 20.388N 71 23.850W,40 52.602N 71 46.692W,40 51.396N 72 45.552W,40 42.348N 73 20.796W,39 32.160N 72 53.442W,39 16.956N 74 42.552W,38 10.116N 73 51.750W,37 58.848N 74 59.586W,37 32.316N 75 47.412W,37 2.088N 76 4.668W,37 10.032N 75 59.112W,37 34.296N 76 1.974W,37 49.734N 75 59.646W,38 2.292N 76 20.394W,38 13.830N 76 2.730W,38 17.544N 76 24.276W,38 32.916N 76 25.362W,38 53.982N 76 26.202W,38 58.638N 76 19.836W
,Polar,Polar Speed Adjustment,Motoring,Ocean Current,TWS Scale Factor,TWD Adjustment
,"Upwind 50°: 5.0, 90°: 10.0, Downwind 160°: 6.0","Upwind: 100, Downwind: 100",False,Mercator,100%,0°
Time,TWS (kts),TWD (° true),TWA,SOG (kts),COG (° true),Motoring,Latitude,Longitude,Wave Height (ft),Wave Dir (° true),Wave Period (s),Current Speed (kts),Current Dir (° true),Pressure (hPa),Temperature (° F),Rain (mm/hr),CAPE (kJ/kg),Gust (kts)
2023-06-02T06:00:00-04:00,8.1,229,S62,3.5,167, ,41º 20.388 N,71º 23.849 W,2.5,146,6.4,0.3,111,1014.2,58.0,0.0,0.0,10.3
2023-06-02T07:53:20-04:00,8.6,231,S58,3.5,173, ,41º 13.892 N,71º 21.793 W,2.7,144,6.4,0.2,160,1014.4,57.3,0.0,0.0,9.5
2023-06-02T09:48:10-04:00,9.5,223,P47,3.4,270, ,41º 07.257 N,71º 20.648 W,2.8,142,6.4,0.1,174,1014.3,56.7,0.0,0.0,10.8
2023-06-02T10:49:04-04:00,10.3,217,P42,3.6,258, ,41º 07.276 N,71º 25.187 W,2.7,142,6.4,0.2,185,1014.1,57.4,0.0,0.0,11.9
2023-06-02T13:08:27-04:00,10.9,207,P51,4.1,258, ,41º 05.591 N,71º 36.136 W,2.7,144,6.1,0.3,240,1013.2,59.9,0.0,0.0,13.6
2023-06-02T15:20:57-04:00,9.2,217,S67,4.8,150, ,41º 03.767 N,71º 47.999 W,2.5,143,6.1,0.2,152,1012.8,61.9,0.1,0.0,12.1
2023-06-02T16:02:52-04:00,8.1,273,S90,4.3,184, ,41º 00.875 N,71º 45.824 W,2.7,143,6.1,0.2,156,1013.0,61.2,0.0,0.0,10.1
2023-06-02T17:58:30-04:00,6.6,273,S84,4.2,189, ,40º 52.517 N,71º 46.551 W,2.7,140,6.2,0.3,202,1012.3,61.2,0.0,0.0,7.6
2023-06-02T18:35:39-04:00,7.4,218,P60,4.6,278, ,40º 49.925 N,71º 47.090 W,2.7,138,6.3,0.3,215,1011.9,61.2,0.0,0.0,8.8
2023-06-02T19:29:57-04:00,8.9,191,P78,4.8,269, ,40º 50.524 N,71º 52.517 W,2.6,138,6.2,0.3,232,1011.2,61.5,0.0,0.0,10.8
