,Route,Start Time,Start,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,End
,SPIRE,2023-06-02T06:00:00-04:00,41 20.388N 71 23.850W,40 52.602N 71 46.692W,40 51.396N 72 45.552W,40 42.348N 73 20.796W,39 32.160N 72 53.442W,39 16.956N 74 42.552W,38 10.116N 73 51.750W,37 58.848N 74 59.586W,37 32.316N 75 47.412W,37 2.088N 76 4.668W,37 10.032N 75 59.112W,37 34.296N 76 1.974W,37 49.734N 75 59.646W,38 2.292N 76 20.394W,38 13.830N 76 2.730W,38 17.544N 76 24.276W,38 32.916N 76 25.362W,38 53.982N 76 26.202W,38 58.638N 76 19.836W
,Polar,Polar Speed Adjustment,Motoring,Ocean Current,TWS Scale Factor,TWD Adjustment
,"Upwind 50°: 5.0, 90°: 10.0, Downwind 160°: 6.0","Upwind: 100, Downwind: 100",False,Mercator,100%,0°
Time,TWS (kts),TWD (° true),TWA,SOG (kts),COG (° true),Motoring,Latitude,Longitude,Wave Height (ft),Wave Dir (° true),Wave Period (s),Current Speed (kts),Current Dir (° true),Pressure (hPa),Temperature (° F),Rain (mm/hr),CAPE (kJ/kg),Gust (kts)
2023-06-02T06:00:00-04:00,5.8,250,S71,3.0,180, ,41º 20.388 N,71º 23.849 W,2.5,146,6.4,0.3,111,1014.5,56.9,0.0,0.0,10.5
2023-06-02T09:58:42-04:00,8.1,231,P47,3.0,278, ,41º 08.567 N,71º 23.783 W,2.7,142,6.4,0.2,178,1014.2,56.7,0.0,0.0,12.1
2023-06-02T11:00:11-04:00,9.2,228,S55,3.7,173, ,41º 09.017 N,71º 27.853 W,2.7,143,6.3,0.2,190,1014.0,56.7,0.0,0.0,13.3
2023-06-02T11:40:26-04:00,9.5,226,P45,3.2,270, ,41º 06.565 N,71º 27.480 W,2.7,142,6.3,0.2,197,1013.7,57.3,0.0,0.0,13.1
2023-06-02T12:12:36-04:00,10.0,224,S43,3.2,181, ,41º 06.574 N,71º 29.749 W,2.7,143,6.2,0.3,203,1013.5,57.6,0.0,0.0,13.2
2023-06-02T12:39:47-04:00,10.3,223,P47,3.8,270, ,41º 05.132 N,71º 29.797 W,2.7,142,6.2,0.2,205,1013.3,57.9,0.0,0.0,13.0
2023-06-02T13:34:33-04:00,11.1,220,S53,4.0,168, ,41º 05.152 N,71º 34.335 W,2.7,144,6.1,0.3,229,1012.9,58.5,0.0,0.0,13.5
2023-06-02T16:51:44-04:00,9.4,217,P54,3.8,270, ,40º 52.451 N,71º 30.665 W,2.8,140,6.2,0.1,220,1012.4,58.2,0.0,0.0,11.5
2023-06-02T20:03:33-04:00,8.8,213,P64,3.9,277, ,40º 52.517 N,71º 46.551 W,2.6,140,6.2,0.3,207,1011.4,60.1,0.0,0.0,13.1
2023-06-02T22:21:42-04:00,8.1,226,P60,2.8,285, ,40º 53.575 N,71º 58.319 W,2.5,140,6.1,0.1,227,1011.7,59.4,0.0,0.0,12.8
