,Route,Start Time,Start,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,End
,PWE,2023-06-02T09:00:00-04:00,41 20.388N 71 23.850W,40 52.602N 71 46.692W,40 51.396N 72 45.552W,40 42.348N 73 20.796W,39 32.160N 72 53.442W,39 16.956N 74 42.552W,38 10.116N 73 51.750W,37 58.848N 74 59.586W,37 32.316N 75 47.412W,37 2.088N 76 4.668W,37 10.032N 75 59.112W,37 34.296N 76 1.974W,37 49.734N 75 59.646W,38 2.292N 76 20.394W,38 13.830N 76 2.730W,38 17.544N 76 24.276W,38 32.916N 76 25.362W,38 53.982N 76 26.202W,38 58.638N 76 19.836W
,Polar,Polar Speed Adjustment,Motoring,Ocean Current,TWS Scale Factor,TWD Adjustment
,"Upwind 50°: 5.0, 90°: 10.0, Downwind 160°: 6.0","Upwind: 100, Downwind: 100",False,Mercator,100%,0°
Time,TWS (kts),TWD (° true),TWA,SOG (kts),COG (° true),Motoring,Latitude,Longitude,Wave Height (ft),Wave Dir (° true),Wave Period (s),Current Speed (kts),Current Dir (° true),Pressure (hPa),Temperature (° F),Rain (mm/hr),CAPE (kJ/kg),Gust (kts)
2023-06-02T09:00:00-04:00,9.7,222,S62,4.3,160, ,41º 20.388 N,71º 23.849 W,2.5,147,6.3,0.3,110,1014.2,57.3,0.0,0.0,13.4
2023-06-02T10:19:41-04:00,7.4,224,S69,3.3,156, ,41º 15.044 N,71º 21.301 W,2.7,147,6.2,0.2,156,1014.1,56.5,0.0,0.0,13.9
2023-06-02T14:19:38-04:00,6.0,203,P55,4.2,258, ,41º 02.905 N,71º 13.981 W,2.8,144,6.1,0.1,223,1012.7,57.4,0.0,0.0,13.0
2023-06-02T15:29:46-04:00,7.6,184,P63,4.5,248, ,41º 01.922 N,71º 20.369 W,2.8,144,6.1,0.1,232,1012.5,58.0,0.0,0.0,12.5
2023-06-02T16:19:15-04:00,8.4,174,P70,5.6,244, ,41º 00.500 N,71º 24.955 W,2.8,144,6.1,0.1,242,1012.4,58.0,0.0,0.0,12.5
2023-06-02T19:22:17-04:00,9.5,160,P88,6.5,248, ,40º 52.517 N,71º 46.551 W,2.7,140,6.2,0.3,205,1011.6,59.8,0.0,0.0,12.6
2023-06-02T22:42:31-04:00,5.0,115,P123,3.0,237, ,40º 45.976 N,72º 08.100 W,2.5,137,6.2,0.3,224,1011.8,59.6,0.0,0.0,11.6
2023-06-03T01:39:55-04:00,6.4,71,S148,3.8,282, ,40º 41.260 N,72º 17.788 W,2.5,137,6.1,0.3,236,1010.9,59.6,0.0,0.2,12.1
2023-06-03T05:20:54-04:00,9.6,71,S143,4.6,288, ,40º 44.218 N,72º 35.848 W,2.2,132,6.2,0.1,234,1011.1,60.2,0.0,0.3,9.6
2023-06-03T05:58:15-04:00,8.0,67,S116,4.6,311, ,40º 45.097 N,72º 39.451 W,2.2,127,6.0,0.2,233,1011.6,60.3,0.0,0.3,10.4
