,Route,Start Time,Start,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,End
,ECMWF,2023-06-02T12:00:00-04:00,41 20.388N 71 23.850W,40 52.602N 71 46.692W,40 51.396N 72 45.552W,40 42.348N 73 20.796W,39 32.160N 72 53.442W,39 16.956N 74 42.552W,38 10.116N 73 51.750W,37 58.848N 74 59.586W,37 32.316N 75 47.412W,37 2.088N 76 4.668W,37 10.032N 75 59.112W,37 34.296N 76 1.974W,37 49.734N 75 59.646W,38 2.292N 76 20.394W,38 13.830N 76 2.730W,38 17.544N 76 24.276W,38 32.916N 76 25.362W,38 53.982N 76 26.202W,38 58.638N 76 19.836W
,Polar,Polar Speed Adjustment,Motoring,Ocean Current,TWS Scale Factor,TWD Adjustment
,"Upwind 50°: 5.0, 90°: 10.0, Downwind 160°: 6.0","Upwind: 100, Downwind: 100",False,Mercator,100%,0°
Time,TWS (kts),TWD (° true),TWA,SOG (kts),COG (° true),Motoring,Latitude,Longitude,Wave Height (ft),Wave Dir (° true),Wave Period (s),Current Speed (kts),Current Dir (° true),Pressure (hPa),Temperature (° F),Rain (mm/hr),CAPE (kJ/kg),Gust (kts)
2023-06-02T12:00:00-04:00,11.8,213,P53,4.0,266, ,41º 20.388 N,71º 23.849 W,2.3,149,5.8,0.2,107,1013.5,57.7,0.0,0.0,16.2
2023-06-02T13:23:08-04:00,10.7,221,S58,4.4,163, ,41º 19.985 N,71º 31.126 W,2.1,151,5.7,0.2,109,1012.8,60.1,0.0,0.0,15.2
2023-06-02T13:52:32-04:00,12.2,225,S51,3.9,175, ,41º 17.964 N,71º 30.284 W,2.3,151,5.6,0.2,112,1012.6,57.5,0.0,0.0,15.7
2023-06-02T16:08:11-04:00,8.3,230,S49,2.9,181, ,41º 09.166 N,71º 29.210 W,2.4,145,5.9,0.2,212,1012.2,57.4,0.0,0.0,11.0
2023-06-02T18:08:45-04:00,8.1,226,P47,3.3,273, ,41º 03.401 N,71º 29.399 W,2.4,143,6.0,0.2,229,1012.2,58.0,0.0,0.0,10.8
2023-06-02T19:48:02-04:00,9.8,218,P41,3.0,258, ,41º 03.720 N,71º 36.652 W,2.4,144,5.9,0.3,237,1012.5,57.9,0.0,0.0,12.9
2023-06-02T20:29:33-04:00,8.9,217,S41,2.6,176, ,41º 03.299 N,71º 39.389 W,2.3,143,6.0,0.2,222,1012.5,57.8,0.0,0.0,11.8
2023-06-02T23:11:59-04:00,3.8,268,S49,2.2,219, ,40º 56.233 N,71º 38.713 W,2.3,138,6.3,0.3,216,1012.6,57.4,0.0,0.1,5.7
2023-06-02T23:57:19-04:00,5.1,342,S99,3.5,244, ,40º 54.941 N,71º 40.117 W,2.3,137,6.4,0.3,214,1012.5,58.1,0.0,0.2,7.0
2023-06-03T01:31:05-04:00,6.4,28,S129,4.4,259, ,40º 52.517 N,71º 46.551 W,2.2,135,6.5,0.4,216,1012.4,59.2,0.0,0.4,8.0
2023-06-03T04:35:24-04:00,14.9,41,S137,7.5,264, ,40º 49.289 N,72º 07.538 W,2.4,113,5.5,0.3,239,1013.0,58.6,4.9,0.1,19.2
2023-06-03T06:18:59-04:00,17.7,40,S136,7.5,264, ,40º 47.918 N,72º 24.605 W,2.8,93,5.1,0.1,241,1013.9,58.1,0.4,0.2,22.9
2023-06-03T08:03:24-04:00,15.9,39,S153,6.4,246, ,40º 46.548 N,72º 41.673 W,2.9,87,4.5,0.2,244,1014.9,58.1,0.0,0.1,25.0
2023-06-03T09:52:53-04:00,17.8,48,P156,6.5,205, ,40º 41.850 N,72º 55.899 W,3.0,79,4.4,0.3,243,1015.6,58.5,0.0,0.0,23.3
2023-06-03T10:09:07-04:00,18.4,50,S153,6.3,257, ,40º 40.268 N,72º 56.858 W,3.4,78,4.5,0.3,243,1015.7,58.4,0.0,0.0,24.2
2023-06-03T12:14:39-04:00,16.6,57,S155,6.3,262, ,40º 37.312 N,73º 13.751 W,3.5,84,4.7,,,1016.3,60.2,0.0,0.0,22.0
2023-06-03T13:04:48-04:00,15.5,60,S42,4.2,18, ,40º 36.619 N,73º 20.583 W,3.1,87,4.7,,,1016.4,61.1,0.0,0.0,20.3
2023-06-03T13:22:16-04:00,14.8,58,P134,7.4,192, ,40º 37.770 N,73º 20.092 W,3.0,88,4.7,,,1016.5,61.7,0.0,0.0,20.4
2023-06-03T13:37:44-04:00,15.7,61,P102,9.6,162, ,40º 35.899 N,73º 20.606 W,3.3,86,4.8,0.3,243,1016.6,61.0,0.0,0.0,19.7
2023-06-03T16:27:20-04:00,25.1,57,P105,9.1,162, ,40º 10.310 N,73º 09.823 W,7.3,64,5.7,0.3,251,1016.8,57.8,0.0,0.0,33.0
2023-06-03T20:52:09-04:00,26.5,49,S153,7.2,256, ,39º 31.929 N,72º 53.648 W,9.9,49,6.6,0.7,224,1017.1,56.5,0.0,0.0,35.2
2023-06-03T23:49:24-04:00,25.2,46,S148,7.5,259, ,39º 26.707 N,73º 20.602 W,9.7,54,6.8,0.7,238,1017.9,55.5,0.0,0.0,32.9
2023-06-04T01:49:58-04:00,22.5,44,S146,7.6,257, ,39º 23.760 N,73º 39.763 W,9.2,56,6.9,0.7,234,1017.5,55.6,0.0,0.0,29.1
2023-06-04T03:52:42-04:00,20.3,41,S142,7.8,259, ,39º 20.382 N,73º 59.393 W,8.0,59,6.8,0.8,209,1017.5,55.8,0.0,0.0,26.4
2023-06-04T05:43:29-04:00,19.3,35,S136,8.0,259, ,39º 17.575 N,74º 17.643 W,6.4,64,6.6,0.5,218,1017.6,56.3,0.0,0.0,25.0
2023-06-04T07:31:26-04:00,12.5,21,P146,6.4,167, ,39º 14.768 N,74º 35.893 W,3.9,73,6.4,0.3,210,1018.2,56.1,0.0,0.0,19.0
2023-06-04T08:24:23-04:00,15.1,20,P159,6.6,179, ,39º 09.283 N,74º 34.256 W,4.9,68,6.5,0.4,212,1018.2,56.5,0.0,0.0,20.2
