,Route,Start Time,Start,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,End
,GFS,2023-06-02T12:00:00-04:00,41 20.388N 71 23.850W,40 52.602N 71 46.692W,40 51.396N 72 45.552W,40 42.348N 73 20.796W,39 32.160N 72 53.442W,39 16.956N 74 42.552W,38 10.116N 73 51.750W,37 58.848N 74 59.586W,37 32.316N 75 47.412W,37 2.088N 76 4.668W,37 10.032N 75 59.112W,37 34.296N 76 1.974W,37 49.734N 75 59.646W,38 2.292N 76 20.394W,38 13.830N 76 2.730W,38 17.544N 76 24.276W,38 32.916N 76 25.362W,38 53.982N 76 26.202W,38 58.638N 76 19.836W
,Polar,Polar Speed Adjustment,Motoring,Ocean Current,TWS Scale Factor,TWD Adjustment
,"Upwind 50°: 5.0, 90°: 10.0, Downwind 160°: 6.0","Upwind: 100, Downwind: 100",False,Mercator,100%,0°
Time,TWS (kts),TWD (° true),TWA,SOG (kts),COG (° true),Motoring,Latitude,Longitude,Wave Height (ft),Wave Dir (° true),Wave Period (s),Current Speed (kts),Current Dir (° true),Pressure (hPa),Temperature (° F),Rain (mm/hr),CAPE (kJ/kg),Gust (kts)
2023-06-02T12:00:00-04:00,8.4,208,P49,3.4,257, ,41º 20.388 N,71º 23.849 W,2.3,149,5.8,0.2,107,1013.1,65.9,0.0,0.1,9.6
2023-06-02T15:37:45-04:00,8.3,212,S46,3.3,165, ,41º 17.571 N,71º 39.830 W,1.9,148,5.7,0.2,101,1011.9,66.2,0.1,0.1,11.4
2023-06-02T18:37:10-04:00,7.0,240,S54,3.9,186, ,41º 08.044 N,71º 36.510 W,2.3,146,5.8,0.3,245,1012.0,62.6,0.0,0.0,9.2
2023-06-02T19:50:54-04:00,5.2,324,S97,3.3,228, ,41º 03.289 N,71º 37.120 W,2.4,144,5.9,0.3,233,1012.5,61.9,0.0,0.0,5.5
2023-06-02T21:41:42-04:00,4.1,315,S114,2.8,201, ,40º 59.134 N,71º 43.157 W,2.3,139,6.2,0.3,192,1012.7,61.4,0.1,0.0,4.3
2023-06-03T00:16:30-04:00,6.9,33,S134,4.2,259, ,40º 52.517 N,71º 46.551 W,2.3,135,6.4,0.4,213,1012.2,60.7,0.1,0.0,8.4
2023-06-03T02:25:58-04:00,11.0,52,S154,5.8,259, ,40º 50.693 N,71º 58.413 W,2.2,128,6.4,0.3,245,1011.8,59.8,0.1,0.0,14.0
2023-06-03T04:00:18-04:00,15.3,52,S147,6.9,264, ,40º 48.868 N,72º 10.275 W,2.3,118,5.8,0.3,231,1012.0,58.3,0.0,0.0,18.3
2023-06-03T05:44:28-04:00,18.2,52,S147,6.9,264, ,40º 47.708 N,72º 25.974 W,2.5,104,5.4,0.1,239,1012.7,57.7,0.0,0.0,21.2
2023-06-03T07:28:44-04:00,17.5,49,P153,6.6,202, ,40º 46.548 N,72º 41.673 W,2.7,93,4.8,0.2,243,1013.9,57.1,0.1,0.0,22.4
2023-06-03T07:55:24-04:00,18.0,48,S154,6.5,254, ,40º 43.815 N,72º 43.124 W,2.9,88,4.5,0.2,241,1014.1,56.8,0.1,0.0,23.2
2023-06-03T09:15:09-04:00,17.1,49,S159,6.3,250, ,40º 41.410 N,72º 54.098 W,3.0,81,4.4,0.3,243,1014.6,56.8,0.1,0.0,22.8
2023-06-03T10:21:43-04:00,17.2,50,S152,6.5,259, ,40º 38.996 N,73º 02.801 W,3.5,81,4.5,,,1015.0,56.7,0.1,0.0,23.1
2023-06-03T11:53:26-04:00,17.5,50,S146,6.8,264, ,40º 37.031 N,73º 15.576 W,3.4,85,4.6,,,1015.7,56.7,0.1,0.0,23.4
2023-06-03T12:27:05-04:00,17.8,49,S98,9.5,311, ,40º 36.619 N,73º 20.583 W,3.1,87,4.6,,,1015.9,56.8,0.1,0.0,23.3
2023-06-03T12:29:53-04:00,17.6,49,P30,3.0,79, ,40º 36.909 N,73º 21.028 W,2.9,87,4.6,,,1016.0,56.8,0.2,0.0,23.2
2023-06-03T12:44:21-04:00,17.5,48,S47,4.7,1, ,40º 37.050 N,73º 20.115 W,3.0,87,4.7,,,1016.1,56.7,0.2,0.0,23.1
2023-06-03T12:53:51-04:00,17.0,48,P144,6.9,192, ,40º 37.770 N,73º 20.092 W,3.0,88,4.7,,,1016.2,56.7,0.2,0.0,22.9
2023-06-03T13:10:28-04:00,18.2,47,P115,8.7,162, ,40º 35.899 N,73º 20.606 W,3.3,86,4.8,0.3,243,1016.3,56.7,0.2,0.0,23.4
2023-06-03T14:43:36-04:00,23.3,48,P114,8.8,162, ,40º 23.105 N,73º 15.215 W,5.8,73,5.3,0.3,257,1016.4,56.6,0.2,0.0,26.2
2023-06-03T16:15:23-04:00,25.1,50,P112,8.8,162, ,40º 10.310 N,73º 09.823 W,7.2,64,5.7,0.3,252,1016.4,56.4,0.2,0.0,27.7
2023-06-03T17:46:46-04:00,26.6,48,P114,8.8,162, ,39º 57.517 N,73º 04.432 W,8.6,56,6.1,0.3,243,1016.3,56.0,0.3,0.0,29.4
2023-06-03T19:18:25-04:00,27.8,45,P117,8.9,162, ,39º 44.723 N,72º 59.040 W,9.5,52,6.4,0.5,222,1016.2,56.0,0.4,0.0,30.6
2023-06-03T20:49:02-04:00,27.4,44,S147,7.5,256, ,39º 31.929 N,72º 53.648 W,9.9,49,6.6,0.7,224,1016.0,55.5,0.3,0.0,30.8
2023-06-03T22:50:54-04:00,25.3,43,S147,7.5,256, ,39º 28.261 N,73º 12.833 W,9.9,52,6.8,0.7,234,1016.5,55.4,0.0,0.0,28.2
2023-06-04T00:58:16-04:00,22.2,42,S143,7.8,259, ,39º 24.452 N,73º 32.932 W,9.4,55,6.9,0.7,236,1016.7,55.6,0.1,0.0,24.3
2023-06-04T02:32:29-04:00,20.6,38,S139,8.0,259, ,39º 22.066 N,73º 48.443 W,8.8,57,6.8,0.7,221,1016.6,55.9,0.1,0.0,22.1
2023-06-04T04:03:55-04:00,20.2,33,S134,8.2,259, ,39º 19.680 N,74º 03.956 W,7.8,60,6.7,0.7,210,1016.3,56.4,0.1,0.0,21.7
2023-06-04T07:06:46-04:00,13.6,22,P131,8.0,153, ,39º 14.768 N,74º 35.893 W,4.0,73,6.4,0.3,210,1016.9,55.8,0.0,0.0,19.1
2023-06-04T08:52:38-04:00,20.0,29,P124,8.6,153, ,39º 02.279 N,74º 27.586 W,6.3,61,6.5,0.5,210,1016.8,57.1,0.1,0.0,22.1
2023-06-04T10:30:31-04:00,19.0,26,P127,8.6,153, ,38º 49.790 N,74º 19.279 W,7.1,55,6.7,1.0,214,1016.8,57.1,0.0,0.0,21.0
2023-06-04T12:09:08-04:00,17.3,27,P126,8.4,153, ,38º 37.301 N,74º 10.972 W,7.4,52,6.9,0.8,223,1016.4,56.9,0.0,0.0,19.0
2023-06-04T13:49:46-04:00,16.5,22,P131,8.4,153, ,38º 24.812 N,74º 02.665 W,7.7,48,6.9,0.8,225,1015.9,56.9,0.0,0.0,17.5
2023-06-04T15:30:51-04:00,15.3,34,P106,9.2,140, ,38º 12.323 N,73º 54.358 W,7.9,46,7.1,0.7,229,1015.1,57.7,0.0,0.0,16.6
2023-06-04T15:51:53-04:00,15.0,36,S135,7.0,261, ,38º 09.862 N,73º 51.715 W,8.0,45,7.1,0.7,230,1015.0,57.8,0.0,0.0,16.5
2023-06-04T17:35:11-04:00,12.0,60,S154,5.5,266, ,38º 07.906 N,74º 06.759 W,7.2,50,7.2,0.9,216,1014.7,57.7,0.0,0.0,13.5
2023-06-04T20:14:16-04:00,11.6,70,P155,5.6,225, ,38º 06.830 N,74º 25.406 W,6.1,57,7.3,1.0,213,1014.8,57.6,0.0,0.0,11.6
2023-06-04T22:16:03-04:00,9.5,67,S165,3.6,263, ,37º 58.801 N,74º 35.655 W,5.6,58,7.3,1.2,205,1015.0,57.4,0.0,0.0,9.5
