,Route,Start Time,Start,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,End
,PWE,2023-06-02T15:00:00-04:00,41 20.388N 71 23.850W,40 52.602N 71 46.692W,40 51.396N 72 45.552W,40 42.348N 73 20.796W,39 32.160N 72 53.442W,39 16.956N 74 42.552W,38 10.116N 73 51.750W,37 58.848N 74 59.586W,37 32.316N 75 47.412W,37 2.088N 76 4.668W,37 10.032N 75 59.112W,37 34.296N 76 1.974W,37 49.734N 75 59.646W,38 2.292N 76 20.394W,38 13.830N 76 2.730W,38 17.544N 76 24.276W,38 32.916N 76 25.362W,38 53.982N 76 26.202W,38 58.638N 76 19.836W
,Polar,Polar Speed Adjustment,Motoring,Ocean Current,TWS Scale Factor,TWD Adjustment
,"Upwind 50°: 5.0, 90°: 10.0, Downwind 160°: 6.0","Upwind: 100, Downwind: 100",False,Mercator,100%,0°
Time,TWS (kts),TWD (° true),TWA,SOG (kts),COG (° true),Motoring,Latitude,Longitude,Wave Height (ft),Wave Dir (° true),Wave Period (s),Current Speed (kts),Current Dir (° true),Pressure (hPa),Temperature (° F),Rain (mm/hr),CAPE (kJ/kg),Gust (kts)
2023-06-02T15:00:00-04:00,9.7,178,S57,4.0,121, ,41º 20.388 N,71º 23.849 W,2.3,154,5.5,0.2,111,1012.2,58.7,0.0,0.0,15.6
2023-06-02T16:33:49-04:00,10.4,169,P50,3.9,219, ,41º 17.186 N,71º 16.691 W,2.4,152,5.6,0.1,182,1012.0,57.8,0.0,0.0,11.9
2023-06-02T19:32:41-04:00,8.7,160,P69,3.4,228, ,41º 08.146 N,71º 26.520 W,2.4,146,5.8,0.3,226,1012.4,58.6,0.0,0.0,12.7
2023-06-02T20:22:51-04:00,8.0,158,P88,3.5,246, ,41º 06.284 N,71º 29.305 W,2.4,145,5.9,0.3,231,1012.5,58.5,0.0,0.1,12.9
2023-06-03T00:38:57-04:00,2.9,177,S14,1.7,163, ,41º 00.304 N,71º 47.204 W,2.2,137,6.3,0.3,209,1012.5,59.4,0.0,0.2,10.5
2023-06-03T01:54:32-04:00,1.5,255,S73,1.5,181, ,40º 58.282 N,71º 46.363 W,2.2,135,6.4,0.3,212,1012.5,60.4,0.0,0.4,13.6
2023-06-03T05:41:34-04:00,1.9,83,P137,1.7,219, ,40º 52.517 N,71º 46.551 W,3.4,78,4.8,0.4,224,1013.6,57.8,7.1,0.1,25.8
2023-06-03T09:32:22-04:00,4.2,102,P141,2.6,243, ,40º 47.351 N,71º 52.168 W,5.5,51,4.8,0.6,240,1015.3,56.1,0.0,0.0,31.9
2023-06-03T13:32:29-04:00,4.4,83,S164,4.4,278, ,40º 42.644 N,72º 04.124 W,6.7,53,5.3,0.5,247,1016.6,56.3,0.0,0.0,33.1
2023-06-03T15:53:10-04:00,15.6,57,S139,7.5,278, ,40º 44.142 N,72º 17.693 W,6.7,61,5.5,0.5,244,1017.5,56.4,0.0,0.0,31.5
2023-06-03T18:24:58-04:00,17.2,66,P146,6.9,212, ,40º 46.548 N,72º 41.673 W,5.0,74,5.4,0.4,243,1018.1,57.4,0.0,0.0,29.3
2023-06-03T19:53:11-04:00,24.4,53,S155,6.9,259, ,40º 37.928 N,72º 48.764 W,7.0,70,5.8,0.4,244,1018.3,56.5,0.0,0.0,32.8
2023-06-03T21:31:54-04:00,22.6,50,S138,7.9,272, ,40º 35.683 N,73º 03.364 W,6.5,73,5.9,0.4,248,1018.9,56.6,0.0,0.0,30.6
2023-06-03T22:53:17-04:00,19.8,45,S117,8.5,288, ,40º 36.029 N,73º 17.425 W,5.0,79,5.8,,,1019.5,56.7,0.0,0.0,25.5
