,Route,Start Time,Start,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,End
,PWG,2023-06-02T18:00:00-04:00,41 20.388N 71 23.850W,40 52.602N 71 46.692W,40 51.396N 72 45.552W,40 42.348N 73 20.796W,39 32.160N 72 53.442W,39 16.956N 74 42.552W,38 10.116N 73 51.750W,37 58.848N 74 59.586W,37 32.316N 75 47.412W,37 2.088N 76 4.668W,37 10.032N 75 59.112W,37 34.296N 76 1.974W,37 49.734N 75 59.646W,38 2.292N 76 20.394W,38 13.830N 76 2.730W,38 17.544N 76 24.276W,38 32.916N 76 25.362W,38 53.982N 76 26.202W,38 58.638N 76 19.836W
,Polar,Polar Speed Adjustment,Motoring,Ocean Current,TWS Scale Factor,TWD Adjustment
,"Upwind 50°: 5.0, 90°: 10.0, Downwind 160°: 6.0","Upwind: 100, Downwind: 100",False,Mercator,100%,0°
Time,TWS (kts),TWD (° true),TWA,SOG (kts),COG (° true),Motoring,Latitude,Longitude,Wave Height (ft),Wave Dir (° true),Wave Period (s),Current Speed (kts),Current Dir (° true),Pressure (hPa),Temperature (° F),Rain (mm/hr),CAPE (kJ/kg),Gust (kts)
2023-06-02T18:00:00-04:00,12.5,203,S52,4.3,151, ,41º 20.388 N,71º 23.849 W,2.2,151,5.6,0.1,117,1011.7,63.9,0.1,0.0,12.5
2023-06-02T18:45:58-04:00,11.5,202,P58,3.9,260, ,41º 17.495 N,71º 21.675 W,2.3,151,5.7,0.1,165,1011.9,62.8,0.0,0.0,11.5
2023-06-02T22:27:39-04:00,8.9,217,S54,2.7,163, ,41º 14.978 N,71º 40.369 W,1.8,144,6.0,0.1,241,1013.1,62.8,0.3,0.0,8.9
2023-06-03T02:08:19-04:00,6.3,217,P38,3.1,255, ,41º 04.871 N,71º 36.160 W,2.2,131,6.0,0.4,249,1012.1,59.3,0.1,0.0,20.7
2023-06-03T03:51:35-04:00,5.7,211,S54,2.8,157, ,41º 03.458 N,71º 43.015 W,2.6,97,5.1,0.3,225,1012.4,57.3,0.0,0.0,22.9
2023-06-03T06:31:09-04:00,5.7,170,P64,3.3,234, ,40º 56.523 N,71º 39.157 W,4.1,60,4.6,0.4,231,1013.3,55.2,0.0,0.0,26.6
2023-06-03T08:35:48-04:00,7.0,157,P92,4.9,248, ,40º 52.517 N,71º 46.551 W,5.2,50,4.6,0.5,228,1014.3,54.4,0.2,0.0,28.8
2023-06-03T11:03:14-04:00,6.1,143,P108,4.7,250, ,40º 48.110 N,72º 01.222 W,5.8,55,5.0,0.6,253,1015.1,54.6,1.2,0.0,29.4
2023-06-03T14:25:31-04:00,11.4,103,P153,5.5,256, ,40º 42.289 N,72º 22.747 W,6.2,62,5.4,0.4,248,1016.5,55.1,0.4,0.0,27.3
2023-06-03T15:40:08-04:00,13.3,94,S143,7.0,311, ,40º 40.595 N,72º 31.427 W,6.2,64,5.4,0.4,250,1016.8,55.7,0.2,0.0,27.0
2023-06-03T16:52:54-04:00,15.1,91,S163,5.7,288, ,40º 46.108 N,72º 39.872 W,4.8,73,5.3,0.4,244,1017.3,56.1,0.0,0.0,24.6
2023-06-03T17:08:05-04:00,15.5,90,P144,6.8,233, ,40º 46.548 N,72º 41.673 W,4.7,74,5.3,0.3,243,1017.3,56.1,0.0,0.0,24.4
2023-06-03T19:18:47-04:00,24.4,70,P154,6.7,225, ,40º 37.676 N,72º 57.397 W,6.2,74,5.6,0.4,240,1017.5,55.8,0.0,0.0,25.4
2023-06-03T20:04:11-04:00,27.1,65,S145,7.7,280, ,40º 34.091 N,73º 02.054 W,6.9,72,5.8,0.4,249,1017.5,55.8,0.0,0.0,27.1
2023-06-03T21:48:12-04:00,21.2,50,S122,8.2,288, ,40º 36.469 N,73º 19.226 W,4.6,81,5.6,,,1017.9,55.9,0.0,0.0,25.1
2023-06-03T21:58:45-04:00,20.4,48,P30,3.1,79, ,40º 36.909 N,73º 21.028 W,4.2,82,5.6,,,1017.9,56.0,0.0,0.0,25.1
2023-06-03T22:12:44-04:00,20.2,46,S45,4.5,1, ,40º 37.050 N,73º 20.115 W,4.2,82,5.6,,,1017.9,55.9,0.0,0.0,25.0
2023-06-03T22:22:40-04:00,19.6,44,P154,6.4,198, ,40º 37.770 N,73º 20.092 W,4.0,83,5.6,,,1018.0,55.8,0.0,0.0,24.9
2023-06-03T22:34:04-04:00,20.0,43,P119,8.4,162, ,40º 36.619 N,73º 20.583 W,4.3,81,5.7,,,1017.9,55.8,0.0,0.0,25.0
2023-06-04T00:10:41-04:00,24.5,43,P119,8.5,162, ,40º 23.681 N,73º 15.196 W,7.6,69,6.3,0.4,248,1017.5,55.6,0.0,0.0,24.5
2023-06-04T01:47:06-04:00,25.2,42,P120,8.6,162, ,40º 10.743 N,73º 09.809 W,8.3,63,6.6,0.4,247,1017.2,54.8,0.0,0.0,25.2
2023-06-04T03:22:22-04:00,26.5,49,P113,9.1,162, ,39º 57.805 N,73º 04.422 W,8.5,57,6.7,0.4,236,1016.4,54.7,0.0,0.0,26.5
2023-06-04T06:16:11-04:00,22.5,54,S156,7.1,257, ,39º 31.929 N,72º 53.648 W,8.5,49,6.8,0.9,223,1015.4,55.2,0.1,0.0,22.8
2023-06-04T08:56:51-04:00,17.8,55,S157,7.1,259, ,39º 27.849 N,73º 17.840 W,7.5,51,6.6,0.8,239,1016.3,55.5,0.1,0.0,20.3
2023-06-04T12:02:03-04:00,22.6,56,S160,6.9,255, ,39º 23.208 N,73º 45.683 W,6.5,53,6.4,0.8,224,1016.6,55.9,0.0,0.0,22.6
2023-06-04T13:50:14-04:00,22.0,53,S154,7.1,259, ,39º 20.101 N,74º 01.218 W,5.7,58,6.4,0.8,208,1015.9,57.7,0.0,0.0,22.0
2023-06-04T15:51:07-04:00,24.3,48,S149,7.0,259, ,39º 17.294 N,74º 19.468 W,4.3,69,6.4,0.5,219,1015.3,57.6,0.0,0.0,24.3
