,Route,Start Time,Start,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,End
,SPIRE,2023-06-02T09:00:00-04:00,41 20.388N 71 23.850W,40 52.602N 71 46.692W,40 51.396N 72 45.552W,40 42.348N 73 20.796W,39 32.160N 72 53.442W,39 16.956N 74 42.552W,38 10.116N 73 51.750W,37 58.848N 74 59.586W,37 32.316N 75 47.412W,37 2.088N 76 4.668W,37 10.032N 75 59.112W,37 34.296N 76 1.974W,37 49.734N 75 59.646W,38 2.292N 76 20.394W,38 13.830N 76 2.730W,38 17.544N 76 24.276W,38 32.916N 76 25.362W,38 53.982N 76 26.202W,38 58.638N 76 19.836W
,Polar,Polar Speed Adjustment,Motoring,Ocean Current,TWS Scale Factor,TWD Adjustment
,"Upwind 50°: 5.0, 90°: 10.0, Downwind 160°: 6.0","Upwind: 100, Downwind: 100",False,Mercator,100%,0°
Time,TWS (kts),TWD (° true),TWA,SOG (kts),COG (° true),Motoring,Latitude,Longitude,Wave Height (ft),Wave Dir (° true),Wave Period (s),Current Speed (kts),Current Dir (° true),Pressure (hPa),Temperature (° F),Rain (mm/hr),CAPE (kJ/kg),Gust (kts)
2023-06-02T09:00:00-04:00,5.0,237,S80,2.9,157, ,41º 20.388 N,71º 23.849 W,2.3,145,6.2,0.3,105,1014.4,57.7,0.0,0.0,11.4
2023-06-02T10:42:39-04:00,9.4,213,P48,3.5,261, ,41º 15.764 N,71º 21.277 W,2.4,144,6.1,0.2,148,1014.1,56.4,0.0,0.0,14.4
2023-06-02T13:00:14-04:00,11.6,221,S55,4.4,166, ,41º 14.510 N,71º 31.759 W,2.3,148,5.7,0.1,150,1013.1,56.9,0.0,0.0,15.0
2023-06-02T13:52:51-04:00,11.6,222,S47,3.8,174, ,41º 10.757 N,71º 30.520 W,2.5,147,5.7,0.2,197,1012.7,56.8,0.0,0.0,15.0
2023-06-02T16:00:54-04:00,10.0,217,P47,3.4,264, ,41º 02.681 N,71º 29.422 W,2.5,142,6.0,0.2,223,1012.2,57.6,0.0,0.0,10.8
2023-06-02T19:10:00-04:00,7.5,224,S58,3.1,166, ,41º 01.586 N,71º 43.531 W,2.3,142,6.0,0.2,182,1012.3,57.8,0.0,0.0,11.9
2023-06-02T20:24:04-04:00,7.4,226,S44,2.8,181, ,40º 57.833 N,71º 42.292 W,2.4,140,6.2,0.3,190,1012.7,57.6,0.0,0.0,10.5
2023-06-02T21:25:47-04:00,7.8,240,S20,2.7,219, ,40º 54.950 N,71º 42.386 W,2.4,138,6.3,0.4,203,1012.7,57.5,0.0,0.0,7.8
2023-06-02T22:26:47-04:00,7.9,356,S98,5.4,259, ,40º 52.798 N,71º 44.726 W,2.3,137,6.3,0.4,209,1012.6,57.6,0.0,0.0,7.9
2023-06-03T00:42:09-04:00,8.0,47,S148,3.9,259, ,40º 50.833 N,71º 57.501 W,2.2,134,6.5,0.3,241,1012.5,58.9,0.0,0.3,8.0
2023-06-03T02:42:26-04:00,8.7,47,S147,4.9,261, ,40º 49.289 N,72º 07.538 W,2.2,127,6.3,0.3,236,1012.6,58.9,1.3,0.2,9.3
2023-06-03T05:47:15-04:00,14.2,41,S130,7.7,271, ,40º 46.351 N,72º 28.969 W,2.5,105,5.4,0.1,248,1013.6,59.0,0.2,0.2,20.7
