,Route,Start Time,Start,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,End
,UKMO,2023-06-02T09:00:00-04:00,41 20.388N 71 23.850W,40 52.602N 71 46.692W,40 51.396N 72 45.552W,40 42.348N 73 20.796W,39 32.160N 72 53.442W,39 16.956N 74 42.552W,38 10.116N 73 51.750W,37 58.848N 74 59.586W,37 32.316N 75 47.412W,37 2.088N 76 4.668W,37 10.032N 75 59.112W,37 34.296N 76 1.974W,37 49.734N 75 59.646W,38 2.292N 76 20.394W,38 13.830N 76 2.730W,38 17.544N 76 24.276W,38 32.916N 76 25.362W,38 53.982N 76 26.202W,38 58.638N 76 19.836W
,Polar,Polar Speed Adjustment,Motoring,Ocean Current,TWS Scale Factor,TWD Adjustment
,"Upwind 50°: 5.0, 90°: 10.0, Downwind 160°: 6.0","Upwind: 100, Downwind: 100",False,Mercator,100%,0°
Time,TWS (kts),TWD (° true),TWA,SOG (kts),COG (° true),Motoring,Latitude,Longitude,Wave Height (ft),Wave Dir (° true),Wave Period (s),Current Speed (kts),Current Dir (° true),Pressure (hPa),Temperature (° F),Rain (mm/hr),CAPE (kJ/kg),Gust (kts)
2023-06-02T09:00:00-04:00,7.4,236,S69,4.1,167, ,41º 20.388 N,71º 23.849 W,2.3,145,6.2,0.3,105,1014.4,57.7,0.0,0.0,11.4
2023-06-02T10:38:29-04:00,10.1,236,S55,4.3,181, ,41º 13.892 N,71º 21.793 W,2.5,143,6.1,0.2,171,1014.2,56.5,0.0,0.0,13.7
2023-06-02T12:48:19-04:00,11.1,240,S59,4.4,181, ,41º 04.524 N,71º 22.099 W,2.6,142,6.1,0.1,206,1013.4,56.4,0.0,0.0,13.4
2023-06-02T14:57:31-04:00,10.7,236,S46,3.4,190, ,40º 55.156 N,71º 22.406 W,2.6,139,6.2,0.1,221,1012.5,56.4,0.0,0.0,12.3
2023-06-02T17:05:33-04:00,10.1,233,P51,4.2,285, ,40º 48.099 N,71º 23.998 W,2.5,135,6.4,0.1,241,1012.2,58.0,0.0,0.0,10.1
2023-06-02T19:10:27-04:00,11.1,223,P62,5.4,285, ,40º 50.308 N,71º 35.275 W,2.5,137,6.3,0.2,224,1012.7,57.6,0.0,0.0,11.1
2023-06-02T20:48:37-04:00,13.2,227,P49,4.8,275, ,40º 52.517 N,71º 46.551 W,2.4,137,6.3,0.3,205,1012.8,57.5,0.0,0.0,13.2
2023-06-02T21:48:43-04:00,13.0,230,S48,4.9,181, ,40º 52.976 N,71º 52.891 W,2.3,136,6.3,0.2,208,1012.6,57.9,0.0,0.0,13.0
2023-06-02T22:42:01-04:00,13.5,234,P51,4.5,285, ,40º 48.652 N,71º 53.033 W,2.3,135,6.4,0.4,235,1012.6,58.4,0.0,0.1,13.5
2023-06-03T00:58:38-04:00,9.7,244,S48,3.8,195, ,40º 51.301 N,72º 06.110 W,2.2,134,6.5,0.2,229,1012.4,59.1,0.0,0.4,9.7
2023-06-03T02:06:49-04:00,7.2,280,S61,5.1,219, ,40º 47.127 N,72º 07.609 W,2.2,132,6.5,0.3,237,1012.4,58.9,0.2,0.2,7.2
2023-06-03T02:52:40-04:00,11.0,318,S88,7.3,231, ,40º 44.114 N,72º 10.885 W,2.3,126,6.2,0.4,233,1012.5,59.0,1.1,0.1,11.0
2023-06-03T03:11:12-04:00,12.3,351,S93,8.4,259, ,40º 42.682 N,72º 13.202 W,2.3,124,6.2,0.4,235,1012.6,59.1,1.0,0.2,12.3
2023-06-03T03:31:18-04:00,13.0,23,S110,8.1,273, ,40º 42.121 N,72º 16.852 W,2.3,123,6.1,0.3,242,1012.6,59.2,0.9,0.2,13.0
2023-06-03T03:51:41-04:00,13.2,39,S114,7.6,285, ,40º 42.280 N,72º 20.478 W,2.3,123,6.0,0.3,248,1012.7,59.3,0.7,0.3,13.2
2023-06-03T06:03:23-04:00,14.5,52,P153,6.5,205, ,40º 46.548 N,72º 41.673 W,2.3,111,5.6,0.2,241,1013.7,59.4,0.0,0.2,19.4
2023-06-03T06:51:23-04:00,17.6,53,S154,6.5,259, ,40º 41.803 N,72º 44.552 W,2.6,98,5.2,0.2,238,1014.1,59.0,0.0,0.1,21.0
2023-06-03T08:54:35-04:00,16.1,55,S156,6.1,259, ,40º 39.136 N,73º 01.889 W,3.0,85,4.4,,,1015.1,58.9,0.0,0.1,24.3
2023-06-03T10:45:05-04:00,15.2,58,S153,6.3,265, ,40º 36.890 N,73º 16.489 W,3.1,86,4.4,,,1015.9,59.6,0.0,0.0,22.4
2023-06-03T11:14:34-04:00,14.5,59,S41,4.0,18, ,40º 36.619 N,73º 20.583 W,2.9,86,4.4,,,1016.0,60.2,0.0,0.0,21.5
2023-06-03T11:32:47-04:00,13.8,58,P140,6.6,198, ,40º 37.770 N,73º 20.092 W,2.8,87,4.5,,,1016.1,60.8,0.0,0.0,21.3
2023-06-03T11:43:50-04:00,14.2,59,P108,8.8,167, ,40º 36.619 N,73º 20.583 W,3.0,87,4.5,,,1016.1,60.4,0.0,0.0,21.2
2023-06-03T12:03:04-04:00,15.4,62,P100,9.7,162, ,40º 33.877 N,73º 19.765 W,3.6,84,4.7,0.3,245,1016.2,59.8,0.0,0.0,22.0
2023-06-03T14:42:39-04:00,22.7,68,P94,9.8,162, ,40º 09.098 N,73º 09.318 W,6.8,62,5.4,0.3,253,1016.5,57.7,0.0,0.0,32.7
2023-06-03T18:42:06-04:00,29.8,59,S149,7.1,270, ,39º 31.929 N,72º 53.648 W,9.4,47,6.3,0.7,225,1016.4,57.1,0.0,0.0,36.9
2023-06-03T19:55:58-04:00,29.9,70,P150,7.3,220, ,39º 31.976 N,73º 04.995 W,9.7,51,6.5,0.7,229,1016.9,56.6,0.0,0.0,36.2
2023-06-03T21:05:24-04:00,27.6,69,P155,7.0,224, ,39º 25.519 N,73º 12.016 W,9.8,51,6.6,0.7,235,1017.2,56.2,0.0,0.0,35.6
2023-06-03T22:46:23-04:00,24.3,69,P151,7.1,220, ,39º 17.058 N,73º 22.733 W,9.8,52,6.8,0.6,236,1017.8,56.0,0.1,0.0,33.2
2023-06-03T23:57:53-04:00,23.1,64,S152,7.2,272, ,39º 10.601 N,73º 29.753 W,9.7,52,6.9,0.6,226,1017.5,56.3,0.0,0.0,32.2
2023-06-04T04:09:53-04:00,18.5,43,S124,8.6,279, ,39º 11.782 N,74º 11.024 W,7.8,60,6.7,0.7,215,1017.4,56.2,0.0,0.0,27.0
2023-06-04T06:32:06-04:00,9.1,18,P112,6.5,130, ,39º 14.768 N,74º 35.893 W,4.1,73,6.4,0.3,210,1018.0,56.0,0.0,0.0,19.2
2023-06-04T08:28:37-04:00,12.5,22,P137,6.8,158, ,39º 06.644 N,74º 23.448 W,6.3,61,6.5,0.5,216,1018.0,56.3,0.0,0.0,24.0
2023-06-04T10:03:49-04:00,11.9,30,P129,6.7,158, ,38º 56.676 N,74º 18.327 W,6.9,56,6.6,0.8,213,1017.9,55.9,0.0,0.0,24.2
2023-06-04T11:39:47-04:00,8.9,40,P119,4.7,158, ,38º 46.709 N,74º 13.206 W,7.1,53,6.8,1.0,221,1017.5,56.0,0.0,0.0,23.6
2023-06-04T13:57:48-04:00,4.7,58,P112,3.6,170, ,38º 36.741 N,74º 08.085 W,7.0,52,6.9,0.8,225,1016.8,57.0,0.0,0.0,19.1
2023-06-04T15:55:20-04:00,5.0,75,P107,3.5,181, ,38º 29.815 N,74º 06.496 W,6.8,53,7.0,0.8,222,1015.9,57.4,0.0,0.0,12.2
2023-06-04T16:44:40-04:00,3.2,179,S30,2.2,149, ,38º 26.933 N,74º 06.590 W,6.7,54,7.1,0.8,221,1015.5,57.8,0.0,0.0,9.3
2023-06-04T19:46:56-04:00,4.8,206,S63,3.5,144, ,38º 21.149 N,74º 02.240 W,6.3,55,7.3,0.8,221,1014.7,58.9,0.0,0.0,5.6
2023-06-04T23:46:28-04:00,8.8,246,P53,4.8,299, ,38º 09.862 N,73º 51.715 W,6.1,52,7.4,0.7,224,1014.8,60.8,0.0,0.0,14.3
2023-06-05T01:02:17-04:00,11.9,238,P50,5.1,288, ,38º 12.772 N,73º 58.429 W,5.9,54,7.5,0.8,220,1014.5,60.4,0.0,0.0,13.5
2023-06-05T03:44:00-04:00,13.2,260,S62,7.1,199, ,38º 17.022 N,74º 15.085 W,5.5,58,7.8,0.9,206,1013.9,60.4,0.0,0.0,13.2
2023-06-05T04:46:05-04:00,14.0,270,S66,7.5,204, ,38º 10.115 N,74º 18.035 W,5.6,56,7.9,1.0,210,1013.6,61.4,0.0,0.0,14.0
2023-06-05T06:43:57-04:00,15.5,267,S56,6.2,211, ,37º 56.741 N,74º 25.736 W,5.6,55,8.0,1.0,210,1013.7,61.9,0.0,0.0,15.5
2023-06-05T08:30:05-04:00,14.8,260,P49,6.2,310, ,37º 47.401 N,74º 32.851 W,5.6,55,8.1,1.1,205,1013.7,61.4,0.0,0.0,14.8
2023-06-05T09:14:11-04:00,13.4,252,P46,5.7,299, ,37º 50.303 N,74º 37.295 W,5.4,56,8.1,1.1,204,1013.5,61.4,0.0,0.0,13.4
2023-06-05T10:47:38-04:00,11.5,234,P60,6.1,295, ,37º 54.524 N,74º 47.143 W,5.0,57,8.1,0.7,204,1012.9,61.4,0.0,0.0,11.5
2023-06-05T12:34:04-04:00,13.3,224,S57,5.7,167, ,37º 59.045 N,74º 59.706 W,4.3,60,8.0,0.5,203,1011.7,62.1,0.0,0.0,13.3
2023-06-05T15:11:03-04:00,16.2,219,P40,5.0,259, ,37º 44.613 N,74º 55.639 W,4.8,58,7.9,0.5,199,1010.3,63.3,0.0,0.0,16.2
2023-06-05T16:57:10-04:00,15.3,215,P51,5.6,266, ,37º 42.929 N,75º 06.588 W,4.3,61,7.7,0.4,208,1009.0,64.1,0.0,0.0,15.3
2023-06-05T18:25:50-04:00,14.4,222,P56,4.7,278, ,37º 42.395 N,75º 17.047 W,3.8,68,7.4,0.3,212,1008.3,64.8,0.0,0.0,14.4
2023-06-05T20:57:38-04:00,11.0,243,S56,4.4,188, ,37º 44.043 N,75º 31.973 W,2.5,84,6.8,,,1007.8,65.1,0.1,0.0,11.0
2023-06-05T22:28:29-04:00,9.9,259,S58,4.2,202, ,37º 37.417 N,75º 33.097 W,2.9,89,6.5,,,1008.3,64.2,1.3,0.0,12.3
2023-06-05T23:28:35-04:00,9.7,268,S48,3.4,221, ,37º 33.533 N,75º 35.040 W,3.0,98,6.3,0.1,195,1008.5,63.7,2.3,0.0,13.1
