,Route,Start Time,Start,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,End
,SPIRE,2023-06-02T09:00:00-04:00,41 20.388N 71 23.850W,40 52.602N 71 46.692W,40 51.396N 72 45.552W,40 42.348N 73 20.796W,39 32.160N 72 53.442W,39 16.956N 74 42.552W,38 10.116N 73 51.750W,37 58.848N 74 59.586W,37 32.316N 75 47.412W,37 2.088N 76 4.668W,37 10.032N 75 59.112W,37 34.296N 76 1.974W,37 49.734N 75 59.646W,38 2.292N 76 20.394W,38 13.830N 76 2.730W,38 17.544N 76 24.276W,38 32.916N 76 25.362W,38 53.982N 76 26.202W,38 58.638N 76 19.836W
,Polar,Polar Speed Adjustment,Motoring,Ocean Current,TWS Scale Factor,TWD Adjustment
,"Upwind 50°: 5.0, 90°: 10.0, Downwind 160°: 6.0","Upwind: 100, Downwind: 100",False,Mercator,100%,0°
Time,TWS (kts),TWD (° true),TWA,SOG (kts),COG (° true),Motoring,Latitude,Longitude,Wave Height (ft),Wave Dir (° true),Wave Period (s),Current Speed (kts),Current Dir (° true),Pressure (hPa),Temperature (° F),Rain (mm/hr),CAPE (kJ/kg),Gust (kts)
2023-06-02T09:00:00-04:00,6.6,217,S60,3.4,157, ,41º 20.388 N,71º 23.849 W,2.3,144,6.3,0.3,105,1013.8,59.6,0.0,0.0,10.6
2023-06-02T11:55:49-04:00,10.3,214,P44,4.0,258, ,41º 11.141 N,71º 18.705 W,2.6,144,6.0,0.2,201,1013.4,58.2,0.0,0.0,12.9
2023-06-02T15:27:11-04:00,11.5,208,P58,4.2,266, ,41º 08.334 N,71º 36.955 W,2.5,147,5.7,0.2,242,1012.1,59.1,0.0,0.0,13.2
2023-06-02T16:45:27-04:00,9.1,222,S52,3.6,170, ,41º 07.931 N,71º 44.231 W,2.3,147,5.6,0.1,208,1011.9,59.0,0.0,0.0,11.5
2023-06-02T17:44:21-04:00,8.6,234,S55,3.5,180, ,41º 04.469 N,71º 43.436 W,2.4,146,5.8,0.2,191,1011.8,59.5,0.1,0.0,11.3
2023-06-02T20:39:46-04:00,5.3,229,P49,2.1,278, ,40º 54.089 N,71º 43.322 W,2.4,138,6.1,0.4,202,1011.9,59.7,0.0,0.0,11.4
2023-06-02T21:40:35-04:00,4.7,250,S58,2.4,192, ,40º 54.389 N,71º 46.036 W,2.4,138,6.2,0.3,201,1011.9,59.2,0.0,0.1,11.3
2023-06-02T22:28:13-04:00,4.4,279,S66,2.7,213, ,40º 52.517 N,71º 46.551 W,2.3,137,6.2,0.3,209,1012.0,59.2,0.0,0.1,10.9
2023-06-02T23:55:51-04:00,3.5,1,S102,3.3,259, ,40º 49.214 N,71º 49.383 W,2.3,135,6.4,0.4,225,1011.9,59.3,0.0,0.1,9.4
2023-06-03T02:28:17-04:00,8.1,22,S123,6.0,259, ,40º 47.530 N,72º 00.332 W,2.3,129,6.2,0.4,254,1011.7,58.5,0.0,0.1,11.2
2023-06-03T04:00:33-04:00,15.1,39,S126,8.1,272, ,40º 45.704 N,72º 12.194 W,2.4,120,5.8,0.3,231,1012.0,59.1,0.0,0.1,18.5
2023-06-03T06:48:44-04:00,16.3,41,S154,6.5,247, ,40º 46.548 N,72º 41.673 W,2.7,96,5.1,0.2,242,1013.4,60.2,0.4,0.1,23.4
2023-06-03T09:30:48-04:00,15.8,47,S153,6.3,254, ,40º 39.716 N,73º 02.778 W,3.3,83,4.4,,,1014.8,59.4,0.0,0.1,24.9
2023-06-03T10:52:56-04:00,15.3,51,S149,6.6,262, ,40º 37.312 N,73º 13.751 W,3.6,86,4.5,,,1015.5,59.5,0.0,0.0,24.4
2023-06-03T11:40:37-04:00,14.8,54,S104,9.1,311, ,40º 36.619 N,73º 20.583 W,3.2,88,4.6,,,1015.6,60.4,0.0,0.0,22.8
2023-06-03T11:43:34-04:00,14.6,54,P24,2.3,79, ,40º 36.909 N,73º 21.028 W,3.1,88,4.6,,,1015.6,60.6,0.0,0.0,22.6
2023-06-03T12:01:52-04:00,14.6,54,S53,5.2,1, ,40º 37.050 N,73º 20.115 W,3.2,88,4.6,,,1015.7,60.8,0.0,0.0,22.3
2023-06-03T12:10:23-04:00,14.2,54,P144,6.6,198, ,40º 37.770 N,73º 20.092 W,3.1,89,4.6,,,1015.7,61.2,0.0,0.0,21.9
2023-06-03T12:21:27-04:00,14.7,56,P107,9.3,162, ,40º 36.619 N,73º 20.583 W,3.3,88,4.7,,,1015.7,60.9,0.0,0.0,21.9
2023-06-03T15:19:28-04:00,20.9,51,P111,8.8,162, ,40º 10.743 N,73º 09.809 W,7.3,66,5.8,0.3,252,1015.7,57.9,0.0,0.0,32.3
2023-06-03T16:51:47-04:00,21.6,49,P113,8.9,162, ,39º 57.805 N,73º 04.422 W,8.7,59,6.2,0.3,244,1015.7,57.3,0.0,0.0,35.0
2023-06-03T19:52:07-04:00,21.6,49,S152,7.3,257, ,39º 31.929 N,72º 53.648 W,10.5,52,6.8,0.7,224,1015.9,56.8,0.0,0.0,35.9
2023-06-03T21:24:41-04:00,21.2,48,S149,7.4,259, ,39º 29.393 N,73º 07.803 W,10.4,54,6.9,0.7,231,1016.7,56.4,0.0,0.0,35.1
2023-06-03T22:57:28-04:00,20.5,45,S146,7.5,259, ,39º 27.148 N,73º 22.403 W,10.2,57,7.0,0.6,238,1017.5,55.8,0.0,0.0,33.0
2023-06-04T01:52:44-04:00,18.7,40,S146,7.6,254, ,39º 22.796 N,73º 50.690 W,8.7,62,7.0,0.7,217,1017.1,56.0,0.0,0.0,25.7
2023-06-04T03:28:48-04:00,18.5,36,S138,8.0,259, ,39º 19.399 N,74º 05.781 W,7.7,63,6.9,0.7,210,1016.7,56.4,0.0,0.0,25.1
2023-06-04T06:26:43-04:00,11.7,18,P112,7.5,130, ,39º 14.768 N,74º 35.893 W,4.1,75,6.5,0.3,210,1017.0,56.0,0.0,0.0,17.0
2023-06-04T07:10:05-04:00,14.1,13,P139,7.4,152, ,39º 11.286 N,74º 30.559 W,5.2,69,6.6,0.4,216,1017.0,56.6,0.0,0.0,21.2
2023-06-04T09:11:20-04:00,15.1,16,P135,8.0,152, ,38º 58.227 N,74º 21.454 W,6.6,59,6.6,0.7,211,1016.9,56.8,0.0,0.0,23.4
2023-06-04T11:02:13-04:00,13.7,25,P126,7.6,152, ,38º 45.167 N,74º 12.349 W,7.1,53,6.7,0.9,222,1016.8,56.2,0.0,0.0,25.1
2023-06-04T12:58:47-04:00,13.7,23,P135,7.2,158, ,38º 32.108 N,74º 03.243 W,7.3,50,6.8,0.8,227,1015.8,56.9,0.0,0.0,22.2
2023-06-04T14:38:12-04:00,14.1,16,P142,6.9,158, ,38º 20.985 N,73º 57.479 W,7.4,46,6.8,0.8,228,1015.4,58.2,0.0,0.0,20.5
2023-06-04T16:22:22-04:00,14.1,10,S106,8.4,263, ,38º 09.862 N,73º 51.715 W,7.2,46,7.0,0.7,229,1014.6,60.1,0.0,0.0,14.8
2023-06-04T17:58:07-04:00,11.0,23,S119,5.6,263, ,38º 08.346 N,74º 08.560 W,6.5,52,7.0,0.9,215,1014.4,59.7,0.0,0.0,11.3
2023-06-04T20:19:59-04:00,4.9,34,S135,3.3,259, ,38º 06.830 N,74º 25.406 W,5.6,57,7.1,1.0,212,1014.1,60.8,0.0,0.0,9.8
2023-06-04T23:26:44-04:00,4.7,10,S111,3.4,259, ,38º 04.865 N,74º 38.180 W,4.9,60,7.1,1.0,201,1014.9,60.3,0.0,0.0,7.2
2023-06-05T02:26:07-04:00,4.3,6,S125,2.8,241, ,38º 02.900 N,74º 50.955 W,4.3,63,7.2,0.6,205,1013.6,60.2,0.0,0.0,4.3
2023-06-05T05:12:48-04:00,3.5,323,S102,2.6,221, ,37º 59.045 N,74º 59.706 W,4.0,64,7.4,0.5,204,1013.1,60.3,0.0,0.0,4.9
2023-06-05T06:19:19-04:00,3.1,297,S104,2.1,192, ,37º 56.892 N,75º 02.046 W,3.9,64,7.4,0.5,206,1013.1,60.7,0.0,0.0,6.1
2023-06-05T10:00:48-04:00,3.2,226,P33,2.3,259, ,37º 49.405 N,75º 04.107 W,4.1,62,7.6,0.4,207,1012.2,61.9,0.0,0.0,7.8
2023-06-05T12:51:43-04:00,5.8,185,P65,3.0,251, ,37º 48.142 N,75º 12.319 W,3.5,64,7.6,0.4,204,1010.5,62.7,0.0,0.0,10.0
2023-06-05T15:16:32-04:00,6.4,214,S49,2.8,164, ,37º 45.727 N,75º 21.023 W,3.0,67,7.5,0.2,210,1009.2,65.3,0.0,0.0,10.7
2023-06-05T18:04:19-04:00,7.5,220,S56,3.2,164, ,37º 38.076 N,75º 18.323 W,3.5,62,7.6,0.3,204,1008.8,64.8,0.0,0.0,11.7
2023-06-05T20:31:52-04:00,7.2,216,P43,2.7,259, ,37º 30.425 N,75º 15.623 W,3.7,58,7.8,0.4,196,1008.9,65.8,0.0,0.0,8.9
2023-06-05T21:55:12-04:00,7.2,216,P59,2.7,274, ,37º 29.723 N,75º 20.185 W,3.5,60,7.8,0.3,195,1009.0,65.8,0.0,0.0,10.7
2023-06-06T02:16:06-04:00,5.3,234,P58,2.0,292, ,37º 30.650 N,75º 35.134 W,2.4,70,7.8,0.1,191,1008.1,65.6,0.0,0.0,5.3
2023-06-06T03:12:29-04:00,4.3,241,S66,1.9,174, ,37º 31.381 N,75º 37.380 W,2.2,72,7.8,0.1,190,1007.9,65.3,0.0,0.0,5.1
2023-06-06T10:43:56-04:00,3.5,242,S60,1.6,181, ,37º 16.958 N,75º 35.582 W,2.8,78,7.6,0.2,179,1007.0,63.9,0.0,0.0,3.5
2023-06-06T15:59:14-04:00,4.0,239,P39,1.9,278, ,37º 08.311 N,75º 35.866 W,2.8,73,7.8,0.2,169,1004.5,65.7,0.0,0.0,9.3
2023-06-06T18:19:15-04:00,5.4,208,P51,2.7,259, ,37º 08.909 N,75º 41.294 W,2.4,78,7.5,0.2,140,1004.4,66.0,0.2,0.1,12.3
2023-06-06T21:06:41-04:00,6.6,202,P49,2.1,252, ,37º 07.506 N,75º 50.418 W,1.5,100,6.2,0.3,113,1004.8,66.9,0.3,0.4,11.1
2023-06-06T22:23:55-04:00,7.0,228,S47,1.9,181, ,37º 06.655 N,75º 53.624 W,1.3,115,5.5,0.3,113,1004.6,66.9,0.1,0.4,10.5
2023-06-06T22:46:43-04:00,7.0,240,P69,3.1,309, ,37º 05.934 N,75º 53.647 W,1.3,113,5.6,0.3,115,1004.6,66.8,0.0,0.4,10.0
2023-06-06T22:55:48-04:00,7.1,245,S64,2.9,181, ,37º 06.224 N,75º 54.092 W,1.3,116,5.5,0.3,115,1004.6,66.7,0.0,0.4,9.8
2023-06-06T23:10:48-04:00,7.1,252,P57,2.4,309, ,37º 05.503 N,75º 54.115 W,1.3,112,5.6,0.3,117,1004.6,66.7,0.0,0.4,9.3
2023-06-06T23:22:34-04:00,7.2,259,S38,2.0,221, ,37º 05.794 N,75º 54.560 W,1.3,114,5.5,0.3,116,1004.5,66.8,0.0,0.5,9.1
2023-06-07T00:30:46-04:00,7.2,284,P78,3.9,1, ,37º 04.072 N,75º 56.432 W,1.3,105,5.8,0.2,128,1004.5,66.9,0.0,0.7,7.5
2023-06-07T00:42:13-04:00,7.3,292,S44,2.9,248, ,37º 04.792 N,75º 56.408 W,1.2,109,5.7,0.2,124,1004.4,67.0,0.0,0.7,7.5
2023-06-07T03:10:57-04:00,8.2,324,P92,5.4,56, ,37º 02.088 N,76º 04.667 W,1.6,35,5.1,0.1,180,1004.6,66.9,0.0,0.5,14.3
2023-06-07T03:30:47-04:00,8.6,327,P62,3.3,28, ,37º 03.089 N,76º 02.819 W,1.7,27,4.8,0.1,165,1004.7,67.0,0.0,0.5,16.0
2023-06-07T05:25:38-04:00,10.3,342,S56,4.3,286, ,37º 08.695 N,75º 59.004 W,2.1,359,3.6,0.1,126,1005.2,66.0,0.0,0.1,22.3
2023-06-07T07:46:06-04:00,11.8,342,P57,3.9,39, ,37º 11.485 N,76º 11.169 W,2.5,350,3.3,0.1,190,1006.7,63.3,0.0,0.0,22.7
2023-06-07T11:16:34-04:00,9.5,348,S55,3.6,292, ,37º 22.106 N,76º 00.381 W,1.8,345,3.0,0.0,204,1006.9,65.1,0.0,0.0,19.4
2023-06-07T11:49:03-04:00,9.0,350,P50,3.0,41, ,37º 22.837 N,76º 02.627 W,1.9,349,3.1,0.0,212,1007.0,64.8,0.0,0.0,19.2
2023-06-07T12:46:49-04:00,8.5,351,S41,2.3,309, ,37º 24.989 N,76º 00.287 W,1.7,346,2.9,0.0,223,1007.1,65.3,0.0,0.0,17.6
2023-06-07T15:33:46-04:00,6.3,357,P44,2.3,41, ,37º 29.051 N,76º 06.509 W,1.6,358,3.1,0.0,266,1007.3,65.2,0.0,0.0,14.4
2023-06-07T17:01:55-04:00,6.0,329,P54,2.6,23, ,37º 31.634 N,76º 03.701 W,1.3,353,2.9,0.0,257,1007.4,66.1,0.0,0.1,12.2
2023-06-07T18:10:02-04:00,6.1,306,P73,3.7,19, ,37º 34.367 N,76º 02.249 W,1.0,349,2.7,0.0,261,1007.5,66.7,0.0,0.1,11.0
2023-06-07T19:28:19-04:00,6.9,288,P84,4.8,11, ,37º 38.971 N,76º 00.283 W,0.8,339,2.4,0.0,270,1007.7,66.8,0.0,0.1,12.1
2023-06-07T21:12:58-04:00,8.5,288,P73,4.5,1, ,37º 47.179 N,75º 58.198 W,0.8,316,2.0,0.0,70,1008.3,65.9,0.0,0.1,19.1
2023-06-07T21:42:01-04:00,8.6,290,P111,5.1,41, ,37º 49.341 N,75º 58.128 W,0.9,314,2.0,0.0,70,1008.4,65.8,0.0,0.1,19.6
2023-06-07T21:48:43-04:00,8.6,290,P75,4.6,5, ,37º 49.772 N,75º 57.659 W,0.9,313,2.0,0.0,74,1008.4,65.8,0.0,0.1,19.6
2023-06-08T00:13:20-04:00,9.2,298,P44,2.7,342, ,38º 00.722 N,75º 56.393 W,0.9,306,2.0,0.0,23,1008.5,65.2,0.0,0.1,16.8
2023-06-08T00:37:01-04:00,9.3,299,S56,3.6,242, ,38º 01.732 N,75º 56.814 W,0.9,306,2.0,0.0,23,1008.5,65.2,0.0,0.1,16.7
2023-06-08T00:57:49-04:00,9.8,299,P54,3.6,353, ,38º 01.162 N,75º 58.195 W,1.0,306,2.1,0.0,20,1008.6,65.3,0.0,0.1,16.7
2023-06-08T01:39:14-04:00,9.8,300,S52,3.4,249, ,38º 03.614 N,75º 58.568 W,1.0,303,2.1,0.0,22,1008.7,65.4,0.0,0.1,16.9
2023-06-08T02:13:36-04:00,10.3,301,P60,4.3,1, ,38º 02.902 N,76º 00.862 W,1.1,303,2.1,0.0,18,1008.8,65.3,0.0,0.1,17.3
2023-06-08T02:23:49-04:00,10.2,302,S53,3.7,249, ,38º 03.623 N,76º 00.838 W,1.1,303,2.1,0.0,17,1008.9,65.2,0.0,0.1,17.5
2023-06-08T02:55:28-04:00,10.3,303,P58,4.1,1, ,38º 02.912 N,76º 03.131 W,1.2,305,2.2,0.0,11,1009.2,64.8,0.0,0.1,17.8
2023-06-08T03:16:35-04:00,10.1,305,S46,3.2,259, ,38º 04.353 N,76º 03.083 W,1.2,307,2.2,0.1,13,1009.3,64.5,0.0,0.1,18.2
2023-06-08T03:58:31-04:00,10.2,307,P55,3.8,1, ,38º 03.932 N,76º 05.821 W,1.3,310,2.3,0.1,9,1009.7,63.9,0.0,0.1,18.8
2023-06-08T04:10:07-04:00,10.1,308,S49,3.7,259, ,38º 04.652 N,76º 05.798 W,1.3,310,2.3,0.1,9,1009.8,63.7,0.0,0.1,19.0
2023-06-08T06:10:33-04:00,10.4,314,S65,4.7,249, ,38º 03.249 N,76º 14.923 W,1.3,319,2.4,0.1,4,1010.8,61.5,0.0,0.1,17.1
2023-06-08T07:00:02-04:00,9.4,316,P46,2.9,1, ,38º 01.826 N,76º 19.508 W,1.1,320,2.2,0.0,6,1011.2,60.6,0.0,0.1,15.6
2023-06-08T07:15:22-04:00,9.4,317,S58,3.7,259, ,38º 02.547 N,76º 19.484 W,1.1,321,2.2,0.0,5,1011.3,60.5,0.0,0.1,15.8
2023-06-08T07:27:22-04:00,9.2,317,P122,5.0,79, ,38º 02.407 N,76º 20.397 W,1.1,320,2.2,0.0,6,1011.4,60.3,0.0,0.0,15.7
2023-06-08T07:36:07-04:00,9.4,318,S137,4.6,181, ,38º 02.547 N,76º 19.484 W,1.1,322,2.3,0.0,5,1011.5,60.3,0.0,0.0,16.0
