,Route,Start Time,Start,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,End
,UKMO,2023-06-02T14:26:46-04:00,41 20.388N 71 23.850W,40 52.602N 71 46.692W,40 51.396N 72 45.552W,40 42.348N 73 20.796W,39 32.160N 72 53.442W,39 16.956N 74 42.552W,38 10.116N 73 51.750W,37 58.848N 74 59.586W,37 32.316N 75 47.412W,37 2.088N 76 4.668W,37 10.032N 75 59.112W,37 34.296N 76 1.974W,37 49.734N 75 59.646W,38 2.292N 76 20.394W,38 13.830N 76 2.730W,38 17.544N 76 24.276W,38 32.916N 76 25.362W,38 53.982N 76 26.202W,38 58.638N 76 19.836W
,Polar,Polar Speed Adjustment,Motoring,Ocean Current,TWS Scale Factor,TWD Adjustment
,"Upwind 50°: 5.0, 90°: 10.0, Downwind 160°: 6.0","Upwind: 100, Downwind: 100",False,Mercator,100%,0°
Time,TWS (kts),TWD (° true),TWA,SOG (kts),COG (° true),Motoring,Latitude,Longitude,Wave Height (ft),Wave Dir (° true),Wave Period (s),Current Speed (kts),Current Dir (° true),Pressure (hPa),Temperature (° F),Rain (mm/hr),CAPE (kJ/kg),Gust (kts)
2023-06-02T14:26:46-04:00,5.7,222,S73,2.5,148, ,41º 20.388 N,71º 23.849 W,2.3,151,5.6,0.1,119,1011.7,57.9,0.0,0.0,16.6
2023-06-02T16:42:51-04:00,6.5,188,P53,3.1,241, ,41º 15.614 N,71º 19.921 W,2.4,150,5.7,0.2,207,1011.3,56.7,0.0,0.0,13.0
2023-06-02T20:08:20-04:00,8.9,196,S45,3.0,151, ,41º 10.477 N,71º 32.345 W,2.2,147,5.9,0.3,229,1011.3,57.9,0.0,0.2,10.6
2023-06-02T21:44:30-04:00,7.5,193,P60,3.3,253, ,41º 06.284 N,71º 29.305 W,2.3,144,6.1,0.4,236,1011.2,57.8,0.0,0.0,8.2
2023-06-03T00:57:51-04:00,5.9,200,P37,1.9,237, ,41º 03.167 N,71º 42.571 W,2.0,139,6.4,0.4,224,1011.3,57.5,0.0,0.0,5.9
2023-06-03T02:28:51-04:00,6.2,108,P94,4.4,202, ,41º 01.595 N,71º 45.800 W,2.2,126,6.1,0.4,218,1011.6,57.2,0.0,0.0,7.7
2023-06-03T03:09:11-04:00,6.0,51,P125,4.8,175, ,40º 58.862 N,71º 47.251 W,2.4,113,5.7,0.4,219,1011.9,57.1,0.0,0.0,13.4
2023-06-03T04:29:19-04:00,12.2,47,S148,7.0,259, ,40º 52.517 N,71º 46.551 W,2.7,95,5.0,0.5,227,1012.3,57.4,0.0,0.0,25.2
2023-06-03T06:00:06-04:00,21.0,43,S139,7.7,264, ,40º 50.412 N,72º 00.238 W,3.4,84,5.0,0.5,248,1013.1,57.3,0.0,0.0,29.0
2023-06-03T08:27:35-04:00,15.8,49,S150,6.8,259, ,40º 48.494 N,72º 24.359 W,4.0,72,4.5,0.2,233,1014.6,56.7,0.0,0.0,27.3
2023-06-03T09:54:47-04:00,18.1,47,S137,7.6,270, ,40º 46.529 N,72º 37.135 W,4.0,79,4.8,0.3,248,1015.2,58.2,0.0,0.0,22.9
2023-06-03T10:21:47-04:00,17.7,48,S150,6.9,259, ,40º 46.548 N,72º 41.673 W,3.8,82,4.8,0.3,243,1015.4,59.3,0.0,0.0,24.1
2023-06-03T10:34:01-04:00,17.6,49,P157,6.6,206, ,40º 46.267 N,72º 43.498 W,3.7,83,4.8,0.3,241,1015.5,59.7,0.0,0.0,24.2
2023-06-03T11:27:02-04:00,20.0,52,S151,6.9,261, ,40º 41.092 N,72º 46.845 W,4.4,78,5.0,0.3,239,1015.7,58.8,0.0,0.0,23.5
2023-06-03T14:20:57-04:00,16.5,62,P157,6.2,220, ,40º 38.023 N,73º 11.458 W,3.8,89,5.2,,,1015.9,62.3,0.0,0.0,19.8
2023-06-03T14:37:30-04:00,17.3,63,S154,6.3,269, ,40º 36.731 N,73º 12.862 W,3.9,89,5.2,,,1015.9,61.4,0.0,0.0,19.9
2023-06-03T15:33:12-04:00,16.4,63,S45,4.5,18, ,40º 36.619 N,73º 20.583 W,3.3,94,5.1,,,1015.7,61.8,0.0,0.0,19.6
2023-06-03T15:49:16-04:00,15.8,62,P130,7.7,192, ,40º 37.770 N,73º 20.092 W,3.2,96,5.0,,,1015.7,62.7,0.0,0.0,20.2
2023-06-03T16:04:09-04:00,16.9,64,P98,9.8,162, ,40º 35.899 N,73º 20.606 W,3.6,94,5.1,0.3,241,1015.7,60.9,0.0,0.0,20.9
2023-06-03T18:49:16-04:00,24.6,61,P101,9.4,162, ,40º 10.310 N,73º 09.823 W,7.9,70,6.3,0.4,252,1016.7,56.8,0.0,0.0,30.9
2023-06-03T23:05:12-04:00,24.9,50,S155,7.1,255, ,39º 31.929 N,72º 53.648 W,10.9,53,7.2,0.8,222,1017.3,55.3,0.0,0.0,34.2
2023-06-04T00:37:49-04:00,23.6,51,S153,7.3,259, ,39º 29.103 N,73º 07.359 W,10.2,55,7.2,0.8,231,1017.0,55.2,0.0,0.0,31.1
2023-06-04T03:04:34-04:00,21.8,47,S149,7.7,259, ,39º 25.594 N,73º 30.170 W,8.8,58,7.1,0.7,242,1016.8,54.9,0.0,0.0,25.4
2023-06-04T05:27:49-04:00,19.5,40,S142,7.7,256, ,39º 21.655 N,73º 53.450 W,7.5,61,6.9,0.7,217,1016.8,55.0,0.0,0.0,23.0
2023-06-04T07:39:10-04:00,16.4,33,S134,8.2,259, ,39º 17.996 N,74º 14.905 W,6.0,64,6.6,0.5,219,1017.7,56.1,0.0,0.0,22.0
2023-06-04T09:48:09-04:00,11.3,30,P100,8.5,130, ,39º 14.768 N,74º 35.893 W,3.4,76,6.5,0.2,215,1017.3,60.0,0.0,0.0,16.0
2023-06-04T10:32:49-04:00,15.1,42,P97,10.0,139, ,39º 10.706 N,74º 29.670 W,4.5,70,6.6,0.3,220,1017.1,58.3,0.0,0.0,15.4
2023-06-04T11:38:36-04:00,16.8,46,P98,9.9,144, ,39º 02.450 N,74º 20.408 W,5.6,62,6.7,0.5,214,1016.8,56.7,0.0,0.0,17.7
2023-06-04T14:10:21-04:00,7.9,59,P94,4.7,153, ,38º 45.520 N,74º 04.620 W,6.2,56,6.9,0.7,232,1015.6,56.3,0.0,0.0,12.7
2023-06-04T15:24:28-04:00,6.6,36,P98,4.2,134, ,38º 40.316 N,74º 01.159 W,6.2,55,7.0,0.7,233,1015.2,56.1,0.0,0.0,11.6
2023-06-04T17:20:07-04:00,8.0,43,P108,5.2,151, ,38º 34.663 N,73º 53.627 W,6.0,54,7.1,0.7,235,1014.7,57.0,0.0,0.0,8.0
2023-06-04T19:07:21-04:00,9.8,14,P137,5.2,151, ,38º 26.567 N,73º 47.990 W,5.9,53,7.2,0.7,234,1014.6,58.0,0.0,0.0,9.8
2023-06-04T20:54:21-04:00,12.8,11,S150,6.2,220, ,38º 18.472 N,73º 42.354 W,5.9,51,7.3,0.6,229,1014.8,59.9,0.0,0.0,12.8
2023-06-04T22:43:18-04:00,12.6,12,S127,7.0,245, ,38º 09.862 N,73º 51.715 W,5.7,53,7.3,0.6,222,1015.3,60.4,0.0,0.0,12.6
2023-06-05T00:16:01-04:00,10.7,5,S120,6.4,245, ,38º 05.301 N,74º 04.272 W,5.4,54,7.4,0.7,210,1015.1,60.1,0.0,0.0,10.7
2023-06-05T01:58:50-04:00,7.5,347,S102,5.1,245, ,38º 00.740 N,74º 16.829 W,5.2,56,7.5,0.8,219,1014.5,61.1,0.0,0.0,8.8
2023-06-05T04:05:54-04:00,6.6,330,S100,4.2,230, ,37º 56.180 N,74º 29.386 W,5.2,57,7.8,1.0,205,1014.2,61.1,0.0,0.0,6.6
2023-06-05T06:52:27-04:00,5.4,290,P20,2.7,310, ,37º 48.730 N,74º 40.524 W,5.3,57,8.1,0.8,207,1014.3,61.0,0.0,0.0,5.4
2023-06-05T10:33:04-04:00,6.3,216,P82,4.7,298, ,37º 55.114 N,74º 50.302 W,5.1,58,8.2,0.4,205,1013.3,61.7,0.0,0.0,11.2
2023-06-05T12:20:52-04:00,9.8,197,S50,3.9,147, ,37º 59.045 N,74º 59.706 W,4.5,61,7.9,0.3,207,1011.9,62.6,0.0,0.0,12.9
2023-06-05T15:15:43-04:00,10.5,189,P48,4.3,237, ,37º 49.498 N,74º 51.847 W,4.8,58,7.9,0.4,202,1010.3,63.0,0.0,0.0,13.7
2023-06-05T16:47:35-04:00,11.0,177,P43,3.7,221, ,37º 45.923 N,74º 58.774 W,4.6,60,7.8,0.3,202,1009.3,64.2,0.0,0.0,14.2
2023-06-05T17:43:28-04:00,10.8,174,P58,4.3,232, ,37º 43.340 N,75º 01.582 W,4.4,60,7.7,0.3,203,1009.2,64.8,0.0,0.0,13.8
2023-06-05T20:25:43-04:00,7.9,187,P60,3.1,247, ,37º 36.181 N,75º 13.165 W,3.9,63,7.8,0.2,198,1008.9,65.5,0.0,0.0,10.8
2023-06-05T22:05:44-04:00,7.8,205,P54,2.8,259, ,37º 34.188 N,75º 19.131 W,3.7,70,7.4,0.1,202,1008.7,65.6,0.0,0.1,16.0
2023-06-05T23:38:50-04:00,7.8,216,S46,2.9,170, ,37º 33.346 N,75º 24.606 W,3.5,84,7.0,0.1,194,1008.4,65.9,0.0,0.2,18.5
2023-06-06T00:51:53-04:00,9.0,224,P54,2.8,278, ,37º 29.883 N,75º 23.811 W,3.9,100,6.6,0.1,204,1008.1,65.8,0.0,0.2,19.4
2023-06-06T04:46:13-04:00,5.9,230,S48,2.5,181, ,37º 31.381 N,75º 37.380 W,2.8,121,6.2,0.0,79,1007.1,65.3,0.0,0.0,12.8
2023-06-06T07:56:47-04:00,9.9,230,P53,3.4,283, ,37º 23.453 N,75º 37.640 W,2.8,115,6.4,0.0,119,1007.2,65.4,0.0,0.0,11.8
2023-06-06T08:42:27-04:00,8.8,240,S58,3.6,181, ,37º 24.043 N,75º 40.798 W,2.2,111,6.3,0.0,40,1007.1,66.6,0.0,0.0,11.9
2023-06-06T09:30:46-04:00,8.1,247,S44,3.2,202, ,37º 21.161 N,75º 40.892 W,2.1,104,6.2,0.0,45,1007.1,67.0,0.0,0.0,12.3
2023-06-06T12:40:42-04:00,8.6,270,S79,3.9,192, ,37º 11.811 N,75º 45.738 W,1.9,80,5.9,0.2,109,1006.6,69.2,0.0,0.0,11.5
2023-06-06T15:48:01-04:00,5.9,244,P44,1.8,288, ,36º 59.860 N,75º 48.853 W,2.1,74,7.3,0.4,165,1005.7,67.8,0.0,0.0,5.9
2023-06-06T21:10:37-04:00,2.9,188,P71,2.0,259, ,37º 02.789 N,76º 00.106 W,1.1,84,6.0,0.2,154,1005.2,68.5,0.0,0.0,9.6
2023-06-06T23:00:23-04:00,3.4,151,S95,2.4,56, ,37º 02.088 N,76º 04.667 W,1.0,99,5.4,0.1,153,1005.5,68.0,0.0,0.0,8.0
2023-06-07T01:15:25-04:00,5.8,203,P158,2.7,1, ,37º 05.092 N,75º 59.122 W,1.0,117,5.2,0.2,146,1004.8,67.4,0.0,0.0,6.3
2023-06-07T02:37:06-04:00,8.0,266,P76,4.3,342, ,37º 08.695 N,75º 59.004 W,0.8,139,4.2,0.2,147,1004.4,66.9,0.1,0.1,8.0
2023-06-07T02:52:00-04:00,9.0,346,S37,4.6,309, ,37º 09.706 N,75º 59.425 W,0.7,145,3.8,0.2,148,1004.3,67.0,0.0,0.2,9.0
2023-06-07T03:57:41-04:00,15.0,16,S53,5.5,322, ,37º 12.898 N,76º 04.314 W,0.7,158,2.8,0.2,181,1004.0,67.8,0.0,0.3,15.0
2023-06-07T06:14:40-04:00,19.2,17,P51,5.1,69, ,37º 22.884 N,76º 13.974 W,0.6,210,2.1,0.1,189,1004.4,65.5,0.0,0.3,19.2
2023-06-07T06:37:56-04:00,18.6,17,S50,4.8,327, ,37º 23.595 N,76º 11.681 W,0.6,257,2.0,0.2,187,1004.6,65.4,0.0,0.4,18.6
2023-06-07T07:25:49-04:00,17.1,14,P54,5.6,69, ,37º 26.777 N,76º 14.300 W,0.7,295,1.9,,,1004.9,64.1,0.0,0.2,17.1
2023-06-07T07:47:10-04:00,16.7,14,S54,5.4,320, ,37º 27.488 N,76º 12.007 W,0.7,298,1.8,,,1005.1,63.9,0.0,0.2,16.7
2023-06-07T08:23:10-04:00,15.3,10,P55,5.7,66, ,37º 29.950 N,76º 14.650 W,0.9,314,1.9,,,1005.3,64.4,0.0,0.1,17.7
2023-06-07T10:16:47-04:00,12.4,356,S58,4.5,298, ,37º 34.367 N,76º 02.249 W,1.7,338,2.5,0.1,193,1005.9,65.0,0.0,0.1,22.2
2023-06-07T11:31:12-04:00,11.2,355,P46,4.2,41, ,37º 36.988 N,76º 08.519 W,2.1,351,2.9,0.1,187,1006.2,65.4,0.0,0.0,22.6
2023-06-07T14:06:51-04:00,12.3,337,P53,4.3,29, ,37º 45.167 N,75º 59.626 W,1.7,339,2.9,0.1,180,1006.4,66.6,0.0,0.0,16.4
2023-06-07T14:39:07-04:00,12.1,331,P48,3.8,19, ,37º 47.179 N,75º 58.198 W,1.5,337,2.7,0.1,174,1006.3,66.7,0.0,0.0,15.8
2023-06-07T15:17:20-04:00,11.9,325,S66,5.3,259, ,37º 49.481 N,75º 57.215 W,1.3,334,2.5,0.1,169,1006.2,67.2,0.0,0.0,14.8
2023-06-07T15:25:54-04:00,11.8,327,P74,6.3,41, ,37º 49.341 N,75º 58.128 W,1.3,337,2.6,0.1,169,1006.2,67.3,0.0,0.0,14.4
2023-06-07T15:31:20-04:00,11.8,325,P50,3.9,15, ,37º 49.772 N,75º 57.659 W,1.3,336,2.5,0.1,168,1006.2,67.4,0.0,0.0,14.3
2023-06-07T16:18:56-04:00,11.3,318,P53,4.2,11, ,37º 52.795 N,75º 56.653 W,1.1,331,2.4,0.1,163,1006.1,68.4,0.0,0.0,12.3
2023-06-07T18:55:55-04:00,8.8,328,S62,4.2,266, ,38º 03.595 N,75º 54.029 W,0.4,322,1.8,0.1,157,1006.8,69.2,0.0,0.0,8.8
2023-06-07T22:27:52-04:00,3.7,6,S107,2.1,259, ,38º 02.519 N,76º 12.677 W,0.9,351,2.1,0.0,131,1008.0,67.4,0.0,0.0,14.3
2023-06-07T23:50:36-04:00,5.1,54,S147,2.9,267, ,38º 01.958 N,76º 16.326 W,0.9,347,2.2,0.0,30,1008.6,65.8,0.0,0.0,13.8
2023-06-08T00:42:40-04:00,7.6,41,S92,5.1,310, ,38º 01.826 N,76º 19.508 W,0.8,345,2.2,0.0,26,1009.0,64.7,0.0,0.0,13.0
2023-06-08T00:53:20-04:00,8.0,39,P90,5.4,130, ,38º 02.407 N,76º 20.397 W,0.8,345,2.1,0.0,28,1009.1,64.3,0.0,0.0,12.8
2023-06-08T01:03:27-04:00,8.6,41,P50,3.1,90, ,38º 01.826 N,76º 19.508 W,0.8,343,2.2,0.0,23,1009.2,64.4,0.0,0.0,13.1
2023-06-08T01:38:19-04:00,10.7,39,S50,3.6,350, ,38º 01.817 N,76º 17.239 W,1.0,337,2.3,0.1,20,1009.4,64.2,0.0,0.0,14.2
2023-06-08T02:08:06-04:00,11.3,37,P53,4.1,90, ,38º 03.548 N,76º 17.636 W,1.0,334,2.2,0.1,19,1009.6,63.7,0.0,0.0,14.2
