,Route,Start Time,Start,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,End
,ECMWF,2023-06-02T15:00:00-04:00,41 20.388N 71 23.850W,40 52.602N 71 46.692W,40 51.396N 72 45.552W,40 42.348N 73 20.796W,39 32.160N 72 53.442W,39 16.956N 74 42.552W,38 10.116N 73 51.750W,37 58.848N 74 59.586W,37 32.316N 75 47.412W,37 2.088N 76 4.668W,37 10.032N 75 59.112W,37 34.296N 76 1.974W,37 49.734N 75 59.646W,38 2.292N 76 20.394W,38 13.830N 76 2.730W,38 17.544N 76 24.276W,38 32.916N 76 25.362W,38 53.982N 76 26.202W,38 58.638N 76 19.836W
,Polar,Polar Speed Adjustment,Motoring,Ocean Current,TWS Scale Factor,TWD Adjustment
,"Upwind 50°: 5.0, 90°: 10.0, Downwind 160°: 6.0","Upwind: 100, Downwind: 100",False,Mercator,100%,0°
Time,TWS (kts),TWD (° true),TWA,SOG (kts),COG (° true),Motoring,Latitude,Longitude,Wave Height (ft),Wave Dir (° true),Wave Period (s),Current Speed (kts),Current Dir (° true),Pressure (hPa),Temperature (° F),Rain (mm/hr),CAPE (kJ/kg),Gust (kts)
2023-06-02T15:00:00-04:00,11.9,210,P48,3.8,258, ,41º 20.388 N,71º 23.849 W,2.3,152,5.6,0.1,121,1011.6,58.0,0.0,0.0,16.1
2023-06-02T15:54:50-04:00,10.4,212,S50,3.4,163, ,41º 19.686 N,71º 28.412 W,2.2,150,5.7,0.1,120,1011.3,59.0,0.0,0.0,14.2
2023-06-02T16:32:13-04:00,10.5,216,P51,3.7,267, ,41º 17.665 N,71º 27.571 W,2.2,149,5.7,0.1,141,1011.3,57.2,0.0,0.0,13.7
2023-06-02T17:11:37-04:00,9.4,217,S48,3.4,169, ,41º 17.533 N,71º 30.752 W,2.2,149,5.7,0.1,138,1011.1,57.8,0.0,0.0,12.3
2023-06-02T19:05:02-04:00,8.5,227,S45,3.1,181, ,41º 11.329 N,71º 29.140 W,2.3,146,5.8,0.3,220,1011.3,57.7,0.0,0.1,10.9
2023-06-02T20:58:14-04:00,7.7,222,P53,3.0,274, ,41º 05.563 N,71º 29.328 W,2.3,144,6.0,0.4,236,1011.2,57.7,0.0,0.1,10.1
2023-06-03T00:23:43-04:00,4.4,192,P58,2.5,251, ,41º 06.340 N,71º 42.921 W,1.9,140,6.3,0.3,234,1011.2,58.0,0.0,0.0,5.8
2023-06-03T01:24:08-04:00,3.5,136,P83,2.4,219, ,41º 05.489 N,71º 46.126 W,1.9,138,6.4,0.3,221,1011.4,57.9,0.0,0.0,4.6
2023-06-03T02:06:43-04:00,3.6,101,P83,4.5,184, ,41º 04.198 N,71º 47.531 W,1.9,134,6.4,0.3,216,1011.5,57.7,0.0,0.0,4.9
2023-06-03T03:38:32-04:00,13.1,47,P119,8.3,165, ,40º 57.281 N,71º 48.211 W,2.5,105,5.4,0.5,221,1012.1,57.2,0.0,0.0,17.6
