,Route,Start Time,Start,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,End
,GFS,2023-06-02T15:00:00-04:00,41 20.388N 71 23.850W,40 52.602N 71 46.692W,40 51.396N 72 45.552W,40 42.348N 73 20.796W,39 32.160N 72 53.442W,39 16.956N 74 42.552W,38 10.116N 73 51.750W,37 58.848N 74 59.586W,37 32.316N 75 47.412W,37 2.088N 76 4.668W,37 10.032N 75 59.112W,37 34.296N 76 1.974W,37 49.734N 75 59.646W,38 2.292N 76 20.394W,38 13.830N 76 2.730W,38 17.544N 76 24.276W,38 32.916N 76 25.362W,38 53.982N 76 26.202W,38 58.638N 76 19.836W
,Polar,Polar Speed Adjustment,Motoring,Ocean Current,TWS Scale Factor,TWD Adjustment
,"Upwind 50°: 5.0, 90°: 10.0, Downwind 160°: 6.0","Upwind: 100, Downwind: 100",False,Mercator,100%,0°
Time,TWS (kts),TWD (° true),TWA,SOG (kts),COG (° true),Motoring,Latitude,Longitude,Wave Height (ft),Wave Dir (° true),Wave Period (s),Current Speed (kts),Current Dir (° true),Pressure (hPa),Temperature (° F),Rain (mm/hr),CAPE (kJ/kg),Gust (kts)
2023-06-02T15:00:00-04:00,8.7,208,P59,3.5,267, ,41º 20.388 N,71º 23.849 W,2.3,152,5.6,0.1,121,1012.3,65.4,0.1,0.0,10.4
2023-06-02T15:40:54-04:00,7.9,223,S48,3.0,174, ,41º 20.257 N,71º 27.032 W,2.2,151,5.6,0.1,118,1012.1,65.8,0.1,0.1,10.2
2023-06-02T19:26:56-04:00,4.0,207,P51,1.8,258, ,41º 09.007 N,71º 25.584 W,2.3,146,5.9,0.3,227,1011.0,62.9,0.0,0.0,5.1
2023-06-02T20:37:35-04:00,3.7,209,S22,2.6,187, ,41º 08.586 N,71º 28.322 W,2.3,146,5.9,0.3,230,1011.2,63.3,0.0,0.0,4.8
2023-06-02T21:55:58-04:00,5.3,292,S87,3.8,205, ,41º 05.273 N,71º 28.883 W,2.3,143,6.1,0.4,238,1012.0,62.9,0.0,0.0,6.1
2023-06-02T23:18:14-04:00,5.8,308,S89,4.2,219, ,41º 00.528 N,71º 31.763 W,2.2,139,6.3,0.4,246,1012.5,62.2,0.0,0.0,6.5
2023-06-03T00:05:28-04:00,7.2,355,S116,4.8,239, ,40º 57.945 N,71º 34.571 W,2.2,138,6.4,0.4,240,1012.2,62.0,0.0,0.0,9.1
2023-06-03T02:18:24-04:00,11.9,32,S133,7.2,259, ,40º 52.517 N,71º 46.551 W,2.2,130,6.3,0.5,224,1011.4,61.7,0.0,0.0,15.6
2023-06-03T03:51:44-04:00,16.4,37,S135,8.0,263, ,40º 50.272 N,72º 01.151 W,2.3,119,5.7,0.4,247,1011.6,59.9,0.0,0.0,18.4
2023-06-03T06:35:06-04:00,19.7,43,S138,7.4,265, ,40º 47.502 N,72º 28.478 W,3.0,90,5.1,0.2,238,1013.2,58.5,0.1,0.0,22.8
2023-06-03T07:56:13-04:00,18.9,44,S153,6.7,251, ,40º 46.548 N,72º 41.673 W,3.1,86,4.4,0.3,244,1014.4,57.8,0.0,0.0,23.6
2023-06-03T08:19:15-04:00,18.4,44,P154,6.6,198, ,40º 45.696 N,72º 44.878 W,2.9,88,4.4,0.3,239,1014.6,57.8,0.0,0.0,23.4
2023-06-03T08:30:26-04:00,18.5,44,S155,6.6,249, ,40º 44.545 N,72º 45.370 W,3.0,86,4.5,0.3,239,1014.6,57.8,0.0,0.0,23.4
2023-06-03T10:43:37-04:00,18.6,47,S150,6.5,256, ,40º 39.286 N,73º 03.246 W,3.7,84,4.7,,,1015.7,58.5,0.0,0.0,23.5
2023-06-03T12:05:44-04:00,18.7,48,S145,6.8,263, ,40º 37.171 N,73º 14.664 W,3.5,89,4.8,,,1015.9,59.9,0.0,0.0,22.7
2023-06-03T12:45:36-04:00,18.6,50,S99,9.5,311, ,40º 36.619 N,73º 20.583 W,3.1,92,4.8,,,1016.0,60.9,0.0,0.0,22.1
2023-06-03T12:48:25-04:00,18.4,50,P28,2.8,79, ,40º 36.909 N,73º 21.028 W,3.0,92,4.8,,,1016.0,61.1,0.0,0.0,22.0
2023-06-03T13:03:35-04:00,18.4,50,S49,4.9,1, ,40º 37.050 N,73º 20.115 W,3.1,92,4.9,,,1016.0,61.2,0.0,0.0,21.9
2023-06-03T13:12:45-04:00,18.0,50,P142,7.0,192, ,40º 37.770 N,73º 20.092 W,3.0,93,4.9,,,1016.0,61.5,0.0,0.0,21.6
2023-06-03T13:29:04-04:00,19.0,51,P112,8.9,162, ,40º 35.899 N,73º 20.606 W,3.3,92,5.0,0.3,241,1016.0,61.4,0.0,0.0,22.0
2023-06-03T14:59:57-04:00,23.9,48,P114,8.7,162, ,40º 23.105 N,73º 15.215 W,5.7,78,5.5,0.3,253,1016.2,58.7,0.0,0.0,26.0
2023-06-03T16:33:00-04:00,26.7,46,P116,8.6,162, ,40º 10.310 N,73º 09.823 W,6.9,69,5.9,0.4,253,1016.2,57.7,0.0,0.0,29.3
2023-06-03T18:07:01-04:00,28.1,44,P118,8.6,162, ,39º 57.517 N,73º 04.432 W,8.4,63,6.3,0.4,240,1016.5,57.0,0.0,0.0,30.8
2023-06-03T19:40:17-04:00,28.5,43,P119,8.9,162, ,39º 44.723 N,72º 59.040 W,10.0,58,6.7,0.6,218,1016.9,56.2,0.1,0.0,30.9
2023-06-03T21:11:20-04:00,27.5,41,S144,7.7,257, ,39º 31.929 N,72º 53.648 W,10.6,53,7.0,0.7,223,1016.6,55.8,0.0,0.0,30.4
2023-06-03T23:38:45-04:00,25.7,40,S141,8.0,259, ,39º 27.849 N,73º 17.840 W,10.3,57,7.1,0.7,238,1016.7,56.2,0.0,0.0,28.3
2023-06-04T02:03:39-04:00,22.6,33,S137,8.2,257, ,39º 24.059 N,73º 42.478 W,8.9,61,7.1,0.7,237,1016.3,56.1,0.0,0.0,24.2
2023-06-04T04:30:44-04:00,22.5,27,S128,8.4,259, ,39º 19.118 N,74º 07.606 W,7.2,64,6.9,0.6,213,1016.2,56.6,0.1,0.0,24.2
2023-06-04T07:08:09-04:00,14.2,19,P136,7.7,155, ,39º 14.768 N,74º 35.893 W,3.8,77,6.6,0.3,215,1017.3,54.5,0.0,0.0,21.2
2023-06-04T08:52:36-04:00,21.1,26,P129,8.3,155, ,39º 02.629 N,74º 28.573 W,5.8,65,6.8,0.4,210,1017.2,57.3,0.0,0.0,23.8
2023-06-04T10:29:42-04:00,22.3,24,P130,8.4,155, ,38º 50.490 N,74º 21.253 W,6.4,59,6.9,0.9,213,1017.1,57.4,0.0,0.0,25.5
2023-06-04T12:05:03-04:00,22.6,28,P127,8.5,155, ,38º 38.351 N,74º 13.933 W,6.8,56,7.0,0.8,220,1016.5,57.0,0.0,0.0,26.4
2023-06-04T13:40:12-04:00,23.2,28,P119,8.6,148, ,38º 26.212 N,74º 06.613 W,6.9,52,7.1,0.8,222,1016.1,57.2,0.0,0.0,27.5
2023-06-04T15:22:41-04:00,23.3,23,P112,8.9,136, ,38º 13.774 N,73º 56.580 W,7.2,48,7.1,0.7,225,1015.2,57.7,0.0,0.0,28.0
2023-06-04T15:59:34-04:00,23.2,23,S127,8.5,257, ,38º 09.862 N,73º 51.715 W,7.3,47,7.1,0.6,228,1014.9,57.7,0.0,0.0,28.0
2023-06-04T18:13:20-04:00,18.6,31,S135,8.4,256, ,38º 05.417 N,74º 14.784 W,6.2,53,7.3,1.0,217,1015.3,57.7,0.0,0.0,22.7
2023-06-04T20:23:01-04:00,16.6,37,S138,7.7,259, ,38º 01.112 N,74º 36.941 W,5.4,59,7.2,1.0,204,1015.9,58.2,0.0,0.0,19.7
2023-06-04T21:54:00-04:00,13.3,42,S131,6.7,272, ,37º 58.867 N,74º 51.541 W,4.8,62,7.2,0.6,205,1016.0,58.3,0.0,0.0,16.3
2023-06-04T22:51:48-04:00,10.6,44,P135,5.7,179, ,37º 59.045 N,74º 59.706 W,4.3,65,7.1,0.5,206,1016.1,58.4,0.0,0.0,14.0
2023-06-05T00:18:04-04:00,12.6,22,S150,6.6,232, ,37º 50.827 N,74º 59.521 W,4.4,63,7.2,0.5,209,1015.5,58.7,0.0,0.0,16.2
2023-06-05T02:04:03-04:00,13.7,6,S131,7.2,234, ,37º 43.668 N,75º 11.104 W,3.9,65,7.2,0.3,211,1014.9,59.5,0.0,0.0,17.9
2023-06-05T03:41:40-04:00,12.6,360,S115,7.1,244, ,37º 36.799 N,75º 23.131 W,3.5,69,7.1,0.2,197,1015.1,58.5,0.0,0.0,16.4
2023-06-05T05:28:08-04:00,9.4,350,P153,4.1,144, ,37º 31.381 N,75º 37.380 W,2.8,77,6.8,0.0,188,1015.4,57.3,0.0,0.0,12.8
2023-06-05T06:36:17-04:00,9.9,352,S146,4.1,206, ,37º 27.618 N,75º 33.872 W,3.2,72,7.1,0.1,175,1015.5,58.9,0.0,0.0,13.0
2023-06-05T08:45:14-04:00,7.1,349,S128,2.8,221, ,37º 19.710 N,75º 38.670 W,3.0,70,7.2,0.1,144,1015.7,60.4,0.0,0.0,9.9
2023-06-05T11:49:09-04:00,3.3,318,S123,1.8,195, ,37º 13.252 N,75º 45.691 W,2.4,77,6.2,0.1,104,1015.3,63.9,0.0,0.0,6.0
