,Route,Start Time,Start,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,End
,PWE,2023-06-02T18:00:00-04:00,41 20.388N 71 23.850W,40 52.602N 71 46.692W,40 51.396N 72 45.552W,40 42.348N 73 20.796W,39 32.160N 72 53.442W,39 16.956N 74 42.552W,38 10.116N 73 51.750W,37 58.848N 74 59.586W,37 32.316N 75 47.412W,37 2.088N 76 4.668W,37 10.032N 75 59.112W,37 34.296N 76 1.974W,37 49.734N 75 59.646W,38 2.292N 76 20.394W,38 13.830N 76 2.730W,38 17.544N 76 24.276W,38 32.916N 76 25.362W,38 53.982N 76 26.202W,38 58.638N 76 19.836W
,Polar,Polar Speed Adjustment,Motoring,Ocean Current,TWS Scale Factor,TWD Adjustment
,"Upwind 50°: 5.0, 90°: 10.0, Downwind 160°: 6.0","Upwind: 100, Downwind: 100",False,Mercator,100%,0°
Time,TWS (kts),TWD (° true),TWA,SOG (kts),COG (° true),Motoring,Latitude,Longitude,Wave Height (ft),Wave Dir (° true),Wave Period (s),Current Speed (kts),Current Dir (° true),Pressure (hPa),Temperature (° F),Rain (mm/hr),CAPE (kJ/kg),Gust (kts)
2023-06-02T18:00:00-04:00,8.3,227,S57,3.2,170, ,41º 20.388 N,71º 23.849 W,2.2,152,5.6,0.1,138,1011.1,59.1,0.0,0.0,12.8
2023-06-02T18:33:21-04:00,8.1,216,P42,2.8,258, ,41º 18.656 N,71º 23.452 W,2.2,151,5.7,0.1,164,1011.2,58.4,0.0,0.1,12.1
2023-06-02T19:19:24-04:00,7.2,200,P77,3.1,277, ,41º 18.235 N,71º 26.190 W,2.2,149,5.7,0.1,160,1011.2,58.9,0.0,0.1,10.6
2023-06-02T22:53:37-04:00,5.5,229,S48,3.1,181, ,41º 19.592 N,71º 40.672 W,1.6,145,6.0,0.1,150,1011.4,60.1,0.0,0.0,5.5
2023-06-03T01:54:02-04:00,6.2,268,S74,3.9,194, ,41º 10.225 N,71º 40.978 W,1.8,139,6.4,0.3,248,1011.4,60.1,0.0,0.0,6.9
2023-06-03T03:30:52-04:00,7.2,295,S114,4.3,181, ,41º 04.178 N,71º 42.992 W,2.6,98,5.3,0.4,230,1012.1,57.7,0.0,0.0,17.0
2023-06-03T04:21:19-04:00,6.9,303,S105,4.0,198, ,41º 00.575 N,71º 43.109 W,2.9,86,4.8,0.4,222,1012.4,57.4,0.0,0.0,24.5
2023-06-03T06:28:31-04:00,8.5,0,S102,7.0,259, ,40º 52.517 N,71º 46.551 W,4.2,65,4.7,0.5,230,1013.4,56.4,0.0,0.0,31.3
2023-06-03T08:48:04-04:00,21.2,41,S138,7.7,263, ,40º 49.009 N,72º 09.363 W,4.9,65,4.7,0.5,244,1014.7,55.9,0.0,0.0,30.3
2023-06-03T11:23:45-04:00,18.1,53,S144,7.4,269, ,40º 46.660 N,72º 33.952 W,4.7,75,5.1,0.2,239,1015.8,58.2,0.0,0.0,22.8
