,Route,Start Time,Start,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,End
,PWG,2023-06-02T18:00:00-04:00,41 20.388N 71 23.850W,40 52.602N 71 46.692W,40 51.396N 72 45.552W,40 42.348N 73 20.796W,39 32.160N 72 53.442W,39 16.956N 74 42.552W,38 10.116N 73 51.750W,37 58.848N 74 59.586W,37 32.316N 75 47.412W,37 2.088N 76 4.668W,37 10.032N 75 59.112W,37 34.296N 76 1.974W,37 49.734N 75 59.646W,38 2.292N 76 20.394W,38 13.830N 76 2.730W,38 17.544N 76 24.276W,38 32.916N 76 25.362W,38 53.982N 76 26.202W,38 58.638N 76 19.836W
,Polar,Polar Speed Adjustment,Motoring,Ocean Current,TWS Scale Factor,TWD Adjustment
,"Upwind 50°: 5.0, 90°: 10.0, Downwind 160°: 6.0","Upwind: 100, Downwind: 100",False,Mercator,100%,0°
Time,TWS (kts),TWD (° true),TWA,SOG (kts),COG (° true),Motoring,Latitude,Longitude,Wave Height (ft),Wave Dir (° true),Wave Period (s),Current Speed (kts),Current Dir (° true),Pressure (hPa),Temperature (° F),Rain (mm/hr),CAPE (kJ/kg),Gust (kts)
2023-06-02T18:00:00-04:00,8.5,205,S58,3.4,147, ,41º 20.388 N,71º 23.849 W,2.2,152,5.6,0.1,138,1011.4,64.5,0.1,0.1,8.8
2023-06-02T19:46:55-04:00,8.6,192,P49,4.1,241, ,41º 15.324 N,71º 19.476 W,2.3,149,5.7,0.2,225,1011.0,63.1,0.0,0.0,8.6
2023-06-02T21:13:15-04:00,9.8,165,P68,5.4,233, ,41º 12.470 N,71º 26.378 W,2.2,146,5.9,0.3,223,1011.5,63.4,0.0,0.0,9.8
2023-06-03T02:15:46-04:00,3.0,150,P38,2.2,189, ,41º 00.164 N,71º 48.116 W,2.1,131,6.3,0.4,216,1011.5,61.8,0.0,0.0,18.2
2023-06-03T03:28:42-04:00,6.2,36,P127,4.8,163, ,40º 57.571 N,71º 48.655 W,2.5,108,5.5,0.4,221,1011.7,60.1,0.0,0.0,21.1
2023-06-03T04:35:30-04:00,11.0,42,S157,5.2,245, ,40º 52.517 N,71º 46.551 W,2.8,94,4.9,0.5,227,1011.7,58.7,0.0,0.0,24.4
2023-06-03T05:10:36-04:00,12.4,44,S145,6.8,259, ,40º 51.235 N,71º 50.225 W,2.9,92,4.8,0.5,231,1011.9,58.1,0.0,0.0,25.7
2023-06-03T06:25:23-04:00,15.1,43,S141,7.5,262, ,40º 49.551 N,72º 01.174 W,3.7,77,5.0,0.5,249,1013.0,57.3,0.0,0.0,26.4
2023-06-03T08:12:00-04:00,19.7,46,S139,7.4,267, ,40º 47.605 N,72º 18.487 W,4.3,69,4.5,0.3,238,1014.4,56.8,0.0,0.0,26.9
2023-06-03T10:32:28-04:00,18.5,43,S155,6.7,249, ,40º 46.548 N,72º 41.673 W,3.9,81,4.9,0.3,244,1015.7,57.2,0.0,0.0,25.0
2023-06-03T11:46:26-04:00,18.3,47,S149,7.0,259, ,40º 43.562 N,72º 51.758 W,3.3,82,4.7,0.3,235,1016.0,58.0,0.0,0.0,23.9
2023-06-03T11:52:31-04:00,18.5,47,P151,6.8,198, ,40º 43.422 N,72º 52.670 W,3.2,83,4.7,0.3,235,1016.0,58.1,0.0,0.0,23.8
2023-06-03T12:14:05-04:00,19.7,47,S151,7.0,256, ,40º 41.120 N,72º 53.653 W,3.8,81,4.9,0.3,237,1016.0,58.3,0.0,0.0,24.2
2023-06-03T14:28:20-04:00,20.5,35,S133,7.4,262, ,40º 37.312 N,73º 13.751 W,3.7,90,5.2,,,1016.3,61.0,0.0,0.0,22.2
2023-06-03T15:10:44-04:00,19.2,39,S89,10.0,311, ,40º 36.619 N,73º 20.583 W,3.3,94,5.1,,,1016.4,61.6,0.0,0.0,21.8
2023-06-03T15:13:25-04:00,18.9,39,P40,3.9,79, ,40º 36.909 N,73º 21.028 W,3.2,95,5.1,,,1016.4,61.7,0.0,0.0,21.7
2023-06-03T15:24:40-04:00,19.2,38,S37,3.8,1, ,40º 37.050 N,73º 20.115 W,3.2,95,5.1,,,1016.4,61.5,0.0,0.0,21.7
2023-06-03T15:36:23-04:00,17.7,32,P149,6.6,181, ,40º 37.770 N,73º 20.092 W,3.2,96,5.0,,,1016.5,61.6,0.0,0.0,21.5
2023-06-03T15:42:54-04:00,19.3,38,S139,7.1,259, ,40º 37.050 N,73º 20.115 W,3.3,95,5.1,,,1016.5,61.4,0.0,0.0,21.8
2023-06-03T15:49:07-04:00,19.2,37,P133,7.7,170, ,40º 36.909 N,73º 21.028 W,3.3,95,5.1,,,1016.5,61.5,0.0,0.0,21.8
2023-06-03T16:03:09-04:00,20.4,37,P125,8.2,162, ,40º 35.178 N,73º 20.630 W,3.7,93,5.2,0.3,241,1016.5,60.9,0.0,0.0,22.4
