,Route,Start Time,Start,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,End
,SPIRE,2023-06-02T18:00:00-04:00,41 20.388N 71 23.850W,40 52.602N 71 46.692W,40 51.396N 72 45.552W,40 42.348N 73 20.796W,39 32.160N 72 53.442W,39 16.956N 74 42.552W,38 10.116N 73 51.750W,37 58.848N 74 59.586W,37 32.316N 75 47.412W,37 2.088N 76 4.668W,37 10.032N 75 59.112W,37 34.296N 76 1.974W,37 49.734N 75 59.646W,38 2.292N 76 20.394W,38 13.830N 76 2.730W,38 17.544N 76 24.276W,38 32.916N 76 25.362W,38 53.982N 76 26.202W,38 58.638N 76 19.836W
,Polar,Polar Speed Adjustment,Motoring,Ocean Current,TWS Scale Factor,TWD Adjustment
,"Upwind 50°: 5.0, 90°: 10.0, Downwind 160°: 6.0","Upwind: 100, Downwind: 100",False,Mercator,100%,0°
Time,TWS (kts),TWD (° true),TWA,SOG (kts),COG (° true),Motoring,Latitude,Longitude,Wave Height (ft),Wave Dir (° true),Wave Period (s),Current Speed (kts),Current Dir (° true),Pressure (hPa),Temperature (° F),Rain (mm/hr),CAPE (kJ/kg),Gust (kts)
2023-06-02T18:00:00-04:00,8.0,221,S54,3.3,167, ,41º 20.388 N,71º 23.849 W,2.2,152,5.6,0.1,138,1011.1,59.1,0.0,0.0,12.8
2023-06-02T18:51:39-04:00,9.0,231,S50,3.0,181, ,41º 17.645 N,71º 23.032 W,2.2,150,5.7,0.1,185,1011.2,58.3,0.0,0.1,11.7
2023-06-02T21:00:40-04:00,1.5,227,P31,1.6,258, ,41º 11.160 N,71º 23.244 W,2.3,146,5.9,0.4,228,1011.3,58.2,0.0,0.1,8.5
2023-06-02T22:21:15-04:00,4.6,220,S22,2.5,198, ,41º 10.739 N,71º 25.981 W,2.2,144,6.0,0.4,230,1011.2,58.2,0.0,0.0,4.9
2023-06-02T22:50:18-04:00,4.9,327,S94,2.9,233, ,41º 09.587 N,71º 26.473 W,2.2,143,6.1,0.4,233,1011.2,58.0,0.0,0.0,4.9
2023-06-03T00:46:41-04:00,3.7,40,S141,2.4,258, ,41º 06.153 N,71º 32.487 W,2.1,140,6.3,0.5,243,1011.3,58.5,0.0,0.0,4.2
2023-06-03T01:21:45-04:00,4.7,41,S160,4.2,241, ,41º 05.872 N,71º 34.312 W,2.1,140,6.3,0.5,245,1011.4,58.5,0.0,0.0,4.7
2023-06-03T03:38:15-04:00,16.7,34,P152,7.0,186, ,41º 01.305 N,71º 45.355 W,2.6,100,5.3,0.4,220,1012.1,57.3,0.0,0.0,17.8
2023-06-03T04:54:32-04:00,21.6,40,S143,7.3,257, ,40º 52.517 N,71º 46.551 W,2.8,90,4.7,0.5,228,1012.5,57.5,0.0,0.0,28.8
2023-06-03T06:36:21-04:00,21.9,46,S144,7.4,262, ,40º 49.701 N,72º 02.531 W,3.8,75,4.9,0.5,248,1013.5,56.8,0.0,0.0,29.7
2023-06-03T08:17:50-04:00,21.1,47,S141,7.2,266, ,40º 47.895 N,72º 18.932 W,4.3,69,4.5,0.3,237,1014.5,56.2,0.0,0.0,29.0
2023-06-03T10:42:20-04:00,17.1,52,S154,6.7,259, ,40º 46.548 N,72º 41.673 W,3.9,81,4.9,0.3,243,1015.5,59.5,0.0,0.0,24.0
2023-06-03T10:55:00-04:00,16.5,53,P159,6.5,211, ,40º 46.267 N,72º 43.498 W,3.8,82,4.9,0.3,242,1015.6,59.9,0.0,0.0,24.0
2023-06-03T11:52:38-04:00,17.5,56,S155,6.7,261, ,40º 40.951 N,72º 47.757 W,4.3,78,5.0,0.3,239,1015.7,59.0,0.0,0.0,23.2
2023-06-03T14:29:51-04:00,14.3,64,P156,6.3,220, ,40º 38.303 N,73º 09.634 W,3.9,88,5.3,,,1015.9,62.1,0.0,0.0,20.5
2023-06-03T15:02:14-04:00,15.4,69,S151,6.8,278, ,40º 35.720 N,73º 12.441 W,4.1,88,5.3,0.4,250,1015.9,60.4,0.0,0.0,20.9
2023-06-03T15:57:56-04:00,14.9,71,S53,5.4,18, ,40º 36.619 N,73º 20.583 W,3.4,95,5.1,,,1015.7,61.6,0.0,0.0,20.6
2023-06-03T16:11:25-04:00,14.3,70,P128,7.4,198, ,40º 37.770 N,73º 20.092 W,3.3,96,5.0,,,1015.7,62.5,0.0,0.0,20.9
2023-06-03T16:21:10-04:00,14.8,72,P108,9.5,180, ,40º 36.619 N,73º 20.583 W,3.5,95,5.1,,,1015.7,61.4,0.0,0.0,21.4
2023-06-03T17:35:32-04:00,19.0,76,P83,9.5,159, ,40º 24.799 N,73º 20.516 W,6.0,82,5.8,0.3,248,1016.1,58.2,0.0,0.0,26.1
