,Route,Start Time,Start,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,End
,PWE,2023-06-02T12:00:00-04:00,41 20.388N 71 23.850W,40 52.602N 71 46.692W,40 51.396N 72 45.552W,40 42.348N 73 20.796W,39 32.160N 72 53.442W,39 16.956N 74 42.552W,38 10.116N 73 51.750W,37 58.848N 74 59.586W,37 32.316N 75 47.412W,37 2.088N 76 4.668W,37 10.032N 75 59.112W,37 34.296N 76 1.974W,37 49.734N 75 59.646W,38 2.292N 76 20.394W,38 13.830N 76 2.730W,38 17.544N 76 24.276W,38 32.916N 76 25.362W,38 53.982N 76 26.202W,38 58.638N 76 19.836W
,Polar,Polar Speed Adjustment,Motoring,Ocean Current,TWS Scale Factor,TWD Adjustment
,"Upwind 50°: 5.0, 90°: 10.0, Downwind 160°: 6.0","Upwind: 100, Downwind: 100",False,Mercator,100%,0°
Time,TWS (kts),TWD (° true),TWA,SOG (kts),COG (° true),Motoring,Latitude,Longitude,Wave Height (ft),Wave Dir (° true),Wave Period (s),Current Speed (kts),Current Dir (° true),Pressure (hPa),Temperature (° F),Rain (mm/hr),CAPE (kJ/kg),Gust (kts)
2023-06-02T12:00:00-04:00,7.2,162,P57,3.0,219, ,41º 20.388 N,71º 23.849 W,2.5,145,6.4,0.1,148,1015.9,59.0,0.0,0.0,13.6
2023-06-02T12:11:11-04:00,7.1,161,S63,5.7,98, ,41º 19.957 N,71º 24.318 W,2.5,145,6.3,0.1,150,1015.8,58.9,0.0,0.0,13.6
2023-06-02T12:30:35-04:00,6.4,161,P48,1.9,209, ,41º 19.807 N,71º 22.961 W,2.6,145,6.3,0.1,172,1015.7,58.8,0.0,0.0,13.7
2023-06-02T15:57:59-04:00,6.5,149,P69,4.0,217, ,41º 13.340 N,71º 27.712 W,2.6,144,6.1,0.3,223,1014.4,60.4,0.0,0.0,13.2
2023-06-02T19:19:59-04:00,8.8,146,P71,3.7,217, ,41º 02.719 N,71º 38.500 W,2.6,140,6.3,0.3,257,1013.9,61.1,0.0,0.0,10.0
2023-06-02T22:32:33-04:00,6.6,144,S14,2.3,131, ,40º 53.388 N,71º 47.885 W,2.6,135,6.5,0.3,225,1014.0,60.9,0.0,0.0,7.3
2023-06-02T23:07:49-04:00,6.2,145,P115,3.5,260, ,40º 52.517 N,71º 46.551 W,2.5,135,6.5,0.3,227,1014.0,60.9,0.0,0.0,7.1
2023-06-03T02:23:26-04:00,3.9,187,P99,2.3,286, ,40º 50.562 N,72º 01.595 W,2.4,133,6.6,0.4,270,1012.8,60.1,0.0,0.0,7.8
2023-06-03T07:03:12-04:00,3.0,172,P78,2.9,251, ,40º 53.501 N,72º 15.117 W,2.0,134,6.5,0.2,264,1012.8,59.2,0.0,0.0,7.6
2023-06-03T11:28:13-04:00,6.0,143,P99,4.0,241, ,40º 49.243 N,72º 31.144 W,2.2,135,6.3,0.1,265,1012.9,60.0,0.0,0.0,11.5
2023-06-03T12:21:27-04:00,6.4,153,P106,4.7,259, ,40º 47.530 N,72º 35.286 W,2.1,134,6.4,0.2,261,1013.3,60.2,0.0,0.0,11.1
2023-06-03T13:23:51-04:00,8.1,159,P89,5.9,247, ,40º 46.548 N,72º 41.673 W,2.0,134,6.4,0.3,254,1013.7,62.5,0.0,0.0,14.7
2023-06-03T16:31:59-04:00,10.7,157,P96,7.0,252, ,40º 38.865 N,73º 05.983 W,2.7,111,4.7,,,1014.8,61.7,0.1,0.0,23.5
2023-06-03T17:00:07-04:00,11.0,160,P101,6.9,261, ,40º 37.873 N,73º 10.101 W,2.8,109,4.4,,,1015.0,61.9,0.1,0.0,26.4
2023-06-03T18:10:04-04:00,11.2,156,S138,5.4,18, ,40º 36.619 N,73º 20.583 W,3.0,98,4.4,,,1015.9,61.0,0.1,0.0,28.4
2023-06-03T18:23:44-04:00,11.1,156,P52,3.9,208, ,40º 37.770 N,73º 20.092 W,3.0,96,4.3,,,1016.1,61.1,0.1,0.0,27.7
2023-06-03T19:33:37-04:00,11.5,155,S44,3.5,111, ,40º 33.746 N,73º 22.946 W,4.0,86,4.4,0.4,251,1017.0,59.6,0.0,0.0,30.9
2023-06-03T20:30:00-04:00,11.1,150,P60,5.2,211, ,40º 32.576 N,73º 18.899 W,4.9,79,4.6,0.4,253,1017.6,58.9,0.0,0.0,32.7
2023-06-03T22:08:05-04:00,7.6,81,P101,5.0,181, ,40º 25.248 N,73º 24.587 W,6.4,73,5.2,0.4,251,1018.5,58.4,0.0,0.0,33.0
2023-06-03T22:42:30-04:00,4.9,28,P128,2.7,156, ,40º 22.366 N,73º 24.681 W,7.0,69,5.4,0.4,251,1018.8,58.3,0.0,0.0,33.5
2023-06-04T00:09:24-04:00,6.1,74,P102,5.3,176, ,40º 18.753 N,73º 22.529 W,7.5,67,5.7,0.5,251,1018.9,57.9,0.0,0.0,33.6
2023-06-04T01:30:08-04:00,10.7,68,P89,7.0,157, ,40º 11.687 N,73º 21.853 W,8.0,64,6.0,0.4,249,1018.6,57.5,0.0,0.0,33.4
2023-06-04T03:39:59-04:00,11.3,39,P100,7.1,139, ,39º 57.817 N,73º 14.136 W,8.6,60,6.3,0.3,243,1018.6,57.0,0.0,0.0,31.1
2023-06-04T05:15:36-04:00,13.4,28,P120,7.7,148, ,39º 49.271 N,73º 04.429 W,9.2,59,6.5,0.2,242,1018.9,57.6,0.0,0.0,33.2
2023-06-04T05:44:52-04:00,14.9,30,P126,8.3,156, ,39º 46.090 N,73º 01.810 W,9.4,58,6.5,0.3,236,1019.0,57.9,0.0,0.0,34.1
2023-06-04T07:36:49-04:00,18.2,35,S137,7.8,258, ,39º 31.929 N,72º 53.648 W,9.7,54,6.7,0.4,238,1019.4,58.8,0.0,0.0,32.7
2023-06-04T09:20:48-04:00,19.8,36,S138,7.8,258, ,39º 29.069 N,73º 10.689 W,9.3,58,6.7,0.5,247,1020.1,58.3,0.0,0.0,31.8
2023-06-04T11:04:43-04:00,20.3,37,S139,7.8,258, ,39º 26.209 N,73º 27.730 W,8.7,60,6.7,0.6,241,1020.8,57.8,0.0,0.0,28.7
2023-06-04T12:47:45-04:00,22.5,39,S141,8.0,259, ,39º 23.348 N,73º 44.770 W,8.1,62,6.7,0.7,228,1021.1,57.4,0.0,0.0,26.5
2023-06-04T15:00:19-04:00,22.1,35,S137,8.0,257, ,39º 19.549 N,74º 07.138 W,7.0,67,6.6,0.7,212,1021.1,57.6,0.0,0.0,24.3
2023-06-04T17:54:15-04:00,16.4,39,P115,8.9,153, ,39º 14.768 N,74º 35.893 W,4.3,78,6.2,0.4,213,1020.5,58.8,0.0,0.0,21.7
2023-06-04T20:48:50-04:00,20.4,38,P115,9.2,153, ,38º 51.295 N,74º 20.682 W,7.2,69,6.9,0.8,212,1019.7,57.5,0.0,0.0,20.4
2023-06-04T23:44:24-04:00,17.7,32,P121,8.3,153, ,38º 27.822 N,74º 05.471 W,8.1,66,7.2,0.7,228,1018.7,60.5,0.0,0.0,21.2
2023-06-05T01:19:44-04:00,16.5,21,P121,8.2,142, ,38º 16.085 N,73º 57.866 W,8.3,65,7.3,0.5,236,1018.0,63.0,0.0,0.0,20.9
2023-06-05T02:17:29-04:00,16.3,16,S117,8.6,259, ,38º 09.862 N,73º 51.715 W,8.3,64,7.3,0.5,252,1017.5,64.1,0.0,0.0,20.9
2023-06-05T04:28:50-04:00,13.9,15,S119,8.7,257, ,38º 06.212 N,74º 15.439 W,7.7,67,7.3,0.9,220,1017.2,63.9,0.0,0.0,20.4
2023-06-05T06:30:28-04:00,12.6,15,S117,7.0,258, ,38º 02.263 N,74º 36.449 W,7.0,69,7.2,1.1,204,1016.9,63.1,0.0,0.0,18.6
2023-06-05T08:33:36-04:00,10.9,2,S93,6.2,268, ,37º 59.166 N,74º 54.255 W,6.3,72,7.1,0.7,202,1016.6,61.9,0.0,0.0,18.2
2023-06-05T09:15:18-04:00,8.4,9,S141,4.3,227, ,37º 59.045 N,74º 59.706 W,6.0,73,7.0,0.7,204,1016.6,61.3,0.0,0.0,18.1
2023-06-05T11:53:42-04:00,7.0,34,P152,4.7,187, ,37º 51.305 N,75º 10.400 W,5.4,73,6.8,0.6,209,1015.9,60.7,0.0,0.0,20.6
2023-06-05T12:45:36-04:00,7.4,130,P91,5.4,221, ,37º 47.272 N,75º 10.985 W,5.7,71,6.8,0.6,210,1015.6,60.9,0.0,0.0,21.1
2023-06-05T13:17:05-04:00,7.4,154,P82,4.9,236, ,37º 45.119 N,75º 13.326 W,5.7,71,6.8,0.6,213,1015.5,60.8,0.0,0.0,21.3
2023-06-05T16:18:59-04:00,14.0,173,P59,6.2,231, ,37º 36.107 N,75º 29.963 W,4.5,74,6.7,0.5,206,1014.0,61.7,0.0,0.0,17.8
2023-06-05T17:32:09-04:00,13.3,173,P48,4.5,221, ,37º 31.381 N,75º 37.380 W,4.1,77,6.6,0.3,212,1013.2,62.4,0.0,0.0,14.6
2023-06-05T17:47:14-04:00,13.0,173,S44,4.5,129, ,37º 30.520 N,75º 38.317 W,4.2,77,6.7,0.3,211,1013.1,62.4,0.0,0.0,14.1
2023-06-05T18:30:16-04:00,13.5,176,P52,5.2,228, ,37º 28.489 N,75º 35.206 W,4.4,76,6.7,0.4,211,1012.7,62.2,0.0,0.0,15.0
2023-06-05T19:50:04-04:00,14.7,178,S49,5.4,129, ,37º 23.903 N,75º 41.711 W,3.2,78,6.7,0.3,204,1011.9,62.4,0.0,0.0,14.7
2023-06-05T20:15:36-04:00,14.5,178,P43,4.6,221, ,37º 22.452 N,75º 39.488 W,3.7,77,6.8,0.4,204,1011.7,62.5,0.0,0.0,14.5
2023-06-05T20:52:38-04:00,15.1,179,P51,5.7,230, ,37º 20.300 N,75º 41.829 W,3.2,78,6.6,0.4,202,1011.3,62.6,0.0,0.0,15.1
2023-06-05T21:53:34-04:00,16.3,184,S55,6.3,129, ,37º 16.575 N,75º 47.398 W,2.1,79,5.3,0.4,205,1010.8,62.4,0.0,0.0,16.3
2023-06-05T22:06:52-04:00,16.4,186,P57,6.4,243, ,37º 15.704 N,75º 46.064 W,2.7,80,5.7,0.4,206,1010.7,62.6,0.0,0.0,16.4
2023-06-05T22:18:45-04:00,16.5,186,S57,6.5,129, ,37º 15.134 N,75º 47.445 W,2.3,81,5.3,0.4,208,1010.6,62.5,0.0,0.0,16.5
2023-06-05T22:27:24-04:00,16.6,187,P34,3.9,221, ,37º 14.554 N,75º 46.556 W,2.6,81,5.7,0.4,209,1010.5,62.7,0.0,0.0,16.6
2023-06-05T22:36:24-04:00,16.6,188,S59,6.8,129, ,37º 14.123 N,75º 47.024 W,2.5,81,5.6,0.4,210,1010.5,62.7,0.0,0.0,16.6
2023-06-05T22:52:52-04:00,16.8,189,P46,5.0,236, ,37º 12.962 N,75º 45.247 W,3.3,81,6.3,0.4,210,1010.3,63.0,0.0,0.0,16.8
2023-06-05T23:35:37-04:00,16.3,196,S49,5.6,147, ,37º 10.960 N,75º 48.943 W,2.4,82,6.1,0.4,216,1009.9,62.6,0.0,0.0,16.3
