,Route,Start Time,Start,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,End
,PWG,2023-06-02T12:00:00-04:00,41 20.388N 71 23.850W,40 52.602N 71 46.692W,40 51.396N 72 45.552W,40 42.348N 73 20.796W,39 32.160N 72 53.442W,39 16.956N 74 42.552W,38 10.116N 73 51.750W,37 58.848N 74 59.586W,37 32.316N 75 47.412W,37 2.088N 76 4.668W,37 10.032N 75 59.112W,37 34.296N 76 1.974W,37 49.734N 75 59.646W,38 2.292N 76 20.394W,38 13.830N 76 2.730W,38 17.544N 76 24.276W,38 32.916N 76 25.362W,38 53.982N 76 26.202W,38 58.638N 76 19.836W
,Polar,Polar Speed Adjustment,Motoring,Ocean Current,TWS Scale Factor,TWD Adjustment
,"Upwind 50°: 5.0, 90°: 10.0, Downwind 160°: 6.0","Upwind: 100, Downwind: 100",False,Mercator,100%,0°
Time,TWS (kts),TWD (° true),TWA,SOG (kts),COG (° true),Motoring,Latitude,Longitude,Wave Height (ft),Wave Dir (° true),Wave Period (s),Current Speed (kts),Current Dir (° true),Pressure (hPa),Temperature (° F),Rain (mm/hr),CAPE (kJ/kg),Gust (kts)
2023-06-02T12:00:00-04:00,10.2,193,P54,4.0,248, ,41º 20.388 N,71º 23.849 W,2.3,149,5.8,0.2,107,1013.5,66.4,0.0,0.0,10.2
2023-06-02T12:56:28-04:00,10.9,185,P51,4.1,236, ,41º 18.965 N,71º 28.436 W,2.3,149,5.7,0.2,109,1013.2,65.7,0.0,0.0,10.9
2023-06-02T14:03:08-04:00,9.2,210,S79,5.3,131, ,41º 16.392 N,71º 33.513 W,2.3,150,5.6,0.1,118,1013.0,64.4,0.0,0.0,10.0
2023-06-02T14:18:19-04:00,10.8,176,P78,5.4,254, ,41º 15.521 N,71º 32.180 W,2.4,150,5.6,0.1,138,1012.9,63.0,0.0,0.0,10.8
2023-06-02T15:54:48-04:00,12.3,188,P53,4.5,241, ,41º 13.116 N,71º 43.153 W,2.2,147,5.6,0.1,293,1012.0,64.2,0.0,0.0,13.0
2023-06-02T16:26:39-04:00,12.6,186,S38,3.4,148, ,41º 11.975 N,71º 45.914 W,2.2,147,5.6,0.1,264,1011.7,64.0,0.0,0.0,14.1
2023-06-02T17:48:33-04:00,12.3,181,P60,4.0,241, ,41º 07.201 N,71º 41.985 W,2.3,147,5.7,0.1,229,1012.0,62.3,0.0,0.0,12.3
2023-06-02T20:09:37-04:00,5.0,227,S64,2.4,163, ,41º 02.635 N,71º 53.029 W,2.1,140,6.1,0.2,182,1013.1,63.0,0.0,0.0,5.0
2023-06-02T20:36:29-04:00,9.8,189,P53,2.6,241, ,41º 01.624 N,71º 52.608 W,2.2,140,6.1,0.2,187,1013.1,62.8,0.0,0.0,9.8
2023-06-02T21:58:00-04:00,7.7,197,S63,3.2,134, ,40º 59.911 N,71º 56.750 W,2.1,140,6.2,0.2,197,1013.0,62.7,0.0,0.0,7.7
2023-06-03T01:18:08-04:00,4.3,188,P66,2.6,254, ,40º 52.517 N,71º 46.551 W,2.3,136,6.4,0.4,215,1012.9,59.6,0.0,0.0,17.0
2023-06-03T03:05:18-04:00,4.7,115,P104,3.1,219, ,40º 51.245 N,71º 52.494 W,2.4,117,5.8,0.3,230,1013.3,58.1,0.1,0.0,23.5
2023-06-03T04:20:33-04:00,6.2,57,S159,4.4,259, ,40º 48.231 N,71º 55.770 W,2.6,106,5.3,0.5,246,1013.7,57.1,0.2,0.0,25.4
2023-06-03T07:44:49-04:00,13.8,55,S141,7.1,274, ,40º 45.284 N,72º 14.932 W,4.4,68,4.6,0.3,238,1015.9,56.1,0.0,0.0,30.2
2023-06-03T10:38:54-04:00,15.7,63,P157,6.5,219, ,40º 46.548 N,72º 41.673 W,3.9,80,4.8,0.2,244,1017.8,55.3,0.1,0.0,27.8
2023-06-03T11:30:43-04:00,19.0,63,S158,6.4,265, ,40º 42.243 N,72º 46.354 W,4.2,78,4.9,0.2,237,1017.9,55.8,0.1,0.0,27.3
2023-06-03T12:58:07-04:00,17.8,65,P155,6.7,220, ,40º 41.429 N,72º 58.636 W,3.7,81,4.8,0.3,242,1018.1,57.6,0.0,0.0,23.3
2023-06-03T14:13:48-04:00,21.2,66,S148,7.2,278, ,40º 34.972 N,73º 05.657 W,5.0,80,5.4,0.3,253,1018.2,58.7,0.0,0.0,23.0
2023-06-03T15:49:43-04:00,19.0,58,S40,4.0,18, ,40º 36.619 N,73º 20.583 W,3.5,90,5.2,,,1017.7,62.7,0.0,0.0,19.3
2023-06-03T16:08:05-04:00,18.8,54,P138,7.3,192, ,40º 37.770 N,73º 20.092 W,3.3,91,5.2,,,1017.6,63.6,0.0,0.0,18.8
2023-06-03T16:23:50-04:00,20.1,54,P108,9.1,162, ,40º 35.899 N,73º 20.606 W,3.7,89,5.3,0.3,243,1017.6,62.8,0.0,0.0,20.1
2023-06-03T19:24:49-04:00,27.2,46,P116,8.6,162, ,40º 10.310 N,73º 09.823 W,8.7,68,6.5,0.4,250,1018.0,57.2,0.0,0.0,32.2
2023-06-03T20:58:42-04:00,27.3,45,P117,8.7,162, ,39º 57.517 N,73º 04.432 W,10.0,61,6.8,0.4,240,1018.0,57.1,0.0,0.0,34.6
2023-06-03T22:31:50-04:00,26.7,43,P119,8.9,162, ,39º 44.723 N,72º 59.040 W,10.5,57,7.0,0.5,220,1018.0,56.8,0.0,0.0,34.2
2023-06-04T00:02:05-04:00,24.7,46,S151,7.4,255, ,39º 31.929 N,72º 53.648 W,10.4,53,7.1,0.8,224,1017.8,56.3,0.0,0.0,32.1
