,Route,Start Time,Start,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,End
,GFS,2023-06-02T15:00:00-04:00,41 20.388N 71 23.850W,40 52.602N 71 46.692W,40 51.396N 72 45.552W,40 42.348N 73 20.796W,39 32.160N 72 53.442W,39 16.956N 74 42.552W,38 10.116N 73 51.750W,37 58.848N 74 59.586W,37 32.316N 75 47.412W,37 2.088N 76 4.668W,37 10.032N 75 59.112W,37 34.296N 76 1.974W,37 49.734N 75 59.646W,38 2.292N 76 20.394W,38 13.830N 76 2.730W,38 17.544N 76 24.276W,38 32.916N 76 25.362W,38 53.982N 76 26.202W,38 58.638N 76 19.836W
,Polar,Polar Speed Adjustment,Motoring,Ocean Current,TWS Scale Factor,TWD Adjustment
,"Upwind 50°: 5.0, 90°: 10.0, Downwind 160°: 6.0","Upwind: 100, Downwind: 100",False,Mercator,100%,0°
Time,TWS (kts),TWD (° true),TWA,SOG (kts),COG (° true),Motoring,Latitude,Longitude,Wave Height (ft),Wave Dir (° true),Wave Period (s),Current Speed (kts),Current Dir (° true),Pressure (hPa),Temperature (° F),Rain (mm/hr),CAPE (kJ/kg),Gust (kts)
2023-06-02T15:00:00-04:00,7.4,187,P75,4.0,262, ,41º 20.388 N,71º 23.849 W,2.5,148,6.0,0.1,164,1013.8,65.8,0.0,0.1,8.5
2023-06-02T16:18:14-04:00,5.4,165,P78,2.6,243, ,41º 19.696 N,71º 30.682 W,2.3,148,5.9,0.1,121,1013.4,64.8,0.1,0.0,7.0
2023-06-02T18:22:03-04:00,4.4,209,S30,3.1,179, ,41º 17.272 N,71º 37.116 W,2.1,147,5.9,0.1,61,1013.4,64.2,0.1,0.0,5.9
2023-06-02T20:46:35-04:00,8.0,276,S82,5.5,194, ,41º 09.775 N,71º 36.907 W,2.3,143,6.1,0.3,262,1013.7,62.5,0.1,0.0,11.9
2023-06-02T21:54:35-04:00,8.1,301,S90,5.6,210, ,41º 03.729 N,71º 38.921 W,2.4,139,6.3,0.4,260,1014.0,62.2,0.0,0.0,11.4
2023-06-02T22:25:10-04:00,6.7,329,S95,3.8,234, ,41º 01.286 N,71º 40.817 W,2.5,138,6.4,0.3,249,1014.2,62.0,0.0,0.0,8.7
2023-06-02T23:47:10-04:00,8.9,35,P147,5.7,181, ,40º 58.282 N,71º 46.363 W,2.4,136,6.5,0.3,218,1014.5,61.3,0.0,0.0,10.9
2023-06-03T00:48:34-04:00,14.0,47,S145,6.9,262, ,40º 52.517 N,71º 46.551 W,2.5,135,6.5,0.3,228,1014.4,60.5,0.0,0.0,18.5
2023-06-03T02:50:19-04:00,20.2,52,S150,6.8,262, ,40º 50.527 N,72º 04.925 W,2.4,133,6.6,0.3,273,1014.8,59.3,0.0,0.0,27.8
2023-06-03T04:53:39-04:00,21.2,52,S150,6.7,262, ,40º 48.538 N,72º 23.299 W,2.2,133,6.5,0.1,277,1015.6,57.4,0.0,0.0,26.8
2023-06-03T06:59:24-04:00,18.7,52,P155,6.5,206, ,40º 46.548 N,72º 41.673 W,2.1,135,6.3,0.2,259,1016.8,57.3,0.0,0.0,24.5
2023-06-03T07:52:23-04:00,19.5,52,S153,6.6,259, ,40º 41.372 N,72º 45.020 W,2.2,135,6.3,0.2,255,1017.2,56.8,0.0,0.0,25.1
2023-06-03T10:59:34-04:00,18.8,51,S147,6.7,264, ,40º 37.302 N,73º 11.482 W,2.0,133,6.3,,,1018.5,58.8,0.0,0.0,23.0
2023-06-03T12:01:35-04:00,17.4,53,S102,9.3,311, ,40º 36.619 N,73º 20.583 W,1.7,133,6.2,,,1018.6,58.9,0.0,0.0,21.9
2023-06-03T12:04:27-04:00,17.2,53,P25,2.5,79, ,40º 36.909 N,73º 21.028 W,1.7,133,6.2,,,1018.7,58.9,0.0,0.0,21.7
2023-06-03T12:21:20-04:00,16.9,53,S52,5.2,1, ,40º 37.050 N,73º 20.115 W,1.7,133,6.2,,,1018.7,58.8,0.0,0.0,21.6
2023-06-03T12:29:53-04:00,16.3,53,P139,7.2,192, ,40º 37.770 N,73º 20.092 W,1.7,134,6.2,,,1018.8,58.7,0.0,0.0,21.4
2023-06-03T12:45:47-04:00,17.1,54,P109,9.1,162, ,40º 35.899 N,73º 20.606 W,1.7,133,6.2,0.3,254,1018.8,58.5,0.0,0.0,21.8
2023-06-03T15:41:12-04:00,25.8,62,P100,9.4,162, ,40º 10.310 N,73º 09.823 W,2.7,112,5.6,0.3,271,1018.4,57.2,0.0,0.0,29.6
2023-06-03T20:01:31-04:00,28.5,53,S150,6.9,263, ,39º 31.929 N,72º 53.648 W,4.9,64,4.6,0.4,230,1018.3,56.1,0.0,0.0,32.0
2023-06-03T22:07:10-04:00,25.9,58,S150,7.0,267, ,39º 30.133 N,73º 12.319 W,6.6,56,5.2,0.4,248,1018.5,57.0,0.0,0.0,33.9
2023-06-04T00:58:03-04:00,22.9,62,P158,6.7,220, ,39º 29.085 N,73º 37.774 W,8.1,55,5.8,0.5,235,1018.6,58.1,0.0,0.0,31.0
2023-06-04T02:38:45-04:00,20.9,58,S158,6.8,259, ,39º 20.475 N,73º 47.134 W,8.5,54,6.1,0.6,229,1018.4,58.1,0.0,0.0,27.7
2023-06-04T04:56:18-04:00,19.5,49,S148,7.4,261, ,39º 17.677 N,74º 07.652 W,8.1,59,6.3,0.7,214,1018.7,58.8,0.0,0.0,23.2
2023-06-04T07:06:47-04:00,17.1,43,S134,7.9,269, ,39º 14.879 N,74º 28.172 W,6.3,67,6.0,0.4,221,1019.3,59.2,0.0,0.0,20.6
2023-06-04T07:52:26-04:00,13.5,42,P111,9.2,152, ,39º 14.768 N,74º 35.893 W,5.1,71,5.9,0.4,213,1019.6,58.9,0.0,0.0,18.3
2023-06-04T09:24:55-04:00,18.2,47,P105,9.6,152, ,39º 02.221 N,74º 27.497 W,7.9,61,6.4,0.6,207,1019.5,58.5,0.0,0.0,20.3
2023-06-04T12:22:43-04:00,16.6,41,P111,9.1,152, ,38º 37.127 N,74º 10.705 W,9.7,56,6.9,0.7,219,1019.0,57.6,0.0,0.0,18.7
2023-06-04T13:55:40-04:00,16.0,37,P115,8.9,152, ,38º 24.580 N,74º 02.309 W,10.2,54,7.2,0.7,228,1018.7,57.6,0.0,0.0,18.1
2023-06-04T15:31:27-04:00,15.6,38,P104,9.2,141, ,38º 12.033 N,73º 53.913 W,10.6,52,7.3,0.4,245,1018.1,57.5,0.0,0.0,17.7
2023-06-04T15:49:37-04:00,15.7,37,S122,8.4,275, ,38º 09.862 N,73º 51.715 W,10.7,52,7.3,0.4,248,1018.0,57.6,0.0,0.0,17.7
2023-06-04T17:21:13-04:00,13.3,46,S132,5.5,275, ,38º 10.939 N,74º 08.021 W,10.2,54,7.2,0.7,216,1017.7,57.9,0.0,0.0,15.3
2023-06-04T19:42:13-04:00,7.2,96,P138,4.9,234, ,38º 12.015 N,74º 24.328 W,9.1,60,7.2,0.9,212,1017.1,58.2,0.0,0.0,8.2
2023-06-04T21:43:05-04:00,8.4,127,P118,5.8,245, ,38º 06.148 N,74º 34.507 W,8.5,62,7.1,1.0,203,1016.8,58.6,0.0,0.0,9.1
2023-06-05T00:11:26-04:00,10.4,161,P105,6.7,266, ,37º 59.447 N,74º 52.430 W,7.5,67,7.1,0.7,203,1016.2,59.8,0.0,0.0,10.7
2023-06-05T01:02:35-04:00,11.0,178,P67,5.4,245, ,37º 59.045 N,74º 59.706 W,6.9,69,7.0,0.7,204,1015.9,60.0,0.0,0.0,11.3
2023-06-05T02:39:58-04:00,11.3,198,P54,4.5,251, ,37º 55.339 N,75º 09.814 W,5.9,73,7.0,0.6,207,1015.4,60.4,0.0,0.0,12.1
2023-06-05T04:27:16-04:00,9.9,212,S42,4.3,170, ,37º 52.784 N,75º 19.430 W,4.4,78,6.8,0.4,219,1014.8,60.1,0.0,0.0,12.3
2023-06-05T07:05:40-04:00,12.8,224,S45,4.9,180, ,37º 41.675 N,75º 17.070 W,6.0,73,6.9,0.5,217,1014.6,61.4,0.0,0.0,15.3
2023-06-05T09:22:11-04:00,13.2,225,P43,5.0,268, ,37º 30.575 N,75º 16.979 W,6.4,71,6.9,0.5,206,1014.2,61.6,0.0,0.0,15.7
2023-06-05T11:14:15-04:00,14.0,214,P66,7.0,280, ,37º 30.192 N,75º 28.795 W,5.5,72,6.7,0.5,207,1013.1,63.0,0.0,0.0,17.0
2023-06-05T12:13:35-04:00,11.9,208,S73,5.5,135, ,37º 31.381 N,75º 37.380 W,4.5,74,6.5,0.3,212,1012.3,66.4,0.0,0.0,15.4
2023-06-05T14:14:19-04:00,11.4,178,P55,4.5,233, ,37º 23.556 N,75º 27.650 W,5.9,67,6.6,0.5,204,1011.5,64.5,0.0,0.0,13.1
2023-06-05T17:14:04-04:00,7.1,157,P64,3.7,221, ,37º 15.395 N,75º 41.081 W,4.3,71,6.2,0.4,204,1009.7,65.5,0.0,0.0,9.1
2023-06-05T18:27:12-04:00,6.2,142,P88,3.9,230, ,37º 11.951 N,75º 44.825 W,3.9,73,6.1,0.4,211,1009.3,65.8,0.1,0.0,7.8
2023-06-05T21:27:45-04:00,4.6,159,P92,2.7,251, ,37º 04.502 N,75º 55.964 W,2.5,79,6.2,0.2,226,1008.9,67.9,0.0,0.1,5.3
2023-06-06T00:11:45-04:00,6.2,196,S140,3.3,56, ,37º 02.088 N,76º 04.667 W,2.2,81,6.0,0.1,261,1008.4,67.5,0.0,0.1,7.8
2023-06-06T01:49:17-04:00,9.2,206,P156,3.9,1, ,37º 05.092 N,75º 59.122 W,1.9,89,6.2,0.1,255,1007.9,65.5,0.0,0.0,12.2
2023-06-06T02:45:41-04:00,8.8,208,P119,4.9,327, ,37º 08.695 N,75º 59.004 W,1.2,99,5.8,0.1,298,1007.5,65.1,0.0,0.0,12.3
2023-06-06T03:31:52-04:00,8.2,208,P133,4.2,342, ,37º 11.877 N,76º 01.624 W,0.8,110,4.9,0.2,343,1007.1,64.9,0.0,0.0,11.7
2023-06-06T04:32:10-04:00,7.9,209,P157,3.3,6, ,37º 15.920 N,76º 03.307 W,0.5,138,3.9,0.2,355,1006.6,64.6,0.0,0.0,11.2
2023-06-06T07:36:46-04:00,6.6,217,P142,2.8,359, ,37º 26.150 N,76º 02.064 W,0.4,238,2.1,0.2,356,1006.6,66.0,0.0,0.0,8.0
2023-06-06T10:33:22-04:00,3.3,222,P115,2.2,337, ,37º 34.367 N,76º 02.249 W,0.8,201,2.1,0.1,7,1006.5,68.5,0.0,0.1,4.7
2023-06-06T15:31:08-04:00,7.3,34,P42,3.6,77, ,37º 44.624 N,76º 07.814 W,2.0,163,2.8,0.1,311,1004.7,70.9,0.1,0.3,8.6
2023-06-06T17:53:40-04:00,9.0,33,S46,3.8,347, ,37º 46.599 N,75º 57.310 W,1.6,161,2.6,0.0,225,1004.3,70.4,0.2,0.2,11.5
2023-06-06T18:37:55-04:00,8.7,81,P100,5.8,181, ,37º 49.341 N,75º 58.128 W,1.7,155,2.7,0.0,208,1004.6,69.6,0.2,0.2,11.4
2023-06-06T19:00:13-04:00,9.5,104,P117,5.4,221, ,37º 47.179 N,75º 58.198 W,1.8,154,2.7,0.0,213,1004.8,69.0,0.2,0.2,12.6
2023-06-06T19:06:33-04:00,9.7,108,S159,3.9,310, ,37º 46.748 N,75º 58.667 W,1.9,153,2.8,0.0,212,1004.8,68.8,0.2,0.2,13.0
2023-06-06T19:35:08-04:00,9.8,120,S149,4.0,331, ,37º 47.909 N,76º 00.444 W,2.0,150,2.9,0.1,209,1005.0,68.4,0.2,0.1,13.1
2023-06-06T21:53:27-04:00,7.0,63,S113,4.3,310, ,37º 56.005 N,76º 06.080 W,1.8,154,3.0,0.0,169,1005.7,66.9,0.9,0.1,9.1
2023-06-06T22:44:37-04:00,6.9,40,S104,3.7,296, ,37º 58.326 N,76º 09.636 W,1.6,152,3.0,0.0,159,1005.9,66.5,1.2,0.1,8.6
2023-06-07T01:18:21-04:00,3.4,32,P88,1.4,120, ,38º 02.407 N,76º 20.397 W,1.1,128,2.7,0.1,328,1005.5,65.9,0.8,0.1,4.6
2023-06-07T03:40:29-04:00,1.7,77,S13,1.3,64, ,38º 00.806 N,76º 16.818 W,1.7,183,2.9,0.1,311,1005.4,66.0,0.6,0.1,2.1
2023-06-07T08:57:33-04:00,3.2,164,S79,2.1,85, ,38º 03.801 N,76º 09.003 W,3.0,298,3.3,0.1,194,1006.8,66.4,0.2,0.1,3.4
2023-06-07T10:31:08-04:00,3.6,189,S87,2.7,102, ,38º 04.072 N,76º 04.909 W,2.8,296,3.2,0.1,183,1007.0,66.6,0.1,0.1,4.1
2023-06-07T11:53:13-04:00,5.4,198,S142,2.6,55, ,38º 03.333 N,76º 00.394 W,2.6,293,3.0,0.1,167,1007.0,66.8,0.1,0.1,5.9
2023-06-07T12:34:22-04:00,6.4,200,P147,3.1,347, ,38º 04.334 N,75º 58.545 W,2.3,292,2.9,0.1,171,1007.0,67.1,0.1,0.1,6.9
2023-06-07T14:22:32-04:00,7.9,198,S157,3.2,41, ,38º 09.819 N,76º 00.181 W,2.2,292,2.8,0.1,174,1006.8,67.8,0.1,0.1,8.5
2023-06-07T14:54:23-04:00,7.9,195,P115,4.5,310, ,38º 11.110 N,75º 58.777 W,2.1,295,2.7,0.1,169,1006.7,68.3,0.1,0.1,8.4
2023-06-07T15:00:46-04:00,8.0,194,S153,3.4,41, ,38º 11.401 N,75º 59.222 W,2.1,295,2.8,0.1,169,1006.6,68.3,0.1,0.1,8.5
2023-06-07T15:21:10-04:00,8.0,192,P117,4.5,310, ,38º 12.262 N,75º 58.285 W,2.1,297,2.7,0.1,167,1006.5,68.7,0.1,0.1,8.5
2023-06-07T16:03:55-04:00,8.8,183,S53,3.3,130, ,38º 14.292 N,76º 01.396 W,2.2,302,2.8,0.1,153,1006.4,68.8,0.1,0.1,9.1
2023-06-07T17:19:14-04:00,9.2,181,P25,2.5,206, ,38º 11.681 N,75º 57.397 W,2.0,309,2.7,0.1,166,1006.2,69.1,0.0,0.0,9.7
2023-06-07T18:46:01-04:00,10.0,169,S39,2.7,130, ,38º 08.518 N,75º 59.316 W,2.2,320,2.8,0.1,173,1006.5,67.9,0.0,0.0,11.8
2023-06-07T19:16:07-04:00,10.0,165,P55,3.8,221, ,38º 07.648 N,75º 57.982 W,2.1,322,2.8,0.1,175,1006.7,67.8,0.0,0.0,12.3
2023-06-07T19:25:15-04:00,10.2,164,S34,2.5,130, ,38º 07.217 N,75º 58.451 W,2.2,324,2.8,0.1,176,1006.7,67.8,0.0,0.0,12.5
2023-06-07T19:36:16-04:00,10.2,163,P58,4.4,221, ,38º 06.926 N,75º 58.006 W,2.2,324,2.8,0.1,177,1006.7,67.7,0.0,0.0,12.7
2023-06-07T20:07:36-04:00,11.1,160,S53,4.2,107, ,38º 05.205 N,75º 59.878 W,2.5,328,3.0,0.1,175,1006.8,67.6,0.0,0.0,13.6
2023-06-07T20:28:58-04:00,10.5,160,P72,5.2,232, ,38º 04.765 N,75º 58.077 W,2.3,326,2.9,0.1,174,1006.8,67.4,0.0,0.0,13.3
2023-06-07T20:55:43-04:00,10.8,160,P122,5.8,282, ,38º 03.333 N,76º 00.394 W,2.6,326,3.1,0.1,172,1006.8,67.3,0.0,0.0,13.5
2023-06-07T21:32:59-04:00,10.5,161,P148,4.6,310, ,38º 04.072 N,76º 04.909 W,2.8,325,3.2,0.1,180,1006.7,67.0,0.0,0.0,13.3
2023-06-07T23:01:42-04:00,10.1,168,P152,4.2,321, ,38º 08.425 N,76º 11.575 W,2.5,324,3.1,0.1,180,1006.5,66.8,0.0,0.1,13.0
2023-06-08T00:27:53-04:00,7.8,176,P134,3.0,310, ,38º 13.057 N,76º 16.417 W,2.2,318,3.0,0.0,126,1006.2,66.9,0.0,0.1,9.8
2023-06-08T02:36:53-04:00,3.3,181,S148,1.5,33, ,38º 17.119 N,76º 22.639 W,1.4,314,2.6,0.0,167,1005.9,66.0,0.1,0.1,4.4
2023-06-08T04:55:00-04:00,2.1,102,S101,1.6,1, ,38º 19.993 N,76º 20.275 W,1.4,312,2.6,0.1,165,1005.3,66.1,0.6,0.1,2.7
