,Route,Start Time,Start,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,End
,PWG,2023-06-02T15:00:00-04:00,41 20.388N 71 23.850W,40 52.602N 71 46.692W,40 51.396N 72 45.552W,40 42.348N 73 20.796W,39 32.160N 72 53.442W,39 16.956N 74 42.552W,38 10.116N 73 51.750W,37 58.848N 74 59.586W,37 32.316N 75 47.412W,37 2.088N 76 4.668W,37 10.032N 75 59.112W,37 34.296N 76 1.974W,37 49.734N 75 59.646W,38 2.292N 76 20.394W,38 13.830N 76 2.730W,38 17.544N 76 24.276W,38 32.916N 76 25.362W,38 53.982N 76 26.202W,38 58.638N 76 19.836W
,Polar,Polar Speed Adjustment,Motoring,Ocean Current,TWS Scale Factor,TWD Adjustment
,"Upwind 50°: 5.0, 90°: 10.0, Downwind 160°: 6.0","Upwind: 100, Downwind: 100",False,Mercator,100%,0°
Time,TWS (kts),TWD (° true),TWA,SOG (kts),COG (° true),Motoring,Latitude,Longitude,Wave Height (ft),Wave Dir (° true),Wave Period (s),Current Speed (kts),Current Dir (° true),Pressure (hPa),Temperature (° F),Rain (mm/hr),CAPE (kJ/kg),Gust (kts)
2023-06-02T15:00:00-04:00,10.7,168,P66,5.5,234, ,41º 20.388 N,71º 23.849 W,2.5,148,6.0,0.1,164,1013.8,65.8,0.0,0.1,10.7
2023-06-02T17:39:26-04:00,11.7,137,P82,7.4,219, ,41º 10.514 N,71º 41.423 W,2.4,144,6.0,0.3,302,1013.2,64.1,0.1,0.0,11.7
2023-06-02T18:24:18-04:00,11.2,115,P87,7.3,202, ,41º 06.209 N,71º 46.103 W,2.4,142,6.1,0.2,266,1013.1,63.4,0.1,0.0,13.0
2023-06-02T18:48:30-04:00,10.8,98,P88,6.5,186, ,41º 03.476 N,71º 47.554 W,2.5,140,6.2,0.2,224,1013.0,62.9,0.1,0.0,14.9
2023-06-02T19:25:56-04:00,10.3,73,P97,5.2,170, ,40º 59.443 N,71º 48.140 W,2.6,138,6.3,0.3,205,1013.0,62.4,0.0,0.0,17.6
2023-06-02T20:47:15-04:00,12.1,59,S139,5.2,280, ,40º 52.517 N,71º 46.551 W,2.6,135,6.5,0.3,227,1013.6,62.0,0.0,0.0,13.0
2023-06-02T22:15:32-04:00,13.9,74,P146,6.9,219, ,40º 53.856 N,71º 56.494 W,2.5,135,6.5,0.2,249,1014.2,62.0,0.0,0.0,13.9
2023-06-02T23:04:04-04:00,14.9,75,P154,6.6,229, ,40º 49.551 N,72º 01.174 W,2.5,133,6.6,0.4,270,1014.6,61.6,0.0,0.0,14.9
2023-06-03T00:21:20-04:00,17.1,66,P154,6.6,219, ,40º 43.964 N,72º 09.528 W,2.5,132,6.6,0.3,248,1014.4,61.3,0.0,0.0,17.1
2023-06-03T00:56:34-04:00,18.6,62,S137,7.5,284, ,40º 40.951 N,72º 12.804 W,2.5,131,6.6,0.3,234,1014.3,61.2,0.0,0.0,18.6
