,Route,Start Time,Start,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,End
,UKMO,2023-06-02T18:00:00-04:00,41 20.388N 71 23.850W,40 52.602N 71 46.692W,40 51.396N 72 45.552W,40 42.348N 73 20.796W,39 32.160N 72 53.442W,39 16.956N 74 42.552W,38 10.116N 73 51.750W,37 58.848N 74 59.586W,37 32.316N 75 47.412W,37 2.088N 76 4.668W,37 10.032N 75 59.112W,37 34.296N 76 1.974W,37 49.734N 75 59.646W,38 2.292N 76 20.394W,38 13.830N 76 2.730W,38 17.544N 76 24.276W,38 32.916N 76 25.362W,38 53.982N 76 26.202W,38 58.638N 76 19.836W
,Polar,Polar Speed Adjustment,Motoring,Ocean Current,TWS Scale Factor,TWD Adjustment
,"Upwind 50°: 5.0, 90°: 10.0, Downwind 160°: 6.0","Upwind: 100, Downwind: 100",False,Mercator,100%,0°
Time,TWS (kts),TWD (° true),TWA,SOG (kts),COG (° true),Motoring,Latitude,Longitude,Wave Height (ft),Wave Dir (° true),Wave Period (s),Current Speed (kts),Current Dir (° true),Pressure (hPa),Temperature (° F),Rain (mm/hr),CAPE (kJ/kg),Gust (kts)
2023-06-02T18:00:00-04:00,7.7,223,S58,3.2,165, ,41º 20.388 N,71º 23.849 W,2.5,151,5.8,0.0,190,1013.9,60.8,0.0,0.0,14.0
2023-06-02T19:31:40-04:00,7.3,228,S52,3.0,176, ,41º 15.624 N,71º 22.190 W,2.5,147,5.9,0.2,234,1013.9,61.0,0.0,0.0,11.6
2023-06-02T21:54:36-04:00,8.5,223,P49,3.4,272, ,41º 08.558 N,71º 21.513 W,2.5,141,6.2,0.2,258,1013.9,61.3,0.0,0.0,9.1
2023-06-03T00:33:11-04:00,7.5,221,S40,3.3,181, ,41º 08.895 N,71º 33.305 W,2.3,142,6.1,0.4,249,1013.3,59.9,0.0,0.0,10.8
2023-06-03T02:44:14-04:00,10.2,291,S64,6.7,227, ,41º 01.688 N,71º 33.541 W,2.4,139,6.3,0.3,266,1012.7,59.9,0.0,0.0,11.2
2023-06-03T03:14:29-04:00,12.2,22,S139,6.4,243, ,40º 59.396 N,71º 36.793 W,2.4,138,6.3,0.3,264,1012.7,59.9,0.0,0.0,12.2
2023-06-03T04:28:10-04:00,15.0,37,P151,6.8,187, ,40º 55.831 N,71º 45.988 W,2.4,137,6.4,0.3,225,1012.6,59.9,0.0,0.0,15.0
2023-06-03T04:58:02-04:00,13.6,35,S137,6.9,259, ,40º 52.517 N,71º 46.551 W,2.4,136,6.4,0.3,229,1012.5,60.2,0.0,0.0,13.6
2023-06-03T07:31:51-04:00,15.0,50,S148,6.9,262, ,40º 49.009 N,72º 09.363 W,2.3,134,6.5,0.4,261,1012.9,59.2,0.0,0.0,15.0
2023-06-03T09:50:49-04:00,18.1,55,S147,7.0,268, ,40º 46.931 N,72º 29.858 W,2.2,136,6.3,0.1,278,1012.8,58.5,0.0,0.0,18.1
2023-06-03T11:07:57-04:00,18.3,54,S155,6.5,259, ,40º 46.548 N,72º 41.673 W,2.0,135,6.3,0.3,255,1012.6,62.2,0.0,0.0,18.3
2023-06-03T11:20:54-04:00,18.0,55,P154,6.6,208, ,40º 46.267 N,72º 43.498 W,2.0,135,6.3,0.3,253,1012.7,62.4,0.0,0.0,18.0
2023-06-03T11:41:46-04:00,18.8,55,S157,6.4,259, ,40º 44.255 N,72º 44.926 W,2.0,134,6.3,0.3,251,1012.9,61.1,0.0,0.0,18.8
2023-06-03T12:41:28-04:00,16.4,59,P161,6.4,220, ,40º 42.992 N,72º 53.138 W,1.7,136,6.2,0.3,248,1013.3,60.2,0.0,0.0,16.4
2023-06-03T14:10:00-04:00,19.0,63,S148,6.5,274, ,40º 35.673 N,73º 01.094 W,2.2,129,6.3,0.3,256,1013.6,60.4,0.0,0.0,19.0
2023-06-03T16:20:05-04:00,16.7,79,P141,7.1,220, ,40º 36.760 N,73º 19.670 W,2.2,116,4.8,,,1014.5,61.7,0.1,0.0,23.0
2023-06-03T16:25:03-04:00,17.1,79,S129,7.8,311, ,40º 36.329 N,73º 20.138 W,2.3,116,4.8,,,1014.6,61.5,0.1,0.0,23.7
2023-06-03T16:28:44-04:00,16.8,80,S62,6.5,18, ,40º 36.619 N,73º 20.583 W,2.2,116,4.7,,,1014.6,61.8,0.1,0.0,23.9
2023-06-03T16:39:55-04:00,16.1,81,P117,8.4,198, ,40º 37.770 N,73º 20.092 W,2.2,115,4.6,,,1014.7,62.4,0.1,0.0,24.2
2023-06-03T16:48:31-04:00,17.0,81,P81,8.9,162, ,40º 36.619 N,73º 20.583 W,2.3,114,4.6,,,1014.8,62.0,0.1,0.0,25.9
2023-06-03T18:19:43-04:00,22.8,74,P88,9.6,162, ,40º 23.681 N,73º 15.196 W,4.2,88,4.7,0.4,254,1015.8,60.5,0.0,0.0,31.8
2023-06-03T21:08:25-04:00,22.8,68,P94,9.7,162, ,39º 57.805 N,73º 04.422 W,6.7,60,5.1,0.3,269,1017.0,58.0,0.0,0.0,35.7
2023-06-03T23:57:11-04:00,21.7,60,P154,6.8,214, ,39º 31.929 N,72º 53.648 W,8.2,48,5.8,0.4,233,1016.9,60.1,0.0,0.0,35.3
2023-06-04T01:42:27-04:00,21.3,56,S153,6.9,263, ,39º 22.018 N,73º 02.143 W,9.0,47,6.2,0.4,235,1016.6,60.1,0.0,0.0,35.3
2023-06-04T02:56:46-04:00,21.1,56,S144,7.4,272, ,39º 21.055 N,73º 13.069 W,9.3,49,6.3,0.4,249,1017.1,59.3,0.0,0.0,35.1
2023-06-04T04:10:48-04:00,21.0,57,S154,6.9,263, ,39º 21.392 N,73º 24.861 W,9.2,52,6.5,0.5,247,1017.7,58.5,0.0,0.0,33.2
2023-06-04T05:30:34-04:00,21.0,56,S157,6.9,259, ,39º 20.288 N,73º 36.700 W,9.0,55,6.6,0.6,233,1018.4,58.1,0.0,0.0,31.9
2023-06-04T07:22:40-04:00,20.5,52,S151,7.4,260, ,39º 17.761 N,73º 53.124 W,8.9,57,6.5,0.8,221,1019.4,57.9,0.0,0.0,32.8
2023-06-04T09:04:05-04:00,19.8,50,S146,7.4,265, ,39º 15.665 N,74º 09.080 W,8.2,61,6.5,0.8,214,1020.2,58.0,0.0,0.0,31.5
2023-06-04T10:52:54-04:00,17.9,55,S142,7.3,273, ,39º 14.440 N,74º 26.370 W,6.5,67,6.3,0.5,223,1021.0,58.3,0.0,0.0,30.1
2023-06-04T11:53:24-04:00,14.3,60,P92,9.9,152, ,39º 14.768 N,74º 35.893 W,5.0,73,6.1,0.4,213,1021.1,59.9,0.0,0.0,28.1
2023-06-04T14:20:43-04:00,18.5,43,P108,9.4,152, ,38º 53.566 N,74º 21.455 W,8.2,62,6.7,0.7,210,1020.7,58.1,0.0,0.0,28.3
2023-06-04T16:52:55-04:00,17.6,33,P116,8.9,149, ,38º 33.229 N,74º 06.838 W,9.3,59,7.1,0.7,225,1019.3,60.4,0.0,0.0,29.2
2023-06-04T19:27:45-04:00,12.5,76,P100,8.3,176, ,38º 13.755 N,73º 52.042 W,9.9,57,7.3,0.4,248,1018.7,62.4,0.0,0.0,27.2
2023-06-04T19:56:05-04:00,12.2,89,S139,6.3,310, ,38º 09.862 N,73º 51.715 W,9.9,56,7.4,0.5,250,1018.7,62.9,0.0,0.0,26.6
2023-06-04T21:10:05-04:00,10.8,60,S132,5.9,287, ,38º 14.794 N,73º 59.270 W,9.3,59,7.3,0.5,232,1018.7,62.2,0.0,0.0,25.0
2023-06-04T21:40:21-04:00,10.7,49,S142,5.8,267, ,38º 15.674 N,74º 02.873 W,9.1,60,7.3,0.6,226,1018.6,62.0,0.0,0.0,24.3
2023-06-04T22:32:14-04:00,11.2,39,S140,6.2,259, ,38º 15.412 N,74º 09.237 W,8.8,62,7.3,0.7,218,1018.5,62.1,0.0,0.0,23.5
2023-06-04T23:49:24-04:00,11.2,32,S148,5.8,244, ,38º 13.868 N,74º 19.274 W,8.2,65,7.2,0.9,213,1018.4,62.3,0.0,0.0,22.3
2023-06-05T01:42:14-04:00,10.2,32,S148,5.3,244, ,38º 09.067 N,74º 31.839 W,7.6,68,7.2,1.0,207,1018.0,62.3,0.0,0.0,20.4
2023-06-05T03:45:51-04:00,8.9,32,S148,4.4,244, ,38º 04.267 N,74º 44.404 W,7.0,69,7.1,0.8,205,1017.6,62.0,0.0,0.0,18.8
