,Route,Start Time,Start,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,End
,SPIRE,2023-06-02T18:00:00-04:00,41 20.388N 71 23.850W,40 52.602N 71 46.692W,40 51.396N 72 45.552W,40 42.348N 73 20.796W,39 32.160N 72 53.442W,39 16.956N 74 42.552W,38 10.116N 73 51.750W,37 58.848N 74 59.586W,37 32.316N 75 47.412W,37 2.088N 76 4.668W,37 10.032N 75 59.112W,37 34.296N 76 1.974W,37 49.734N 75 59.646W,38 2.292N 76 20.394W,38 13.830N 76 2.730W,38 17.544N 76 24.276W,38 32.916N 76 25.362W,38 53.982N 76 26.202W,38 58.638N 76 19.836W
,Polar,Polar Speed Adjustment,Motoring,Ocean Current,TWS Scale Factor,TWD Adjustment
,"Upwind 50°: 5.0, 90°: 10.0, Downwind 160°: 6.0","Upwind: 100, Downwind: 100",False,Mercator,100%,0°
Time,TWS (kts),TWD (° true),TWA,SOG (kts),COG (° true),Motoring,Latitude,Longitude,Wave Height (ft),Wave Dir (° true),Wave Period (s),Current Speed (kts),Current Dir (° true),Pressure (hPa),Temperature (° F),Rain (mm/hr),CAPE (kJ/kg),Gust (kts)
2023-06-02T18:00:00-04:00,8.3,234,S78,5.0,156, ,41º 20.388 N,71º 23.849 W,2.3,154,5.4,0.1,117,1011.6,60.3,0.0,0.1,13.7
2023-06-02T18:47:47-04:00,9.2,239,S69,4.5,170, ,41º 16.775 N,71º 21.698 W,2.4,153,5.5,0.1,180,1011.7,59.2,0.0,0.2,12.8
2023-06-02T20:22:14-04:00,6.8,243,S59,3.1,184, ,41º 09.850 N,71º 20.109 W,2.4,149,5.7,0.2,233,1011.8,59.6,0.0,0.1,10.5
2023-06-02T22:37:35-04:00,3.9,295,S68,2.3,227, ,41º 02.933 N,71º 20.789 W,2.3,142,6.1,0.2,247,1011.9,59.3,0.0,0.0,8.5
2023-06-03T00:05:20-04:00,3.2,341,S100,3.7,240, ,41º 00.640 N,71º 24.042 W,2.3,140,6.2,0.2,249,1011.7,59.4,0.0,0.0,8.0
2023-06-03T02:46:54-04:00,12.9,29,S139,7.2,249, ,40º 55.643 N,71º 35.554 W,2.5,116,5.9,0.3,235,1011.7,59.0,0.3,0.0,13.8
2023-06-03T04:48:35-04:00,19.4,38,S139,7.5,259, ,40º 50.674 N,71º 53.875 W,2.8,97,4.9,0.4,236,1012.2,59.2,0.0,0.1,25.6
2023-06-03T05:55:53-04:00,19.3,42,S137,7.7,266, ,40º 48.989 N,72º 04.824 W,3.3,87,5.0,0.4,246,1012.9,58.5,0.1,0.1,26.7
2023-06-03T09:39:10-04:00,16.9,43,S154,6.5,249, ,40º 46.548 N,72º 41.673 W,3.6,81,4.7,0.2,244,1015.1,58.4,0.3,0.1,24.7
2023-06-03T10:54:33-04:00,15.9,45,P153,6.7,198, ,40º 43.562 N,72º 51.758 W,3.2,80,4.5,0.2,234,1015.7,58.5,0.0,0.0,24.4
2023-06-03T11:05:41-04:00,16.2,45,S156,6.5,249, ,40º 42.412 N,72º 52.249 W,3.5,79,4.6,0.2,234,1015.8,58.4,0.0,0.0,24.3
2023-06-03T12:28:35-04:00,15.7,49,S153,6.3,256, ,40º 39.286 N,73º 03.246 W,4.0,82,4.9,,,1015.9,59.8,0.0,0.0,24.1
2023-06-03T13:47:02-04:00,15.0,55,S153,6.3,262, ,40º 37.312 N,73º 13.751 W,3.9,86,5.1,,,1015.9,61.3,0.0,0.0,22.0
