,Route,Start Time,Start,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,End
,ECMWF,2023-06-02T21:00:00-04:00,41 20.388N 71 23.850W,40 52.602N 71 46.692W,40 51.396N 72 45.552W,40 42.348N 73 20.796W,39 32.160N 72 53.442W,39 16.956N 74 42.552W,38 10.116N 73 51.750W,37 58.848N 74 59.586W,37 32.316N 75 47.412W,37 2.088N 76 4.668W,37 10.032N 75 59.112W,37 34.296N 76 1.974W,37 49.734N 75 59.646W,38 2.292N 76 20.394W,38 13.830N 76 2.730W,38 17.544N 76 24.276W,38 32.916N 76 25.362W,38 53.982N 76 26.202W,38 58.638N 76 19.836W
,Polar,Polar Speed Adjustment,Motoring,Ocean Current,TWS Scale Factor,TWD Adjustment
,"Upwind 50°: 5.0, 90°: 10.0, Downwind 160°: 6.0","Upwind: 100, Downwind: 100",False,Mercator,100%,0°
Time,TWS (kts),TWD (° true),TWA,SOG (kts),COG (° true),Motoring,Latitude,Longitude,Wave Height (ft),Wave Dir (° true),Wave Period (s),Current Speed (kts),Current Dir (° true),Pressure (hPa),Temperature (° F),Rain (mm/hr),CAPE (kJ/kg),Gust (kts)
2023-06-02T21:00:00-04:00,8.7,237,S56,3.6,181, ,41º 20.388 N,71º 23.849 W,2.3,149,5.9,0.0,220,1013.8,60.2,0.0,0.0,11.1
2023-06-02T21:48:13-04:00,9.0,241,S48,3.1,193, ,41º 17.505 N,71º 23.944 W,2.3,146,6.0,0.1,227,1013.8,60.4,0.0,0.0,11.0
2023-06-03T00:02:58-04:00,8.5,239,P52,3.6,291, ,41º 10.739 N,71º 25.981 W,2.4,143,6.2,0.3,237,1013.5,60.5,0.0,0.0,10.6
2023-06-03T00:57:09-04:00,9.6,237,S47,3.5,190, ,41º 11.909 N,71º 30.029 W,2.3,144,6.1,0.4,232,1013.1,59.8,0.0,0.0,12.1
2023-06-03T02:14:09-04:00,9.9,237,P51,3.8,288, ,41º 07.444 N,71º 31.082 W,2.3,142,6.1,0.4,249,1012.8,59.7,0.0,0.0,12.6
2023-06-03T04:07:57-04:00,9.5,244,S45,3.5,199, ,41º 09.644 N,71º 40.089 W,2.1,146,5.9,0.3,277,1012.6,58.4,0.0,0.0,12.1
2023-06-03T06:21:53-04:00,7.0,260,S67,3.7,193, ,41º 02.306 N,71º 43.507 W,2.2,140,6.2,0.3,253,1012.8,59.1,0.0,0.0,8.9
2023-06-03T09:07:01-04:00,4.8,265,S63,2.3,202, ,40º 52.517 N,71º 46.551 W,2.3,136,6.5,0.4,230,1013.1,59.7,0.0,0.0,6.3
2023-06-03T10:24:26-04:00,4.8,236,P37,2.2,273, ,40º 49.784 N,71º 48.002 W,2.3,135,6.5,0.4,237,1013.0,60.4,0.0,0.0,6.1
2023-06-03T11:38:42-04:00,8.1,140,P94,5.5,234, ,40º 49.944 N,71º 51.629 W,2.2,133,6.4,0.4,244,1013.3,60.3,0.0,0.0,10.4
2023-06-03T12:16:14-04:00,10.9,58,S160,5.7,259, ,40º 47.941 N,71º 55.325 W,2.2,132,6.4,0.5,255,1013.5,60.8,0.0,0.0,13.9
2023-06-03T13:37:35-04:00,13.8,55,S146,6.9,269, ,40º 46.397 N,72º 05.363 W,2.2,132,6.4,0.5,267,1014.1,60.4,0.0,0.0,17.6
2023-06-03T15:48:27-04:00,17.1,57,S146,7.2,272, ,40º 46.192 N,72º 25.343 W,3.0,97,5.2,0.3,251,1015.1,59.3,0.3,0.0,22.3
2023-06-03T17:30:57-04:00,16.8,55,P157,6.6,212, ,40º 46.548 N,72º 41.673 W,3.2,95,4.5,0.4,252,1015.9,61.2,0.3,0.0,27.0
2023-06-03T19:07:48-04:00,23.7,54,S154,7.0,261, ,40º 37.498 N,72º 49.232 W,5.0,75,4.7,0.5,249,1017.0,58.8,0.2,0.0,31.7
2023-06-03T20:35:21-04:00,25.5,52,S141,7.6,271, ,40º 35.823 N,73º 02.452 W,5.4,74,4.8,0.5,252,1017.9,58.5,0.0,0.0,34.2
