,Route,Start Time,Start,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,End
,GFS,2023-06-02T21:00:00-04:00,41 20.388N 71 23.850W,40 52.602N 71 46.692W,40 51.396N 72 45.552W,40 42.348N 73 20.796W,39 32.160N 72 53.442W,39 16.956N 74 42.552W,38 10.116N 73 51.750W,37 58.848N 74 59.586W,37 32.316N 75 47.412W,37 2.088N 76 4.668W,37 10.032N 75 59.112W,37 34.296N 76 1.974W,37 49.734N 75 59.646W,38 2.292N 76 20.394W,38 13.830N 76 2.730W,38 17.544N 76 24.276W,38 32.916N 76 25.362W,38 53.982N 76 26.202W,38 58.638N 76 19.836W
,Polar,Polar Speed Adjustment,Motoring,Ocean Current,TWS Scale Factor,TWD Adjustment
,"Upwind 50°: 5.0, 90°: 10.0, Downwind 160°: 6.0","Upwind: 100, Downwind: 100",False,Mercator,100%,0°
Time,TWS (kts),TWD (° true),TWA,SOG (kts),COG (° true),Motoring,Latitude,Longitude,Wave Height (ft),Wave Dir (° true),Wave Period (s),Current Speed (kts),Current Dir (° true),Pressure (hPa),Temperature (° F),Rain (mm/hr),CAPE (kJ/kg),Gust (kts)
2023-06-02T21:00:00-04:00,4.7,4,S123,3.0,241, ,41º 20.388 N,71º 23.849 W,2.1,151,5.7,0.1,130,1013.1,61.6,0.0,0.0,8.1
2023-06-02T22:10:59-04:00,7.9,20,S160,3.5,219, ,41º 18.675 N,71º 27.991 W,2.0,147,5.9,0.1,145,1013.1,61.5,0.0,0.0,12.0
2023-06-02T22:49:00-04:00,9.9,21,S141,5.4,240, ,41º 16.953 N,71º 29.863 W,2.0,145,6.0,0.1,177,1013.1,61.6,0.0,0.0,14.0
2023-06-03T00:53:13-04:00,14.1,36,P152,6.8,189, ,41º 11.385 N,71º 42.756 W,1.8,140,6.2,0.2,265,1013.3,58.9,0.1,0.0,20.6
2023-06-03T03:38:54-04:00,20.9,39,S142,7.4,256, ,40º 52.517 N,71º 46.551 W,2.6,105,5.4,0.4,220,1013.5,57.4,0.2,0.0,24.4
2023-06-03T05:46:52-04:00,22.9,39,S134,7.7,263, ,40º 48.999 N,72º 07.094 W,3.1,92,5.1,0.4,242,1014.5,56.3,0.1,0.0,27.3
2023-06-03T09:15:07-04:00,20.2,43,S154,6.5,249, ,40º 46.548 N,72º 41.673 W,3.5,82,4.6,0.2,244,1017.1,55.7,0.1,0.0,27.7
2023-06-03T10:30:37-04:00,18.6,46,S148,6.9,259, ,40º 43.562 N,72º 51.758 W,3.2,80,4.5,0.2,234,1017.6,55.8,0.0,0.0,26.9
2023-06-03T10:36:45-04:00,18.5,47,P155,6.6,202, ,40º 43.422 N,72º 52.670 W,3.1,80,4.4,0.2,234,1017.7,55.8,0.0,0.0,26.8
2023-06-03T11:03:56-04:00,19.7,48,S151,6.5,257, ,40º 40.690 N,72º 54.121 W,3.9,79,4.7,0.3,243,1017.8,56.0,0.0,0.0,27.1
2023-06-03T13:25:02-04:00,17.6,55,S153,6.4,262, ,40º 37.312 N,73º 13.751 W,3.9,86,5.0,,,1018.1,60.0,0.0,0.0,21.5
2023-06-03T14:14:22-04:00,16.9,61,S43,4.3,18, ,40º 36.619 N,73º 20.583 W,3.4,89,5.1,,,1018.1,61.2,0.0,0.0,20.1
2023-06-03T14:31:21-04:00,16.2,63,P135,7.4,198, ,40º 37.770 N,73º 20.092 W,3.2,90,5.1,,,1018.0,62.0,0.0,0.0,19.6
2023-06-03T14:41:07-04:00,16.7,65,P97,9.8,162, ,40º 36.619 N,73º 20.583 W,3.4,89,5.1,,,1018.0,61.7,0.0,0.0,19.9
2023-06-03T17:26:14-04:00,24.6,67,P95,9.8,162, ,40º 10.743 N,73º 09.809 W,7.9,67,6.1,0.3,251,1017.9,57.0,0.0,0.0,29.5
2023-06-03T21:31:46-04:00,25.4,62,S153,7.0,269, ,39º 31.929 N,72º 53.648 W,10.6,52,7.0,0.8,224,1017.8,56.3,0.0,0.0,34.0
2023-06-03T22:22:47-04:00,24.1,69,P151,7.4,220, ,39º 31.817 N,73º 01.369 W,10.6,54,7.0,0.7,227,1017.8,56.8,0.0,0.0,34.0
2023-06-04T00:55:53-04:00,20.7,62,S152,7.4,270, ,39º 17.611 N,73º 16.814 W,10.0,54,7.2,0.7,237,1017.8,56.4,0.0,0.0,30.7
2023-06-04T02:41:23-04:00,18.3,50,S143,8.0,267, ,39º 17.536 N,73º 33.612 W,9.1,57,7.2,0.6,229,1018.1,56.9,0.0,0.0,25.8
2023-06-04T04:38:11-04:00,17.8,39,S138,8.1,261, ,39º 16.610 N,73º 53.616 W,8.0,60,7.0,0.8,215,1018.4,57.3,0.0,0.0,21.3
2023-06-04T05:33:37-04:00,17.8,39,S133,8.1,266, ,39º 15.497 N,74º 03.185 W,7.5,60,6.8,0.8,212,1018.6,57.6,0.0,0.0,20.3
2023-06-04T07:21:09-04:00,16.4,40,S129,7.9,272, ,39º 14.421 N,74º 21.832 W,5.9,64,6.5,0.5,223,1019.1,57.9,0.0,0.0,19.1
2023-06-04T08:43:34-04:00,11.5,44,P105,8.4,149, ,39º 14.768 N,74º 35.893 W,3.7,74,6.4,0.3,210,1019.4,59.2,0.0,0.0,15.3
2023-06-04T10:30:09-04:00,13.9,44,P105,8.7,149, ,39º 01.934 N,74º 26.099 W,5.9,60,6.4,0.5,210,1019.6,58.1,0.0,0.0,15.9
2023-06-04T12:12:40-04:00,12.4,50,P99,7.8,149, ,38º 49.100 N,74º 16.305 W,6.6,55,6.6,1.0,217,1019.2,57.5,0.0,0.0,14.4
2023-06-04T14:07:05-04:00,10.6,44,P105,6.4,149, ,38º 36.266 N,74º 06.511 W,6.8,51,6.7,0.8,226,1018.8,57.6,0.0,0.0,12.2
2023-06-04T16:26:19-04:00,9.1,62,P102,5.5,164, ,38º 23.432 N,73º 56.718 W,6.7,50,6.9,0.8,229,1017.7,57.8,0.0,0.0,10.3
2023-06-04T18:59:07-04:00,6.0,93,P149,3.4,242, ,38º 09.862 N,73º 51.715 W,6.4,49,7.1,0.7,228,1017.3,58.6,0.0,0.0,6.5
2023-06-04T20:24:36-04:00,4.4,170,P89,4.7,259, ,38º 07.578 N,73º 57.236 W,6.1,51,7.1,0.7,222,1017.1,58.8,0.0,0.0,4.4
2023-06-04T23:03:24-04:00,9.3,186,P85,6.3,271, ,38º 05.192 N,74º 12.749 W,5.4,55,7.2,1.0,214,1016.8,59.6,0.0,0.0,9.3
2023-06-05T00:56:19-04:00,10.2,210,P70,5.5,280, ,38º 05.398 N,74º 27.722 W,5.0,59,7.2,1.0,208,1015.9,60.1,0.0,0.0,10.8
2023-06-05T03:38:47-04:00,11.9,241,P52,4.6,292, ,38º 07.926 N,74º 46.251 W,4.3,63,7.3,0.6,205,1015.6,60.4,0.0,0.0,14.9
2023-06-05T05:19:16-04:00,12.5,253,S56,5.3,197, ,38º 10.846 N,74º 55.234 W,3.9,65,7.4,0.5,203,1015.6,60.2,0.0,0.0,17.5
