,Route,Start Time,Start,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,End
,SPIRE,2023-06-02T09:00:00-04:00,41 20.388N 71 23.850W,40 52.602N 71 46.692W,40 51.396N 72 45.552W,40 42.348N 73 20.796W,39 32.160N 72 53.442W,39 16.956N 74 42.552W,38 10.116N 73 51.750W,37 58.848N 74 59.586W,37 32.316N 75 47.412W,37 2.088N 76 4.668W,37 10.032N 75 59.112W,37 34.296N 76 1.974W,37 49.734N 75 59.646W,38 2.292N 76 20.394W,38 13.830N 76 2.730W,38 17.544N 76 24.276W,38 32.916N 76 25.362W,38 53.982N 76 26.202W,38 58.638N 76 19.836W
,Polar,Polar Speed Adjustment,Motoring,Ocean Current,TWS Scale Factor,TWD Adjustment
,"Upwind 50°: 5.0, 90°: 10.0, Downwind 160°: 6.0","Upwind: 100, Downwind: 100",False,Mercator,100%,0°
Time,TWS (kts),TWD (° true),TWA,SOG (kts),COG (° true),Motoring,Latitude,Longitude,Wave Height (ft),Wave Dir (° true),Wave Period (s),Current Speed (kts),Current Dir (° true),Pressure (hPa),Temperature (° F),Rain (mm/hr),CAPE (kJ/kg),Gust (kts)
2023-06-02T09:00:00-04:00,6.7,242,S55,3.0,175, ,41º 20.388 N,71º 23.849 W,2.6,143,6.6,0.1,138,1016.6,58.2,0.0,0.0,10.8
2023-06-02T11:58:01-04:00,8.9,240,P48,3.5,270, ,41º 11.590 N,71º 22.776 W,2.7,140,6.5,0.3,227,1016.0,59.2,0.0,0.0,10.4
2023-06-02T13:26:01-04:00,9.8,228,S38,3.1,181, ,41º 11.618 N,71º 29.584 W,2.6,141,6.4,0.4,228,1015.4,59.2,0.0,0.0,11.6
2023-06-02T13:54:02-04:00,9.9,235,P52,4.0,270, ,41º 10.177 N,71º 29.631 W,2.7,140,6.4,0.4,232,1015.2,59.7,0.0,0.0,11.6
2023-06-02T14:19:38-04:00,9.8,226,S37,3.0,181, ,41º 10.187 N,71º 31.900 W,2.6,141,6.4,0.3,240,1015.0,59.7,0.0,0.0,11.8
2023-06-02T14:48:41-04:00,9.6,233,P48,3.2,268, ,41º 08.745 N,71º 31.948 W,2.6,141,6.4,0.4,244,1014.9,60.2,0.0,0.0,11.9
2023-06-02T17:34:54-04:00,8.8,230,S41,2.8,181, ,41º 08.362 N,71º 43.763 W,2.4,143,6.0,0.3,289,1014.0,60.3,0.0,0.0,12.7
2023-06-02T18:06:11-04:00,8.9,237,P46,2.9,270, ,41º 06.920 N,71º 43.810 W,2.4,143,6.0,0.3,276,1014.0,60.5,0.0,0.0,12.1
2023-06-02T18:41:41-04:00,8.7,235,S43,3.4,181, ,41º 06.930 N,71º 46.079 W,2.3,142,6.0,0.2,273,1013.9,60.5,0.0,0.0,11.8
2023-06-02T22:59:22-04:00,8.1,256,P51,2.8,288, ,40º 52.517 N,71º 46.551 W,2.5,135,6.5,0.3,227,1014.0,60.9,0.0,0.0,8.1
2023-06-03T02:35:01-04:00,6.4,258,S48,2.5,201, ,40º 55.597 N,71º 59.161 W,2.2,135,6.5,0.2,248,1012.8,59.7,0.0,0.0,8.7
2023-06-03T04:15:35-04:00,5.6,267,S41,2.5,219, ,40º 51.713 N,72º 01.103 W,2.3,134,6.5,0.3,269,1012.6,60.0,0.0,0.0,7.4
2023-06-03T05:47:37-04:00,4.6,314,S67,2.9,238, ,40º 48.700 N,72º 04.379 W,2.3,133,6.6,0.4,272,1012.6,59.9,0.0,0.0,7.0
2023-06-03T07:12:54-04:00,3.4,23,S110,2.5,259, ,40º 46.556 N,72º 08.989 W,2.3,133,6.5,0.4,259,1012.8,59.6,0.0,0.0,7.3
2023-06-03T10:32:28-04:00,7.0,65,S140,4.0,271, ,40º 44.872 N,72º 19.939 W,2.3,134,6.4,0.3,246,1012.9,58.7,0.0,0.0,9.1
2023-06-03T12:30:01-04:00,9.7,73,S139,5.1,280, ,40º 45.059 N,72º 30.373 W,2.1,134,6.4,0.2,264,1013.5,59.0,0.0,0.0,12.1
2023-06-03T14:12:48-04:00,10.7,76,P146,5.3,212, ,40º 46.548 N,72º 41.673 W,2.0,131,6.3,0.3,253,1014.1,62.5,0.1,0.0,16.1
