,Route,Start Time,Start,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,End
,UKMO,2023-06-02T09:00:00-04:00,41 20.388N 71 23.850W,40 52.602N 71 46.692W,40 51.396N 72 45.552W,40 42.348N 73 20.796W,39 32.160N 72 53.442W,39 16.956N 74 42.552W,38 10.116N 73 51.750W,37 58.848N 74 59.586W,37 32.316N 75 47.412W,37 2.088N 76 4.668W,37 10.032N 75 59.112W,37 34.296N 76 1.974W,37 49.734N 75 59.646W,38 2.292N 76 20.394W,38 13.830N 76 2.730W,38 17.544N 76 24.276W,38 32.916N 76 25.362W,38 53.982N 76 26.202W,38 58.638N 76 19.836W
,Polar,Polar Speed Adjustment,Motoring,Ocean Current,TWS Scale Factor,TWD Adjustment
,"Upwind 50°: 5.0, 90°: 10.0, Downwind 160°: 6.0","Upwind: 100, Downwind: 100",False,Mercator,100%,0°
Time,TWS (kts),TWD (° true),TWA,SOG (kts),COG (° true),Motoring,Latitude,Longitude,Wave Height (ft),Wave Dir (° true),Wave Period (s),Current Speed (kts),Current Dir (° true),Pressure (hPa),Temperature (° F),Rain (mm/hr),CAPE (kJ/kg),Gust (kts)
2023-06-02T09:00:00-04:00,4.6,216,S70,2.6,146, ,41º 20.388 N,71º 23.849 W,2.3,144,6.3,0.3,105,1013.8,59.6,0.0,0.0,10.6
2023-06-02T11:27:39-04:00,5.9,214,S55,2.3,159, ,41º 15.034 N,71º 19.031 W,2.5,145,6.0,0.2,166,1013.5,57.6,0.0,0.0,13.9
2023-06-02T13:01:22-04:00,6.6,207,P51,2.6,258, ,41º 11.712 N,71º 17.324 W,2.6,146,5.9,0.2,210,1012.9,58.6,0.0,0.0,13.4
2023-06-02T13:51:04-04:00,6.6,210,S51,2.6,159, ,41º 11.291 N,71º 20.062 W,2.6,147,5.7,0.2,208,1012.6,58.9,0.0,0.0,14.3
2023-06-02T15:12:24-04:00,7.8,205,P53,3.4,258, ,41º 07.968 N,71º 18.355 W,2.6,146,5.8,0.1,223,1012.3,59.2,0.0,0.0,13.1
2023-06-02T17:40:06-04:00,8.7,196,P62,4.6,258, ,41º 06.284 N,71º 29.305 W,2.5,146,5.8,0.3,226,1011.8,59.8,0.0,0.0,11.0
2023-06-02T19:28:50-04:00,10.3,193,P55,4.0,249, ,41º 04.600 N,71º 40.255 W,2.3,145,5.8,0.2,224,1011.6,59.9,0.2,0.0,11.8
2023-06-02T21:30:43-04:00,10.3,200,S52,3.9,148, ,41º 01.614 N,71º 50.339 W,2.2,140,6.1,0.2,193,1011.8,59.1,0.0,0.1,10.3
2023-06-02T21:59:39-04:00,10.2,202,P45,3.5,248, ,41º 00.023 N,71º 49.029 W,2.3,139,6.2,0.2,199,1011.8,58.8,0.0,0.1,10.7
2023-06-02T22:32:10-04:00,10.1,205,S53,4.5,152, ,40º 59.312 N,71º 51.322 W,2.2,139,6.2,0.2,201,1011.9,58.6,0.0,0.2,10.3
