,Route,Start Time,Start,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,End
,PWG,2023-06-02T12:00:00-04:00,41 20.388N 71 23.850W,40 52.602N 71 46.692W,40 51.396N 72 45.552W,40 42.348N 73 20.796W,39 32.160N 72 53.442W,39 16.956N 74 42.552W,38 10.116N 73 51.750W,37 58.848N 74 59.586W,37 32.316N 75 47.412W,37 2.088N 76 4.668W,37 10.032N 75 59.112W,37 34.296N 76 1.974W,37 49.734N 75 59.646W,38 2.292N 76 20.394W,38 13.830N 76 2.730W,38 17.544N 76 24.276W,38 32.916N 76 25.362W,38 53.982N 76 26.202W,38 58.638N 76 19.836W
,Polar,Polar Speed Adjustment,Motoring,Ocean Current,TWS Scale Factor,TWD Adjustment
,"Upwind 50°: 5.0, 90°: 10.0, Downwind 160°: 6.0","Upwind: 100, Downwind: 100",False,Mercator,100%,0°
Time,TWS (kts),TWD (° true),TWA,SOG (kts),COG (° true),Motoring,Latitude,Longitude,Wave Height (ft),Wave Dir (° true),Wave Period (s),Current Speed (kts),Current Dir (° true),Pressure (hPa),Temperature (° F),Rain (mm/hr),CAPE (kJ/kg),Gust (kts)
2023-06-02T12:00:00-04:00,14.4,210,S54,5.0,157, ,41º 20.388 N,71º 23.849 W,2.5,151,5.9,0.2,113,1013.3,64.0,0.0,0.1,14.4
2023-06-02T14:01:49-04:00,12.0,214,S57,4.3,157, ,41º 10.996 N,71º 18.483 W,2.8,149,5.9,0.1,222,1013.0,58.8,0.0,0.0,13.3
2023-06-02T16:22:56-04:00,11.1,198,P54,4.8,252, ,41º 01.604 N,71º 13.116 W,2.8,145,6.1,0.1,238,1013.1,59.2,0.0,0.0,11.8
2023-06-02T19:31:25-04:00,8.3,199,P55,4.3,253, ,40º 56.925 N,71º 31.880 W,2.7,142,6.1,0.2,224,1011.6,60.1,0.0,0.0,8.3
2023-06-02T22:16:38-04:00,4.8,194,S31,2.5,163, ,40º 53.528 N,71º 46.972 W,2.6,141,6.0,0.3,207,1012.2,61.3,0.0,0.0,5.4
2023-06-02T22:42:15-04:00,3.9,193,P80,2.7,273, ,40º 52.517 N,71º 46.551 W,2.6,141,6.0,0.3,211,1012.4,61.2,0.0,0.0,4.7
2023-06-02T23:43:44-04:00,5.6,198,P60,4.0,259, ,40º 52.676 N,71º 50.177 W,2.5,142,6.0,0.3,220,1012.2,61.1,0.0,0.0,5.6
2023-06-03T02:00:53-04:00,13.4,201,P66,5.8,266, ,40º 50.852 N,72º 02.039 W,2.4,141,6.0,0.3,243,1011.1,60.1,0.0,0.0,13.4
2023-06-03T05:43:36-04:00,6.9,206,P56,2.4,262, ,40º 49.936 N,72º 24.313 W,2.2,127,6.0,0.0,135,1011.7,60.0,0.7,0.0,17.0
2023-06-03T08:11:22-04:00,3.0,168,P80,2.3,248, ,40º 49.103 N,72º 32.057 W,2.8,102,4.9,0.1,227,1013.0,57.1,0.4,0.0,19.6
2023-06-03T11:29:01-04:00,5.9,92,S142,2.9,311, ,40º 46.258 N,72º 41.228 W,3.5,84,4.6,0.2,239,1014.1,54.6,0.7,0.0,22.0
2023-06-03T11:38:19-04:00,6.2,91,P143,4.3,234, ,40º 46.548 N,72º 41.673 W,3.5,84,4.6,0.2,238,1014.2,54.5,0.7,0.0,22.1
2023-06-03T14:26:19-04:00,13.2,77,P142,7.0,220, ,40º 39.538 N,72º 54.613 W,4.2,79,4.8,0.3,241,1014.9,54.6,1.0,0.0,22.8
2023-06-03T14:59:44-04:00,15.4,75,S147,7.1,288, ,40º 36.525 N,72º 57.889 W,4.7,79,5.0,0.3,241,1014.7,55.2,0.9,0.0,23.3
2023-06-03T15:12:10-04:00,16.4,75,P156,6.6,231, ,40º 36.965 N,72º 59.690 W,4.5,80,5.0,0.3,241,1014.8,55.4,0.8,0.0,23.0
2023-06-03T15:53:37-04:00,19.5,74,S153,6.8,281, ,40º 34.101 N,73º 04.324 W,4.7,80,5.1,0.3,255,1014.6,56.0,0.7,0.0,23.6
2023-06-03T17:41:40-04:00,23.4,71,S121,8.3,311, ,40º 36.329 N,73º 20.138 W,3.3,87,4.9,,,1015.0,56.6,0.3,0.0,23.4
2023-06-03T17:44:54-04:00,23.2,71,S53,5.4,18, ,40º 36.619 N,73º 20.583 W,3.2,87,4.9,,,1015.0,56.6,0.3,0.0,23.2
2023-06-03T17:58:23-04:00,22.7,69,P123,8.1,192, ,40º 37.770 N,73º 20.092 W,3.1,87,4.9,,,1015.1,56.5,0.2,0.0,22.7
2023-06-03T18:12:29-04:00,24.1,68,P94,9.7,162, ,40º 35.899 N,73º 20.606 W,3.5,85,4.9,0.3,243,1015.2,56.4,0.3,0.0,24.1
2023-06-03T21:01:47-04:00,27.6,52,P110,8.7,162, ,40º 10.310 N,73º 09.823 W,7.6,60,5.9,0.4,253,1014.9,55.4,0.4,0.0,27.6
2023-06-03T22:34:43-04:00,24.9,41,P121,8.6,162, ,39º 57.517 N,73º 04.432 W,8.4,53,6.1,0.4,242,1014.6,55.1,0.1,0.0,25.7
2023-06-04T01:32:47-04:00,22.6,51,S153,7.2,259, ,39º 31.929 N,72º 53.648 W,8.9,44,6.5,0.8,230,1013.6,55.3,0.0,0.0,23.7
2023-06-04T03:38:26-04:00,24.7,49,S150,8.1,259, ,39º 28.981 N,73º 12.810 W,8.6,44,6.4,0.9,239,1013.4,55.1,0.1,0.0,24.7
2023-06-04T05:29:57-04:00,25.2,27,S132,8.8,256, ,39º 26.034 N,73º 31.972 W,8.1,46,6.4,0.9,237,1013.5,55.2,0.1,0.0,25.2
2023-06-04T08:04:37-04:00,29.1,30,S131,8.7,259, ,39º 20.382 N,73º 59.393 W,7.1,49,6.2,0.8,212,1014.4,55.4,0.1,0.0,29.1
2023-06-04T09:44:01-04:00,28.7,17,S118,9.3,259, ,39º 17.575 N,74º 17.643 W,5.7,53,6.0,0.7,223,1014.6,56.1,0.0,0.0,28.7
2023-06-04T11:17:11-04:00,20.6,7,P130,7.9,137, ,39º 14.768 N,74º 35.893 W,3.4,64,5.8,0.4,213,1014.7,57.5,0.0,0.0,20.6
2023-06-04T14:15:58-04:00,29.0,9,P147,7.3,156, ,38º 57.528 N,74º 15.121 W,6.4,47,6.2,0.8,218,1014.0,57.0,0.0,0.0,29.0
2023-06-04T15:46:56-04:00,32.3,14,P142,7.3,156, ,38º 47.413 N,74º 09.400 W,6.8,44,6.3,0.9,227,1013.4,57.3,0.0,0.0,32.3
2023-06-04T17:17:54-04:00,35.3,10,P146,7.3,156, ,38º 37.300 N,74º 03.678 W,7.0,40,6.4,0.8,231,1012.9,57.6,0.0,0.0,35.3
2023-06-04T18:48:52-04:00,33.4,347,S150,3.0,197, ,38º 27.185 N,73º 57.957 W,7.5,35,6.4,0.9,237,1012.7,57.5,0.0,0.0,33.4
2023-06-04T19:53:17-04:00,34.6,331,P172,7.9,143, ,38º 19.558 N,74º 00.931 W,7.6,35,6.4,0.9,230,1012.7,57.5,0.0,0.0,34.6
2023-06-04T21:25:55-04:00,23.1,340,S81,9.9,259, ,38º 09.862 N,73º 51.715 W,8.0,29,6.5,0.6,237,1012.4,58.0,0.0,0.0,23.1
2023-06-05T00:14:56-04:00,34.0,347,S89,10.4,259, ,38º 04.388 N,74º 27.301 W,6.6,40,6.5,1.2,212,1012.4,58.2,0.0,0.0,34.0
2023-06-05T02:46:40-04:00,29.5,353,S124,8.8,228, ,37º 59.045 N,74º 59.706 W,4.8,48,6.5,0.7,204,1012.0,57.9,0.0,0.0,29.5
2023-06-05T04:39:33-04:00,26.5,349,S125,8.5,224, ,37º 48.011 N,75º 15.501 W,3.7,54,6.6,0.5,217,1011.4,57.9,0.0,0.0,26.5
