,Route,Start Time,Start,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,End
,PWE,2023-06-02T15:00:00-04:00,41 20.388N 71 23.850W,40 52.602N 71 46.692W,40 51.396N 72 45.552W,40 42.348N 73 20.796W,39 32.160N 72 53.442W,39 16.956N 74 42.552W,38 10.116N 73 51.750W,37 58.848N 74 59.586W,37 32.316N 75 47.412W,37 2.088N 76 4.668W,37 10.032N 75 59.112W,37 34.296N 76 1.974W,37 49.734N 75 59.646W,38 2.292N 76 20.394W,38 13.830N 76 2.730W,38 17.544N 76 24.276W,38 32.916N 76 25.362W,38 53.982N 76 26.202W,38 58.638N 76 19.836W
,Polar,Polar Speed Adjustment,Motoring,Ocean Current,TWS Scale Factor,TWD Adjustment
,"Upwind 50°: 5.0, 90°: 10.0, Downwind 160°: 6.0","Upwind: 100, Downwind: 100",False,Mercator,100%,0°
Time,TWS (kts),TWD (° true),TWA,SOG (kts),COG (° true),Motoring,Latitude,Longitude,Wave Height (ft),Wave Dir (° true),Wave Period (s),Current Speed (kts),Current Dir (° true),Pressure (hPa),Temperature (° F),Rain (mm/hr),CAPE (kJ/kg),Gust (kts)
2023-06-02T15:00:00-04:00,11.1,196,S60,4.3,136, ,41º 20.388 N,71º 23.849 W,2.5,155,5.6,0.2,117,1012.3,59.5,0.0,0.0,16.2
2023-06-02T16:21:01-04:00,10.1,183,P51,4.6,234, ,41º 16.186 N,71º 18.540 W,2.7,154,5.7,0.1,185,1012.2,59.0,0.0,0.0,14.3
2023-06-02T18:28:03-04:00,10.3,172,P62,4.6,234, ,41º 10.463 N,71º 28.941 W,2.6,148,5.9,0.3,210,1011.8,59.9,0.0,0.0,11.7
2023-06-02T20:35:05-04:00,9.0,158,P81,4.6,239, ,41º 04.740 N,71º 39.342 W,2.5,146,5.9,0.3,229,1011.4,60.5,0.0,0.0,12.1
2023-06-02T21:44:29-04:00,7.2,124,P81,3.6,205, ,41º 02.026 N,71º 45.332 W,2.4,145,5.9,0.2,188,1011.5,59.8,0.0,0.0,12.8
2023-06-02T22:43:06-04:00,5.7,79,P96,3.4,175, ,40º 58.862 N,71º 47.251 W,2.5,143,6.0,0.3,193,1011.7,59.3,0.0,0.0,13.4
2023-06-03T00:33:54-04:00,6.7,82,P138,3.2,219, ,40º 52.517 N,71º 46.551 W,2.5,142,6.0,0.4,215,1011.3,58.6,0.0,0.0,12.5
2023-06-03T01:26:56-04:00,7.3,86,S170,3.9,275, ,40º 50.365 N,71º 48.891 W,2.5,142,6.0,0.4,227,1010.9,58.6,0.0,0.0,12.3
2023-06-03T03:55:31-04:00,10.4,78,P148,5.2,226, ,40º 51.282 N,72º 01.571 W,2.3,139,6.2,0.3,245,1011.1,58.9,0.0,0.3,10.4
2023-06-03T04:41:17-04:00,11.0,82,P161,4.9,243, ,40º 48.559 N,72º 05.292 W,2.3,137,6.3,0.4,240,1011.2,59.2,0.0,0.4,11.0
2023-06-03T06:46:06-04:00,12.5,89,P154,5.5,243, ,40º 43.852 N,72º 17.249 W,2.8,107,5.3,0.3,238,1012.2,58.7,0.0,0.3,16.8
2023-06-03T08:36:53-04:00,9.8,97,S149,4.5,308, ,40º 39.145 N,72º 29.205 W,3.2,92,4.8,0.2,256,1013.3,58.5,0.3,0.1,26.1
