,Route,Start Time,Start,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,End
,GFS,2023-06-02T18:00:00-04:00,41 20.388N 71 23.850W,40 52.602N 71 46.692W,40 51.396N 72 45.552W,40 42.348N 73 20.796W,39 32.160N 72 53.442W,39 16.956N 74 42.552W,38 10.116N 73 51.750W,37 58.848N 74 59.586W,37 32.316N 75 47.412W,37 2.088N 76 4.668W,37 10.032N 75 59.112W,37 34.296N 76 1.974W,37 49.734N 75 59.646W,38 2.292N 76 20.394W,38 13.830N 76 2.730W,38 17.544N 76 24.276W,38 32.916N 76 25.362W,38 53.982N 76 26.202W,38 58.638N 76 19.836W
,Polar,Polar Speed Adjustment,Motoring,Ocean Current,TWS Scale Factor,TWD Adjustment
,"Upwind 50°: 5.0, 90°: 10.0, Downwind 160°: 6.0","Upwind: 100, Downwind: 100",False,Mercator,100%,0°
Time,TWS (kts),TWD (° true),TWA,SOG (kts),COG (° true),Motoring,Latitude,Longitude,Wave Height (ft),Wave Dir (° true),Wave Period (s),Current Speed (kts),Current Dir (° true),Pressure (hPa),Temperature (° F),Rain (mm/hr),CAPE (kJ/kg),Gust (kts)
2023-06-02T18:00:00-04:00,6.6,264,S94,3.4,170, ,41º 20.388 N,71º 23.849 W,2.5,155,5.6,0.1,122,1011.5,63.3,0.4,0.0,10.9
2023-06-02T19:32:36-04:00,4.4,205,P45,2.2,251, ,41º 15.193 N,71º 22.658 W,2.5,151,5.7,0.2,201,1011.3,61.7,0.0,0.0,4.8
2023-06-02T20:44:06-04:00,4.6,192,S30,2.6,163, ,41º 14.342 N,71º 25.864 W,2.5,150,5.8,0.2,206,1011.5,61.4,0.1,0.0,4.8
2023-06-02T21:09:16-04:00,5.0,301,S87,3.6,215, ,41º 13.331 N,71º 25.442 W,2.5,149,5.8,0.3,215,1011.7,61.3,0.1,0.0,5.2
2023-06-02T22:41:52-04:00,5.8,333,S94,4.2,240, ,41º 08.736 N,71º 29.678 W,2.5,149,5.7,0.3,222,1012.5,61.2,0.1,0.0,5.9
2023-06-03T00:31:48-04:00,7.6,36,S146,3.8,251, ,41º 04.880 N,71º 38.429 W,2.4,147,5.8,0.3,237,1011.6,61.0,0.1,0.0,9.9
2023-06-03T01:11:47-04:00,8.1,53,P145,4.9,198, ,41º 04.029 N,71º 41.635 W,2.3,145,5.9,0.3,221,1011.2,61.0,0.1,0.0,11.4
2023-06-03T03:41:03-04:00,11.3,50,S151,6.4,259, ,40º 52.517 N,71º 46.551 W,2.4,141,6.1,0.4,219,1011.2,59.2,0.1,0.0,14.2
2023-06-03T05:20:44-04:00,16.0,48,S146,7.3,263, ,40º 50.412 N,72º 00.238 W,2.4,129,6.1,0.4,252,1011.7,58.9,0.5,0.0,19.5
2023-06-03T07:18:34-04:00,17.0,45,S146,6.9,259, ,40º 48.616 N,72º 18.908 W,2.7,103,5.1,0.1,210,1012.6,57.5,0.6,0.0,19.9
2023-06-03T08:32:18-04:00,17.8,44,S137,7.5,268, ,40º 46.931 N,72º 29.858 W,2.9,95,4.8,0.1,236,1013.0,56.8,0.4,0.0,20.2
2023-06-03T09:44:09-04:00,16.6,43,S156,6.5,247, ,40º 46.548 N,72º 41.673 W,2.9,95,4.9,0.2,235,1013.5,56.1,0.4,0.0,20.1
2023-06-03T12:25:51-04:00,15.9,44,S149,6.6,255, ,40º 39.716 N,73º 02.778 W,3.4,85,4.5,,,1014.4,55.0,0.8,0.0,21.2
2023-06-03T14:03:37-04:00,16.8,44,S139,7.2,265, ,40º 36.890 N,73º 16.489 W,3.5,89,4.7,,,1014.8,54.8,1.2,0.0,21.9
2023-06-03T14:29:45-04:00,16.9,46,S95,9.7,311, ,40º 36.619 N,73º 20.583 W,3.2,91,4.7,,,1014.8,55.3,1.0,0.0,21.8
2023-06-03T14:32:30-04:00,16.8,46,P33,3.3,79, ,40º 36.909 N,73º 21.028 W,3.1,91,4.6,,,1014.8,55.3,1.0,0.0,21.7
2023-06-03T14:45:44-04:00,16.7,46,S44,4.4,1, ,40º 37.050 N,73º 20.115 W,3.1,91,4.7,,,1014.8,55.4,1.0,0.0,21.6
2023-06-03T14:55:43-04:00,16.2,46,P146,6.8,192, ,40º 37.770 N,73º 20.092 W,3.1,91,4.7,,,1014.8,55.5,0.9,0.0,21.4
2023-06-03T15:12:33-04:00,17.3,46,P116,8.6,162, ,40º 35.899 N,73º 20.606 W,3.3,90,4.8,0.3,240,1014.7,55.8,0.8,0.0,21.7
2023-06-03T16:45:52-04:00,22.1,48,P115,8.7,162, ,40º 23.105 N,73º 15.215 W,5.3,77,5.3,0.3,257,1014.5,56.3,0.9,0.0,24.3
2023-06-03T18:18:19-04:00,24.0,49,P113,8.8,162, ,40º 10.310 N,73º 09.823 W,6.8,63,5.5,0.3,253,1014.5,55.8,1.0,0.0,26.1
2023-06-03T19:50:00-04:00,24.9,49,P113,8.9,162, ,39º 57.517 N,73º 04.432 W,7.9,56,5.8,0.4,243,1014.7,55.9,0.8,0.0,27.0
2023-06-03T22:49:13-04:00,24.0,46,S147,7.6,259, ,39º 31.929 N,72º 53.648 W,9.0,45,6.3,0.8,228,1014.1,55.6,0.1,0.0,25.5
2023-06-04T01:27:18-04:00,22.6,44,S145,7.9,259, ,39º 27.999 N,73º 19.198 W,8.7,48,6.4,0.8,241,1013.8,55.4,0.0,0.0,23.8
2023-06-04T03:53:28-04:00,20.7,36,S142,8.0,255, ,39º 24.209 N,73º 43.834 W,8.1,50,6.3,0.8,226,1013.7,55.9,0.1,0.0,21.4
2023-06-04T05:40:33-04:00,19.4,34,S135,8.0,256, ,39º 20.391 N,74º 01.663 W,7.4,51,6.2,0.7,212,1013.8,55.8,0.1,0.0,19.6
2023-06-04T09:04:01-04:00,11.9,31,P121,8.2,152, ,39º 14.768 N,74º 35.893 W,3.7,65,5.8,0.4,214,1014.7,55.3,0.1,0.0,15.2
2023-06-04T10:52:08-04:00,17.6,33,P119,8.9,152, ,39º 01.786 N,74º 27.057 W,6.1,52,6.1,0.6,211,1014.4,56.9,0.0,0.0,17.8
2023-06-04T12:31:43-04:00,17.6,27,P125,8.5,152, ,38º 48.805 N,74º 18.221 W,6.9,46,6.3,1.0,214,1014.1,57.0,0.0,0.0,18.1
2023-06-04T14:16:02-04:00,17.7,22,P130,8.2,152, ,38º 35.824 N,74º 09.386 W,7.2,42,6.4,0.9,226,1013.7,57.0,0.0,0.0,18.5
2023-06-04T16:03:53-04:00,17.0,22,P130,7.9,152, ,38º 22.843 N,74º 00.550 W,7.5,38,6.5,0.9,233,1013.0,57.4,0.0,0.0,17.9
2023-06-04T17:55:39-04:00,16.4,17,S120,9.0,257, ,38º 09.862 N,73º 51.715 W,7.9,31,6.5,0.6,239,1012.7,57.7,0.0,0.0,17.9
2023-06-04T20:48:58-04:00,12.2,34,S137,6.3,257, ,38º 04.294 N,74º 22.084 W,6.8,41,6.5,1.3,217,1012.7,58.2,0.0,0.0,14.1
