,Route,Start Time,Start,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,End
,UKMO,2023-06-02T06:00:00-04:00,41 20.388N 71 23.850W,40 52.602N 71 46.692W,40 51.396N 72 45.552W,40 42.348N 73 20.796W,39 32.160N 72 53.442W,39 16.956N 74 42.552W,38 10.116N 73 51.750W,37 58.848N 74 59.586W,37 32.316N 75 47.412W,37 2.088N 76 4.668W,37 10.032N 75 59.112W,37 34.296N 76 1.974W,37 49.734N 75 59.646W,38 2.292N 76 20.394W,38 13.830N 76 2.730W,38 17.544N 76 24.276W,38 32.916N 76 25.362W,38 53.982N 76 26.202W,38 58.638N 76 19.836W
,Polar,Polar Speed Adjustment,Motoring,Ocean Current,TWS Scale Factor,TWD Adjustment
,"Upwind 50°: 5.0, 90°: 10.0, Downwind 160°: 6.0","Upwind: 100, Downwind: 100",False,Mercator,100%,0°
Time,TWS (kts),TWD (° true),TWA,SOG (kts),COG (° true),Motoring,Latitude,Longitude,Wave Height (ft),Wave Dir (° true),Wave Period (s),Current Speed (kts),Current Dir (° true),Pressure (hPa),Temperature (° F),Rain (mm/hr),CAPE (kJ/kg),Gust (kts)
2023-06-02T06:00:00-04:00,6.7,248,S76,3.8,172, ,41º 20.388 N,71º 23.849 W,2.5,146,6.4,0.3,111,1014.5,56.9,0.0,0.0,10.5
2023-06-02T08:13:19-04:00,7.6,244,S65,3.4,179, ,41º 12.021 N,71º 22.308 W,2.7,143,6.4,0.3,180,1014.5,56.7,0.0,0.0,11.1
2023-06-02T12:39:05-04:00,8.2,230,S52,2.8,178, ,40º 57.028 N,71º 21.891 W,2.8,140,6.4,0.0,220,1013.4,56.5,0.0,0.0,12.6
2023-06-02T14:32:23-04:00,8.5,224,P52,3.5,276, ,40º 51.693 N,71º 21.611 W,2.8,139,6.4,0.1,237,1012.8,57.1,0.0,0.0,12.4
2023-06-02T16:32:15-04:00,9.4,213,P57,4.1,270, ,40º 52.451 N,71º 30.665 W,2.8,139,6.3,0.1,218,1012.5,58.1,0.0,0.0,11.7
2023-06-02T19:27:31-04:00,9.9,216,P55,3.8,271, ,40º 52.517 N,71º 46.551 W,2.7,140,6.2,0.3,205,1011.5,59.9,0.0,0.0,12.7
2023-06-02T22:35:38-04:00,8.4,217,P54,2.9,271, ,40º 52.799 N,72º 02.203 W,2.5,140,6.2,0.2,226,1011.7,59.5,0.0,0.0,12.0
2023-06-03T02:39:44-04:00,5.4,194,P65,3.2,259, ,40º 53.080 N,72º 17.854 W,2.1,139,6.2,0.1,180,1010.8,60.1,0.0,0.3,11.3
2023-06-03T03:33:09-04:00,5.5,141,P98,2.5,239, ,40º 52.518 N,72º 21.505 W,2.0,139,6.2,0.0,159,1010.9,60.7,0.0,0.3,11.9
2023-06-03T07:51:27-04:00,5.0,81,S147,2.4,293, ,40º 47.090 N,72º 33.484 W,2.6,107,5.0,0.1,233,1013.0,59.2,0.0,0.2,19.4
2023-06-03T08:38:03-04:00,6.2,84,P160,3.2,244, ,40º 47.821 N,72º 35.730 W,2.8,100,4.9,0.1,229,1013.4,59.0,0.0,0.2,19.4
2023-06-03T09:58:28-04:00,9.2,90,S139,4.5,311, ,40º 45.968 N,72º 40.784 W,3.0,92,4.8,0.2,237,1014.0,58.6,0.0,0.1,23.4
2023-06-03T10:10:27-04:00,9.5,90,P129,5.7,219, ,40º 46.548 N,72º 41.673 W,3.1,91,4.7,0.2,236,1014.1,58.7,0.0,0.1,23.6
2023-06-03T10:57:06-04:00,12.4,88,P147,6.1,234, ,40º 43.104 N,72º 45.417 W,3.3,86,4.5,0.2,231,1014.4,58.0,0.2,0.1,24.8
2023-06-03T13:12:45-04:00,15.8,78,S156,6.5,281, ,40º 35.093 N,73º 00.206 W,4.5,80,4.8,0.3,254,1014.8,58.3,0.0,0.0,25.8
2023-06-03T13:54:43-04:00,16.1,81,P150,6.9,231, ,40º 35.982 N,73º 06.078 W,4.3,83,4.8,0.3,256,1015.0,58.8,0.0,0.0,24.2
2023-06-03T14:14:33-04:00,17.3,79,S158,6.6,281, ,40º 34.550 N,73º 08.394 W,4.4,82,4.9,0.3,256,1015.1,58.9,0.0,0.0,24.0
2023-06-03T15:37:18-04:00,16.7,73,S122,8.2,311, ,40º 36.329 N,73º 20.138 W,3.3,90,4.8,,,1015.3,60.9,0.0,0.0,20.4
2023-06-03T15:40:34-04:00,16.6,73,S55,5.6,18, ,40º 36.619 N,73º 20.583 W,3.2,90,4.8,,,1015.3,61.0,0.0,0.0,20.3
2023-06-03T15:53:36-04:00,15.9,70,P122,8.2,192, ,40º 37.770 N,73º 20.092 W,3.0,91,4.8,,,1015.3,61.4,0.0,0.0,20.4
2023-06-03T16:07:39-04:00,17.2,68,P94,9.6,162, ,40º 35.899 N,73º 20.606 W,3.3,89,4.9,0.3,241,1015.3,61.0,0.0,0.0,20.0
2023-06-03T18:58:40-04:00,25.9,57,P105,9.3,162, ,40º 10.310 N,73º 09.823 W,7.0,62,5.6,0.3,254,1016.0,58.0,0.0,0.0,31.3
2023-06-03T23:15:15-04:00,24.2,60,P155,7.1,215, ,39º 31.929 N,72º 53.648 W,9.1,44,6.3,0.8,229,1015.6,57.5,0.0,0.0,33.6
2023-06-03T23:58:06-04:00,24.0,58,S156,7.2,262, ,39º 27.764 N,72º 57.416 W,9.0,44,6.4,0.8,232,1015.3,57.4,0.0,0.0,33.0
2023-06-04T01:38:47-04:00,25.8,55,S156,7.2,259, ,39º 26.099 N,73º 12.905 W,8.8,46,6.5,0.8,239,1014.9,56.5,0.0,0.0,31.2
2023-06-04T03:27:01-04:00,27.1,53,S155,7.4,259, ,39º 23.572 N,73º 29.329 W,8.4,47,6.4,0.8,240,1014.7,56.0,0.0,0.0,30.2
2023-06-04T05:06:30-04:00,26.8,49,S150,7.6,259, ,39º 21.187 N,73º 44.841 W,8.0,48,6.4,0.9,225,1014.7,56.0,0.0,0.0,30.6
2023-06-04T06:48:46-04:00,26.7,42,S142,7.8,259, ,39º 18.660 N,74º 01.265 W,7.3,50,6.2,0.8,212,1015.2,56.3,0.0,0.0,26.9
2023-06-04T09:23:48-04:00,22.2,35,S127,8.3,268, ,39º 15.020 N,74º 27.259 W,4.8,59,5.9,0.5,223,1015.7,57.3,0.0,0.0,23.0
2023-06-04T10:12:04-04:00,17.5,36,P109,9.0,145, ,39º 14.768 N,74º 35.893 W,3.5,64,5.8,0.4,214,1015.6,59.4,0.0,0.0,20.0
2023-06-04T12:22:50-04:00,27.0,28,P127,8.6,155, ,38º 58.707 N,74º 21.438 W,6.4,49,6.2,0.7,212,1014.9,56.8,0.0,0.0,27.0
2023-06-04T13:57:31-04:00,24.7,27,P128,8.3,155, ,38º 46.496 N,74º 14.007 W,6.9,45,6.4,1.0,220,1014.3,57.1,0.0,0.0,24.7
2023-06-04T15:35:14-04:00,23.9,22,P132,8.1,155, ,38º 34.285 N,74º 06.577 W,7.1,41,6.4,0.9,228,1013.6,57.5,0.0,0.0,23.9
2023-06-04T17:15:01-04:00,24.1,26,P128,8.1,155, ,38º 22.073 N,73º 59.146 W,7.4,37,6.5,0.9,234,1012.8,58.3,0.0,0.0,25.9
2023-06-04T18:55:09-04:00,17.9,24,S126,9.4,259, ,38º 09.862 N,73º 51.715 W,8.0,31,6.5,0.6,239,1012.2,60.0,0.0,0.0,29.6
2023-06-04T21:47:18-04:00,22.0,1,S102,10.3,259, ,38º 04.097 N,74º 26.857 W,6.7,42,6.5,1.2,212,1012.4,60.0,0.0,0.0,22.2
2023-06-05T00:21:18-04:00,20.9,351,S122,9.2,228, ,37º 59.045 N,74º 59.706 W,5.0,52,6.5,0.7,204,1012.3,59.8,0.0,0.0,20.9
2023-06-05T01:28:54-04:00,17.7,341,S120,9.1,221, ,37º 52.166 N,75º 09.464 W,4.3,57,6.7,0.6,211,1011.9,60.1,0.0,0.0,17.7
2023-06-05T03:09:31-04:00,15.0,331,S99,9.4,233, ,37º 40.543 N,75º 22.100 W,3.7,60,6.8,0.4,214,1011.5,59.4,0.0,0.0,15.0
2023-06-05T04:46:09-04:00,13.1,331,S149,6.1,181, ,37º 31.381 N,75º 37.380 W,2.8,64,6.7,0.3,213,1011.2,58.5,0.0,0.0,13.1
2023-06-05T05:21:24-04:00,14.1,330,S127,7.8,204, ,37º 27.777 N,75º 37.498 W,2.9,64,6.8,0.3,211,1011.1,59.5,0.0,0.0,14.1
