,Route,Start Time,Start,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,End
,ECMWF,2023-06-02T09:00:00-04:00,41 20.388N 71 23.850W,40 52.602N 71 46.692W,40 51.396N 72 45.552W,40 42.348N 73 20.796W,39 32.160N 72 53.442W,39 16.956N 74 42.552W,38 10.116N 73 51.750W,37 58.848N 74 59.586W,37 32.316N 75 47.412W,37 2.088N 76 4.668W,37 10.032N 75 59.112W,37 34.296N 76 1.974W,37 49.734N 75 59.646W,38 2.292N 76 20.394W,38 13.830N 76 2.730W,38 17.544N 76 24.276W,38 32.916N 76 25.362W,38 53.982N 76 26.202W,38 58.638N 76 19.836W
,Polar,Polar Speed Adjustment,Motoring,Ocean Current,TWS Scale Factor,TWD Adjustment
,"Upwind 50°: 5.0, 90°: 10.0, Downwind 160°: 6.0","Upwind: 100, Downwind: 100",False,Mercator,100%,0°
Time,TWS (kts),TWD (° true),TWA,SOG (kts),COG (° true),Motoring,Latitude,Longitude,Wave Height (ft),Wave Dir (° true),Wave Period (s),Current Speed (kts),Current Dir (° true),Pressure (hPa),Temperature (° F),Rain (mm/hr),CAPE (kJ/kg),Gust (kts)
2023-06-02T09:00:00-04:00,9.6,226,S56,3.9,169, ,41º 20.388 N,71º 23.849 W,2.5,147,6.3,0.3,110,1014.2,57.3,0.0,0.0,13.4
2023-06-02T11:04:43-04:00,10.2,224,P47,3.5,270, ,41º 12.451 N,71º 21.839 W,2.7,146,6.2,0.2,189,1014.0,56.8,0.0,0.0,13.6
2023-06-02T11:33:50-04:00,10.6,224,S51,4.0,173, ,41º 12.461 N,71º 24.109 W,2.7,146,6.1,0.3,187,1013.7,56.9,0.0,0.0,14.1
2023-06-02T12:11:26-04:00,10.4,223,P51,4.1,274, ,41º 10.009 N,71º 23.735 W,2.7,145,6.1,0.2,192,1013.4,57.4,0.0,0.0,13.8
2023-06-02T13:45:50-04:00,11.5,222,S51,4.1,171, ,41º 10.477 N,71º 32.345 W,2.6,147,5.9,0.2,201,1012.6,58.0,0.0,0.0,15.0
2023-06-02T15:39:46-04:00,9.4,227,S55,3.9,172, ,41º 02.831 N,71º 30.780 W,2.7,144,6.1,0.2,215,1012.5,58.5,0.0,0.0,12.3
2023-06-02T18:27:08-04:00,9.7,219,P48,4.0,267, ,40º 52.011 N,71º 28.864 W,2.7,140,6.2,0.1,237,1012.0,58.5,0.0,0.0,12.6
2023-06-02T19:39:12-04:00,10.7,201,P74,6.0,275, ,40º 51.749 N,71º 35.228 W,2.7,140,6.2,0.2,216,1011.5,59.3,0.0,0.0,13.5
2023-06-02T21:05:13-04:00,10.6,208,P54,4.3,262, ,40º 52.517 N,71º 46.551 W,2.6,140,6.1,0.3,209,1011.5,59.6,0.0,0.0,13.3
2023-06-02T22:17:57-04:00,10.7,213,P61,3.7,274, ,40º 51.825 N,71º 53.383 W,2.6,140,6.1,0.3,233,1011.7,59.3,0.0,0.0,13.3
