,Route,Start Time,Start,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,End
,ECMWF,2023-06-02T09:00:00-04:00,41 20.388N 71 23.850W,40 52.602N 71 46.692W,40 51.396N 72 45.552W,40 42.348N 73 20.796W,39 32.160N 72 53.442W,39 16.956N 74 42.552W,38 10.116N 73 51.750W,37 58.848N 74 59.586W,37 32.316N 75 47.412W,37 2.088N 76 4.668W,37 10.032N 75 59.112W,37 34.296N 76 1.974W,37 49.734N 75 59.646W,38 2.292N 76 20.394W,38 13.830N 76 2.730W,38 17.544N 76 24.276W,38 32.916N 76 25.362W,38 53.982N 76 26.202W,38 58.638N 76 19.836W
,Polar,Polar Speed Adjustment,Motoring,Ocean Current,TWS Scale Factor,TWD Adjustment
,"Upwind 50°: 5.0, 90°: 10.0, Downwind 160°: 6.0","Upwind: 100, Downwind: 100",False,Mercator,100%,0°
Time,TWS (kts),TWD (° true),TWA,SOG (kts),COG (° true),Motoring,Latitude,Longitude,Wave Height (ft),Wave Dir (° true),Wave Period (s),Current Speed (kts),Current Dir (° true),Pressure (hPa),Temperature (° F),Rain (mm/hr),CAPE (kJ/kg),Gust (kts)
2023-06-02T09:00:00-04:00,7.8,224,S65,3.8,158, ,41º 20.388 N,71º 23.849 W,2.3,144,6.3,0.3,105,1013.8,59.6,0.0,0.0,10.6
2023-06-02T11:31:04-04:00,9.7,213,P44,3.7,257, ,41º 11.431 N,71º 19.150 W,2.5,143,6.1,0.2,198,1013.5,58.0,0.0,0.0,12.7
2023-06-02T15:26:43-04:00,10.1,213,P54,3.6,267, ,41º 08.194 N,71º 37.867 W,2.5,147,5.7,0.2,242,1012.1,59.0,0.0,0.0,13.2
2023-06-02T16:46:12-04:00,8.8,218,S49,3.2,169, ,41º 07.931 N,71º 44.231 W,2.3,147,5.6,0.1,208,1011.9,59.0,0.0,0.0,11.5
2023-06-02T18:44:55-04:00,9.1,223,P48,3.2,270, ,41º 01.726 N,71º 42.618 W,2.4,144,5.9,0.2,181,1011.7,59.5,0.1,0.0,11.9
2023-06-02T19:16:51-04:00,9.2,220,S57,3.9,163, ,41º 01.736 N,71º 44.888 W,2.4,143,5.9,0.2,182,1011.7,59.5,0.1,0.0,11.9
2023-06-02T19:49:32-04:00,9.6,221,P49,3.5,270, ,40º 59.714 N,71º 44.046 W,2.4,142,6.0,0.2,181,1011.7,59.3,0.0,0.0,12.5
2023-06-02T20:19:20-04:00,9.2,221,S40,3.5,181, ,40º 59.723 N,71º 46.315 W,2.4,141,6.0,0.2,187,1011.7,59.1,0.0,0.0,12.0
2023-06-02T22:24:03-04:00,8.3,249,P39,2.7,288, ,40º 52.517 N,71º 46.551 W,2.3,137,6.2,0.3,209,1012.0,59.2,0.0,0.1,10.9
2023-06-02T22:55:33-04:00,8.5,251,S46,3.1,205, ,40º 52.957 N,71º 48.352 W,2.3,137,6.2,0.3,208,1012.0,58.9,0.0,0.2,11.1
2023-06-03T00:03:25-04:00,7.2,269,S49,3.6,219, ,40º 49.794 N,71º 50.272 W,2.3,135,6.3,0.4,226,1011.8,59.2,0.0,0.1,9.4
2023-06-03T02:21:21-04:00,7.9,329,S75,6.2,254, ,40º 43.336 N,71º 57.292 W,2.3,129,6.3,0.4,246,1011.6,59.0,0.0,0.1,10.7
2023-06-03T03:06:23-04:00,11.6,11,S100,8.1,270, ,40º 42.064 N,72º 03.235 W,2.4,124,6.1,0.4,246,1011.8,59.3,0.0,0.1,15.3
2023-06-03T03:44:48-04:00,14.5,27,S106,8.9,281, ,40º 42.092 N,72º 10.043 W,2.4,122,5.9,0.4,237,1011.9,59.4,0.0,0.1,18.8
2023-06-03T06:37:18-04:00,15.1,47,P155,6.5,202, ,40º 46.548 N,72º 41.673 W,2.6,99,5.2,0.2,242,1013.2,60.5,0.3,0.1,23.1
2023-06-03T07:04:19-04:00,17.0,47,S153,6.6,254, ,40º 43.815 N,72º 43.124 W,2.8,92,4.9,0.2,240,1013.5,59.8,0.5,0.1,24.0
2023-06-03T10:38:50-04:00,18.2,59,S157,6.0,262, ,40º 37.592 N,73º 11.926 W,3.6,86,4.6,,,1015.4,59.5,0.0,0.0,24.6
