,Route,Start Time,Start,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,End
,PWE,2023-06-02T09:00:00-04:00,41 20.388N 71 23.850W,40 52.602N 71 46.692W,40 51.396N 72 45.552W,40 42.348N 73 20.796W,39 32.160N 72 53.442W,39 16.956N 74 42.552W,38 10.116N 73 51.750W,37 58.848N 74 59.586W,37 32.316N 75 47.412W,37 2.088N 76 4.668W,37 10.032N 75 59.112W,37 34.296N 76 1.974W,37 49.734N 75 59.646W,38 2.292N 76 20.394W,38 13.830N 76 2.730W,38 17.544N 76 24.276W,38 32.916N 76 25.362W,38 53.982N 76 26.202W,38 58.638N 76 19.836W
,Polar,Polar Speed Adjustment,Motoring,Ocean Current,TWS Scale Factor,TWD Adjustment
,"Upwind 50°: 5.0, 90°: 10.0, Downwind 160°: 6.0","Upwind: 100, Downwind: 100",False,Mercator,100%,0°
Time,TWS (kts),TWD (° true),TWA,SOG (kts),COG (° true),Motoring,Latitude,Longitude,Wave Height (ft),Wave Dir (° true),Wave Period (s),Current Speed (kts),Current Dir (° true),Pressure (hPa),Temperature (° F),Rain (mm/hr),CAPE (kJ/kg),Gust (kts)
2023-06-02T09:00:00-04:00,5.5,214,S68,2.1,146, ,41º 20.388 N,71º 23.849 W,2.3,144,6.3,0.3,105,1013.8,59.6,0.0,0.0,10.6
2023-06-02T11:01:37-04:00,4.9,193,P48,1.9,241, ,41º 16.915 N,71º 20.786 W,2.4,145,6.0,0.2,136,1013.6,57.1,0.0,0.0,14.5
2023-06-02T12:17:37-04:00,5.9,199,S53,2.7,146, ,41º 15.774 N,71º 23.546 W,2.5,147,5.9,0.2,149,1013.1,57.8,0.0,0.0,15.0
2023-06-02T14:43:46-04:00,7.8,193,P46,3.6,239, ,41º 10.420 N,71º 18.728 W,2.6,148,5.7,0.2,217,1012.3,59.1,0.0,0.0,13.7
2023-06-02T17:20:32-04:00,11.9,184,P54,4.1,238, ,41º 05.563 N,71º 29.328 W,2.6,146,5.8,0.3,226,1011.8,59.8,0.0,0.0,11.9
2023-06-02T19:31:51-04:00,7.6,185,P53,2.3,238, ,41º 00.776 N,71º 39.472 W,2.4,143,5.9,0.2,196,1011.7,59.6,0.0,0.0,12.6
2023-06-02T23:23:21-04:00,5.3,198,S51,1.9,146, ,40º 55.990 N,71º 49.615 W,2.3,138,6.3,0.3,204,1011.9,58.6,0.0,0.2,10.4
2023-06-03T01:35:41-04:00,2.5,184,P80,1.5,264, ,40º 52.517 N,71º 46.551 W,2.2,136,6.4,0.4,216,1011.6,58.6,0.0,0.1,8.0
2023-06-03T04:06:35-04:00,2.6,116,P118,1.4,234, ,40º 52.106 N,71º 51.557 W,2.7,102,5.2,0.3,226,1012.1,58.9,0.0,0.1,21.2
2023-06-03T05:22:03-04:00,3.3,95,P164,3.4,259, ,40º 51.104 N,71º 53.407 W,3.1,87,4.8,0.4,234,1012.5,58.9,0.0,0.1,27.6
2023-06-03T09:15:04-04:00,9.1,43,S132,5.3,271, ,40º 48.437 N,72º 10.744 W,5.1,65,4.8,0.4,238,1014.9,56.6,0.0,0.1,30.5
2023-06-03T11:23:06-04:00,13.9,71,P148,6.5,219, ,40º 48.644 N,72º 25.717 W,4.8,71,5.0,0.2,238,1016.0,57.5,0.0,0.0,27.4
2023-06-03T12:04:47-04:00,15.1,68,S150,6.7,278, ,40º 45.200 N,72º 29.461 W,5.3,72,5.2,0.2,247,1016.0,57.5,0.0,0.0,27.7
2023-06-03T13:28:17-04:00,16.3,74,P156,6.5,230, ,40º 46.548 N,72º 41.673 W,4.4,79,5.3,0.3,243,1016.1,60.1,0.0,0.0,25.3
2023-06-03T15:18:20-04:00,22.1,70,S154,6.7,276, ,40º 38.958 N,72º 53.724 W,5.1,78,5.4,0.3,239,1016.2,59.3,0.0,0.0,25.5
